медъ|55232|Nb|medъ|||||||||||||||||masc_u|2|||M|||S|Ps|cheese
ꙗрость|55811|Nb|jǢrostь|||||||||Derksen p.151-2 reconstructs an original *ě- (> our *jǢ-) rather than *a- for this word; the reconstruction in ESSJa08 p.179 is to a PIE form *i̯ōu-r, with *r as a formant and the *u lost (irregularly?) because it was non-syllabic: 'ōu̯ > ō'. The important thing is that both etymological dictionaries reconstruct an initial *i̯ (> *j), so we are justified in reconstructing *jǢr- rather than *ar-||||||||fem_i|2|||M|||S|Ps|
пѫть|58763|Nb|pǫtь|||||||||||||||||masc_i|2|||M|||S|Ps|
съ|58764|R-|sъ|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
и|58765|Pp|jь|||||||||||||||||jь|2|||M|Eu|KB|S|Ps|
да|58766|G-|da||||||||||||||||||0|||M|Eu|KB|S|Ps|
не|58767|Df|ne||||||||||||||||||0|||M|Eu|KB|S|Ps|
прѣдати|58768|V-|perdati|||||||||||||||||dati|1|||M|||S|Ps|
тꙑ|58769|Pp|ty|||||||||||||||||ty|2|||M|Eu|KB|S|Ps|
и|58771|C-|i||||||||||||||||||0|||M|Eu|KB|S|Ps|
слоуга|58772|Nb|sluga|||||||||||||||||masc_a|2|||M|||S|Ps|
бꙑти|58773|V-|byti|||||||||||||||||byti|1|||M|Eu|KB|S|Ps|
въ|58774|R-|vъ|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
въврѣщи|58778|V-|vъverћi|||||||throw in|vъvergti|||||||vъvŕ̥g|vъverg|14|1|||M|||S||
свои|58780|Pt|svojь|||||||||||||||||pron_soft|2|||M|Eu|KB|S|Ps|
доньде|58782|G-|dońьdeže|||||||until|donjьdeže||||||||||0|||M|||S||
на|58783|R-|na|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
изити|58784|V-|jьzjьti|||||||||||||||||jьti|1|||M|||S|Ps|
отъ|58785|R-|otъ|||||||||||||1|||||0|||M|Eu|KB|S|Ps|
въздати|58787|V-|vъzdati|||||||||||||||||dati|1|||M|||S|Ps|
послѣдьнии|58788|A-|poslědьńь||||||||poslědьnjь|||||||||adj_soft|2|||M|||S|Ps|
кодрантъ|58789|Nb|kodrantъ||||2||W|||||κοδράντην||||||masc_o|2|||M|||||
глаголати|58791|V-|golgolati|||||||||||||||||52|1|||M|Eu||S|Ps|
ꙗко|58792|G-|ako||||||||||||||||||0|||M||KB|S|Ps|
рещи|58793|V-|reћi||||||||rekti|||||||rьk|rek|11|1|||M|||S|Ps|
сътворити|58795|V-|sъtvoriti|||||||||||||||||40|1|||M|Eu|KB|S|Ps|
прѣлюбꙑ|58796|Nb|perĺuby||||||||perljuby|||||||||fem_uu|2|||M|||||
слꙑшати|58797|V-|slyšǢti|||||||||||||||||31|1|||M|||S|Ps|
възьрѣти|58798|V-|vъzьrěti|||||||||||||||||31|1|||M|||S|Ps|
иже|58800|Pr|jьže|||||||||||||||||jьže|2|||M|Eu|KB|S|Ps|
жена|58801|Nb|žena|||||||||||||||||fem_a|2|||M|||S|Ps|
похоть|58802|Nb|poxotь|||||||||||||||||fem_i|2|||M||KB|S|Ps|
оуже|58803|Df|juže||||||||||||||||||0|||M|||S||
срьдьце|58805|Nb|sŕ̥dьke|sŕ̥dьko|sŕ̥dьce|||||||||||||||nt_o_PV3|2|||M|Eu|KB|S|Ps|
азъ|58807|Pp|azъ|||||||||||||||||azъ|2|||M|Eu||S|Ps|
же|58808|Df|že||||||||||||||||||0|||M||KB|S|Ps|
вꙑ|58810|Pp|ty|||||||||||||||||ty|2|||M|||S|Ps|
око|58813|Nb|oko|||||||||||||||||oko|2|||M|Eu||S|Ps|
твои|58814|Ps|tvojь|||||||||||||||||pron_soft|2|||M|Eu|KB|S|Ps|
съблажнꙗти|58815|V-|sъblažńǢti||||||||sъblaznjǢti|||||||||54|1|||M|||||
деснъ|58816|A-|desnъ|||||||||||||||||adj_hard|2|||M|||S|Ps|
аще|58819|G-|aћe||||||||atje||||||||||0|||M|||S|Ps|
а|58820|C-|a||||||||||||||||||0|||M||KB|S|Ps|
вьсь|58821|Px|vьxь|vьxъ|vьśь|||||||||||||||vьxь|2|||M|Eu|KB|S|Ps|
тѣло|58822|Nb|tělo|||||||||||||||||nt_S|2|||M|Eu|KB|S|Ps|
геона|58823|Nb|ǵejona||||2||W|hellfire||||γέεννα||||||fem_a|2|||M|||S||
бо|58825|Df|bo||||||||||||||||||0|||M||KB|S|Ps|
ѥдинъ|58827|Ma|jedinъ|||jedьn||||||||||||||pron_hard|2|||M|Eu||S|Ps|
себе|58829|Pk|sę|||||||||||||||||sę|2|||M|Eu|KB|S|Ps|
рѫка|58831|Nb|rǫka|||||||||||||||||fem_a|2|||M|Eu||S|Ps|
дати|58843|V-|dati|||||||||||||||||dati|1|||M||KB|S|Ps|
распоустьнъ|58845|A-|orspustьnъ|||||||||||||||||adj_hard|2|||M|||||
поустити|58846|V-|pustiti|||||||||||||||||40|1|||M|||S|Ps|
аще|58847|Df|aћe||||||||atje||||||||||0|||M|||S|Ps|
дѣꙗти|58849|V-|dějǢti|||||||||||||||||53|1|||M|||S|Ps|
творити|58852|V-|tvoriti|||||||||||||||||40|1|||M||KB|S|Ps|
поущати|58853|V-|pušћǢti||||||||pustjǢti|||||||||54|1|||M|||S||
развѣ|58854|R-|razvě|||||||apart from|||1||||||||0|||M|||S|Ps|
слово|58855|Nb|slovo|||||||||||||||||nt_S|2|||M|Eu||S|Ps|
господь|58858|Nb|gospodь|||||||||||||||||masc_i|2|||M|Eu|KB|S|Ps|
пакꙑ|58860|Df|paky|||||||again, once more; also, as well as; then, after|||||||||||0|||M||KB|S|Ps|
проповѣдати|58868|V-|propovědati|||||||||||||||||54|1|||M|Eu||S||
крьщениѥ|58869|Nb|krьšћenьje||||12||||krьstjenьje|essja 13 p.76 says this was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist'). ||||||||nt_jo|2|||M|||S||
покаꙗниѥ|58870|Nb|pokajǢnьje|||||||||||||||||nt_jo|2|||M|Eu||S||
отъпоущениѥ|58871|Nb|otъpušћenьje|||||||remission, forgiveness|otъpustjenьje|||||||||nt_jo|2|||M|||S||
грѣхъ|58872|Nb|grěxъ|||||||||||||||||masc_o|2|||M|Eu|KB|S|Ps|
