1,се,I-,176
2,азъ,Pp,202
3,мьстиславъ,Ne,6
4,володимирь,A-,4
5,сынъ,Nb,30
6,дьржати,V-,4
7,русьскыи,A-,10
8,земля,Nb,34
9,въ,R-,654
10,свои,Pt,272
11,къняжение,Nb,8
12,повелѣти,V-,44
13,быти,V-,683
14,вьсеволодъ,Ne,4
15,отъдати,V-,5
16,буици,Ne,1
17,святыи,A-,168
18,георгии,Ne,8
19,съ,R-,186
20,дань,Nb,3
21,и,C-,4
22,вира,Nb,1
23,продажа,Nb,1
24,даже,G-,2
25,которыи,Px,1
26,кънязь,Nb,59
27,по,R-,190
28,мои,Ps,136
29,почати,V-,3
30,хотѣти,V-,69
31,отъяти,V-,2
32,у,R-,19
33,а,C-,62
34,богъ,Nb,172
35,за,R-,20
36,тыи,Pd,520
37,богородица,Nb,25
38,и,Pp,6
39,отъимати,V-,1
40,ты,Pp,123
41,игуменъ,Nb,28
42,исаия,Ne,2
43,вы,Pp,57
44,братия,Nb,126
45,донелѣже,G-,1
46,себе,Pk,683
47,миръ,Nb,27
48,състояти,V-,1
49,молити,V-,86
50,дѣтя,Nb,5
51,къто,Px,2
52,изоостати,V-,1
53,манастырь,Nb,103
54,то,Df,46
55,дължьныи,A-,1
56,мы,Pp,84
57,при,R-,7
58,животъ,Nb,6
59,съмьрть,Nb,20
60,язъ,Pp,1
61,дати,V-,28
62,рука,Nb,37
63,и,Df,2779
64,осеньнии,A-,1
65,полюдие,Nb,1
66,даровьныи,A-,1
67,полъ#1,Nb,1
68,третии,Mo,1
69,десять,Ma,4
70,гривьна,Nb,7
71,же,Df,699
72,я,Pp,1
73,блюдо,Nb,2
74,сьребрьныи,A-,1
75,тридесяте,Ma,1
76,сьребро,Nb,5
77,велѣти,V-,14
78,бити,V-,13
79,на,R-,366
80,обѣдъ,Nb,10
81,коли,Dq,1
82,обѣдати,V-,1
83,запъртити,V-,1
84,или,C-,34
85,сии,Pd,331
86,да#1,Df,48
87,судити,V-,3
88,дьнь,Nb,117
89,пришьствие,Nb,1
90,господь,Nb,103
91,отьць,Nb,189
92,нашь,Ps,127
93,авраамовъ,A-,1
94,исаковъ,A-,1
95,ияковль,A-,1
96,сѣмя,Nb,3
97,правьдьныи,A-,11
98,съподобити,V-,22
99,грѣшьныи,A-,13
100,рабъ,Nb,22
101,алекса,Ne,2
102,написати,V-,9
103,евангелие,Nb,18
104,благовѣрьныи,A-,5
105,христолюбивыи,A-,6
106,чьстити,V-,2
107,феодоръ,Ne,6
108,мирьскы,Df,4
109,вънукъ,Nb,2
110,вьсеволожь,A-,1
111,новъгородьскыи,A-,1
112,иже,Pr,10
113,съвьршити,V-,5
114,благословение,Nb,13
115,прѣсвятыи,A-,5
116,чистыи,A-,17
117,владычица,Nb,4
118,даяти,V-,12
119,милость,Nb,11
120,наслѣдие,Nb,1
121,цѣсарьство,Nb,4
122,небесьныи,A-,22
123,дълголѣтьныи,A-,1
124,вьсь,Px,55
125,аминъ,I-,13
126,почитати,V-,6
127,аще,G-,18
128,къдѣ,Df,1
129,кривыи,A-,1
130,налѣзти,V-,1
131,исправити,V-,3
132,чисти,V-,1
133,не,Df,339
134,кляти,V-,4
135,бо,Df,183
136,лазоревъ,A-,1
137,прозвитеръ,Nb,11
138,съпасти#1,V-,19
139,мъногыи,A-,22
140,лѣто,Nb,18
141,жадѣнъ,Ne,1
142,пьсати,V-,12
143,божии,A-,60
144,недостоиныи,A-,7
145,худыи,A-,11
146,съписати,V-,6
147,память,Nb,10
148,дѣля,R-,3
149,цѣсарь,Nb,8
150,людие,Nb,9
151,о,R-,6
152,съконьчание,Nb,1
153,казати,V-,4
154,наславъ,Ne,3
155,возити,V-,2
156,цѣсарьгородъ,Ne,2
157,учинити,V-,1
158,химипетъ,Nb,1
159,воля,Nb,12
160,възвратити,V-,29
161,из,R-,27
162,съправити,V-,1
163,злато,Nb,4
164,драгыи,A-,5
165,камы,Nb,1
166,приити,V-,88
167,кыевъ,Ne,7
168,съконьчати,V-,10
169,дѣло,Nb,36
170,мѣсяць,Nb,7
171,авъгустъ,Nb,2
172,дъвадесяти,Ma,4
173,цѣна,Nb,3
174,единъ,Ma,101
175,вѣдати,V-,1
176,трудъ,Nb,13
177,подъяти,V-,2
178,печаль,Nb,24
179,нъ,C-,146
180,утѣшити,V-,3
181,добрыи,A-,15
182,молитва,Nb,69
183,тако,Df,188
184,угодие,Nb,1
185,творити,V-,64
186,слышати,V-,67
187,цѣсарьствие,Nb,11
188,прѣбывати,V-,21
189,радость,Nb,17
190,веселие,Nb,2
191,любы,Nb,30
192,хрьстиянинъ,Nb,1
193,правити,V-,3
194,орудие,Nb,4
195,правьда,Nb,4
196,обрѣсти,V-,31
197,чьсть,Nb,5
198,отъ,R-,314
199,вѣровати,V-,2
200,троица,Nb,1
201,духъ,Nb,30
202,ныня,Df,1
203,присьныи,A-,1
204,вѣкъ#1,Nb,13
205,дъмъка,Ne,5
206,кънига,Nb,9
207,госпожа,Nb,2
208,да,C-,4
209,бояти,V-,8
210,невѣжа,Nb,2
211,без,R-,15
212,показание,Nb,3
213,грѣхъ,Nb,17
214,погрузити,V-,1
215,помагати,V-,6
216,простити,V-,6
217,убогыи,A-,11
218,унылыи,A-,2
219,яковъ,Ne,1
220,помощи,V-,4
221,дияволъ,Nb,3
222,изблазнити,V-,1
223,съгрѣшити,V-,3
224,слава,Nb,19
225,яко,G-,1
226,шесть тысячь,Ma,3
227,пятьсътъ,Ma,4
228,шестьдесятъ,Ma,3
229,четыре,Ma,5
230,оконьчати,V-,2
231,пять,Ma,4
232,нарещи,V-,19
233,крьщение,Nb,7
234,иосифъ,Ne,2
235,остромиръ,Ne,2
236,близокъ,Nb,2
237,изъяславъ,Ne,15
238,тъгда,Df,76
239,прѣдьржати,V-,3
240,оба,Ma,6
241,власть,Nb,5
242,ярославъ,Ne,11
243,братъ,Nb,60
244,володимиръ,Ne,7
245,самъ,Pd,45
246,столъ,Nb,12
247,поручити,V-,2
248,новъгородъ,Ne,2
249,даровати,V-,1
250,сътяжати,V-,6
251,утѣшение,Nb,3
252,душа,Nb,45
253,хрьстияньскыи,A-,1
254,евангелистъ,Nb,1
255,иоанъ,Ne,5
256,матфѣи,Ne,1
257,лука,Ne,1
258,маркъ,Ne,1
259,праотьць,Nb,1
260,авраамъ,Ne,2
261,исакъ,Ne,2
262,ияковъ,Ne,3
263,подружие,Nb,2
264,феофана,Ne,1
265,чадо,Nb,21
266,съдравьствовати,V-,1
267,съдьржати,V-,4
268,поручение,Nb,1
269,григории,Ne,1
270,дияконъ,Nb,2
271,горазьныи,A-,1
272,мощи,V-,30
273,зазьрѣти,V-,3
274,грѣшьникъ,Nb,4
275,октябрь,Nb,1
276,иларионъ,Ne,3
277,маи,Nb,2
278,дъванадесять,Ma,2
279,епифанъ,Ne,1
280,апостолъ,Nb,8
281,павьлъ,Ne,3
282,глаголати,V-,144
283,благословити,V-,14
284,тыиже,Pd,13
285,съказание,Nb,3
286,страсть,Nb,6
287,похвала,Nb,1
288,мученикъ,Nb,9
289,борисъ,Ne,23
290,гълѣбъ,Ne,10
291,родъ,Nb,7
292,правыи,A-,3
293,рещи,V-,103
294,пророкъ,Nb,3
295,сице,Df,40
296,убо,Df,39
297,малыи,A-,38
298,прѣже,Df,2
299,самодьржьць,Nb,1
300,святославль,A-,1
301,игоревъ,A-,1
302,просвѣтити,V-,4
303,прочии,A-,9
304,добродѣтель,Nb,1
305,инъдѣ,Df,2
306,съказати,V-,7
307,нынѣ,Df,19
308,не быти,V-,21
309,врѣмя,Nb,22
310,рядъ,Nb,3
311,имѣти,V-,87
312,жена,Nb,16
313,разьныи,A-,1
314,мати,Nb,32
315,старыи,A-,11
316,вышеславъ,Ne,1
317,трие,Ma,18
318,святопълкъ,Ne,17
319,убииство,Nb,10
320,зълыи,A-,30
321,изобрѣсти,V-,1
322,чьрница,Nb,1
323,грькыни,Nb,1
324,пояти,V-,7
325,яропълкъ,Ne,2
326,ростричи,V-,1
327,красота,Nb,4
328,лице,Nb,17
329,зачати,V-,1
330,оканьныи,A-,12
331,поганыи,A-,1
332,еще,Df,25
333,убити,V-,9
334,непраздьныи,A-,1
335,родити,V-,3
336,дъва,Ma,16
337,любити,V-,13
338,акы,G-,1
339,рогънѣдь,Ne,1
340,иныи,Px,44
341,святославъ,Ne,4
342,българыни,Nb,1
343,посажати,V-,1
344,розьныи,A-,1
345,съповѣдати,V-,28
346,повѣсть,Nb,2
347,посадити,V-,1
348,пиньскъ,Ne,1
349,ростовъ,Ne,3
350,муромъ,Ne,1
351,остати,V-,12
352,да,G-,77
353,мъногописание,Nb,1
354,забыть,Nb,1
355,вълѣзти,V-,8
356,начати,V-,54
357,уже,Df,38
358,минути,V-,4
359,яко,Dq,8
360,осмь,Ma,1
361,въпасти,V-,5
362,недугъ,Nb,3
363,крѣпъкыи,A-,5
364,печенѣгъ,Nb,3
365,онуду,Df,1
366,пакы,Df,112
367,ити,V-,91
368,рать,Nb,3
369,русь,Ne,1
370,великыи,A-,76
371,зане,G-,5
372,изити,V-,20
373,противу,R-,11
374,мъного,Df,13
375,печалити,V-,1
376,призъвати,V-,17
377,имя,Nb,26
378,романъ,Ne,1
379,блаженыи,A-,228
380,скоропослушьливыи,A-,1
