1,о,R-,о
2,писмѧ,Nb,пісмѧ
3,чрьноризьць,Nb,чрьнорізьць
4,храбъръ,Ne,храбъръ
5,прѣжде,Df,прѣжде
6,оубо,Df,оубо
7,словѣне,Nb,словѣне
8,не,Df,не
9,имѣти,V-,імѣті
10,кънигꙑ,Nb,кънігъі
11,нъ,C-,нъ
12,чрьта,Nb,чрьта
13,и,C-,і
14,рѣза,Nb,рѣза
15,чисти,V-,чісті
16,гадати,V-,гадаті
17,поганъ,A-,поганъ
18,бꙑти,V-,бъіті
19,крьстити,V-,крьстіті
20,же,Df,же
21,себе,Pk,себе
22,римьскъ,A-,рімьскъ
23,грьчьскъ,A-,грьчьскъ
24,нѫждати,V-,нѫждаті
25,словѣньскꙑ,Df,словѣньскъі
26,рѣчь,Nb,рѣчь
27,без,R-,без
28,оустроѥниѥ,Nb,оустроеніе
29,но,C-,но
30,како,Du,како
31,мощи,V-,мошті
32,пьсати,V-,пьсаті
33,добрѣ,Df,добрѣ
34,богъ,Nb,богъ
35,или,C-,ілі
36,животъ,Nb,жівотъ
37,ѕѣло,Df,зѣло
38,црькꙑ,Nb,црькъі
39,чаꙗниѥ,Nb,чаѣніе
40,широта,Nb,шірота
41,ꙗдь,Nb,ѣдь
42,оудъ,Nb,оудъ
43,юность,Nb,юность
44,ѩзꙑкъ,Nb,ѧзъікъ
45,инъ,A-,інъ
46,подобьнъ,A-,подобьнъ
47,сь,Pd,сь
48,тако,Df,тако
49,мъногъ,A-,мъногъ
50,лѣто,Nb,лѣто
51,потомь,Df,потомь
52,чловѣколюбьць,Nb,чловѣколюбьць
53,строити,V-,строіті
54,вьсь,Px,вьсь
55,оставлꙗти,V-,оставлѣті
56,чловѣчь,A-,чловѣчь
57,родъ,Nb,родъ
58,разоумъ,Nb,разоумъ
59,къ,R-,къ
60,приводити,V-,пріводіті
61,съпасениѥ,Nb,съпасеніе
62,помиловати,V-,поміловаті
63,посълати,V-,посълаті
64,и,Pp,і
65,свѧтъ,A-,свѧтъ
66,константинъ,Ne,константінъ
67,философъ,Nb,філософъ
68,нарицати,V-,наріцаті
69,кѵрилъ,Ne,курілъ
70,мѫжь,Nb,мѫжь
71,правьдьнъ,A-,правьдьнъ
72,истиньнъ,A-,істіньнъ
73,сътворити,V-,сътворіті
