lemma,lemma_id,pos,lemma_has_jer,contains_whitespace,tokens,jer_tokens
быти,120247,V-,false,false,есть|сущимъ|быс|суть|бѣ|сущая|будуть|бывъ|бѧху|быша|бѧше|былъ|бы|быти|будѧше|суще|бѧста|бѧхомъ|бѣша|была|сутъ|сущеи|сущи|бысть|суща|есмь|буди|быста|будеть|бывши|бывшемъ|бывшаго|будущии|будетъ|буде|сущихъ|есмы|будущая|еси|быхомъ|есте|бывше|сущю|буду|бѧх|бивши|бывшая|будемъ|буд|етсь|были|бысте|б҃ы|сущаго|будета|еста|будеши|бѣста|быв|бывшимъ|бывшю|сыи|было|е|будет|будть|будут|бывшее|сут|ес|ѥсмь|сущемъ|ѥси|ѥсть|быхом|быхъ|бых|сь|бѣяху|ѥсмы|сущюю|бѧхъ|будете|бѧшеть|ѥста|ест|Бѣ|ѥ|есвѣ|бѣсте|ѥсте|ще|бѣхъ|бѣх|будевѣ|бывъши|Суть|Бывъ|сущим|бѧхом|ѥсмъ|будем|есмъ|емь|Быс|бѣаше|Есмя|естя|бяше|был|есме|сущии|сущими|беѣ|бѹдеть|бѹдть|буть|бдуть|бꙑло|бѹдѹ|есемо|есьмь|бꙑле|бꙑхо|бꙋди|есмо|си|бѹде|е[с]и|бꙑ|есьмъ|бѹдеш]и|бѹдьше|бѹди|бꙑша|ѥсме|будешь|ѥсми|будьть|бꙑли|бꙑлъ|бꙋд[е|бꙑхъ|бѹдѹщаго|бѹдетъ|сѹть|боудши|сѹт|бѹдеши|бѹдет|бѹдѹтъ|бѹдете|бѹдѣтъ|бѹт|быт|бъ|бѹдь|бе|бѹд|бь|бѹдщемъ|бѹдѹт|естъ|б|есми|бѹдѹщемъ|бѹдешї|сѹще|б]ѧше|бꙑс҃|бꙑт҃|бѧхѹть|бѣхѹ|бѣше|бѧхѹ|бꙑхомъ|бꙑста|бѧхоу|бꙑвъше|сѹт҃|бꙑти|сꙑ|соуть|соуще|быс҃|беста|беше|бъс҃|бꙑтї|бꙑвшеи|бꙑхом|бꙑвъ|бѹдѹщю|бѧш҃|сѹщю|сѹщи|бꙑхом҃|бꙑвшю|бꙑвша|бѧхуть|Выс|бывшим|бывшеѥ|бывшею|бывших|бывша|буда|сы|бы҃|будуще|будущи|ѥсьмы|будущаго|будет҃|єс҃|є|бѧша|бывшюю|сущих|бывшии|єсте|бꙑсть|бꙗше|бꙗаше|сущу|бывъшю|будѣте|сѹщиихъ|бывъша|сѹщеи|бѹдѹть|бы҃с|сѹща|сѹщь|сѹщиими|бѹдꙗше|сѹщѹ|сѹщаꙗ|сѹщии|сѹщиимъ|сѹщемъ|сѹщюѹмѹ|сѹщааго|бывъшеи|бѹдевѣ|бывъше|бывъшеѥ|сѹщȣ|бѹдѣмъ|бѹдѧше|сѹщаго|бѣаша|бѧхȣть|бывъшемъ|сѹщаѧ|сȣща|бѣахѹть|сѹщимъ|сѹщема|бывъшиихъ|бѹдѹщии|бѹдѹщиї|бѧхꙋ|боудеть|боудет|єс|быстʼ|соущи|бывыи|соущимъ|бывшеє|соущїи|єсмѧ|боудꙋть|боудетъ|бывшꙋ|соущаѧ|есмѧ|сꙋщи|соуща|соущꙋ|сꙋщими|сѫщоу|соущю|боудѣте|был҃о|быхъмъ|былы|боудѣть|боудѣтѣ|боудоуть|ѥсмꙑ|бꙋдет|бывшѹ|єсмь|єсмы|бывьї|бяшетъ|Быти|Были|Бяшеть|бысь|бяхуть|быть|есмя|будущемъ|сущие|сущее|будущїи|будутъ|будеш|будешъ|быст|будущем|быстъ|бывшꙋю|ес꙽мы|бѣахꙋ|бꙋдетъ|бꙋдꙋт|был꙽|быв꙽шаго|сꙋще|сꙋть|бꙋдꙋтъ|ес꙽мь|сꙋщꙋ|сꙋщимъ|бꙋдѧше|бѣѧше|бѹдꙋщаго|сѹщꙋ|бѹдѹщаѧ|быв꙽шее|бѹдꙋщим|бѹдꙋщее|сꙋща|бѹдꙋщаѧ|сѹщих|бѹдꙋщих|бѹдем|быв꙽шѹ|бѹдꙋт|быв꙽шихъ|сѹщее|быв꙽шаѧ|сꙋщѹ|бѹдꙋщем|былѡ|бꙋде|бꙋдь|будите|будь|бꙋдѣт|бꙋдеш|Буде|сущую|боудоут|бывшагѡ|Есть|бывшоу|боудите|соущаа|Бѧхоу|соут|бꙋдемъ|соущоу|сꙋт|соущь|Бѧше|еc|боудете|Бѣсте|боудеши|бꙋдоущем|быхѡм|бꙋдеть|боуд|боуди|нѣсте|Бысть|сꙋщоу|сꙋщеи|соущим|[бѣ]|боудета|бꙋдеши,бывъши|есьмь|есьмъ|бѹдьше|будьть|бꙑвъше|бъс҃|ѥсьмы|бывъшю|бывъша|бывъшеи|бывъше|бывъшеѥ|бывъшемъ|бывъшиихъ|быхъмъ|бывьї
къто,120250,Px,true,false,кто|хто|кого|кому|когѡ|кꙑмо|комѹ|кѣмъ|комъ|кемъ|ког҃|къто|комоу|комꙋ|ктѡ,къто
земля,120254,Nb,false,false,земѧ|землѧ|землю|землѣ|земли|земль|землею|зелмю|землѧмъ|землі|землѧм|земьли|земьлю|земле|земель|землѧхъ|землꙗ|землї|землю҃|земл҃і|земьлѧ|землꙗмъ|зѣмлꙗмъ|зѣмли|земля|ȥемли|ȥемлѧ|ȥемлю|Земля|землямъ|землями|земълю|зем’ли|зем’ля|землям|зем’лю|змли|ѕемлю|Землѧ,земьли|земьлю|земьлѧ|земълю
повѣсть,120256,Nb,false,false,повѣсти|повѣсть|повѣстьми|повѣстій|повестех|повесть|повести|повѣстеи|повѣстехъ,повѣстьми
въстокъ,120259,Nb,true,false,въстокъ|въстока|востокомъ|встокъ|въстоку|въстоцѣ|встокомь|встоку|стока|въстокомь|оустоко|востокъ|въстоцꙑ|в’стока|востока|востоку|восток,въстокъ|въстока|въстоку|въстоцѣ|въстокомь|въстоцꙑ
рещи,120265,V-,false,false,рещи|рече|Рече|рькуще|рек|речть|рещи-|рекохом|рекуще|реч|река|рѣша|рѣше|рекли|рекъ|рци|рекѧ|ркъ|рекше|речено|рк|речетъ|рекоша|рекохомъ|рекомии|рѣста|рька|рьцѣте|рькущи|речно|рьци|рекъши|рекши|Реч|рцѣмъ|рекомыи|рцѣте|рьч|реклъ|речши|ркуще|рекъше|рекъша|рекохъ|реку|рекшю|реком|рѣсте|рекшема|рекоста|речаше|рекущю|рокоша|рекуть|рѣхъ|речмъ|рекох|рекла|рцї|ркли|рч҃е|рчи|реша|рекѹще|реч҃|рекѹче|рекомѹю|рекомꙑи|рѣкшема|рекоуче|рекоуще|ркуче|Рекуще|рекуща|р]ека|рекуше|ркоша|рькѧ|рекъли|ркѧ|рекомая|рекуче|рекѹ|рекыи|рекъшааго|реченоѥ|рекъшеѥ|речете|рекъшюѹмѹ|речеть|рекъшемъ|рекшеѥ|рекъшю|рѣкъхъ|рекѹть|рекѹщю|рекѹща|рѣхом|рекꙋт|реченʼное|ркучи|рѣче|речь|рекосте|Рекъ|р’ци|рькучи|р’кучи|речем|речеве|рекутъ|реченно|рѣши|рѣх|рекошѧ|рекꙋтъ|рек꙽шого|рек꙽ше|рекшѹ|реченное|рекшемꙋ|рекша|речет|реченномѹ|рекшемѹ|рек꙽шаго|речемъ|рекшимъ|реченаѧ|реченнаѧ|реченѣм|рекшаго|реченному|рекоут|реченое|рещы|рекоу|рцемъ|ре|рцы|рѣхѡмъ|реченномꙋ|Рцы,рькуще|рька|рьцѣте|рькущи|рьци|рекъши|рьч|рекъше|рекъша|рькѧ|рекъли|рекъшааго|рекъшеѥ|рекъшюѹмѹ|рекъшемъ|рекъшю|рѣкъхъ|рькучи
рѣка,120276,Nb,false,false,рѣку|рѣка|рѣки|рѣцѣ|рѣкою|рѣкамъ|рѣкѣ|рѣкы|рѣкахъ|рѣкѹ|рѣче|рѣкоу|рѣкꙑ|рѣках|рекы|рѣкꙋ|рьку|рецꙑ|реки|рекою|реке|рекѣ|река|реку|реками|Рѣка|рецѣ,рьку
иже,120291,Pr,false,false,неяже|яже|еже|негоже|неже|немуже|нихже|иже|нихъ же|ихже|ѥже|нихъже|юже|ихъже|немже|емуже|имьже|еяже|егоже|ѥгоже|нюже|неюже|имъже|неиже|Иже|еюже|немьже|имиже|Юже|нѧже|ѥмуже|юж|ѡмуже|Егоже|Еже|оже|ѥюже|Яже|ИЖЕ|ежь|нее же|неиж|нїхже|ιм же|ню же|неи же|ему же|имже|ѥго же|нимьже|нимь же|нихъхъже|ѥмѹже|их же|них же|нѣиже|іже|ꙗже|ѥгож|еꙗже|ихъ же|его же|него же|хіъ же|немь же|єму же|не же|ѥмѹ же|ѥꙗже|ѧже|имь же|ѥ же|нѥи же|нѥмьже|ихʼ же|єж|имъж|имиж|ими же|егож|иж|имʼ же|неѧже|ꙇхже|нем же|ꙇже|его ж|них꙽же|еж|негож|нем꙽ же|ніх꙽же|е еже|е|их꙽же|ꙗж|немъ ж|емѹже|им꙽же|нем꙽же|неꙗже|имьж|нимже|еиже|емоуже|егѡж|немоуже|немоуж|и же,нихъ же|нихъже|ихъже|имьже|имъже|немьже|нимьже|нимь же|нихъхъже|ихъ же|хіъ же|немь же|имь же|нѥмьже|имъж|немъ ж|имьж
симовъ,120292,A-,false,false,симову|симова|симови|симовъ|сѣмъвъ,сѣмъвъ
вьсь,120293,Px,true,false,всѧ|вси|всеи|все|всю|всѣхъ|всѣми|всѣ|весь|всѣмъ|всѣмь|всемь|всѣх|всего|всему|всѣм|всее|всея|всем|всхѣ|всею|вс-|вся|всеа|всей|вса|всех|вохи|вохо|всихъ|всеѧ|всемъ|Всѧ|всѧмѹ|всево|всеми|всемѹ|вево|всемї|всехъ|весъ|всѣѧ|всѧго|всѣмѹ|Все|вс|въсѧ|в[сѧ|вьсь|вьсѧ|всь|всѣю|всѣи|вьсю|всѣго|всꙗ|вьси|вьсехъ|всѣх҃|всеі|всеѣ|всѣм҃|всеꙗ|всими|въсь|вьсѣми|вѣ|вьсеи|вьсе|вьсꙗ|въсю|вьсемь|вьсѣмъ|вьсего|вьсѣхъ|вьсѣмь|вьсѣ|вьсею|вьсеꙗ|вхѹ|все и|въсемѹ|всемꙋ|всѣмʼ|всѣхʼ|вохъ|всѣмоу|всемоу|Всемоу|всехо|вес|Всю|Всѣмъ|в꙽си|[всеѧ,въсѧ|вьсь|вьсѧ|вьсю|вьси|вьсехъ|въсь|вьсѣми|вьсеи|вьсе|вьсꙗ|въсю|вьсемь|вьсѣмъ|вьсего|вьсѣхъ|вьсѣмь|вьсѣ|вьсею|вьсеꙗ|въсемѹ
