за|R-|60217|za||0|za|e_sl
молитва|Nb|59126|modlitva|fem_a|2|modlitv|e_sl
святыи|A-|58910|svętъ|adj_hard|2|svęt|e_sl
отьць|Nb|58993|otьkь|masc_o_PV3|2|otьk|e_sl
нашь|Ps|58994|našь|pron_soft|2|naš|e_sl
господь|Nb|58858|gospodь|masc_i|2|gospod|e_sl
исусъ|Ne|58917|jisusъ|masc_o_u|2|jisus|e_sl
христ(ос)ъ|Ne|64943|xristosъ|masc_o|2|xristos|ch_sl
сынъ|Nb|146309|synъ|masc_u|2|syn|e_sl
божии|A-|59032|božьjь|adj_ij|2|božьj|ch_sl
помиловати|V-|59746|pomilovati|61|1|pomil|e_sl
азъ|Pp|65657|azъ|azъ|2||e_sl
рабъ|Nb|59499|orbъ|masc_o|2|orb|ch_sl
свои|Pt|58780|svojь|pron_soft|2|svoj|e_sl
грѣшьныи|A-|65090|grěšьnъ|adj_hard|2|grěšьn|e_sl
се|I-|73462|se||0|se|e_sl
море|Nb|59046|moŕe|nt_jo|2|morj|e_sl
третии|Mo|60061|tretьjь|adj_soft_ord|2|tretьj|e_sl
чьрныи|A-|66274|čŕ̥nъ|adj_hard|2|čŕ̥n|e_sl
отъ|R-|58785|otъ||0|otъ|e_sl
съпасъ|Nb|67649|sъpasъ|masc_o|2|sъpas|e_sl
съ|R-|58764|sъ||0|sъ|e_sl
и|Pp|58765|jь|jь|2||e_sl
милость|Nb|67655|milostь|fem_i|2|milost|e_sl
великыи|A-|64122|velikъ|adj_hard|2|velik|e_sl
кънязь|Nb|66500|kъnęgь|masc_o_PV3|2|kъnęg|e_sl
и|C-|58771|i||0|i|e_sl
владыка|Nb|67715|voldyka|masc_a|2|voldyk|ch_sl
на|R-|58783|na||0|na|e_sl
низъ|Df|65894|nizъ||0|nizъ|e_sl
приити|V-|58916|prijьti|jьti|1|pri|e_sl
въ|R-|58774|vъ||0|vъ|e_sl
къ|R-|58898|kъ||0|kъ|e_sl
троица|Nb|81589|trojika|fem_a_PV3|2|trojik|e_sl
мученикъ|Nb|80871|mǫčenikъ|masc_o|2|mǫčenik|e_sl
у|R-|65994|u||0|u|e_sl
себе|Pk|58829|sę|sę|2||ch_sl
благословити|V-|59043|bolgosloviti|40|1|bolgoslov|ch_sl
из|R-|59088|jьz|voice_assim_prep|0|jьz|e_sl
отъпустити|V-|59335|otъpustiti|40|1|otъpust|e_sl
вьсь|Px|58821|vьxь|vьxь|2|vьx|e_sl
нижьнии|A-|69369|nižьńь|adj_soft|2|nižьnj|e_sl
намѣстьникъ|Nb|119940|naměstьnikъ|masc_o|2|naměstьnik|e_sl
а|C-|58820|a||0|a|e_sl
городъ|Nb|59272|gordъ|masc_o|2|gord|e_sl
жьдати|V-|67616|žьdati|51_abl|1|žьd|e_sl
дъва|Ma|59285|dъva|pron_hard|2|dъv|e_sl
быти|V-|58773|byti|byti|1||e_sl
рѣка|Nb|65710|rěka|fem_a|2|rěk|e_sl
ту|Df|58946|tu||0|tu|e_sl
съказати|V-|750005|sъkazati|52|1|sъkaz|e_sl
лъживыи|A-|150735|lъživъ|adj_hard|2|lъživ|e_sl
вѣсть|Nb|67810|věstь|fem_i|2|věst|e_sl
стеречи|V-|67693|sterћi|11|1|sterg|e_sl
дати|V-|58843|dati|dati|1||e_sl
да|C-|71813|da||0|da|e_sl
по|R-|58960|po||0|po|e_sl
онъ|Pd|58949|onъ|pron_hard|2|on|e_sl
възяти|V-|64330|vъzęti|12|1|vъzьm|e_sl
цѣсарь|Nb|64252|kěsaŕь|masc_ar|2|kěsarj|e_sl
и|Df|58901|i||0|i|e_sl
мѣсяць|Nb|67342|měsękь|masc_o_PV3|2|měsęk|e_sl
ночь|Nb|59412|noћь|fem_i|2|nokt|e_sl
видѣти|V-|58918|viděti|viděti|1|vid|e_sl
не|Df|58767|ne||0|ne|e_sl
бѣгати|V-|64415|běgati|54|1|běga|e_sl
посълати|V-|58932|posъlati|52|1|posъl|e_sl
грѣхъ|Nb|58872|grěxъ|masc_o|2|grěx|e_sl
постигнути|V-|68618|postignǫti|21|1|postig|e_sl
человѣкъ|Nb|59198|čьlověkъ|masc_o|2|čьlověk|e_sl
мьнии|A-|65353|mьńь|adj_soft_comp|2|mьnj|e_sl
стати|V-|64253|stati|stati|1||e_sl
часъ|Nb|59077|čǢsъ|masc_o|2|čǢs|e_sl
мои|Ps|58929|mojь|pron_soft|2|moj|e_sl
доити|V-|750004|dojьti|jьti|1|do|e_sl
до|R-|64398|do||0|do|e_sl
четыре|Ma|64273|četyre|four|2|četyr|e_sl
голова|Nb|59515|golva|fem_a|2|golv|e_sl
одинъ|Ma|58827|jedinъ|pron_hard|2|jedin|e_sl
десять|Ma|59079|desętь|ten|2|desęt|e_sl
шесть|Ma|65096|šestь|fem_i|2|šest|e_sl
въстати|V-|60145|vъstati|stati|1|vъ|e_sl
разбити|V-|68964|orzbiti|17|1|orzb|ch_sl
о|R-|58881|o||0|o|e_sl
берегъ|Nb|59426|bergъ|masc_o|2|berg|e_sl
поимати|V-|66269|pojьmati|52_abl|1|pojьm|e_sl
съдоровыи|A-|65557|sъdorvъ|adj_hard|2|sъdorv|e_sl
бити|V-|59504|biti|17|1|b|e_sl
чьто|Pr|59430|čьto||0|čьto|e_sl
подъ|R-|64426|podъ||0|podъ|e_sl
гора|Nb|58899|gora|fem_a|2|gor|e_sl
скоро|Df|66226|skoro||0|skoro|e_sl
твои|Ps|58814|tvojь|pron_soft|2|tvoj|e_sl
ты|Pp|59289|ty|ty|2||e_sl
събьрати|V-|60182|sъbьrati|51_abl|1|sъbьr|e_sl
занеже|G-|68944|zańeže||0|zanježe|e_sl
имя|Nb|58990|jьmę|nt_N|2|jьm|e_sl
чьто|Px|60110|čьto|čьto|2||e_sl
стояти|V-|58945|stojǢti|31|1|stoj|e_sl
чьто|Pi|58943|čьto|čьto|2||e_sl
мъногыи|A-|58961|mъnogъ|adj_hard|2|mъnog|e_sl
розити|V-|69511|orzjьti|jьti|1|orz|e_sl
кыи|Px|69448|kъjь|kъjь|2|k|e_sl
дължьныи|A-|67454|dl̥žьnъ|adj_hard|2|dl̥žьn|e_sl
око|Nb|58813|oko|oko|2|ok|e_sl
понести|V-|67054|ponesti|11|1|pones|e_sl
остати|V-|59350|ostati|stati|1|o|e_sl
роботати|V-|66467|orbotati|54|1|orbota|e_sl
огнь|Nb|60190|ogńь|masc_jo|2|ogń|e_sl
горѣти|V-|68696|gorěti|31|1|gor|e_sl
жити|V-|67386|žiti|11|1|živ|e_sl
земля|Nb|64341|zemĺǢ|fem_ja|2|zemj|e_sl
убити|V-|59540|ubiti|17|1|ub|e_sl
прокляти|V-|59284|proklęti|12|1|proklьn|e_sl
наинъ|Ne|68003|najinъ|masc_o|2|najin|e_sl
кърмити|V-|140390|kr̥miti|40|1|kr̥m|e_sl
пристанище|Nb|122911|pristanišče|nt_jo|2|pristanišč|e_sl
языкъ|Nb|59128|językъ|masc_o|2|język|e_sl
ити|V-|58936|jьti|jьti|1||e_sl
дьнь|Nb|58915|dьnь|den|2||e_sl
то|Df|72910|to||0|to|e_sl
пьсати|V-|60196|pьsati|52_abl|1|pьs|e_sl
сълньце|Nb|60228|sl̥nьke|nt_o_PV3|2|sl̥nьk|e_sl
съжещи|V-|68365|sъžeћi|11|1|sъžeg|ch_sl
