jьz|из 
tъgъda|тогда 
jьno|ино 
jegъda|егда 
čьto|что 
tъkъmo|токмо 
vьśegъda|вьсьегда 
kъde|кде 
mъnogo|много 
velьmi|вельми 
čьtoby|чтобы 
dońьdeže|доньдеже 
abьje|абье 
otъtolě|оттоле 
mъnogašьda|многашда 
vъskorě|вскоре 
kъde|кде 
krěpъko|крепко 
tolьko|только 
tolьko|только 
vъkupě|вкупе 
vъspätь|вспять 
vьśegъdy|вьсьегды 
vъnezaapu|внезаапу 
jьnъgъda|иногда 
otъnudь|отнудь 
kъde|кде 
vъprědъ|впред 
otъtudu|оттуду 
počьto|почто 
kupьno|купьно 
někъgъda|некогда 
priležьno|прилежно 
sъkolьko|сколько 
vъnъ|вон 
jьspṝva|исперва 
tъgъdy|тогды 
vьśьde|весььде 
dьnьsь|дьнесь 
jedъva|едва 
otъkudu|откуду 
nelьʒě|нельзье 
najьpače|найпаче 
tъgъdaže|тогдаже 
vъńegъda|внегда 
jьže|иже 
vьśačьsky|вьсячскы 
razьnо|разьно 
vъskuju|вскую 
vъně|вне 
zъlě|зле 
otъselě|отселе 
jedъva|едва 
dъvašьda|двашда 
silьnо|сильно 
trišьda|тришда 
čьstьnо|честьно 
vьśe|вьсье 
gorьko|горько 
budьto|будьто 
sьdesь|сьдесь 
kъgъda|когда 
okrьstъ|окрест 
mirьno|мирьно 
vьśako|вьсяко 
podьlě|подьле 
otъvьśudu|отовьсюду 
berežьno|бережно 
otъtuda|оттуда 
kъgъda|когда 
dostojьno|достойно 
nikъgъdaže|никогдаже 
otъnyně|отныне 
vъnutrь|внутрь 
tъkъmo|токмо 
sъpṝva|сперва 
vъdrugъ|вдруг 
divьno|дивьно 
lьgъko|легко 
sъvyše|свыше 
vъsuje|всуе 
jьskoni|искони 
vьśudu|вьсюду 
jьzdavьna|издавьна 
dobrovoĺьno|добровольно 
čudьno|чудьно 
otъtudova|оттудова 
besprěstanьno|беспрестаньно 
čьto|что 
sъtolьko|столько 
sъvьśěmь|совьсьемь 
davьno|давьно 
neperestanьno|неперестаньно 
neščadьno|нещадьно 
vъzdьlě|воздьле 
ravьno|равьно 
vъpḷně|вполне 
nadъvoje|надвое 
