id,lemma,pos,normalised,count,Mst,MstCol,NovMarg,OstrCol,RusPrav,Usp,Varl,bitflag
1,се,I-,се,190,mst,,,,rusprav,usp-sbor,varlaam,113
2,азъ,Pp,азъ,203,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,63
3,мьстиславъ,Ne,мьстіславъ,6,mst,mstislav-col,,,,usp-sbor,,35
4,володимирь,A-,володімірь,4,mst,mstislav-col,,,,usp-sbor,,35
5,сынъ,Nb,сьінъ,41,mst,mstislav-col,,,rusprav,usp-sbor,varlaam,115
6,дьржати,V-,дьржаті,6,mst,,,,rusprav,usp-sbor,,49
7,русьскыи,A-,русьскьіі,11,mst,,,,rusprav,usp-sbor,,49
8,земля,Nb,землꙗ,42,mst,,,,rusprav,usp-sbor,varlaam,113
9,въ,R-,въ,725,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
10,свои,Pt,своі,306,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,63
11,къняжение,Nb,кънꙗженіе,8,mst,mstislav-col,,,,usp-sbor,,35
12,повелѣти,V-,повелѣті,44,mst,,,,,usp-sbor,,33
13,быти,V-,бьіті,791,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
14,вьсеволодъ,Ne,вьсеволодъ,5,mst,,,,rusprav,usp-sbor,,49
15,отъдати,V-,отъдаті,8,mst,,,,rusprav,usp-sbor,,49
16,буици,Ne,буіці,1,mst,,,,,,,1
17,святыи,A-,свꙗтьіі,174,mst,mstislav-col,nov-marg,ostromir-col,,usp-sbor,varlaam,111
18,георгии,Ne,георгіі,9,mst,,,,,usp-sbor,varlaam,97
19,съ,R-,съ,214,mst,mstislav-col,,,rusprav,usp-sbor,varlaam,115
20,дань,Nb,дань,3,mst,,,,,usp-sbor,,33
21,и,C-,і,1795,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
22,вира,Nb,віра,17,mst,,,,rusprav,,,17
23,продажа,Nb,продажа,31,mst,,,,rusprav,,,17
24,даже,G-,даже,2,mst,,,,,,,1
25,которыи,Px,которьіі,7,mst,,,,rusprav,,,17
26,кънязь,Nb,кънꙗзь,71,mst,mstislav-col,,ostromir-col,rusprav,usp-sbor,,59
27,по,R-,по,216,mst,,,,rusprav,usp-sbor,,49
28,мои,Ps,моі,137,mst,,,,rusprav,usp-sbor,,49
29,почати,V-,початі,6,mst,,,ostromir-col,rusprav,,,25
30,хотѣти,V-,хотѣті,75,mst,,,,rusprav,usp-sbor,varlaam,113
31,отъяти,V-,отъꙗті,3,mst,,,,,usp-sbor,varlaam,97
32,у,R-,у,40,mst,,,,rusprav,usp-sbor,,49
33,а,C-,а,292,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
34,богъ,Nb,богъ,173,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,63
35,за,R-,за,107,mst,,,,rusprav,usp-sbor,varlaam,113
36,тыи,Pd,тьіі,583,mst,,,,rusprav,usp-sbor,varlaam,113
37,богородица,Nb,богородіца,25,mst,mstislav-col,nov-marg,,,usp-sbor,,39
38,и,Pp,і,1018,mst,mstislav-col,,ostromir-col,rusprav,usp-sbor,varlaam,123
39,отъимати,V-,отъіматі,1,mst,,,,,,,1
40,ты,Pp,тьі,125,mst,,nov-marg,ostromir-col,rusprav,usp-sbor,,61
41,игуменъ,Nb,ігуменъ,28,mst,,,,,usp-sbor,,33
42,исаия,Ne,ісаіꙗ,2,mst,,,,,usp-sbor,,33
43,вы,Pp,вьі,57,mst,mstislav-col,,,,usp-sbor,,35
44,братия,Nb,братіꙗ,129,mst,mstislav-col,nov-marg,,rusprav,usp-sbor,varlaam,119
45,донелѣже,G-,донелѣже,2,mst,,,,rusprav,,,17
46,себе,Pk,себе,715,mst,mstislav-col,nov-marg,,rusprav,usp-sbor,,55
47,миръ,Nb,міръ,27,mst,,,,,usp-sbor,,33
48,състояти,V-,състоꙗті,1,mst,,,,,,,1
49,молити,V-,моліті,86,mst,,,ostromir-col,,usp-sbor,,41
50,дѣтя,Nb,дѣтꙗ,20,mst,,,,rusprav,usp-sbor,,49
51,къто,Px,къто,68,mst,,,,rusprav,usp-sbor,varlaam,113
52,изоостати,V-,ізоостаті,1,mst,,,,,,,1
53,манастырь,Nb,манастьірь,103,mst,,,,,usp-sbor,,33
54,то,Df,то,209,mst,mstislav-col,,ostromir-col,rusprav,usp-sbor,,59
55,дължьныи,A-,дължьньіі,2,mst,,,,rusprav,,,17
56,мы,Pp,мьі,84,mst,,,,,usp-sbor,,33
57,при,R-,прі,8,mst,,,,rusprav,usp-sbor,,49
58,животъ,Nb,жівотъ,6,mst,,,,,usp-sbor,,33
59,съмьрть,Nb,съмьрть,22,mst,,,,rusprav,usp-sbor,,49
60,язъ,Pp,ꙗзъ,2,mst,,,,rusprav,,,17
61,дати,V-,даті,57,mst,,,,rusprav,usp-sbor,varlaam,113
62,рука,Nb,рука,40,mst,,,,rusprav,usp-sbor,,49
63,и,Df,і,242,mst,mstislav-col,,ostromir-col,rusprav,usp-sbor,,59
64,осеньнии,A-,осеньніі,1,mst,,,,,,,1
65,полюдие,Nb,полюдіе,1,mst,,,,,,,1
66,даровьныи,A-,даровьньіі,1,mst,,,,,,,1
67,полъ#1,Nb,полъ#1,7,mst,,,,rusprav,,,17
68,третии,Mo,третіі,7,mst,,,,rusprav,,,17
69,десять,Ma,десꙗть,13,mst,,,,rusprav,usp-sbor,,49
70,гривьна,Nb,грівьна,98,mst,,,,rusprav,usp-sbor,,49
71,же,Df,же,756,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
72,я,Pp,ꙗ,1,mst,,,,,,,1
73,блюдо,Nb,блюдо,2,mst,,,,,,,1
74,сьребрьныи,A-,сьребрьньіі,1,mst,,,,,,,1
75,тридесяте,Ma,трідесꙗте,12,mst,,,,rusprav,,,17
76,сьребро,Nb,сьребро,5,mst,mstislav-col,,,,usp-sbor,,35
77,велѣти,V-,велѣті,15,mst,,,,rusprav,usp-sbor,,49
78,бити,V-,біті,17,mst,,,,rusprav,usp-sbor,,49
79,на,R-,на,442,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
80,обѣдъ,Nb,обѣдъ,10,mst,,,,,usp-sbor,,33
81,коли,Dq,колі,1,mst,,,,,,,1
82,обѣдати,V-,обѣдаті,1,mst,,,,,,,1
83,запъртити,V-,запъртіті,1,mst,,,,,,,1
84,или,C-,ілі,102,mst,,,,rusprav,usp-sbor,varlaam,113
85,сии,Pd,сіі,346,mst,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,varlaam,127
86,да#1,Df,да#1,48,mst,,,,,usp-sbor,,33
87,судити,V-,судіті,6,mst,,,,rusprav,usp-sbor,,49
88,дьнь,Nb,дьнь,120,mst,,,,rusprav,usp-sbor,,49
89,пришьствие,Nb,прішьствіе,1,mst,,,,,,,1
90,господь,Nb,господь,105,,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,62
91,отьць,Nb,отьць,195,,mstislav-col,nov-marg,ostromir-col,rusprav,usp-sbor,,62
92,нашь,Ps,нашь,127,,mstislav-col,,,,usp-sbor,,34
93,авраамовъ,A-,авраамовъ,1,,mstislav-col,,,,,,2
94,исаковъ,A-,ісаковъ,1,,mstislav-col,,,,,,2
95,ияковль,A-,іꙗковль,1,,mstislav-col,,,,,,2
96,сѣмя,Nb,сѣмꙗ,3,,mstislav-col,,,,usp-sbor,,34
97,правьдьныи,A-,правьдьньіі,11,,mstislav-col,,,,usp-sbor,,34
98,съподобити,V-,съподобіті,22,,mstislav-col,,ostromir-col,,usp-sbor,,42
99,грѣшьныи,A-,грѣшьньіі,13,,mstislav-col,nov-marg,,,usp-sbor,,38
100,рабъ,Nb,рабъ,22,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
101,алекса,Ne,алекса,2,,mstislav-col,,,,,,2
102,написати,V-,напісаті,9,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
103,евангелие,Nb,евангеліе,18,,mstislav-col,,ostromir-col,,usp-sbor,,42
104,благовѣрьныи,A-,благовѣрьньіі,5,,mstislav-col,,,,usp-sbor,,34
105,христолюбивыи,A-,хрістолюбівьіі,6,,mstislav-col,,,,usp-sbor,,34
106,чьстити,V-,чьстіті,2,,mstislav-col,,,,usp-sbor,,34
107,феодоръ,Ne,феодоръ,6,,mstislav-col,,,,usp-sbor,,34
108,мирьскы,Df,мірьскьі,4,,mstislav-col,nov-marg,ostromir-col,,,,14
109,вънукъ,Nb,вънукъ,2,,mstislav-col,,,,usp-sbor,,34
110,вьсеволожь,A-,вьсеволожь,1,,mstislav-col,,,,,,2
111,новъгородьскыи,A-,новъгородьскьіі,1,,mstislav-col,,,,,,2
112,иже,Pr,іже,225,,mstislav-col,,ostromir-col,rusprav,usp-sbor,varlaam,122
113,съвьршити,V-,съвьршіті,5,,mstislav-col,,,,usp-sbor,,34
114,благословение,Nb,благословеніе,13,,mstislav-col,,ostromir-col,,usp-sbor,,42
115,прѣсвятыи,A-,прѣсвꙗтьіі,5,,mstislav-col,,,,usp-sbor,,34
116,чистыи,A-,чістьіі,17,,mstislav-col,,,,usp-sbor,,34
117,владычица,Nb,владьічіца,4,,mstislav-col,,,,usp-sbor,,34
118,даяти,V-,даꙗті,15,,mstislav-col,,ostromir-col,rusprav,usp-sbor,,58
119,милость,Nb,мілость,12,,mstislav-col,,,rusprav,usp-sbor,,50
120,наслѣдие,Nb,наслѣдіе,1,,mstislav-col,,,,,,2
121,цѣсарьство,Nb,цѣсарьство,4,,mstislav-col,,,,usp-sbor,,34
122,небесьныи,A-,небесьньіі,22,,mstislav-col,,ostromir-col,,usp-sbor,,42
123,дълголѣтьныи,A-,дълголѣтьньіі,1,,mstislav-col,,,,,,2
124,вьсь,Px,вьсь,294,,mstislav-col,,ostromir-col,rusprav,usp-sbor,varlaam,122
125,аминъ,I-,амінъ,13,,mstislav-col,nov-marg,ostromir-col,,usp-sbor,,46
126,почитати,V-,почітаті,6,,mstislav-col,,ostromir-col,,usp-sbor,,42
127,аще,G-,аще,79,,mstislav-col,,,rusprav,usp-sbor,varlaam,114
128,къдѣ,Df,къдѣ,9,,mstislav-col,,,rusprav,usp-sbor,,50
129,кривыи,A-,крівьіі,1,,mstislav-col,,,,,,2
