за|R-|60217|za||0|za
молитва|Nb|59126|modlitva|fem_a|2|modlitv
святыи|A-|58910|svętъ|adj_hard|2|svęt
отьць|Nb|58993|otьkь|masc_o_PV3|2|otьk
нашь|Ps|58994|našь|pron_soft|2|naš
господь|Nb|58858|gospodь|masc_i|2|gospod
исусъ|Ne|58917|jisusъ|masc_o_u|2|jisus
христ(ос)ъ|Ne|64943|xristosъ|masc_o|2|xristos
сынъ|Nb|146309|synъ|masc_u|2|syn
божии|A-|59032|božьjь|adj_ij|2|božьj
помиловати|V-|59746|pomilovati|61|1|pomil
азъ|Pp|65657|azъ|azъ|2|
рабъ|Nb|59499|orbъ|masc_o|2|orb
свои|Pt|58780|svojь|pron_soft|2|svoj
грѣшьныи|A-|65090|grěšьnъ|adj_hard|2|grěšьn
се|I-|73462|se||0|se
море|Nb|59046|moŕe|nt_jo|2|morj
третии|Mo|60061|tretьjь|adj_soft_ord|2|tretьj
чьрныи|A-|66274|čŕ̥nъ|adj_hard|2|čŕ̥n
отъ|R-|58785|otъ||0|otъ
съпасъ|Nb|67649|sъpasъ|masc_o|2|sъpas
съ|R-|58764|sъ||0|sъ
и|Pp|58765|jь|jь|2|
милость|Nb|67655|milostь|fem_i|2|milost
великыи|A-|64122|velikъ|adj_hard|2|velik
кънязь|Nb|66500|kъnęgь|masc_o_PV3|2|kъnęg
и|C-|58771|i||0|i
владыка|Nb|67715|voldyka|masc_a|2|voldyk
на|R-|58783|na||0|na
низъ|Df|65894|nizъ||0|nizъ
приити|V-|58916|prijьti|jьti|1|pri
въ|R-|58774|vъ||0|vъ
къ|R-|58898|kъ||0|kъ
троица|Nb|81589|trojika|fem_a_PV3|2|trojik
мученикъ|Nb|80871|mǫčenikъ|masc_o|2|mǫčenik
у|R-|65994|u||0|u
себе|Pk|58829|sę|sę|2|
благословити|V-|59043|bolgosloviti|40|1|bolgoslov
из|R-|59088|jьz|voice_assim_prep|0|jьz
отъпустити|V-|59335|otъpustiti|40|1|otъpust
вьсь|Px|58821|vьxь|vьxь|2|vьx
нижьнии|A-|69369|nižьńь|adj_soft|2|nižьnj
намѣстьникъ|Nb|119940|naměstьnikъ|masc_o|2|naměstьnik
а|C-|58820|a||0|a
городъ|Nb|59272|gordъ|masc_o|2|gord
жьдати|V-|67616|žьdati|51_abl|1|žьd
дъва|Ma|59285|dъva|pron_hard|2|dъv
быти|V-|58773|byti|byti|1|
рѣка|Nb|65710|rěka|fem_a|2|rěk
ту|Df|58946|tu||0|tu
съказати|V-|750005|sъkazati|52|1|sъkaz
лъживыи|A-|150735|lъživъ|adj_hard|2|lъživ
вѣсть|Nb|67810|věstь|fem_i|2|věst
стеречи|V-|67693|sterћi|11|1|sterg
дати|V-|58843|dati|dati|1|
да|C-|71813|da||0|da
по|R-|58960|po||0|po
онъ|Pd|58949|onъ|pron_hard|2|on
възяти|V-|64330|vъzęti|12|1|vъzьm
цѣсарь|Nb|64252|kěsaŕь|masc_ar|2|kěsarj
и|Df|58901|i||0|i
мѣсяць|Nb|67342|měsękь|masc_o_PV3|2|měsęk
ночь|Nb|59412|noћь|fem_i|2|nokt
видѣти|V-|58918|viděti|viděti|1|vid
не|Df|58767|ne||0|ne
бѣгати|V-|64415|běgati|54|1|běga
посълати|V-|58932|posъlati|52|1|posъl
грѣхъ|Nb|58872|grěxъ|masc_o|2|grěx
постигнути|V-|68618|postignǫti|21|1|postig
человѣкъ|Nb|59198|čьlověkъ|masc_o|2|čьlověk
мьнии|A-|65353|mьńь|adj_soft_comp|2|mьnj
стати|V-|64253|stati|stati|1|
часъ|Nb|59077|čǢsъ|masc_o|2|čǢs
мои|Ps|58929|mojь|pron_soft|2|moj
доити|V-|750004|dojьti|jьti|1|do
до|R-|64398|do||0|do
четыре|Ma|64273|četyre|four|2|četyr
голова|Nb|59515|golva|fem_a|2|golv
одинъ|Ma|58827|jedinъ|pron_hard|2|jedin
десять|Ma|59079|desętь|ten|2|desęt
шесть|Ma|65096|šestь|fem_i|2|šest
въстати|V-|60145|vъstati|stati|1|vъ
разбити|V-|68964|orzbiti|17|1|orzb
о|R-|58881|o||0|o
берегъ|Nb|59426|bergъ|masc_o|2|berg
поимати|V-|66269|pojьmati|52_abl|1|pojьm
съдоровыи|A-|65557|sъdorvъ|adj_hard|2|sъdorv
бити|V-|59504|biti|17|1|b
чьто|Pr|59430|čьto||0|čьto
подъ|R-|64426|podъ||0|podъ
гора|Nb|58899|gora|fem_a|2|gor
скоро|Df|66226|skoro||0|skoro
твои|Ps|58814|tvojь|pron_soft|2|tvoj
ты|Pp|59289|ty|ty|2|
събьрати|V-|60182|sъbьrati|51_abl|1|sъbьr
занеже|G-|68944|zańeže||0|zanježe
имя|Nb|58990|jьmę|nt_N|2|jьm
чьто|Px|60110|čьto|čьto|2|
стояти|V-|58945|stojǢti|31|1|stoj
чьто|Pi|58943|čьto|čьto|2|
мъногыи|A-|58961|mъnogъ|adj_hard|2|mъnog
розити|V-|69511|orzjьti|jьti|1|orz
кыи|Px|69448|kъjь|kъjь|2|k
дължьныи|A-|67454|dl̥žьnъ|adj_hard|2|dl̥žьn
око|Nb|58813|oko|oko|2|ok
понести|V-|67054|ponesti|11|1|pones
