wiki_form|generated_match|lcs_match|match_desinence_idx|match_code
а́вгуст||||masc_o|0
а́вгусты||||masc_o|0
а́вгуста||||masc_o|0
а́вгустов||||masc_o|0
а́вгусту||||masc_o|0
а́вгустам||||masc_o|0
а́вгустом||||masc_o|0
а́вгустами||||masc_o|0
а́вгусте||||masc_o|0
а́вгустах||||masc_o|0
а́вгуст||||masc_o|0
а́вгусты||||masc_o|0
а́вгуста||||masc_o|0
а́вгустов||||masc_o|0
а́вгусту||||masc_o|0
а́вгустам||||masc_o|0
а́вгустом||||masc_o|0
а́вгустами||||masc_o|0
а́вгусте||||masc_o|0
а́вгустах||||masc_o|0
а́гнец|агнец|agnьkь|1|masc_o_PV3|1
а́гнцы||||masc_o_PV3|0
а́гнца|агнца|agnьka|3|masc_o_PV3|1
а́гнцев|агнцев|agnьkevъ|17|masc_o_PV3|1
а́гнцу|агнцу|agnьku|4|masc_o_PV3|1
а́гнцам|агнцам|agnьkamъ|18|masc_o_PV3|1
а́гнцем|агнцем|agnьkEmь|6|masc_o_PV3|1
а́гнцами|агнцами|agnьkami|20|masc_o_PV3|1
а́гнце|агнце|agnьkę̌|16|masc_o_PV3|1
а́гнцах|агнцах|agnьkaxъ|19|masc_o_PV3|1
а́дов|адов|adovъ|7|adj_hard|1
а́дово|адово|adovo|49|adj_hard|1
а́дова|адова|adova|8|adj_hard|1
а́довы|адовы|adovy|21|adj_hard|1
а́довой|адовой|adovъjь|1|adj_hard|1
а́довых|адовых|adovyxъ|17|adj_hard|1
а́дову|адову|adovu|10|adj_hard|1
а́довым|адовым|adovymь|6|adj_hard|1
а́довою|адовою|adovojǫ|27|adj_hard|1
а́довыми|адовыми|adovymi|20|adj_hard|1
а́довом|адовом|adovomь|5|adj_hard|1
а́збука||||fem_uu|0
а́збуки|азбуки|azъbuky|22|fem_uu|1
а́збук||||fem_uu|0
а́збуке||||fem_uu|0
а́збукам||||fem_uu|0
а́збуку||||fem_uu|0
а́збукой||||fem_uu|0
а́збукою||||fem_uu|0
а́збуками||||fem_uu|0
а́збуках||||fem_uu|0
алка́ние||||nt_jo|0
алка́ния||||nt_jo|0
алка́ний||||nt_jo|0
алка́нию||||nt_jo|0
алка́ниям||||nt_jo|0
алка́нием||||nt_jo|0
алка́ниями||||nt_jo|0
алка́нии||||nt_jo|0
алка́ниях||||nt_jo|0
алка́ю||||52|0
алка́ем||||52|0
алка́ешь||||52|0
алка́ете||||52|0
алка́ет||||52|0
алка́ют||||52|0
алка́л||||52|0
алка́ли||||52|0
алка́ла||||52|0
алка́ло||||52|0
алка́й||||52|0
алка́йте||||52|0
алка́ющий||||52|0
алка́вший||||52|0
алка́емый||||52|0
алка́я||||52|0
алка́в||||52|0
алка́вши||||52|0
а́лчу||||52|0
а́лчем||||52|0
а́лчешь||||52|0
а́лчете||||52|0
а́лчет||||52|0
а́лчут||||52|0
алка́л||||52|0
алка́ли||||52|0
алка́ла||||52|0
алка́ло||||52|0
а́лчь||||52|0
а́лчьте||||52|0
а́лчущий||||52|0
алка́вший||||52|0
а́лчемый||||52|0
а́лча||||52|0
алка́в||||52|0
алка́вши||||52|0
алта́рь||||masc_jo|0
алтари́||||masc_jo|0
алтаря́||||masc_jo|0
алтаре́й||||masc_jo|0
алтарю́||||masc_jo|0
алтаря́м||||masc_jo|0
алтарём||||masc_jo|0
алтаря́ми||||masc_jo|0
алтаре́||||masc_jo|0
алтаря́х||||masc_jo|0
а́лчный||||adj_hard|0
а́лчное||||adj_hard|0
а́лчная||||adj_hard|0
