wiki_form|generated_match|lcs_match|match_desinence_idx|lcs_infl_class|oes_lemma|match_code
а́вгуст|август|avъgustъ|1|masc_o|Nbавъгустъ|1
а́вгусты|августы|avъgusty|16|masc_o|Nbавъгустъ|1
а́вгуста|августа|avъgusta|3|masc_o|Nbавъгустъ|1
а́вгустов|августов|avъgustovъ|17|masc_o|Nbавъгустъ|1
а́вгусту|августу|avъgustu|4|masc_o|Nbавъгустъ|1
а́вгустам|августам|avъgustamъ|18|masc_o|Nbавъгустъ|1
а́вгустом|августом|avъgustOmь|6|masc_o|Nbавъгустъ|1
а́вгустами|августами|avъgustami|20|masc_o|Nbавъгустъ|1
а́вгусте|августе|avъgustě|5|masc_o|Nbавъгустъ|1
а́вгустах|августах|avъgustaxъ|19|masc_o|Nbавъгустъ|1
а́гнец|агнец|agnьkь|1|masc_o_PV3|Nbагньць|1
а́гнцы|агнцы|agnьki|5|masc_o_PV3|Nbагньць|1
а́гнца|агнца|agnьka|3|masc_o_PV3|Nbагньць|1
а́гнцев|агнцев|agnьkevъ|17|masc_o_PV3|Nbагньць|1
а́гнцу|агнцу|agnьku|4|masc_o_PV3|Nbагньць|1
а́гнцам|агнцам|agnьkamъ|18|masc_o_PV3|Nbагньць|1
а́гнцем|агнцем|agnьkEmь|6|masc_o_PV3|Nbагньць|1
а́гнцами|агнцами|agnьkami|20|masc_o_PV3|Nbагньць|1
а́гнце|агнце|agnьkę̌|16|masc_o_PV3|Nbагньць|1
а́гнцах|агнцах|agnьkaxъ|19|masc_o_PV3|Nbагньць|1
а́дов|адов|adovъ|7|adj_hard|A-адовъ|1
а́дово|адово|adovo|49|adj_hard|A-адовъ|1
а́дова|адова|adova|8|adj_hard|A-адовъ|1
а́довы|адовы|adovy|21|adj_hard|A-адовъ|1
а́довой|адовой|adovъjь|1|adj_hard|A-адовъ|1
а́довых|адовых|adovyxъ|17|adj_hard|A-адовъ|1
а́дову|адову|adovu|10|adj_hard|A-адовъ|1
а́довым|адовым|adovymь|6|adj_hard|A-адовъ|1
а́довою|адовою|adovojǫ|27|adj_hard|A-адовъ|1
а́довыми|адовыми|adovymi|20|adj_hard|A-адовъ|1
а́довом|адовом|adovomь|5|adj_hard|A-адовъ|1
а́збука||||fem_uu|Nbазъбука|0
а́збуки|азбуки|azъbuky|22|fem_uu|Nbазъбука|1
а́збук||||fem_uu|Nbазъбука|0
а́збуке||||fem_uu|Nbазъбука|0
а́збукам||||fem_uu|Nbазъбука|0
а́збуку||||fem_uu|Nbазъбука|0
а́збукой||||fem_uu|Nbазъбука|0
а́збукою||||fem_uu|Nbазъбука|0
а́збуками||||fem_uu|Nbазъбука|0
а́збуках||||fem_uu|Nbазъбука|0
алка́ние||||nt_jo|Nbалъкание|0
алка́ния||||nt_jo|Nbалъкание|0
алка́ний||||nt_jo|Nbалъкание|0
алка́нию||||nt_jo|Nbалъкание|0
алка́ниям||||nt_jo|Nbалъкание|0
алка́нием||||nt_jo|Nbалъкание|0
алка́ниями||||nt_jo|Nbалъкание|0
алка́нии||||nt_jo|Nbалъкание|0
алка́ниях||||nt_jo|Nbалъкание|0
алка́ю|алкаю|alъkajǫ|1|54|V-алъкати#2|1
алка́ем|алкаем|alъkajemъ|7|54|V-алъкати#2|1
алка́ешь|алкаешь|alъkaješь|2|54|V-алъкати#2|1
алка́ете|алкаете|alъkajete|6|54|V-алъкати#2|1
алка́ет|алкает|alъkajetQ|3|54|V-алъкати#2|1
алка́ют|алкают|alъkajǫtQ|9|54|V-алъкати#2|1
