torot_word|pos|morph_tag|deep_cleaned|lemma|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged|subtitle_short|book_no|chapter|verse|variant_no
Кьнігъі|||кьнігъі||5000000| | |10|1|1|MATT 1.1|1|1|1|1
р҃одства|||родства||5000000|| |10|1|1|MATT 1.1|1|1|1|1
и҃ѵ҃хва|||іухва||5000000|| · |10|1|1|MATT 1.1|1|1|1|1
с҃на|||сна||5000000|| |10|1|1|MATT 1.1|1|1|1|1
д҃два|||ддва||5000000|| · |10|1|1|MATT 1.1|1|1|1|1
с҃на|||сна||5000000|| |10|1|1|MATT 1.1|1|1|1|1
Авраа̄мл̄ѣ|||авраамлѣ||5000000|| ·|10|1|1|MATT 1.1|1|1|1|1
Авраа̄мъ|||авраамъ||5000001| | |10|1|1|MATT 1.2|1|1|2|1
роди|||роді||5000001|| |10|1|1|MATT 1.2|1|1|2|1
ӣсаа̄ка|||ісаака||5000001|| · |10|1|1|MATT 1.2|1|1|2|1
Ӣсаа̄кь|||ісаакь||5000001|| |10|1|1|MATT 1.2|1|1|2|1
же|||же||5000001|| |10|1|1|MATT 1.2|1|1|2|1
роді|||роді||5000001|| |10|1|1|MATT 1.2|1|1|2|1
ӣа̄ко̄ва|||іакова||5000001|| · |10|1|1|MATT 1.2|1|1|2|1
ӣа̄ковъ|||іаковъ||5000001|| |10|1|1|MATT 1.2|1|1|2|1
же|||же||5000001|| |10|1|1|MATT 1.2|1|1|2|1
роді|||роді||5000001|| |10|1|1|MATT 1.2|1|1|2|1
Ӣю̄дѫ|||іюдѫ||5000001|| |10|1|1|MATT 1.2|1|1|2|1
ӣ|||і||5000001|| |10|1|1|MATT 1.2|1|1|2|1
братіѭ̄|||братіѭ||5000001|| |10|1|1|MATT 1.2|1|1|2|1
е̄го|||его||5000001|| ·|10|1|1|MATT 1.2|1|1|2|1
И҅ю̄да|||іюда||5000002| | |10|1|1|MATT 1.3|1|1|3|1
же|||же||5000002|| |10|1|1|MATT 1.3|1|1|3|1
роді|||роді||5000002|| |10|1|1|MATT 1.3|1|1|3|1
фареса|||фареса||5000002|| |10|1|1|MATT 1.3|1|1|3|1
ӣ|||і||5000002|| |10|1|1|MATT 1.3|1|1|3|1
зара|||зара||5000002|| · |10|1|1|MATT 1.3|1|1|3|1
ѡ̄̄тъ|||отъ||5000002|| |10|1|1|MATT 1.3|1|1|3|1
тамаръи|||тамаръі||5000002|| · |10|1|1|MATT 1.3|1|1|3|1
фаресъ|||фаресъ||5000002|| |10|1|1|MATT 1.3|1|1|3|1
же|||же||5000002|| |10|1|1|MATT 1.3|1|1|3|1
роді|||роді||5000002|| |10|1|1|MATT 1.3|1|1|3|1
