torot_word|pos|lemma|morph_tag|deep_cleaned|lemma_id|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged
о|R-|о|---------n|о|1|309985|| |1|1|0
писменехь|Nb|писмѧ|-p---nl--i|пісменехь|2|309985|| |1|1|0
чръноризца|Nb|чрьноризьць|-s---mg--i|чрънорізца|3|309985|| |1|1|0
Xрабъра|Ne|храбъръ|-s---mg--i|храбъра|4|309985|| |1|1|0
Прѣжде|Df|прѣжде|---------n|прѣжде|5|309986|| |1|1|0
ѹбѡ|Df|оубо|---------n|оубо|6|309986|| |1|1|0
словѣне|Nb|словѣне|-p---mn--i|словѣне|7|309986|| |1|1|0
не|Df|не|---------n|не|8|309986|| |1|1|0
имѣхѫ|V-|имѣти|3piia----i|імѣхѫ|9|309986|| |1|1|0
книгъ|Nb|кънигꙑ|-p---fg--i|кнігъ|10|309986||. |1|1|0
нѫ|C-|нъ|---------n|нѫ|11|309986|| |1|1|0
чрътами|Nb|чрьта|-p---fi--i|чрътамі|12|309986|| |1|1|0
и|C-|и|---------n|і|13|309986|| |1|1|0
рѣзами|Nb|рѣза|-p---fi--i|рѣзамі|14|309986|| |1|1|0
чьтѣхѫ|V-|чисти|3piia----i|чьтѣхѫ|15|309986|| |1|1|0
и|C-|и|---------n|і|13|309986|| |1|1|0
гатаахѫ|V-|гадати|3piia----i|гатаахѫ|16|309986|| |1|1|0
погани|A-|поганъ|-s---mnpsi|погані|17|309986|| |1|1|0
сѫще|V-|бꙑти|-pppamn-si|сѫште|18|309986||. |1|1|0
кръстивше|V-|крьстити|-pupamn-si|кръстівше|19|309987|| |1|1|0
же|Df|же|---------n|же|20|309987|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|309987||, |1|1|0
римꙿсками|A-|римьскъ|-p---fipsi|рімскамі|22|309987|| |1|1|0
и|C-|и|---------n|і|13|309987|| |1|1|0
гръчьскꙑми|A-|грьчьскъ|-p---nipwi|гръчьскъімі|23|309987|| |1|1|0
писменꙑ|Nb|писмѧ|-p---ni--i|пісменъі|2|309987||, |1|1|0
нѫждаахѫ|V-|нѫдити|3piia----i|нѫждаахѫ|24|309987|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|309987|| |1|1|0
словѣнꙿскꙑ|Df|словѣньскꙑ|---------n|словѣнскъі|25|309987|| |1|1|0
рѣчь|Nb|рѣчь|-s---fa--i|рѣчь|26|309987|| |1|1|0
безь|R-|без|---------n|безь|27|309987|| |1|1|0
ѹстроениа|Nb|оустроѥниѥ|-s---ng--i|оустроеніа|28|309987||. |1|1|0
нѫ|C-|но|---------n|нѫ|29|309988|| |1|1|0
како|Du|како|---------n|како|30|309988|| |1|1|0
можеть|V-|мощи|3spia----i|можеть|31|309988|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|309988|| |1|1|0
писати|V-|пьсати|--pna----i|пісаті|32|309988|| |1|1|0
добрѣ|Df|добрѣ|-------p-i|добрѣ|33|309988|| |1|1|0
гръчьскꙑми|A-|грьчьскъ|-p---nipwi|гръчьскъімі|23|309988|| |1|1|0
писменꙑ|Nb|писмѧ|-p---ni--i|пісменъі|2|309988||. |1|1|0
б҃ъ|Nb|богъ|-s---mn--i|бъ|34|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
живѡтъ|Nb|животъ|-s---mn--i|жівотъ|36|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
ѕѣлѡ|Df|ѕѣло|---------n|зѣло|37|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
цр҃ковь|Nb|црькꙑ|-s---fn--i|црковь|38|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
чаание|Nb|чаꙗниѥ|-s---nn--i|чааніе|39|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
ширѡта|Nb|широта|-s---fn--i|шірота|40|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
ꙗдь|Nb|ꙗдь|-s---fn--i|ѣдь|41|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
ѫдѹ|Nb|оудъ|-s---md--i|ѫдоу|42|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
юность|Nb|юность|-s---fn--i|юность|43|309988||. |1|1|0
или|C-|или|---------n|ілі|35|309988|| |1|1|0
ѫзꙑкъ|Nb|ѩзꙑкъ|-s---mn--i|ѫзъікъ|44|309988||. |1|1|0
и|C-|и|---------n|і|13|309988|| |1|1|0
инаа|A-|инъ|-p---nnpwi|інаа|45|309988|| |1|1|0
подбнаа|A-|подобьнъ|-p---nnpwi|подбнаа|46|309988|| |1|1|0
симь|Pd|сь|-p---nd--i|сімь|47|309988||. |1|1|0
и|C-|и|---------n|і|13|309989|| |1|1|0
тако|Df|тако|---------n|тако|48|309989|| |1|1|0
бѣшѫ|V-|бꙑти|3piia----i|бѣшѫ|18|309989|| |1|1|0
многа|A-|мъногъ|-p---napsi|многа|49|309989|| |1|1|0
лѣта|Nb|лѣто|-p---na--i|лѣта|50|309989||. |1|1|0
потом|Df|потомь|---------n|потом|51|309990|| |1|1|0
же|Df|же|---------n|же|20|309990|| |1|1|0
чл҃колюбецъ|Nb|чловѣколюбьць|-s---mn--i|члколюбецъ|52|309990|| |1|1|0
б҃ъ|Nb|богъ|-s---mn--i|бъ|34|309990|| |1|1|0
строѫи|V-|строити|-sppamn-wi|строѫі|53|309990|| |1|1|0
всѣ|Px|вьсь|-p---na--i|всѣ|54|309990||. |1|1|0
и|C-|и|---------n|і|13|309990|| |1|1|0
не|Df|не|---------n|не|8|309990|| |1|1|0
ѡставлѣѫ|V-|оставлꙗти|-sppamn-si|оставлѣѫ|55|309990|| |1|1|0
чл҃ча|A-|чловѣчь|-s---mgpsi|члча|56|309990|| |1|1|0
рода|Nb|родъ|-s---mg--i|рода|57|309990|| |1|1|0
безь|R-|без|---------n|безь|27|309990|| |1|1|0
разѹма|Nb|разоумъ|-s---mg--i|разоума|58|309990||. |1|1|0
нѫ|C-|нъ|---------n|нѫ|11|309990|| |1|1|0
вꙿсѧ|Px|вьсь|-p---ma--i|всѧ|54|309990|| |1|1|0
къ|R-|къ|---------n|къ|59|309990|| |1|1|0
разѹмѹ|Nb|разоумъ|-s---md--i|разоумоу|58|309990|| |1|1|0
приводѧ|V-|приводити|-sppamn-si|пріводѧ|60|309990|| |1|1|0
и|C-|и|---------n|і|13|309990|| |1|1|0
сп҃сению|Nb|съпасениѥ|-s---nd--i|спсенію|61|309990||. |1|1|0
помиловавь|V-|помиловати|-supamn-si|поміловавь|62|309990|| |1|1|0
родъ|Nb|родъ|-s---ma--i|родъ|57|309990|| |1|1|0
чл҃чь|A-|чловѣчь|-s---mapsi|члчь|56|309990||. |1|1|0
посла|V-|посълати|3saia----i|посла|63|309990|| |1|1|0
имь|Pp|и|3p---pd--i|імь|64|309990|| |1|1|0
ст҃го|A-|свѧтъ|-s---mgpwi|стго|65|309990|| |1|1|0
кѡнстантина|Ne|константинъ|-s---mg--i|константіна|66|309990|| |1|1|0
философа|Nb|философъ|-s---mg--i|філософа|67|309990|| |1|1|0
нарицаемаго|V-|нарицати|-spppmg-wi|наріцаемаго|68|309990|| |1|1|0
кирила|Ne|кѵрилъ|-s---mg--i|кіріла|69|309990||. |1|1|0
мѫжа|Nb|мѫжь|-s---mg--i|мѫжа|70|309990|| |1|1|0
праведна|A-|правьдьнъ|-s---mgpsi|праведна|71|309990|| |1|1|0
и|C-|и|---------n|і|13|309990|| |1|1|0
истинна|A-|истиньнъ|-s---mgpsi|істінна|72|309990||. |1|1|0
и|C-|и|---------n|і|13|309991|| |1|1|0
сътвори|V-|сътворити|3saia----i|сътворі|73|309991|| |1|1|0
имъ|Pp|и|3p---pd--i|імъ|64|309991||, |1|1|0
л҃|Ma|тридесѧть|---------n|л|74|309991||. |1|1|0
писмена|Nb|писмѧ|-p---na--i|пісмена|2|309991|| |1|1|0
и|C-|и|---------n|і|13|309991|| |1|1|0
осмь|Ma|осмь|-s---fa--i|осмь|75|309991||. |1|1|0
ѡва|Pd|овъ|-p---na--i|ова|76|309992|| |1|1|0
ꙋбѡ|Df|оубо|---------n|оубо|6|309992|| |1|1|0
по|R-|по|---------n|по|77|309992|| |1|1|0
чинѹ|Nb|чинъ|-s---md--i|чіноу|78|309992|| |1|1|0
гръчьскꙑхь|A-|грьчьскъ|-p---ngpwi|гръчьскъіхь|23|309992|| |1|1|0
писменъ|Nb|писмѧ|-p---ng--i|пісменъ|2|309992||. |1|1|0
ѡва|Pd|овъ|-p---na--i|ова|76|309992|| |1|1|0
же|Df|же|---------n|же|20|309992|| |1|1|0
по|R-|по|---------n|по|77|309992|| |1|1|0
словѣнстѣи|A-|словѣньскъ|-s---fdpwi|словѣнстѣі|79|309992|| |1|1|0
рѣчи|Nb|рѣчь|-s---fd--i|рѣчі|26|309992||. |1|1|0
ѿ|R-|отъ|---------n|от|80|309993|| |1|1|0
пръваго|Mo|прьвъ|-s---ng--i|пръваго|81|309993|| |1|1|0
же|Df|же|---------n|же|20|309993|| |1|1|0
наченъ|V-|начѧти|-supamn-si|наченъ|82|309993|| |1|1|0
по|R-|по|---------n|по|77|309993|| |1|1|0
гръчьскѹ|A-|грьчьскъ|-s---mdpsi|гръчьскоу|23|309993||. |1|1|0
ѡни|Pd|онъ|-p---mn--i|оні|83|309994|| |1|1|0
ѹбо|Df|оубо|---------n|оубо|6|309994|| |1|1|0
алфа|Nb|алфа|-s---fn--i|алфа|84|309994||. |1|1|0
а|C-|а|---------n|а|85|309994|| |1|1|0
съ|Pd|сь|-s---mn--i|съ|47|309994||, |1|1|0
азъ|Nb|азъ|-s---ma--i|азъ|86|309994||. |1|1|0
ѿ|R-|отъ|---------n|от|80|309995|| |1|1|0
аза|Nb|азъ|-s---mg--i|аза|86|309995|| |1|1|0
начѧть|V-|начѧти|3saia----i|начѧть|82|309995|| |1|1|0
ѡбое|Ma|обои|-s---nn--i|обое|87|309995||. |1|1|0
и|C-|и|---------n|і|13|309996|| |1|1|0
ꙗкоже|Dq|ꙗкоже|---------n|ѣкоже|88|309996|| |1|1|0
ѡни|Pd|онъ|-p---mn--i|оні|83|309996|| |1|1|0
подобльше|V-|подобити|-pupamn-si|подобльше|89|309996|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|309996|| |1|1|0
жидовьскꙑмь|A-|жидовьскъ|-p---ndpwi|жідовьскъімь|90|309996|| |1|1|0
писменемь|Nb|писмѧ|-p---nd--i|пісменемь|2|309996|| |1|1|0
сътворишѫ|V-|сътворити|3paia----i|сътворішѫ|73|309996||, |1|1|0
тако|Df|тако|---------n|тако|48|309996|| |1|1|0
и|Df|и|---------n|і|91|309996|| |1|1|0
съ|R-|съ|---------n|съ|92|309996|| |1|1|0
гръчьскꙑмъ|A-|грьчьскъ|-s---nipwi|гръчьскъімъ|23|309996||. |1|1|0
жидове|Nb|жидовинъ|-p---mn--i|жідове|93|309997|| |1|1|0
бѡ|Df|бо|---------n|бо|94|309997|| |1|1|0
пръвое|Mo|прьвъ|-s---na--i|пръвое|81|309997|| |1|1|0
писмѧ|Nb|писмѧ|-s---na--i|пісмѧ|2|309997|| |1|1|0
имѧть|V-|имѣти|3ppia----i|імѧть|9|309997|| |1|1|0
алефь|F-|алефь|---------n|алефь|95|309997||. |1|1|0
еже|Pr|иже|-s---nn--i|еже|96|309997|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|309997|| |1|1|0
сказаеть|V-|съказати|3spia----i|сказаеть|97|309997|| |1|1|0
ѹчинение|Nb|оучинѥниѥ|-s---nn--i|оучіненіе|98|309997|| |1|1|0
съвръшаѫще|V-|съврьшати|-pppamn-si|съвръшаѫште|99|309997||. |1|1|0
въводимѹ|V-|въводити|-spppmd-si|въводімоу|100|309998|| |1|1|0
дѣтищѹ|Nb|дѣтищь|-s---md--i|дѣтіштоу|101|309998|| |1|1|0
и|C-|и|---------n|і|13|309998|| |1|1|0
гл҃ѧще|V-|глаголати|-pppamn-si|глѧште|102|309998|| |1|1|0
ꙋчи|V-|оучити|2spma----i|оучі|103|309999|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|309999||. |1|1|0
еже|Pr|иже|-s---nn--i|еже|96|310000|| |1|1|0
есть|V-|бꙑти|3spia----i|есть|18|310000|| |1|1|0
алефь|F-|алефь|---------n|алефь|95|310000||. |1|1|0
и|C-|и|---------n|і|13|310001|| |1|1|0
гръци|Nb|грьци|-p---mn--i|гръці|104|310001|| |1|1|0
подобѧще|V-|подобити|-pppamn-si|подобѧште|89|310001|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310001|| |1|1|0
томѹ|Pd|тъ|-s---nd--i|томоу|105|310001|| |1|1|0
алфа|Nb|алфа|-s---fn--i|алфа|84|310001|| |1|1|0
рѣшѫ|V-|рещи|3paia----i|рѣшѫ|106|310001||. |1|1|0
и|C-|и|---------n|і|13|310002|| |1|1|0
сподоби|V-|съподобити|3saia----i|сподобі|107|310002|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310002|| |1|1|0
речение|Nb|речениѥ|-s---nn--i|реченіе|108|310002|| |1|1|0
сказаниа|Nb|съказаниѥ|-s---ng--i|сказаніа|109|310002|| |1|1|0
жидовьска|A-|жидовьскъ|-s---ngpsi|жідовьска|90|310002|| |1|1|0
гръчьскꙋ|A-|грьчьскъ|-s---mdpsi|гръчьскоу|23|310002|| |1|1|0
ѫзꙑкѹ|Nb|ѩзꙑкъ|-s---md--i|ѫзъікоу|44|310002||. |1|1|0
да|C-|да|---------n|да|110|310003|| |1|1|0
речеть|V-|рещи|3spia----i|речеть|106|310003|| |1|1|0
дѣтищѹ|Nb|дѣтищь|-s---md--i|дѣтіштоу|101|310003|| |1|1|0
вь|R-|въ|---------n|вь|111|310003|| |1|1|0
ѹчениа|Nb|оучениѥ|-s---ng--i|оученіа|112|310003|| |1|1|0
мѣсто|Nb|мѣсто|-s---na--i|мѣсто|113|310003|| |1|1|0
ищи|V-|искати|2spma----i|ішті|114|310004|| |1|1|0
алфа|Nb|алфа|-s---fn--i|алфа|84|310005||. |1|1|0
бо|Df|бо|---------n|бо|94|310005|| |1|1|0
иши|V-|искати|2spma----i|іші|114|310005|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310005|| |1|1|0
речеть|V-|рещи|3spia----i|речеть|106|310005|| |1|1|0
гръчьскомь|A-|грьчьскъ|-s---mipsi|гръчьскомь|23|310005|| |1|1|0
ѫзꙑкомъ|Nb|ѩзꙑкъ|-s---mi--i|ѫзъікомъ|44|310005||. |1|1|0
тѣм|Pd|тъ|-p---nd--i|тѣм|105|310006|| |1|1|0
бо|Df|бо|---------n|бо|94|310006|| |1|1|0
подбѧ|V-|подобити|-sppamn-si|подбѧ|89|310006|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310006|| |1|1|0
ст҃ꙑи|A-|свѧтъ|-s---mnpwi|стъіі|65|310006|| |1|1|0
кирилъ|Ne|кѵрилъ|-s---mn--i|кірілъ|69|310006|| |1|1|0
створи|V-|сътворити|3saia----i|створі|73|310006|| |1|1|0
пръвое|Mo|прьвъ|-s---na--i|пръвое|81|310006|| |1|1|0
писмѧ|Nb|писмѧ|-s---na--i|пісмѧ|2|310006||, |1|1|0
азь|Nb|азъ|-s---ma--i|азь|86|310006||. |1|1|0
нѫ|C-|нъ|---------n|нѫ|11|310007|| |1|1|0
ꙗко|G-|ꙗко|---------n|ѣко|115|310007|| |1|1|0
и|C-|и|---------n|і|13|310007|| |1|1|0
пръвомѹ|Mo|прьвъ|-s---nd--i|пръвомоу|81|310007|| |1|1|0
сѫщѹ|V-|бꙑти|-sppand-si|сѫштоу|18|310007|| |1|1|0
писмени|Nb|писмѧ|-s---nd--i|пісмені|2|310007|| |1|1|0
азь|Nb|азъ|-s---mn--i|азь|86|310007||. |1|1|0
и|C-|и|---------n|і|13|310007|| |1|1|0
ѿ|R-|отъ|---------n|от|80|310007|| |1|1|0
б҃а|Nb|богъ|-s---mg--i|ба|34|310007|| |1|1|0
данѹ|V-|дати|-suppnd-si|даноу|116|310007|| |1|1|0
родѹ|Nb|родъ|-s---md--i|родоу|57|310007|| |1|1|0
словѣнꙿскомѹ|A-|словѣньскъ|-s---mdpsi|словѣнскомоу|79|310007|| |1|1|0
на|R-|на|---------n|на|117|310007|| |1|1|0
ѿвръстие|Nb|отъврьстиѥ|-s---na--i|отвръстіе|118|310007|| |1|1|0
ѹстъ|Nb|оуста|-p---ng--i|оустъ|119|310007||. |1|1|0
въ|R-|въ|---------n|въ|111|310007|| |1|1|0
разѹмъ|Nb|разоумъ|-s---ma--i|разоумъ|58|310007|| |1|1|0
ѹчѧщим|V-|оучѧти|-pppapd-wi|оучѧштім|120|310007|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310007|| |1|1|0
бꙋквамъ|Nb|боукꙑ|-p---fd--i|боуквамъ|121|310007|| |1|1|0
великомь|A-|великъ|-s---nipsi|велікомь|122|310007|| |1|1|0
раздвижениемь|Nb|раздвижениѥ|-s---ni--i|раздвіженіемь|123|310007|| |1|1|0
ѹстъ|Nb|оуста|-p---ng--i|оустъ|119|310007|| |1|1|0
възгласит|V-|възгласити|3spia----i|възгласіт|124|310007|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310007|| |1|1|0
а|C-|а|---------n|а|85|310008|| |1|1|0
ѡна|Pd|онъ|-p---nn--i|она|83|310008|| |1|1|0
писмена|Nb|писмѧ|-p---nn--i|пісмена|2|310008|| |1|1|0
маломъ|A-|малъ|-s---nipsi|маломъ|125|310008|| |1|1|0
раздвижениемь|Nb|раздвижениѥ|-s---ni--i|раздвіженіемь|123|310008|| |1|1|0
ѹстъ|Nb|оуста|-p---ng--i|оустъ|119|310008|| |1|1|0
възгласѧт|V-|възгласити|3ppia----i|възгласѧт|124|310008|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310008|| |1|1|0
и|C-|и|---------n|і|13|310008|| |1|1|0
исповѣдаѫт|V-|исповѣдати|3ppia----i|ісповѣдаѫт|126|310008|| |1|1|0
сѧ|Pk|себе|3s---qa--i|сѧ|21|310008||. |1|1|0
се|Pd|сь|-s---nn--i|се|47|310009|| |1|1|0
же|Df|же|---------n|же|20|310009|| |1|1|0
сѫть|V-|бꙑти|3ppia----i|сѫть|18|310009|| |1|1|0
писмена|Nb|писмѧ|-p---nn--i|пісмена|2|310009|| |1|1|0
словѣньскаа|A-|словѣньскъ|-p---nnpwi|словѣньскаа|79|310009||. |1|1|0
сице|Df|сице|---------n|сіце|127|310010|| |1|1|0
а|Pp|и|3p---na--i|а|64|310010|| |1|1|0
подбаеть|V-|подобати|3spia----i|подбаеть|128|310010|| |1|1|0
писати|V-|пьсати|--pna----i|пісаті|32|310010|| |1|1|0
и|C-|и|---------n|і|13|310010|| |1|1|0
