47,<wb>о
2264 1293 675,<wb>піс|мене|хь
1849 85 95 19 218,<wb>чръ|но|рі|з|ца
780 982,<wb>хра|бъра
536,<wb>прѣжде
222,<wb>оубо
3097 126,<wb>словѣ|не
62,<wb>не
414 187,<wb>імѣ|хѫ
1275 252,<wb>кні|гъ
2052,<wb>нѫ
1849 94 123,<wb>чръ|та|мі
39,<wb>і
306 1696,<wb>рѣ|замі
354 319 187,<wb>чь|тѣ|хѫ
39,<wb>і
480 3167,<wb>га|таахѫ
3016 60,<wb>пога|ні
2021,<wb>сѫште
4059 2515,<wb>кръсті|вше
71,<wb>же
70,<wb>сѧ
607 14 384 123,<wb>рі|м|ска|мі
39,<wb>і
1611 3028 123,<wb>гръ|чьскъі|мі
2264 206 139,<wb>піс|ме|нъі
2052 2046,<wb>нѫ|ждаахѫ
70,<wb>сѧ
3097 4241,<wb>словѣ|нскъі
3750,<wb>рѣчь
277 312,<wb>бе|зь
1864 3626 2905,<wb>оуст|рое|ніа
2052,<wb>нѫ
376,<wb>како
4050,<wb>можеть
70,<wb>сѧ
979 52,<wb>піса|ті
932,<wb>добрѣ
1611 3028 123,<wb>гръ|чьскъі|мі
2264 206 139,<wb>піс|ме|нъі
443,<wb>бъ
518,<wb>ілі
920,<wb>жівотъ
518,<wb>ілі
760,<wb>зѣло
518,<wb>ілі
476 2387,<wb>цр|ковь
518,<wb>ілі
567 3585,<wb>ча|аніе
518,<wb>ілі
4062 117 94,<wb>ші|ро|та
518,<wb>ілі
78 188,<wb>ѣ|дь
518,<wb>ілі
641 270,<wb>ѫ|доу
518,<wb>ілі
1679 214,<wb>юно|сть
518,<wb>ілі
2890 138,<wb>ѫзъі|къ
39,<wb>і
39 1027,<wb>і|наа
67 34 31 1027,<wb>по|д|б|наа
4404,<wb>сімь
39,<wb>і
311,<wb>тако
165 434,<wb>бѣ|шѫ
1022,<wb>многа
1791,<wb>лѣта
1182 14,<wb>пото|м
71,<wb>же
345 59 182 287 446,<wb>чл|ко|лю|бе|цъ
443,<wb>бъ
2951 30 16,<wb>стро|ѫ|і
572,<wb>всѣ
39,<wb>і
62,<wb>не
2437 30,<wb>оставлѣ|ѫ
345 266,<wb>чл|ча
2009,<wb>рода
277 312,<wb>бе|зь
406 143,<wb>разоу|ма
2052,<wb>нѫ
2415,<wb>всѧ
150,<wb>къ
406 88,<wb>разоу|моу
90 63 275,<wb>прі|во|дѧ
39,<wb>і
2903 690,<wb>спсе|нію
1094 2010 180,<wb>помі|лова|вь
1441,<wb>родъ
2314,<wb>члчь
4077,<wb>посла
2008,<wb>імь
251 58,<wb>ст|го
2050 163 3081 102,<wb>кон|ста|нті|на
1170 17,<wb>філософ|а
1105 143 58,<wb>наріцае|ма|го
3230 95 66,<wb>кі|рі|ла
1376,<wb>мѫжа
1000 34 102,<wb>праве|д|на
39,<wb>і
399 1542,<wb>істі|нна
39,<wb>і
261,<wb>сътворі
210,<wb>імъ
2197,<wb>л
2264 2221,<wb>піс|мена
39,<wb>і
464 106,<wb>ос|мь
47 103,<wb>о|ва
222,<wb>оубо
67,<wb>по
666 274,<wb>чі|ноу
1611 3028 675,<wb>гръ|чьскъі|хь
2264 2220,<wb>піс|менъ
47 103,<wb>о|ва
71,<wb>же
67,<wb>по
3097 10 2524,<wb>словѣ|н|стѣі
306 185,<wb>рѣ|чі
221,<wb>от
638 4231,<wb>пръ|ваго
71,<wb>же
68 1960,<wb>на|ченъ
67,<wb>по
1611 229 795,<wb>гръ|чь|скоу
609,<wb>оні
222,<wb>оубо
1712 2347,<wb>ал|фа
77,<wb>а
75,<wb>съ
290,<wb>азъ
221,<wb>от
77 230,<wb>а|за
904 133,<wb>начѧ|ть
1581 11,<wb>обо|е
39,<wb>і
308,<wb>ѣкоже
609,<wb>оні
574 31 153 82,<wb>подо|б|ль|ше
70,<wb>сѧ
3905 344 106,<wb>жідовь|скъі|мь
2264 1293 106,<wb>піс|мене|мь
261 434,<wb>сътворі|шѫ
311,<wb>тако
39,<wb>і
75,<wb>съ
1611 3028 55,<wb>гръ|чьскъі|мъ
2569,<wb>жідове
112,<wb>бо
638 1356,<wb>пръ|вое
2264 282,<wb>піс|мѧ
466 133,<wb>імѧ|ть
1463 20 25,<wb>але|ф|ь
295,<wb>еже
70,<wb>сѧ
3080 1359,<wb>сказа|еть
571 126 200,<wb>оучі|не|ніе
1144 158 30 91,<wb>съвръ|ша|ѫ|ште
56 63 89 88,<wb>въ|во|ді|моу
1907 324,<wb>дѣті|штоу
39,<wb>і
441 91,<wb>глѧ|ште
571,<wb>оучі
70,<wb>сѧ
295,<wb>еже
715,<wb>есть
1463 20 25,<wb>але|ф|ь
39,<wb>і
1611 215,<wb>гръ|ці
574 2143 91,<wb>подо|бѧ|ште
70,<wb>сѧ
650,<wb>томоу
1712 2347,<wb>ал|фа
306 434,<wb>рѣ|шѫ
39,<wb>і
40 2187,<wb>с|подобі
70,<wb>сѧ
141 200,<wb>рече|ніе
3080 2905,<wb>сказа|ніа
3905 384,<wb>жідовь|ска
1611 229 795,<wb>гръ|чь|скоу
2890 273,<wb>ѫзъі|коу
105,<wb>да
141 133,<wb>рече|ть
1907 324,<wb>дѣті|штоу
81,<wb>вь
286 17,<wb>оучені|а
707,<wb>мѣсто
3517,<wb>ішті
1712 2347,<wb>ал|фа
112,<wb>бо
39 116,<wb>і|ші
70,<wb>сѧ
141 133,<wb>рече|ть
1611 229 838 106,<wb>гръ|чь|ско|мь
2890 391,<wb>ѫзъі|комъ
330 14,<wb>тѣ|м
112,<wb>бо
67 34 2143,<wb>по|д|бѧ
70,<wb>сѧ
862,<wb>стъіі
3230 95 137,<wb>кі|рі|лъ
1711,<wb>створі
638 1356,<wb>пръ|вое
2264 282,<wb>піс|мѧ
695,<wb>азь
2052,<wb>нѫ
99,<wb>ѣко
39,<wb>і
638 63 88,<wb>пръ|во|моу
1610,<wb>сѫштоу
2264 2513,<wb>піс|мені
695,<wb>азь
39,<wb>і
221,<wb>от
422,<wb>ба
105 274,<wb>да|ноу
4402,<wb>родоу
3097 10 838 88,<wb>словѣ|н|ско|моу
68,<wb>на
1150 147 11,<wb>отвръ|сті|е
1409,<wb>оустъ
56,<wb>въ
2550,<wb>разоумъ
1408 166 14,<wb>оучѧ|шті|м
70,<wb>сѧ
710 13 103 55,<wb>боу|к|ва|мъ
367 1543,<wb>велі|комь
234 728 48 2114,<wb>раз|дві|же|ніемь
1409,<wb>оустъ
2802 32,<wb>възгласі|т
70,<wb>сѧ
77,<wb>а
1254,<wb>она
2264 2221,<wb>піс|мена
998 55,<wb>мало|мъ
234 728 48 2114,<wb>раз|дві|же|ніемь
1409,<wb>оустъ
1317 281 32,<wb>възгла|сѧ|т
70,<wb>сѧ
39,<wb>і
1031 30 32,<wb>ісповѣда|ѫ|т
70,<wb>сѧ
121,<wb>се
71,<wb>же
202 133,<wb>сѫ|ть
2264 2221,<wb>піс|мена
3097 119 3514,<wb>словѣ|нь|скаа
931,<wb>сіце
77,<wb>а
67 34 334 1359,<wb>по|д|ба|еть
979 52,<wb>піса|ті
39,<wb>і
1375,<wb>глаті
77,<wb>а
49,<wb>б
41,<wb>в
65,<wb>г
2182,<wb>дроузіі
71,<wb>же
441 133,<wb>глѧ|ть
67,<wb>по
394,<wb>что
715,<wb>есть
2197,<wb>л
39,<wb>і
2264 2220,<wb>піс|менъ
1711 137,<wb>створі|лъ
77,<wb>а
4050,<wb>можеть
70,<wb>сѧ
39,<wb>і
296 10 116 106,<wb>ме|н|ші|мь
485,<wb>того
979 52,<wb>піса|ті
308,<wb>ѣкоже
39,<wb>і
1611 215,<wb>гръ|ці
72,<wb>к
53,<wb>д
303 434 133,<wb>пі|шѫ|ть
39,<wb>і
62,<wb>не
140 275 133,<wb>вѣ|дѧ|ть
1390 259 106,<wb>колі|цѣ|мь
303 434 133,<wb>пі|шѫ|ть
1611 215,<wb>гръ|ці
715,<wb>есть
112,<wb>бо
222,<wb>оубо
72,<wb>к
53,<wb>д
2264 2220,<wb>піс|менъ
2052,<wb>нѫ
62,<wb>не
4401 118 30 32,<wb>наплъ|нѣ|ѫ|т
70,<wb>сѧ
4400,<wb>тѣмі
2105,<wb>кнігъі
2052,<wb>нѫ
1906 74,<wb>пріложі|лі
419,<wb>сѫтъ
1526 810 23 139 675,<wb>дво|гла|с|нъі|хь
77 16,<wb>а|і
39,<wb>і
56,<wb>въ
666 23 1293 9,<wb>чі|с|мене|х
71,<wb>же
65,<wb>г
38 5,<wb>|s
50,<wb>е
39,<wb>і
1077,<wb>ѳ
612 32 465,<wb>десѧ|т|ное
39,<wb>і
1077,<wb>ѳ
75 32 465,<wb>съ|т|ное
39,<wb>і
2081 30 32,<wb>събіра|ѫ|т
70,<wb>сѧ
3515,<wb>іхь
2197,<wb>л
39,<wb>і
2888,<wb>тѣмже
67,<wb>по
650,<wb>томоу
67 34 31 85,<wb>по|д|б|но
39,<wb>і
56,<wb>въ
617 235,<wb>ть|жде
1789,<wb>образъ
1711,<wb>створі
862,<wb>стъіі
3230 95 137,<wb>кі|рі|лъ
2197,<wb>л
39,<wb>і
2264 2220,<wb>піс|менъ
2182,<wb>дроузіі
71,<wb>же
441 133,<wb>глѧ|ть
1316 88,<wb>чесо|моу
71,<wb>же
202 133,<wb>сѫ|ть
3097 4241,<wb>словѣ|нскъі
2105,<wb>кнігъі
122,<wb>ні
485,<wb>того
112,<wb>бо
715,<wb>есть
443,<wb>бъ
1711 137,<wb>створі|лъ
122,<wb>ні
176,<wb>то
714 28 74,<wb>аг|г|лі
122,<wb>ні
202 133,<wb>сѫ|ть
1282,<wb>іжде
2050 60,<wb>кон|ні
99,<wb>ѣко
3905 344,<wb>жідовь|скъі
39,<wb>і
607 14 344,<wb>рі|м|скъі
39,<wb>і
1394 4241,<wb>елі|нскъі
1282,<wb>іжде
221,<wb>от
184 102,<wb>ко|на
202 133,<wb>сѫ|ть
39,<wb>і
90 30 289,<wb>прі|ѫ|тъі
202 32,<wb>сѫ|т
4047,<wb>бмъ
77,<wb>а
2182,<wb>дроузіі
51 375 133,<wb>м|нѧ|ть
99,<wb>ѣко
443,<wb>бъ
489,<wb>намъ
715,<wb>есть
1711 137,<wb>створі|лъ
2264 2221,<wb>піс|мена
39,<wb>і
62,<wb>не
140 275 32,<wb>вѣ|дѧ|т
70,<wb>сѧ
394,<wb>что
441 91,<wb>глѧ|ште
2529 1280 276,<wb>ока|ан|ніі
39,<wb>і
99,<wb>ѣко
1188 123,<wb>трі|мі
2890 148,<wb>ѫзъі|къі
715,<wb>есть
443,<wb>бъ
449 137,<wb>повелѣ|лъ
1275 212 55,<wb>кні|га|мъ
503,<wb>бъіті
308,<wb>ѣкоже
56,<wb>въ
1523 28 74,<wb>еу|г|лі
4208 133,<wb>піше|ть
39,<wb>і
165,<wb>бѣ
497 384,<wb>дъ|ска
1456 102,<wb>напіса|на
3905 344,<wb>жідовь|скъі
39,<wb>і
607 14 344,<wb>рі|м|скъі
39,<wb>і
1394 4241,<wb>елі|нскъі
77,<wb>а
3097 4241,<wb>словѣ|нскъі
1467,<wb>нѣс
390,<wb>тоу
330 14,<wb>тѣ|м
71,<wb>же
327,<wb>нѣ
202 133,<wb>сѫ|ть
3097 4241 30,<wb>словѣ|нскъі|ѫ
2105,<wb>кнігъі
221,<wb>от
422,<wb>ба
150,<wb>къ
1347,<wb>тѣмь
394,<wb>что
948 106,<wb>гле|мь
518,<wb>ілі
394,<wb>что
80 83 106,<wb>р|че|мь
150,<wb>къ
373 259 106,<wb>та|цѣ|мь
2104 123 726,<wb>безоу|мі|емь
1245,<wb>обаче
141 55,<wb>рече|мъ
221,<wb>от
251 675,<wb>ст|хь
1275 252,<wb>кні|гъ
308,<wb>ѣкоже
1270 196 14,<wb>наоучі|хо|м
70,<wb>сѧ
99,<wb>ѣко
572,<wb>всѣ
67,<wb>по
80 24 270,<wb>р|ѧ|доу
861 30 133,<wb>бъіва|ѫ|ть
221,<wb>от
422,<wb>ба
77,<wb>а
62,<wb>не
999 28 151 30,<wb>іно|г|до|ѫ
3744,<wb>нѣсть
112,<wb>бо
443,<wb>бъ
1711 137,<wb>створі|лъ
3905 384,<wb>жідовь|ска
2890 134,<wb>ѫзъі|ка
536,<wb>прѣжде
122,<wb>ні
607 14 384,<wb>рі|м|ска
122,<wb>ні
50 36 74 119 384,<wb>е|л|лі|нь|ска
2052,<wb>нѫ
159 21 344,<wb>сі|р|скъі
1948,<wb>імже
39,<wb>і
1482 55,<wb>ада|мъ
130,<wb>гла
39,<wb>і
221,<wb>от
4274,<wb>адама
156,<wb>до
1182 254,<wb>пото|па
39,<wb>і
221,<wb>от
1182 254,<wb>пото|па
2419,<wb>дондеже
443,<wb>бъ
1555 74,<wb>раздѣ|лі
2890 148,<wb>ѫзъі|къі
90,<wb>прі
251 153 169 2327 276,<wb>ст|ль|по|творе|ніі
308,<wb>ѣкоже
4208 133,<wb>піше|ть
234 181 82 85 14,<wb>раз|мѣ|ше|но|м
71,<wb>же
154 2515 106,<wb>бъі|вше|мь
2890 391,<wb>ѫзъі|комъ
39,<wb>і
308,<wb>ѣкоже
70,<wb>сѧ
2890 215,<wb>ѫзъі|ці
234 181 129 434,<wb>раз|мѣ|сі|шѫ
311,<wb>тако
39,<wb>і
45 61 111,<wb>н|ра|ві
39,<wb>і
1751 11,<wb>объіча|е
39,<wb>і
73 880,<wb>оу|ставі
39,<wb>і
525 60,<wb>зако|ні
39,<wb>і
2142 890 147,<wb>хъі|тро|сті
68,<wb>на
2890 148,<wb>ѫзъі|къі
50 2082 37 319 85 14,<wb>е|гі|п|тѣ|но|м
71,<wb>же
291 206 4398 174 200,<wb>зе|ме|лмѣ|ре|ніе
77,<wb>а
360 21 1093,<wb>пе|р|сомъ
39,<wb>і
1236 36 79 1321,<wb>ха|л|де|омъ
39,<wb>і
77 129 174 1321,<wb>а|сі|ре|омъ
3054 151 229 54 200,<wb>звѣз|до|чь|те|ніе
1693 2 146 200,<wb>вль|ш|ве|ніе
460 83 3837,<wb>вра|че|ваніе
567 3537 2905,<wb>ча|рова|ніа
39,<wb>і
572,<wb>всѣ
2142 890 214,<wb>хъі|тро|сть
345 266,<wb>чл|ча
1109 63 14,<wb>жідо|во|м
71,<wb>же
490 30,<wb>стъі|ѫ
2105,<wb>кнігъі
81,<wb>вь
122 9 48,<wb>ні|х|же
715,<wb>есть
2141,<wb>пісано
99,<wb>ѣко
443,<wb>бъ
2140,<wb>нбо
1711,<wb>створі
39,<wb>і
1485,<wb>землѧ
39,<wb>і
572,<wb>всѣ
494,<wb>ѣже
68,<wb>на
1079,<wb>неі
39,<wb>і
2316,<wb>члка
39,<wb>і
572,<wb>всѣ
67,<wb>по
80 24 270,<wb>р|ѧ|доу
308,<wb>ѣкоже
4208 133,<wb>піше|ть
1394 687,<wb>елі|номъ
369 143 52 1423 24,<wb>гра|ма|ті|кі|ѧ
607 115 95 1423 24,<wb>рі|то|рі|кі|ѧ
1170 16 30,<wb>філософ|і|ѫ
2052,<wb>нѫ
536,<wb>прѣжде
387,<wb>сего
50 36 74 60,<wb>е|л|лі|ні
62,<wb>не
414 187,<wb>імѣ|хѫ
725,<wb>своімъ
2890 1543,<wb>ѫзъі|комь
2264 3422,<wb>піс|мен
2052,<wb>нѫ
757 2385 344 123,<wb>фі|нічь|скъі|мі
2264 206 139,<wb>піс|ме|нъі
979 187,<wb>піса|хѫ
149 30,<wb>сво|ѫ
159,<wb>сі
3750,<wb>рѣчь
39,<wb>і
311,<wb>тако
165 434,<wb>бѣ|шѫ
1022,<wb>многа
1791,<wb>лѣта
198 2808 188,<wb>па|намі|дь
71,<wb>же
902 235,<wb>послѣ|жде
872,<wb>прішедъ
68 1960,<wb>на|ченъ
221,<wb>от
1712 20 46,<wb>ал|ф|ъі
39,<wb>і
167 289,<wb>ві|тъі
38 5 16,<wb>|s|і
2264 2220,<wb>піс|менъ
1644,<wb>тъкмо
50 36 74 687,<wb>е|л|лі|номъ
1128,<wb>обрѣте
3414,<wb>прѣложі
71,<wb>же
210,<wb>імъ
332 188 55,<wb>ка|дь|мъ
195 74 1481,<wb>мі|лі|сіі
2264 2221,<wb>піс|мена
65,<wb>г
330 14,<wb>тѣ|м
71,<wb>же
1022,<wb>многа
1791,<wb>лѣта
1077 16,<wb>ѳ|і
2264 206 139,<wb>піс|ме|нъі
979 216,<wb>піса|ахѫ
39,<wb>і
3900,<wb>потомъ
796 60 113,<wb>сімо|ні|дъ
1501,<wb>обрѣтъ
1906,<wb>пріложі
3469,<wb>двѣ
2264 2513,<wb>піс|мені
4415 432 606,<wb>епі|ха|ріі
71,<wb>же
3080 1319,<wb>сказа|тель
65,<wb>г
2264 2221,<wb>піс|мена
1128,<wb>обрѣте
39,<wb>і
2805,<wb>събра
70,<wb>сѧ
3515,<wb>іхь
72,<wb>к
53,<wb>д
67,<wb>по
1613 9,<wb>мнозѣ|х
71,<wb>же
486 319 675,<wb>лѣ|тѣ|хь
428 12 60 173,<wb>ді|о|ні|съ
369 143 52 138,<wb>гра|ма|ті|къ
38 5,<wb>|s
1526 810 23 139 675,<wb>дво|гла|с|нъі|хь
1128,<wb>обрѣте
1182 14,<wb>пото|м
71,<wb>же
3013,<wb>дроугъіі
50,<wb>е
39,<wb>і
3013,<wb>дроугъіі
65,<wb>г
666 23 2513 94 17,<wb>чі|с|мені|та|а
39,<wb>і
311,<wb>тако
899,<wb>мнозі
823 123,<wb>многъі|мі
486 289,<wb>лѣ|тъі
658 103,<wb>ед|ва
2805 434,<wb>събра|шѫ
2197,<wb>л
39,<wb>і
2264 2220,<wb>піс|менъ
1182 14,<wb>пото|м
71,<wb>же
2471,<wb>многомъ
486 1471,<wb>лѣ|томъ
3925 18 1593,<wb>мінѫ|в|шемъ
392 389,<wb>бжі|емъ
449 2114,<wb>повелѣ|ніемь
1128,<wb>обрѣте
70,<wb>сѧ
47,<wb>о
2545,<wb>мѫжъ
227,<wb>іже
3414 434,<wb>прѣложі|шѫ
221,<wb>от
2943 3514,<wb>жідовъ|скаа
68,<wb>на
1611 229 1258,<wb>гръ|чь|скъіі
2890 138,<wb>ѫзъі|къ
77,<wb>а
3097 4241 30,<wb>словѣ|нскъі|ѫ
2105,<wb>кнігъі
438,<wb>едінъ
862,<wb>стъіі
4396 98,<wb>костанті|нъ
1105 1912,<wb>наріцае|мъіі
3230 95 137,<wb>кі|рі|лъ
39,<wb>і
2264 2221,<wb>піс|мена
