47,<wb>о
2264 1293 675,<wb>піс|мене|хь
5983 19 218,<wb>чрънорі|з|ца
780 982,<wb>хра|бъра
536,<wb>прѣжде
222,<wb>оубо
3097 126,<wb>словѣ|не
62,<wb>не
414 187,<wb>імѣ|хѫ
1275 252,<wb>кні|гъ
2052,<wb>нѫ
1849 8002,<wb>чръ|тамі
39,<wb>і
306 1696,<wb>рѣ|замі
354 319 187,<wb>чь|тѣ|хѫ
39,<wb>і
480 3167,<wb>га|таахѫ
3016 60,<wb>пога|ні
2021,<wb>сѫште
4059 2515,<wb>кръсті|вше
71,<wb>же
70,<wb>сѧ
5245 5532,<wb>рім|скамі
39,<wb>і
1611 3028 123,<wb>гръ|чьскъі|мі
2264 206 139,<wb>піс|ме|нъі
2052 2046,<wb>нѫ|ждаахѫ
70,<wb>сѧ
3097 4241,<wb>словѣ|нскъі
3750,<wb>рѣчь
277 312,<wb>бе|зь
6472 2905,<wb>оустрое|ніа
2052,<wb>нѫ
376,<wb>како
4050,<wb>можеть
70,<wb>сѧ
5775,<wb>пісаті
932,<wb>добрѣ
1611 3028 123,<wb>гръ|чьскъі|мі
2264 206 139,<wb>піс|ме|нъі
443,<wb>бъ
518,<wb>ілі
920,<wb>жівотъ
518,<wb>ілі
760,<wb>зѣло
518,<wb>ілі
7348,<wb>црковь
518,<wb>ілі
567 3585,<wb>ча|аніе
518,<wb>ілі
5322 94,<wb>шіро|та
518,<wb>ілі
5982,<wb>ѣдь
518,<wb>ілі
641 270,<wb>ѫ|доу
518,<wb>ілі
1679 214,<wb>юно|сть
518,<wb>ілі
2890 138,<wb>ѫзъі|къ
39,<wb>і
39 1027,<wb>і|наа
8000 31 1027,<wb>под|б|наа
4404,<wb>сімь
39,<wb>і
311,<wb>тако
165 434,<wb>бѣ|шѫ
1022,<wb>многа
1791,<wb>лѣта
4892,<wb>потом
71,<wb>же
6957 182 287 446,<wb>члко|лю|бе|цъ
443,<wb>бъ
2951 30 16,<wb>стро|ѫ|і
572,<wb>всѣ
39,<wb>і
62,<wb>не
2437 30,<wb>оставлѣ|ѫ
5709,<wb>члча
2009,<wb>рода
277 312,<wb>бе|зь
6037,<wb>разоума
2052,<wb>нѫ
2415,<wb>всѧ
150,<wb>къ
406 88,<wb>разоу|моу
6794 275,<wb>пріво|дѧ
39,<wb>і
2903 690,<wb>спсе|нію
5299 180,<wb>помілова|вь
1441,<wb>родъ
2314,<wb>члчь
4077,<wb>посла
2008,<wb>імь
251 58,<wb>ст|го
2050 163 3081 102,<wb>кон|ста|нті|на
5298,<wb>філософа
1105 7998,<wb>наріцае|маго
3230 95 66,<wb>кі|рі|ла
1376,<wb>мѫжа
6369 102,<wb>правед|на
39,<wb>і
399 1542,<wb>істі|нна
39,<wb>і
261,<wb>сътворі
210,<wb>імъ
2197,<wb>л
4602,<wb>пісмена
39,<wb>і
5615,<wb>осмь
47 103,<wb>о|ва
222,<wb>оубо
67,<wb>по
4794,<wb>чіноу
1611 3028 675,<wb>гръ|чьскъі|хь
2264 2220,<wb>піс|менъ
47 103,<wb>о|ва
71,<wb>же
67,<wb>по
3097 10 2524,<wb>словѣ|н|стѣі
5980,<wb>рѣчі
221,<wb>от
638 4231,<wb>пръ|ваго
71,<wb>же
5609,<wb>наченъ
67,<wb>по
7345 795,<wb>гръчь|скоу
609,<wb>оні
222,<wb>оубо
1712 2347,<wb>ал|фа
77,<wb>а
75,<wb>съ
290,<wb>азъ
221,<wb>от
77 230,<wb>а|за
904 133,<wb>начѧ|ть
7579,<wb>обое
39,<wb>і
308,<wb>ѣкоже
609,<wb>оні
574 5979 82,<wb>подо|бль|ше
70,<wb>сѧ
3905 344 106,<wb>жідовь|скъі|мь
2264 1293 106,<wb>піс|мене|мь
261 434,<wb>сътворі|шѫ
311,<wb>тако
39,<wb>і
75,<wb>съ
1611 3028 55,<wb>гръ|чьскъі|мъ
2569,<wb>жідове
112,<wb>бо
4719,<wb>пръвое
2264 282,<wb>піс|мѧ
466 133,<wb>імѧ|ть
1463 20 25,<wb>але|ф|ь
295,<wb>еже
70,<wb>сѧ
3080 1359,<wb>сказа|еть
571 5028,<wb>оучі|неніе
1144 158 30 91,<wb>съвръ|ша|ѫ|ште
5607 89 88,<wb>въво|ді|моу
1907 324,<wb>дѣті|штоу
39,<wb>і
441 91,<wb>глѧ|ште
571,<wb>оучі
70,<wb>сѧ
295,<wb>еже
715,<wb>есть
1463 20 25,<wb>але|ф|ь
39,<wb>і
1611 215,<wb>гръ|ці
574 2143 91,<wb>подо|бѧ|ште
70,<wb>сѧ
650,<wb>томоу
1712 2347,<wb>ал|фа
306 434,<wb>рѣ|шѫ
39,<wb>і
40 2187,<wb>с|подобі
70,<wb>сѧ
141 200,<wb>рече|ніе
3080 2905,<wb>сказа|ніа
3905 384,<wb>жідовь|ска
7345 795,<wb>гръчь|скоу
2890 273,<wb>ѫзъі|коу
105,<wb>да
141 133,<wb>рече|ть
1907 324,<wb>дѣті|штоу
81,<wb>вь
286 17,<wb>оучені|а
707,<wb>мѣсто
3517,<wb>ішті
1712 2347,<wb>ал|фа
112,<wb>бо
39 116,<wb>і|ші
70,<wb>сѧ
141 133,<wb>рече|ть
7345 838 106,<wb>гръчь|ско|мь
2890 391,<wb>ѫзъі|комъ
5592,<wb>тѣм
112,<wb>бо
8000 2143,<wb>под|бѧ
70,<wb>сѧ
862,<wb>стъіі
3230 95 137,<wb>кі|рі|лъ
1711,<wb>створі
4719,<wb>пръвое
2264 282,<wb>піс|мѧ
695,<wb>азь
2052,<wb>нѫ
99,<wb>ѣко
39,<wb>і
638 63 88,<wb>пръ|во|моу
1610,<wb>сѫштоу
2264 2513,<wb>піс|мені
695,<wb>азь
39,<wb>і
221,<wb>от
422,<wb>ба
105 274,<wb>да|ноу
4402,<wb>родоу
3097 10 838 88,<wb>словѣ|н|ско|моу
68,<wb>на
1150 7880,<wb>отвръ|стіе
1409,<wb>оустъ
56,<wb>въ
2550,<wb>разоумъ
1408 166 14,<wb>оучѧ|шті|м
70,<wb>сѧ
710 13 103 55,<wb>боу|к|ва|мъ
367 1543,<wb>велі|комь
234 728 48 2114,<wb>раз|дві|же|ніемь
1409,<wb>оустъ
2802 32,<wb>възгласі|т
70,<wb>сѧ
77,<wb>а
1254,<wb>она
4602,<wb>пісмена
998 55,<wb>мало|мъ
234 728 48 2114,<wb>раз|дві|же|ніемь
1409,<wb>оустъ
1317 281 32,<wb>възгла|сѧ|т
70,<wb>сѧ
39,<wb>і
1031 30 32,<wb>ісповѣда|ѫ|т
70,<wb>сѧ
121,<wb>се
71,<wb>же
7385,<wb>сѫть
4602,<wb>пісмена
3097 119 3514,<wb>словѣ|нь|скаа
931,<wb>сіце
77,<wb>а
8000 334 1359,<wb>под|ба|еть
5775,<wb>пісаті
39,<wb>і
1375,<wb>глаті
77,<wb>а
49,<wb>б
41,<wb>в
65,<wb>г
2182,<wb>дроузіі
71,<wb>же
441 133,<wb>глѧ|ть
67,<wb>по
394,<wb>что
715,<wb>есть
2197,<wb>л
39,<wb>і
2264 2220,<wb>піс|менъ
5606,<wb>створілъ
77,<wb>а
4050,<wb>можеть
70,<wb>сѧ
39,<wb>і
296 10 8006,<wb>ме|н|шімь
485,<wb>того
5775,<wb>пісаті
308,<wb>ѣкоже
39,<wb>і
1611 215,<wb>гръ|ці
72,<wb>к
53,<wb>д
303 434 133,<wb>пі|шѫ|ть
39,<wb>і
62,<wb>не
140 275 133,<wb>вѣ|дѧ|ть
1390 5588,<wb>колі|цѣмь
303 434 133,<wb>пі|шѫ|ть
1611 215,<wb>гръ|ці
715,<wb>есть
112,<wb>бо
222,<wb>оубо
72,<wb>к
53,<wb>д
2264 2220,<wb>піс|менъ
2052,<wb>нѫ
62,<wb>не
4401 118 30 32,<wb>наплъ|нѣ|ѫ|т
70,<wb>сѧ
4400,<wb>тѣмі
2105,<wb>кнігъі
2052,<wb>нѫ
1906 74,<wb>пріложі|лі
419,<wb>сѫтъ
1526 7249 139 675,<wb>дво|глас|нъі|хь
5593,<wb>аі
39,<wb>і
56,<wb>въ
6779 1293 9,<wb>чіс|мене|х
71,<wb>же
65,<wb>г
38 5,<wb>|s
50,<wb>е
39,<wb>і
1077,<wb>ѳ
612 32 465,<wb>десѧ|т|ное
39,<wb>і
1077,<wb>ѳ
75 32 465,<wb>съ|т|ное
39,<wb>і
2081 30 32,<wb>събіра|ѫ|т
70,<wb>сѧ
3515,<wb>іхь
2197,<wb>л
39,<wb>і
2888,<wb>тѣмже
67,<wb>по
650,<wb>томоу
8000 31 85,<wb>под|б|но
39,<wb>і
56,<wb>въ
617 235,<wb>ть|жде
1789,<wb>образъ
1711,<wb>створі
862,<wb>стъіі
3230 95 137,<wb>кі|рі|лъ
2197,<wb>л
39,<wb>і
2264 2220,<wb>піс|менъ
2182,<wb>дроузіі
71,<wb>же
441 133,<wb>глѧ|ть
7989,<wb>чесомоу
71,<wb>же
7385,<wb>сѫть
3097 4241,<wb>словѣ|нскъі
2105,<wb>кнігъі
122,<wb>ні
485,<wb>того
112,<wb>бо
715,<wb>есть
443,<wb>бъ
5606,<wb>створілъ
122,<wb>ні
176,<wb>то
714 5972,<wb>аг|глі
122,<wb>ні
7385,<wb>сѫть
1282,<wb>іжде
2050 60,<wb>кон|ні
99,<wb>ѣко
3905 344,<wb>жідовь|скъі
39,<wb>і
5245 344,<wb>рім|скъі
39,<wb>і
1394 4241,<wb>елі|нскъі
1282,<wb>іжде
221,<wb>от
184 102,<wb>ко|на
7385,<wb>сѫть
39,<wb>і
90 30 289,<wb>прі|ѫ|тъі
7344,<wb>сѫт
4047,<wb>бмъ
77,<wb>а
2182,<wb>дроузіі
51 375 133,<wb>м|нѧ|ть
99,<wb>ѣко
443,<wb>бъ
489,<wb>намъ
715,<wb>есть
5606,<wb>створілъ
4602,<wb>пісмена
39,<wb>і
62,<wb>не
140 275 32,<wb>вѣ|дѧ|т
70,<wb>сѧ
394,<wb>что
441 91,<wb>глѧ|ште
2529 1280 276,<wb>ока|ан|ніі
39,<wb>і
99,<wb>ѣко
1188 123,<wb>трі|мі
2890 148,<wb>ѫзъі|къі
715,<wb>есть
443,<wb>бъ
449 137,<wb>повелѣ|лъ
5973 55,<wb>кніга|мъ
503,<wb>бъіті
308,<wb>ѣкоже
56,<wb>въ
1523 5972,<wb>еу|глі
4208 133,<wb>піше|ть
39,<wb>і
165,<wb>бѣ
497 384,<wb>дъ|ска
1456 102,<wb>напіса|на
3905 344,<wb>жідовь|скъі
39,<wb>і
5245 344,<wb>рім|скъі
39,<wb>і
1394 4241,<wb>елі|нскъі
77,<wb>а
3097 4241,<wb>словѣ|нскъі
1467,<wb>нѣс
390,<wb>тоу
5592,<wb>тѣм
71,<wb>же
327,<wb>нѣ
7385,<wb>сѫть
3097 4241 30,<wb>словѣ|нскъі|ѫ
2105,<wb>кнігъі
221,<wb>от
422,<wb>ба
150,<wb>къ
1347,<wb>тѣмь
394,<wb>что
948 106,<wb>гле|мь
518,<wb>ілі
394,<wb>что
80 83 106,<wb>р|че|мь
150,<wb>къ
373 5588,<wb>та|цѣмь
2104 123 726,<wb>безоу|мі|емь
1245,<wb>обаче
5604,<wb>речемъ
221,<wb>от
251 675,<wb>ст|хь
1275 252,<wb>кні|гъ
308,<wb>ѣкоже
1270 196 14,<wb>наоучі|хо|м
70,<wb>сѧ
99,<wb>ѣко
572,<wb>всѣ
67,<wb>по
5603,<wb>рѧдоу
861 30 133,<wb>бъіва|ѫ|ть
221,<wb>от
422,<wb>ба
77,<wb>а
62,<wb>не
999 28 151 30,<wb>іно|г|до|ѫ
3744,<wb>нѣсть
112,<wb>бо
443,<wb>бъ
5606,<wb>створілъ
3905 384,<wb>жідовь|ска
2890 134,<wb>ѫзъі|ка
536,<wb>прѣжде
122,<wb>ні
5245 384,<wb>рім|ска
122,<wb>ні
5329 74 4625,<wb>ел|лі|ньска
2052,<wb>нѫ
159 21 344,<wb>сі|р|скъі
1948,<wb>імже
39,<wb>і
5970,<wb>адамъ
130,<wb>гла
39,<wb>і
221,<wb>от
4274,<wb>адама
156,<wb>до
7986,<wb>потопа
39,<wb>і
221,<wb>от
7986,<wb>потопа
2419,<wb>дондеже
443,<wb>бъ
4603,<wb>раздѣлі
2890 148,<wb>ѫзъі|къі
90,<wb>прі
251 153 169 2327 276,<wb>ст|ль|по|творе|ніі
308,<wb>ѣкоже
4208 133,<wb>піше|ть
7423 7341 14,<wb>размѣ|шено|м
71,<wb>же
154 2515 106,<wb>бъі|вше|мь
2890 391,<wb>ѫзъі|комъ
39,<wb>і
308,<wb>ѣкоже
70,<wb>сѧ
2890 215,<wb>ѫзъі|ці
7423 129 434,<wb>размѣ|сі|шѫ
311,<wb>тако
39,<wb>і
5969 111,<wb>нра|ві
39,<wb>і
1751 11,<wb>объіча|е
39,<wb>і
5237,<wb>оуставі
39,<wb>і
525 60,<wb>зако|ні
39,<wb>і
5023 147,<wb>хъітро|сті
68,<wb>на
2890 148,<wb>ѫзъі|къі
50 2082 6362 85 14,<wb>е|гі|птѣ|но|м
71,<wb>же
291 206 4398 5968,<wb>зе|ме|лмѣ|реніе
77,<wb>а
6782 1093,<wb>пер|сомъ
39,<wb>і
1236 36 79 1321,<wb>ха|л|де|омъ
39,<wb>і
77 129 174 1321,<wb>а|сі|ре|омъ
3054 151 6852 200,<wb>звѣз|до|чьте|ніе
1693 2 146 200,<wb>вль|ш|ве|ніе
5624 3837,<wb>враче|ваніе
567 3537 2905,<wb>ча|рова|ніа
39,<wb>і
572,<wb>всѣ
5023 214,<wb>хъітро|сть
5709,<wb>члча
1109 63 14,<wb>жідо|во|м
71,<wb>же
490 30,<wb>стъі|ѫ
2105,<wb>кнігъі
81,<wb>вь
7982 48,<wb>ніх|же
715,<wb>есть
2141,<wb>пісано
99,<wb>ѣко
443,<wb>бъ
2140,<wb>нбо
1711,<wb>створі
39,<wb>і
1485,<wb>землѧ
39,<wb>і
572,<wb>всѣ
494,<wb>ѣже
68,<wb>на
1079,<wb>неі
39,<wb>і
2316,<wb>члка
39,<wb>і
572,<wb>всѣ
67,<wb>по
5603,<wb>рѧдоу
308,<wb>ѣкоже
4208 133,<wb>піше|ть
1394 687,<wb>елі|номъ
369 4596 1423 24,<wb>гра|маті|кі|ѧ
607 115 95 1423 24,<wb>рі|то|рі|кі|ѧ
1170 16 30,<wb>філософ|і|ѫ
2052,<wb>нѫ
536,<wb>прѣжде
387,<wb>сего
5329 5600,<wb>ел|ліні
62,<wb>не
414 187,<wb>імѣ|хѫ
725,<wb>своімъ
2890 1543,<wb>ѫзъі|комь
2264 3422,<wb>піс|мен
2052,<wb>нѫ
757 2385 344 123,<wb>фі|нічь|скъі|мі
2264 206 139,<wb>піс|ме|нъі
979 187,<wb>піса|хѫ
149 30,<wb>сво|ѫ
159,<wb>сі
3750,<wb>рѣчь
39,<wb>і
311,<wb>тако
165 434,<wb>бѣ|шѫ
1022,<wb>многа
1791,<wb>лѣта
198 2808 188,<wb>па|намі|дь
71,<wb>же
4612,<wb>послѣжде
872,<wb>прішедъ
5609,<wb>наченъ
221,<wb>от
1712 20 46,<wb>ал|ф|ъі
39,<wb>і
167 289,<wb>ві|тъі
38 5 16,<wb>|s|і
2264 2220,<wb>піс|менъ
1644,<wb>тъкмо
5329 74 687,<wb>ел|лі|номъ
1128,<wb>обрѣте
3414,<wb>прѣложі
71,<wb>же
210,<wb>імъ
332 188 55,<wb>ка|дь|мъ
195 74 1481,<wb>мі|лі|сіі
4602,<wb>пісмена
65,<wb>г
5592,<wb>тѣм
71,<wb>же
1022,<wb>многа
1791,<wb>лѣта
1077 16,<wb>ѳ|і
2264 206 139,<wb>піс|ме|нъі
979 216,<wb>піса|ахѫ
39,<wb>і
3900,<wb>потомъ
796 60 113,<wb>сімо|ні|дъ
1501,<wb>обрѣтъ
1906,<wb>пріложі
3469,<wb>двѣ
2264 2513,<wb>піс|мені
4415 432 606,<wb>епі|ха|ріі
71,<wb>же
3080 1319,<wb>сказа|тель
65,<wb>г
4602,<wb>пісмена
1128,<wb>обрѣте
39,<wb>і
2805,<wb>събра
70,<wb>сѧ
3515,<wb>іхь
72,<wb>к
53,<wb>д
67,<wb>по
1613 9,<wb>мнозѣ|х
71,<wb>же
7270 675,<wb>лѣтѣ|хь
6247 60 173,<wb>діо|ні|съ
369 4596 138,<wb>гра|маті|къ
38 5,<wb>|s
1526 7249 139 675,<wb>дво|глас|нъі|хь
1128,<wb>обрѣте
4892,<wb>потом
71,<wb>же
3013,<wb>дроугъіі
50,<wb>е
39,<wb>і
3013,<wb>дроугъіі
65,<wb>г
6779 2513 94 17,<wb>чіс|мені|та|а
39,<wb>і
311,<wb>тако
899,<wb>мнозі
823 123,<wb>многъі|мі
486 289,<wb>лѣ|тъі
5596,<wb>едва
2805 434,<wb>събра|шѫ
2197,<wb>л
39,<wb>і
2264 2220,<wb>піс|менъ
4892,<wb>потом
71,<wb>же
2471,<wb>многомъ
486 1471,<wb>лѣ|томъ
3925 18 1593,<wb>мінѫ|в|шемъ
5965,<wb>бжіемъ
449 2114,<wb>повелѣ|ніемь
1128,<wb>обрѣте
70,<wb>сѧ
47,<wb>о
2545,<wb>мѫжъ
227,<wb>іже
3414 434,<wb>прѣложі|шѫ
221,<wb>от
2943 3514,<wb>жідовъ|скаа
68,<wb>на
7345 1258,<wb>гръчь|скъіі
2890 138,<wb>ѫзъі|къ
77,<wb>а
3097 4241 30,<wb>словѣ|нскъі|ѫ
2105,<wb>кнігъі
438,<wb>едінъ
862,<wb>стъіі
4396 98,<wb>костанті|нъ
1105 1912,<wb>наріцае|мъіі
3230 95 137,<wb>кі|рі|лъ
39,<wb>і
4602,<wb>пісмена
1711,<wb>створі
39,<wb>і
2105,<wb>кнігъі
3414,<wb>прѣложі
56,<wb>въ
2027 675,<wb>малѣ|хь
7270 675,<wb>лѣтѣ|хь
77,<wb>а
609,<wb>оні
899,<wb>мнозі
823,<wb>многъі
486 289,<wb>лѣ|тъі
100,<wb>з
3515,<wb>іхь
4602,<wb>пісмена
3474,<wb>оустроі
77,<wb>а
47,<wb>о
127 1697 200,<wb>прѣ|ложе|ніе
5592,<wb>тѣм
71,<wb>же
3097 10 3514,<wb>словѣ|н|скаа
4602,<wb>пісмена
2423 6299,<wb>стѣ|іші
7344,<wb>сѫт
39,<wb>і
354 69 968 158,<wb>чь|ст|нѣі|ша
2647,<wb>сть
112,<wb>бо
