о|о
писменехь|пісменехь
чръноризца|чрънорізца
Xрабъра|храбъра
Прѣжде|прѣжде
ѹбѡ|оубо
словѣне|словѣне
не|не
имѣхѫ|імѣхѫ
книгъ|кнігъ
нѫ|нѫ
чрътами|чрътамі
и|і
рѣзами|рѣзамі
чьтѣхѫ|чьтѣхѫ
и|і
гатаахѫ|гатаахѫ
погани|погані
сѫще|сѫще
кръстивше|кръстівше
же|же
сѧ|сѧ
римꙿсками|рімскамі
и|і
гръчьскꙑми|гръчьскъімі
писменꙑ|пісменъі
нѫждаахѫ|нѫждаахѫ
сѧ|сѧ
словѣнꙿскꙑ|словѣнскъі
рѣчь|рѣчь
безь|безь
ѹстроениа|оустроеніа
нѫ|нѫ
како|како
можеть|можеть
сѧ|сѧ
писати|пісаті
добрѣ|добрѣ
гръчьскꙑми|гръчьскъімі
писменꙑ|пісменъі
б҃ъ|б҃ъ
или|ілі
живѡтъ|жівотъ
или|ілі
ѕѣлѡ|зѣло
или|ілі
цр҃ковь|цр҃ковь
или|ілі
чаание|чааніе
или|ілі
ширѡта|шірота
или|ілі
ꙗдь|ꙗдь
или|ілі
ѫдѹ|ѫдоу
или|ілі
юность|юность
или|ілі
ѫзꙑкъ|ѫзъікъ
и|і
инаа|інаа
подбнаа|подбнаа
симь|сімь
и|і
тако|тако
бѣшѫ|бѣшѫ
многа|многа
лѣта|лѣта
потом|потом
же|же
чл҃колюбецъ|чл҃колюбецъ
б҃ъ|б҃ъ
строѫи|строѫі
всѣ|всѣ
и|і
не|не
ѡставлѣѫ|оставлѣѫ
чл҃ча|чл҃ча
рода|рода
безь|безь
разѹма|разоума
нѫ|нѫ
вꙿсѧ|всѧ
къ|къ
разѹмѹ|разоумоу
приводѧ|пріводѧ
и|і
сп҃сению|сп҃сенію
помиловавь|поміловавь
родъ|родъ
чл҃чь|чл҃чь
посла|посла
имь|імь
ст҃го|ст҃го
кѡнстантина|константіна
философа|філософа
нарицаемаго|наріцаемаго
кирила|кіріла
мѫжа|мѫжа
праведна|праведна
и|і
истинна|істінна
и|і
сътвори|сътворі
имъ|імъ
л҃|л҃
