torot_word|deep_cleaned
слово|слово
іѡа҇ⷩ|іоан
архиеп҇ⷭкпа|архіепскпа
констѧнтина|констѧнтіна
града.|града
како|како
адамъ|адамъ
соꙁъданъ|созъданъ
бꙑ҇ⷭ.|бъіс
и|і
како|како
дш[ѹ|дшоу
в]ꙁꙗ.|взꙗ
и|і
ѡ|о
страт҇ⷭи|стратсі
҃гни.|҃гні
и|і
ѡ|о
҃дши.|҃дші
҃ги|҃гі
҃блгви|҃блгві
҃ѡче.|҃оче
Добри|добрі
тьрпѣниꙗ|тьрпѣніꙗ
плодꙑ|плодъі
добрꙑи|добръіі
плодъ|плодъ
иже|іже
трудомъ|трудомъ
послѣдують|послѣдують
благꙑи|благъіі
бо|бо
плодъ|плодъ
добрꙑи.|добръіі
трудꙑ|трудъі
бо|бо
ражають|ражають
добрꙑи|добръіі
нравꙑ.|нравъі
трудꙑ|трудъі
бо|бо
ѹкрашають|оукрашають
постное|постное
ѡбѣщание.|обѣщаніе
трудꙑ|трудъі
исправлѧют|ісправлѧют
сѧ|сѧ
свѣтлостию|свѣтлостію
ѹчениꙗ|оученіꙗ
воиньству.|воіньству
трудꙑ|трудъі
же|же
стр҇ⷭтнꙑми|стрстнъімі
црⷭ҇тво|црство
нб҇ⷭное|нбсное
ѿверꙁаеть|отверзаеть
҃ннѣ|҃ннѣ
намъ.|намъ
се|се
ѹбо|оубо
на|на
предлежащое|предлежащое
вꙑ|въі
ѡбѣщание|обѣщаніе
повѣмъ.|повѣмъ
егда|егда
҃бъ|҃бъ
сотвори|сотворі
вселеную.|вселеную
ѹкраси|оукрасі
҃бъ|҃бъ
҃нбо|҃нбо
слнцеⷨ|слнцем
и|і
мѣсѧцемъ|мѣсѧцемъ
и|і
ꙁвѣꙁдами.|звѣздамі
и|і
ꙁемлю|землю
такоже|такоже
ѹкраси|оукрасі
и|і
рѣками|рѣкамі
источники|істочнікі
пропоꙗса|пропоꙗса
ꙗ|ꙗ
цвѣтци|цвѣтці
и|і
сади.|саді
и|і
море|море
пѣскомъ|пѣскомъ
ѡгради.|ограді
и|і
всѧку|всѧку
лѣпоту|лѣпоту
миру|міру
положꙑи.|положъіі
ꙗкоже|ꙗкоже
многаждꙑ|многаждъі
гла҇ⷯ|глах
рекꙑи.|рекъіі
соꙁда|созда
и|і
створи|створі
миру|міру
сему|сему
рукотворена|рукотворена
влⷣⷣку|влддку
соꙁда|созда
же|же
и|і
ина|іна
подобна|подобна
скотомъ.|скотомъ
и|і
четвероногомѹ|четвероногомоу
ꙁвѣри|звѣрі
и|і
скоту.|скоту
словомъ|словомъ
точию|точію
по|по
велѣ|велѣ
иꙁити|ізіті
ѿ|от
ꙁемлѧ.|землѧ
да|да
иꙁидеть|ізідеть
ꙗ|ꙗ
ꙁемлѧ.|землѧ
работнаꙗ|работнаꙗ
бо|бо
точию|точію
словомъ|словомъ
бꙑша|бъіша
всѧ|всѧ
соꙁдание|созданіе
же|же
҃бие|҃біе
ѡбраꙁа.|образа
рукою|рукою
҃биею|҃біею
соꙁданъ|созданъ
бꙑⷭ҇.|бъіс
не|не
ꙗкоже|ꙗкоже
҃биꙗ|҃біꙗ
рука|рука
естъ|естъ
и|і
судъ|судъ
но|но
восхотѣ|восхотѣ
влⷣ҇ку|влдку
его|его
постави|поставі
всѣмъ|всѣмъ
прежебꙑвшꙑмъ.|прежебъівшъімъ
сего|сего
ради|раді
ре҇ⷱ|реч
писание.|пісаніе
въꙁа|въза
҃бъ|҃бъ
персть|персть
ѿ|от
ꙁемлѧ.|землѧ
рукою|рукою
творѧщою|творѧщою
соꙁда|созда
҃чвлка.|҃чвлка
вꙁѧ|взѧ
персть|персть
а|а
не|не
груду|груду
ни|ні
девелу|девелу
ꙁемлю.|землю
но|но
дробну|дробну
персть.|персть
вижь|віжь
како|како
ти|ті
ѡ|о
самѣхъ|самѣхъ
начатокъ.|начатокъ
кажеть|кажеть
нꙑ|нъі
ѡбраꙁъ|образъ
воскрн҇ⷭию.|воскрнсію
понеже|понеже
бо|бо
есть|есть
паки|пакі
в|в
персть|персть
раꙁити|разіті
сѧ.|сѧ
но|но
рен҇ⷱому|ренчому
и|і
в|в
персть|персть
҃смрти|҃смрті
ни|ні
иꙁведе|ізведе
мѧ.|мѧ
вижь|віжь
како|како
ти|ті
в|в
самомъ|самомъ
начатцѣ.|начатцѣ
надежю|надежоу
кажеть|кажеть
воскресению.|воскресенію
тѣмже|тѣмже
рече|рече
всѧ|всѧ
персть|персть
ѿ|от
ꙁемлѧ|землѧ
и|і
ту|ту
персть|персть
и|і
сдѣ|сдѣ
пишеть|пішеть
ѡнъ|онъ
силою|сілою
хитреца|хітреца
створилъ|створілъ
бꙑ҇ⷭ.|бъіс
и|і
сии|сіі
мдртⷭ҇ию|мдртсію
преложꙑ|преложъі
сѧ.|сѧ
вꙁѧ|взѧ
персть|персть
соꙁда|созда
҃члвка.|҃члвка
что|что
же|же
соꙁдавъ|создавъ
навꙑче.|навъіче
слово|слово
наѹчи.|наоучі
дѣло|дѣло
же|же
потаи.|потаі
да|да
навꙑкнеши|навъікнеші
не|не
ѡпꙑтати|опъітаті
строꙗ|строꙗ
҃биꙗ|҃біꙗ
же|же
҃ржтва|҃ржтва
мноꙁѣмъ|мнозѣмъ
паче.|паче
нѣ҇ⷭ|нѣс
ти|ті
повелѣно|повелѣно
пꙑтати.|пъітаті
четвероногиꙗ|четвероногіꙗ
бо|бо
вкупѣ.|вкупѣ
҃бъ|҃бъ
с|с
телесꙑ|телесъі
душю|душоу
наведе.|наведе
҃члвка|҃члвка
же|же
ꙁижа|зіжа
преже|преже
ѹстрои|оустроі
телеснꙑи|телеснъіі
ссудъ.|ссудъ
ти|ті
и|і
тогда|тогда
҃дшю|҃дшоу
во|во
нь|нь
вложꙑ|вложъі
что|что
ради|раді
не|не
да|да
ли|лі
ѡ|о
семъ|семъ
покажеть.|покажеть
