torot_word|pos|lemma|morph_tag|deep_cleaned|lemma_id|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged
за|R-|за|---------n|за|1|280440|| |1|1|0
млт҃вѹ|Nb|молитва|-s---fa--i|млтвоу|2|280440|| |1|1|0
ст҃хъ|A-|святыи|-p---mgpwi|стхъ|3|280440|| |1|1|0
ѡц҃ь|Nb|отьць|-p---mg--i|оць|4|280440|| |1|1|0
наших|Ps|нашь|1p---mg--i|нашіх|5|280440|| |1|1|0
г҃и|Nb|господь|-s---mv--i|гі|6|280440|| |1|1|0
їс҃е|Ne|исусъ|-s---mv--i|ісе|7|280440|| |1|1|0
х҃е|Ne|христ(ос)ъ|-s---mv--i|хе|8|280440|| |1|1|0
сн҃е|Nb|сынъ|-s---mv--i|сне|9|280440|| |1|1|0
бж҃їи|A-|божии|-s---mnpti|бжіі|10|280440||.. |1|1|0
помилѹи|V-|помиловати|2spma----i|помілоуі|11|280440|| |1|1|0
мѧ|Pp|азъ|1s---ma--i|мꙗ|12|280440|| |1|1|0
раба|Nb|рабъ|-s---mg--i|раба|13|280440|| |1|1|0
своего|Pt|свои|3s---mg--i|своего|14|280440|| |1|1|0
грѣш꙽наго|A-|грѣшьныи|-s---mgpwi|грѣшнаго|15|280440||. |1|1|0
афонасьѧ|Ne|афонасии|-s---mg--i|афонасьꙗ|16|280440|| |1|1|0
микитина|A-|микитинъ|-s---mgpsi|мікітіна|17|280440|| |1|1|0
сна|Nb|сынъ|-s---mg--i|сна|9|280440||:- |1|1|0
се|I-|се|---------n|се|18|280441|| |1|1|0
написах|V-|написати|1saia----i|напісах|19|280441|| |1|1|0
грѣшьное|A-|грѣшьныи|-s---napwi|грѣшьное|15|280441|| |1|1|0
свое|Pt|свои|3s---na--i|свое|14|280441|| |1|1|0
хоженїе|Nb|хожение|-s---na--i|хоженіе|20|280441|| |1|1|0
за|R-|за|---------n|за|1|280441|| |1|1|0
трї|Ma|трие|-p---na--i|трі|21|280441|| |1|1|0
морѧ|Nb|море|-p---na--i|морꙗ|22|280441||. |1|1|0
прьвое|Mo|пьрвыи|-s---nn--i|прьвое|23|280442|| |1|1|0
