torot_word|deep_cleaned
Присꙑланиѥ|прісъіланіе
антиоха|антіоха
чрьнориꙁ͗цѧ|чрьнорізцѧ
лаврꙑ|лавръі
ст҃ааго|ст҃ааго
оц҃ѧ|оц҃ѧ
савꙑ•|савъі
къ|къ
ѥвстаѳю|евстаѳю
игѹменѹ|ігоуменоу
монастирѧ|монастірѧ
ат͗талины|атталінъі
града|града
анькурꙑ|анькуръі
галатиискыꙗ|галатііскъіꙗ
Понеже|понеже
наѱа|напса
ми|мі
честьнꙑи|честьнъіі
от҃че|от҃че
евьстаѳе|евьстаѳе
мъногѫ|мъногѫ
скръбь|скръбь
прѣтрьпѣвати:|прѣтрьпѣваті
мѣсто|мѣсто
ѡтъ|отъ
мѣста:|мѣста
и|і
странѫ|странѫ
отъ|отъ
странꙑ|странъі
прѣходѧщи:|прѣходѧщі
боꙗꙁниѭ|боꙗзніѭ
о͗дрьжѧщѧꙗ|одрьжѧщѧꙗ
халдѣискꙑꙗ|халдѣіскъіꙗ
виꙗли:|віꙗлі
алчѫ|алчѫ
же:|же
и|і
жаждѧ|жаждѧ
искѹсѫ|іскоусѫ
приꙗти•|пріꙗті
не|не
хлѣба|хлѣба
ни|ні
водꙑ•|водъі
нъ|нъ
по|по
реченѹмѹ|реченоумоу
слꙑшати|слъішаті
слово•|слово
г҃не|г҃не
ꙁане|зане
не|не
мощи|мощі
вамъ|вамъ
тѧжести|тѧжесті
кънижънꙑꙗ|къніжънъіꙗ
носити:|носіті
ни|ні
же|же
въ|въ
мѣстѣхъ|мѣстѣхъ
въ|въ
нихъже|ніхъже
приходите•|пріходіте
обрѣтати|обрѣтаті
ѹдобьнѣ|оудобьнѣ
въꙁискаѥмъихъ:|възіскаемъіхъ
повелѣлъ|повелѣлъ
же|же
ѥси|есі
моѥмѹ|моемоу
ѹмалениѭ|оумаленіѭ
въ|въ
кратъцѣ|кратъцѣ
ѡтъ|отъ
вьсѣхъ|вьсѣхъ
посълати|посълаті
ти|ті
бж҃ьствьнъихъ|бж҃ьствьнъіхъ
кънигъ:|кънігъ
ветъхꙑихъ|ветъхъііхъ
и|і
новꙑихъ:|новъііхъ
ꙗко|ꙗко
да|да
ни|ні
тѧготѣ|тѧготѣ
вамъ|вамъ
бꙑти|бъіті
ношениꙗ:|ношеніꙗ
ни|ні
пакꙑ|пакъі
беꙁъ|безъ
остатъка|остатъка
бꙑти|бъіті
чесого⸱|чесого
потѧꙁаѭщиихъ|потѧзаѭщііхъ
на|на
польꙁѫ|пользѫ
и|і
сп҃сениѥ|сп҃сеніе
д҃ши:|д҃ші
Послѹшавъ|послоушавъ
спѣшънѣ|спѣшънѣ
вашего|вашего
повелѣниꙗ:|повелѣніꙗ
абиѥ|абіе
съставъ|съставъ
вьсѧ|вьсѧ
въꙁискаѥмꙑꙗ|възіскаемъіꙗ
вами|вамі
отъ|отъ
с҃тꙑихъ|с҃тъііхъ
кънигъ|кънігъ
и|і
на|на
с҃псениѥ|с҃псеніе
главꙑ:|главъі
съвъкѹпленꙑ⸱|съвъкоупленъі
и|і
раꙁлѫченꙑ|разлѫченъі
отъ|отъ
себе:|себе
ꙗко|ꙗко
ни|ні
сънитиꙗ|сънітіꙗ
ни|ні
съмѣса|съмѣса
пострадати|пострадаті
чътѹщѫѹмѹ:|чътоущѫоумоу
сьꙗ|сьꙗ
посълахъ|посълахъ
вашемѹ|вашемоу
б҃олюбиѭ:|б҃олюбіѭ
ꙗже|ꙗже
приѥмлѧ:|пріемлѧ
б҃ѹ|б҃оу
ѹбо|оубо
подобьноѥ|подобьное
славословиѥ|славословіе
и|і
благодариѥ|благодаріе
въсъли:|въсълі
съврьшаѭщѫѹмѹ|съврьшаѭщѫоумоу
силѹ|сілоу
своѭ|своѭ
въ|въ
немощи:|немощі
насъ|насъ
же|же
приꙗтьнꙑми|пріꙗтьнъімі
твоими|твоімі
молитвами|молітвамі
въсплащаи:|въсплащаі
ꙗко|ꙗко
да|да
по|по
б҃жиѭ|б҃жіѭ
ѹгодиѭ:|оугодіѭ
прочеѥ|прочее
лѣто|лѣто
живота|жівота
нашего|нашего
съконьчѧѥмъ⸱|съконьчѧемъ
