deep_cleaned|text_id
о|1
пісменехь|1
чрънорізца|1
храбъра|1
прѣжде|1
оубо|1
словѣне|1
не|1
імѣхѫ|1
кнігъ|1
нѫ|1
чрътамі|1
і|1
рѣзамі|1
чьтѣхѫ|1
і|1
гатаахѫ|1
погані|1
сѫще|1
кръстівше|1
же|1
сѧ|1
рімскамі|1
і|1
гръчьскъімі|1
пісменъі|1
нѫждаахѫ|1
сѧ|1
словѣнскъі|1
рѣчь|1
безь|1
оустроеніа|1
нѫ|1
како|1
можеть|1
сѧ|1
пісаті|1
добрѣ|1
гръчьскъімі|1
пісменъі|1
б҃ъ|1
ілі|1
жівотъ|1
ілі|1
зѣло|1
ілі|1
цр҃ковь|1
ілі|1
чааніе|1
ілі|1
шірота|1
ілі|1
ꙗдь|1
ілі|1
ѫдоу|1
ілі|1
юность|1
ілі|1
ѫзъікъ|1
і|1
інаа|1
подбнаа|1
сімь|1
і|1
тако|1
бѣшѫ|1
многа|1
лѣта|1
потом|1
же|1
чл҃колюбецъ|1
б҃ъ|1
строѫі|1
всѣ|1
і|1
не|1
оставлѣѫ|1
чл҃ча|1
рода|1
безь|1
разоума|1
нѫ|1
всѧ|1
къ|1
разоумоу|1
пріводѧ|1
і|1
сп҃сенію|1
поміловавь|1
родъ|1
чл҃чь|1
посла|1
імь|1
ст҃го|1
константіна|1
філософа|1
наріцаемаго|1
кіріла|1
мѫжа|1
праведна|1
і|1
істінна|1
і|1
сътворі|1
імъ|1
л҃|1
пісмена|1
і|1
осмь|1
ова|1
оубо|1
по|1
чіноу|1
гръчьскъіхь|1
пісменъ|1
ова|1
же|1
по|1
словѣнстѣі|1
рѣчі|1
от|1
пръваго|1
же|1
наченъ|1
по|1
гръчьскоу|1
оні|1
оубо|1
алфа|1
а|1
съ|1
азъ|1
от|1
аза|1
начѧть|1
обое|1
і|1
ꙗкоже|1
оні|1
подобльше|1
сѧ|1
жідовьскъімь|1
пісменемь|1
сътворішѫ|1
тако|1
і|1
съ|1
гръчьскъімъ|1
жідове|1
бо|1
пръвое|1
пісмѧ|1
імѧть|1
алефь|1
еже|1
сѧ|1
сказаеть|1
оучіненіе|1
съвръшаѫще|1
въводімоу|1
дѣтіщоу|1
і|1
гл҃ѧще|1
оучі|1
сѧ|1
еже|1
есть|1
алефь|1
і|1
гръці|1
подобѧще|1
сѧ|1
томоу|1
алфа|1
рѣшѫ|1
і|1
сподобі|1
сѧ|1
реченіе|1
сказаніа|1
жідовьска|1
гръчьскоу|1
ѫзъікоу|1
да|1
речеть|1
дѣтіщоу|1
вь|1
оученіа|1
мѣсто|1
іщі|1
алфа|1
бо|1
іші|1
сѧ|1
речеть|1
гръчьскомь|1
ѫзъікомъ|1
тѣм|1
бо|1
подбѧ|1
сѧ|1
ст҃ъіі|1
кірілъ|1
створі|1
пръвое|1
пісмѧ|1
азь|1
нѫ|1
ꙗко|1
і|1
пръвомоу|1
сѫщоу|1
пісмені|1
азь|1
і|1
от|1
б҃а|1
даноу|1
родоу|1
словѣнскомоу|1
на|1
отвръстіе|1
оустъ|1
въ|1
разоумъ|1
оучѧщім|1
сѧ|1
боуквамъ|1
велікомь|1
раздвіженіемь|1
оустъ|1
възгласіт|1
сѧ|1
а|1
она|1
пісмена|1
маломъ|1
раздвіженіемь|1
оустъ|1
възгласѧт|1
сѧ|1
і|1
ісповѣдаѫт|1
сѧ|1
се|1
же|1
сѫть|1
пісмена|1
словѣньскаа|1
сіце|1
а|1
подбаеть|1
пісаті|1
і|1
гл҃аті|1
а҃|1
б҃|1
в҃|1
г҃|1
дроузіі|1
же|1
гл҃ѧть|1
по|1
что|1
есть|1
л҃|1
і|1
пісменъ|1
створілъ|1
а|1
можеть|1
сѧ|1
і|1
меншімь|1
того|1
пісаті|1
ꙗкоже|1
і|1
гръці|1
к҃|1
д|1
пішѫть|1
і|1
не|1
вѣдѧть|1
коліцѣмь|1
пішѫть|1
гръці|1
есть|1
бо|1
оубо|1
к|1
д҃|1
пісменъ|1
нѫ|1
не|1
наплънѣѫт|1
сѧ|1
тѣмі|1
кнігъі|1
нѫ|1
пріложілі|1
сѫтъ|1
двогласнъіхь|1
а҃і|1
і|1
въ|1
чісменех|1
же|1
г҃|1
҃s|1
е҃|1
і|1
ѳ҃|1
десѧтное|1
і|1
ѳ҃|1
сътное|1
і|1
събіраѫт|1
сѧ|1
іхь|1
л҃|1
і|1
тѣмже|1
по|1
томоу|1
подбно|1
і|1
въ|1
тьжде|1
образъ|1
створі|1
ст҃ъіі|1
кірілъ|1
л҃|1
і|1
пісменъ|1
дроузіі|1
же|1
гл҃ѧть|1
чесомоу|1
же|1
сѫть|1
словѣнскъі|1
кнігъі|1
ні|1
того|1
бо|1
есть|1
б҃ъ|1
створілъ|1
ні|1
то|1
аг҃глі|1
ні|1
сѫть|1
іжде|1
конні|1
ꙗко|1
жідовьскъі|1
і|1
рімскъі|1
і|1
елінскъі|1
іжде|1
от|1
кона|1
сѫть|1
і|1
пріѫтъі|1
сѫт|1
бм҃ъ|1
а|1
дроузіі|1
мнѧть|1
ꙗко|1
б҃ъ|1
намъ|1
есть|1
створілъ|1
пісмена|1
і|1
не|1
вѣдѧт|1
сѧ|1
что|1
гл҃ѧще|1
окаанніі|1
і|1
ꙗко|1
трімі|1
ѫзъікъі|1
есть|1
б҃ъ|1
повелѣлъ|1
кнігамъ|1
бъіті|1
ꙗкоже|1
въ|1
еуг҃лі|1
пішеть|1
і|1
бѣ|1
дъска|1
напісана|1
жідовьскъі|1
і|1
рімскъі|1
і|1
елінскъі|1
а|1
словѣнскъі|1
нѣс҃|1
тоу|1
тѣм|1
же|1
нѣ|1
сѫть|1
словѣнскъіѫ|1
кнігъі|1
от|1
б҃а|1
къ|1
тѣмь|1
что|1
гл҃емь|1
ілі|1
что|1
рч҃емь|1
къ|1
тацѣмь|1
безоуміемь|1
обаче|1
речемъ|1
от|1
ст҃хь|1
кнігъ|1
ꙗкоже|1
наоучіхом|1
сѧ|1
ꙗко|1
всѣ|1
по|1
рѧдоу|1
бъіваѫть|1
от|1
ба҃|1
а|1
не|1
іногдоѫ|1
нѣсть|1
бо|1
б҃ъ|1
створілъ|1
жідовьска|1
ѫзъіка|1
прѣжде|1
ні|1
рімска|1
ні|1
елліньска|1
нѫ|1
сірскъі|1
імже|1
і|1
адамъ|1
гл҃а|1
і|1
от|1
адама|1
до|1
потопа|1
і|1
от|1
потопа|1
дондеже|1
б҃ъ|1
раздѣлі|1
ѫзъікъі|1
прі|1
стльпотвореніі|1
ꙗкоже|1
пішеть|1
размѣшеном|1
же|1
бъівшемь|1
ѫзъікомъ|1
і|1
ꙗкоже|1
сѧ|1
ѫзъіці|1
размѣсішѫ|1
тако|1
і|1
нраві|1
і|1
объічае|1
і|1
оуставі|1
і|1
законі|1
і|1
хъітрості|1
на|1
ѫзъікъі|1
егіптѣном|1
же|1
земелмѣреніе|1
а|1
персомъ|1
і|1
халдеомъ|1
і|1
асіреомъ|1
звѣздочьтеніе|1
вльшвеніе|1
врачеваніе|1
чарованіа|1
і|1
всѣ|1
хъітрость|1
чл҃ча|1
жідовом|1
же|1
ст҃ъіѫ|1
кнігъі|1
вь|1
ніхже|1
есть|1
пісано|1
ꙗко|1
б҃ъ|1
нб҃о|1
створі|1
і|1
землѧ|1
і|1
всѣ|1
ꙗже|1
на|1
неі|1
і|1
чл҃ка|1
і|1
всѣ|1
по|1
рѧдоу|1
ꙗкоже|1
пішеть|1
еліномъ|1
граматікіѧ|1
ріторікіѧ|1
філософіѫ|1
нѫ|1
прѣжде|1
сего|1
елліні|1
не|1
імѣхѫ|1
своімъ|1
ѫзъікомь|1
пісмен|1
нѫ|1
фінічьскъімі|1
пісменъі|1
пісахѫ|1
своѫ|1
сі|1
рѣчь|1
і|1
тако|1
бѣшѫ|1
многа|1
лѣта|1
панамідь|1
же|1
послѣжде|1
прішедъ|1
наченъ|1
от|1
алфъі|1
і|1
вітъі|1
҃sі|1
пісменъ|1
тъкмо|1
елліномъ|1
обрѣте|1
прѣложі|1
же|1
імъ|1
кадьмъ|1
мілісіі|1
пісмена|1
г҃|1
тѣм|1
же|1
многа|1
лѣта|1
ѳ҃і|1
пісменъі|1
пісаахѫ|1
і|1
потомъ|1
сімонідъ|1
обрѣтъ|1
пріложі|1
двѣ|1
пісмені|1
епіхаріі|1
же|1
сказатель|1
г҃|1
пісмена|1
обрѣте|1
і|1
събра|1
сѧ|1
іхь|1
к|1
д҃|1
по|1
мнозѣх|1
же|1
лѣтѣхь|1
діонісъ|1
граматікъ|1
҃s|1
двогласнъіхь|1
обрѣте|1
потом|1
же|1
дроугъіі|1
е҃|1
і|1
дроугъіі|1
г҃|1
чісменітаа|1
і|1
тако|1
мнозі|1
многъімі|1
лѣтъі|1
едва|1
събрашѫ|1
л҃|1
і|1
пісменъ|1
потом|1
же|1
многомъ|1
лѣтомъ|1
мінѫвшемъ|1
бж҃іемъ|1
повелѣніемь|1
обрѣте|1
сѧ|1
о҃|1
мѫжъ|1
іже|1
прѣложішѫ|1
от|1
жідовъскаа|1
на|1
гръчьскъіі|1
ѫзъікъ|1
а|1
словѣнскъіѫ|1
кнігъі|1
едінъ|1
ст҃ъіі|1
костантінъ|1
наріцаемъіі|1
кірілъ|1
і|1
пісмена|1
створі|1
і|1
кнігъі|1
прѣложі|1
въ|1
малѣхь|1
лѣтѣхь|1
а|1
оні|1
мнозі|1
многъі|1
лѣтъі|1
з҃|1
іхь|1
пісмена|1
оустроі҃|1
а|1
о҃|1
прѣложеніе|1
тѣм|1
же|1
словѣнскаа|1
пісмена|1
ст҃ѣіші|1
сѫт|1
і|1
чьстнѣіша|1
ст҃ь|1
бо|1
мѫжъ|1
створілъ|1
ꙗ|1
ес҃|1
а|1
гръчьскаа|1
елліні|1
погані|1
аще|1
лі|1
кто|1
речеть|1
ꙗко|1
нѣс҃|1
оустроілъ|1
добрѣ|1
понеже|1
сѧ|1
постраꙗѫть|1
і|1
еще|1
отвѣтъ|1
речемь|1
сімь|1
і|1
гръчьскъі|1
такожде|1
многажді|1
сѫть|1
постраꙗлі|1
акілла|1
і|1
сіммахь|1
і|1
потомъ|1
іні|1
мнозі|1
оудобѣе|1
бо|1
есть|1
послѣжде|1
потворіті|1
неже|1
пръвое|1
створіті|1
аще|1
бо|1
въпросіші|1
кнігьчіѧ|1
гръчьскъіѧ|1
гл҃ѧ|1
кто|1
въі|1
есть|1
пісмена|1
створілъ|1
ілі|1
кнігъі|1
прѣложілъ|1
ілі|1
вь|1
кое|1
врѣмѧ|1
то|1
рѣдціі|1
от|1
ніхь|1
вѣдѧть|1
аще|1
лі|1
въпросіші|1
словѣнскъіѧ|1
боукарѧ|1
гл҃ѧ|1
кто|1
въі|1
пісмена|1
створілъ|1
есть|1
ілі|1
кнігъі|1
прѣложілъ|1
то|1
вьсі|1
вѣдѧть|1
і|1
отвѣщавше|1
рекѫть|1
ст҃ъіі|1
костантінъ|1
філософъ|1
наріцаемъіі|1
кірълъ|1
тъ|1
намь|1
пісмена|1
створі|1
і|1
кнігъі|1
прѣложі|1
і|1
меѳодіе|1
братъ|1
его|1
і|1
аще|1
въпросіші|1
въ|1
кое|1
врѣмѧ|1
то|1
вѣдѧть|1
і|1
рекѫть|1
ꙗко|1
въ|1
врѣмена|1
міхаіла|1
ц҃рѣ|1
гръчьскаго|1
і|1
боріса|1
кнѧза|1
блъгарскаго|1
і|1
растіца|1
кнѧза|1
морска|1
і|1
коцелѣ|1
кнѧза|1
блатенска|1
въ|1
лѣта|1
же|1
от|1
създаніа|1
въсего|1
міра|1
҂҃s|1
т҃|1
ѯ|1
г҃|1
сѫть|1
же|1
і|1
іні|1
отвѣті|1
ѧже|1
і|1
інде|1
речемъ|1
а|1
нінѣ|1
нѣстъ|1
врѣмѧ|1
такъ|1
разоумъ|1
братіе|1
б҃ъ|1
есть|1
далъ|1
словѣномъ|1
емоуже|1
слава|1
і|1
чьсть|1
і|1
дръжава|1
і|1
покланѣніе|1
нінѣ|1
і|1
прісно|1
і|1
въ|1
бесконечнъіѧ|1
вѣкъі|1
амін|1
мол|2
егда|2
хотѧще|2
віноградъ|2
садіті|2
тъі|2
есі|2
х҃е|2
віноградъ|2
істінънъіі|2
і|2
оц҃ь|2
твоі|2
дѣлатель|2
есть|2
тъі|2
своѧ҃|2
апл҃ъі|2
лозіе|2
нареклъ|2
есі|2
тъі|2
іл҃ѣ|2
отъ|2
егюпта|2
прѣнесе|2
і|2
ізгъна|2
ѧзъікъі|2
і|2
насаді|2
ѧ|2
такожде|2
і|2
нъінѣ|2
прізьрі|2
на|2
віноградъ|2
съ|2
і|2
насаді|2
і|2
і|2
оукорені|2
і|2
і|2
оуглѫбі|2
мл҃сть|2
твоѭ|2
на|2
нь|2
ограді|2
і|2
острогомь|2
въходъі|2
і|2
ісходъі|2
его|2
ізбаві|2
отъ|2
снѣга|2
і|2
отъ|2
мраза|2
і|2
отъ|2
града|2
носіма|2
боуреѭ|2
вш|2
ѣко|2
мілостівъі|2
ч҃клюбець|2
б҃ъ|2
есі|2
і|2
тебѣ|2
мол|2
на|2
гроздъмі|2
віна|2
на|2
іманіе|2
бж҃е|2
сп҃е|2
нашъ|2
ізволеі|2
нарещі|2
сѧ|2
віноградомъ|2
едіночѧдааго|2
сн҃а|2
твоего|2
і|2
б҃а|2
г҃а|2
нашего|2
іс|2
х҃а|2
і|2
плодъ|2
бесъмрътенъ|2
даровавъ|2
намъ|2
імь|2
тъі|2
плодо|2
сь|2
вінънъі|2
бл҃гві|2
мо҃лтвамі|2
ст҃ъіѧ|2
бр҃цѧ|2
і|2
всѣхъ|2
ст҃ъіхъ|2
твоіхъ|2
оугождьшііхъ|2
тебѣ|2
отъ|2
вѣка|2
вш|2
благодѣтіѭ|2
і|2
щедротамі|2
едіночѧдааго|2
сн҃а|2
мол|2
начѧтью|2
віноу|2
къісѣлоу|2
гі҃|2
іс|2
х҃е|2
бж҃е|2
нашъ|2
прѣложеі|2
водѫ|2
въ|2
віно|2
въ|2
канагалілѣіскъіхъ|2
брацѣхъ|2
і|2
славѫ|2
своѭ|2
авль|2
оученікомъ|2
своімъ|2
тъі|2
і|2
нъінѣ|2
посѣті|2
отъ|2
стааго|2
жіліща|2
своего|2
і|2
бг҃ві|2
віно|2
се|2
і|2
сътворі|2
е|2
во|2
всѣко|2
благо|2
раствореніе|2
піѭщіімъ|2
да|2
без|2
всѣкоѧ|2
непріѣзнінъі|2
дѣтѣлі|2
піѭще|2
е|2
славімъ|2
тѧ|2
дателѣ|2
всемоу|2
доброу|2
пріношенью|2
оц҃а|2
і|2
сн҃а|2
і|2
с|2
мол|2
благ҃веніе|2
домоу|2
і|2
храмоу|2
бж҃е|2
сп҃телю|2
нашъ|2
съподоблеі|2
подъ|2
кровъ|2
закьхеовъ|2
вьніті|2
сп҃еніе|2
емоу|2
і|2
всемоу|2
домові|2
его|2
бъіті|2
по|2
твоемоу|2
прѣчістоумоу|2
і|2
бесъмрътъноумоу|2
гласоу|2
іже|2
отъ|2
евѣ҃лістъ|2
вселенѣі|2
въ|2
істінѫ|2
проповѣда|2
сѧ|2
тъі|2
і|2
нъінѣ|2
хотѧшѧѧ|2
сьде|2
жіті|2
намі|2
і|2
сімі|2
съмѣренъімі|2
і|2
грѣшънъімі|2
молітвъі|2
пріносѧшѧѧ|2
бл҃гві|2
і|2
прославі|2
бес|2
пакості|2
і|2
врѣжденіѣ|2
всего|2
жітіѣ|2
въ|2
храмѣ|2
семь|2
авлѣѧ|2
імъ|2
твоімі|2
благъімі|2
даръмі|2
земънъімі|2
і|2
неб҃сънъімі|2
вш|2
ѣво|2
подобает|2
ті|2
всѣ|2
слава|2
оц҃а|2
і|2
сн҃а|2
і|2
ст҃ааго|2
мол|2
над|2
всѣцѣмь|2
стадомь|2
вл҃ко|2
г҃і|2
бж҃е|2
нашъ|2
вседръжітелю|2
істінънъі|2
агньче|2
въземлѧі|2
грѣхъі|2
всего|2
міра|2
не|2
прѣзьрі|2
д҃шъ|2
молѧщь|2
сѧ|2
тебѣ|2
чклюбче|2
къ|2
тебѣ|2
прібѣгаемъ|2
і|2
тебѣ|2
сѧ|2
молімъ|2
ізволеі|2
вѣчьнааго|2
своего|2
іѣкова|2
і|2
оумъножь|2
его|2
стада|2
і|2
ізбавівъ|2
і|2
отъ|2
рѫкъі|2
ісаавовъі|2
і|2
отъ|2
лаваановъі|2
і|2
нъінѣ|2
ізволі|2
і|2
б҃лгві|2
стадо|2
се|2
і|2
оумъножі|2
е|2
на|2
тъісѧщѧ|2
і|2
на|2
тъмъі|2
і|2
ізбаві|2
нъі|2
і|2
се|2
отъ|2
насільѣ|2
іноплеменьнікъ|2
і|2
отъ|2
всего|2
часа|2
съмрътънааго|2
съблюді|2
е|2
с҃тъімі|2
аѣлъі|2
своімі|2
і|2
съподобі|2
сътѧжавъшаго|2
е|2
незавідьлівомъ|2
окомь|2
наслаждаті|2
сѧ|2
отъ|2
него|2
хвалѫ|2
тебѣ|2
пріносіті|2
вш|2
благодѣтіѭ|2
і|2
щедротамі|2
едіночѧдааго|2
мол|2
лѣжѫще|2
на|2
ложі|2
отіді|2
сотоно|2
отъ|2
сіхъ|2
двьреі|2
і|2
отъ|2
сіхъ|2
четъіръ|2
ѫголъ|2
съде|2
тебѣ|2
нѣстъ|2
мѣста|2
ні|2
прічѧстнѣ|2
сьде|2
петръ|2
сьде|2
павелъ|2
сьде|2
с҃тое|2
ев҃ѣліе|2
сьде|2
азъ|2
покланѣвъ|2
сѧ|2
лещі|2
хощѫ|2
въ|2
імѧ|2
о҃ца|2
і|2
ст҃ааго|2
д҃ха|2
нъінѣ|2
мол|2
б҃|2
томоужде|2
въ|2
імѧ|2
г҃а|2
нашего|2
іс҃|2
ха|2
посълі|2
въ|2
мѧ|2
ст҃ъіі|2
твоі|2
д҃хъ|2
і|2
въложі|2
оумъ|2
въ|2
ср҃це|2
мое|2
с҃тааго|2
твоего|2
дх҃а|2
хранѧща|2
д҃шѫ|2
моѭ|2
і|2
тѣло|2
і|2
всѧ|2
оудъі|2
тѣлесі|2
моего|2
і|2
всь|2
жівотъ|2
състава|2
моего|2
отъ|2
всего|2
зълодѣѣ|2
і|2
отъ|2
всѣкоѧ|2
сѣті|2
непріѣзнінъі|2
і|2
отъ|2
всѣхъ|2
съблазнъ|2
грѣховънъіхъ|2
і|2
наоучі|2
мѧ|2
тебѣ|2
хвалъі|2
въсъілаті|2
о҃цоу|2
і|2
сн҃оу|2
і|2
ст҃оумоу|2
дхоу|2
і|2
потом|2
вьлѣзѣте|2
вь|2
цр҃квь|2
і|2
падет|2
ніць|2
на|2
земі|2
хотѧі|2
ісповѣдаті|2
сѧ|2
і|2
глет|2
іереі|2
надъ|2
німь|2
молітвѫ|2
сіѭ|2
гі҃|2
б҃же|2
всемогъі|2
тебѣ|2
бѫдѫ|2
азъ|2
ісповѣденъ|2
всѣхъ|2
моіхъ|2
грѣхъ|2
і|2
моего|2
ліха|2
сътвореніѣ|2
сего|2
еже|2
коліжъдо|2
ізгл҃ахъ|2
і|2
ліхо|2
сътворіхъ|2
і|2
ліхо|2
мъісліхъ|2
гл҃омь|2
лі|2
дѣломь|2
лі|2
помъішленіемь|2
всего|2
еже|2
азъ|2
помьнѭ|2
любо|2
не|2
помьнѭ|2
ѣже|2
азъ|2
съгрѣшіхъ|2
любо|2
не|2
съвѣдъі|2
нѫждеѭ|2
любо|2
ненѫждеѭ|2
съпѧ|2
лі|2
вьдѧ|2
ліхо|2
клѧтвъі|2
і|2
лъжѧ|2
і|2
въ|2
помъішленьі|2
неправедьнѣ|2
поустоші|2
і|2
блѧді|2
ѣкоже|2
азъ|2
коліжъдо|2
сътворіхъ|2
і|2
всѣ|2
із|2
ліха|2
вь|2
ѣденьі|2
і|2
вь|2
пітьі|2
і|2
въ|2
неправедьнѣмь|2
съпаньі|2
молѭ|2
тѧ|2
г҃і|2
б҃же|2
моі|2
да|2
тъі|2
мі|2
рачілъ|2
жівотъ|2
і|2
мілость|2
податі|2
да|2
і|2
азъ|2
не|2
посрамленъ|2
прѣдъ|2
очіма|2
твоіма|2
бѫдѫ|2
і|2
да|2
азъ|2
еще|2
на|2
семь|2
свѣтѣ|2
моіхъ|2
грѣхъ|2
покаѭ|2
сѧ|2
і|2
достоіно|2
покааніе|2
імѣті|2
могѫ|2
ѣкоже|2
твоѧ|2
щедротъі|2
сѫтъ|2
всевлк҃о|2
г҃і|2
троіце|2
б҃же|2
всемогъі|2
бѫді|2
мі|2
помощьнікъ|2
і|2
бѫді|2
мі|2
подавъі|2
сілѫ|2
і|2
мѫдрость|2
і|2
правьденъ|2
замъіслъ|2
і|2
добрѫ|2
волѭ|2
съ|2
праведъноѭ|2
вѣроѭ|2
на|2
твоѭ|2
слоужъбѫ|2
г҃і|2
тъі|2
едінъ|2
на|2
съ|2
свѣтъ|2
пріде|2
грѣшънікъ|2
ізбавітъ|2
бѫді|2
мѧ|2
с҃псъі|2
ізбаві|2
мѧ|2
г҃і|2
б҃же|2
с҃не|2
г҃і|2
ѣкоже|2
тъі|2
хощеші|2
ѣкоже|2
ті|2
любо|2
сътворі|2
съ|2
мноѭ|2
рабомь|2
твоімь|2
мілостівъі|2
еі|2
б҃же|2
рачі|2
мі|2
помощі|2
твоемоу|2
рабоу|2
тъі|2
едінъ|2
вѣсі|2
г҃і|2
какъі|2
моѧ|2
сѫтъ|2
бѣдъі|2
вь|2
твоѭ|2
мі҃лсть|2
прѣдаѭ|2
азъ|2
мое|2
ср҃це|2
і|2
моѭ|2
мъісль|2
і|2
моѭ|2
любовь|2
і|2
моі|2
жівотъ|2
і|2
моѧ|2
грѣхъі|2
отъложі|2
моѣ|2
словеса|2
і|2
мое|2
дѣло|2
оконьчаі|2
г҃і|2
і|2
твоѭ|2
міл҃сть|2
въ|2
мнѣ|2
грѣшънѣ|2
рабѣ|2
твоімь|2
аві|2
і|2
ізбаві|2
мѧ|2
г҃і|2
отъ|2
всего|2
зъла|2
нъінѣ|2
і|2
прісно|2
і|2
вь|2
вѣкъі|2
вѣком|2
въ|3
і҃|3
в҃|3
дьнь|3
клімента|3
бъ҃|3
іже|3
нъі|3
лѣта|3
огрѧдѫцѣ|3
блаженаго|3
клімента|3
мѫченіка|3
твоего|3
і|3
папежа|3
чьстьѭ|3
веселіші|3
подазь|3
мілостівъі|3
да|3
егоже|3
чьсть|3
чьстімъ|3
сілоѭ|3
оубо|3
мѫченіѣ|3
его|3
наслѣдоуемъ|3
г҃мь|3
надъ|3
оплатмь|3
рованіѧ|3
г҃і|3
прінесенъіѧ|3
свѧті|3
і|3
ходатаѧцоу|3
блаженоумоу|3
кліментоу|3
мѫченікоу|3
твоемоу|3
сімь|3
нъі|3
отъ|3
грѣхъ|3
скврьностіі|3
нашіхъ|3
очісті|3
г҃мь|3
прѣфаціѣ|3
до|3
вѣчьнъі|3
б҃же|3
чьстьнаго|3
клімента|3
законьніка|3
і|3
мѫченіка|3
чьсті|3
чьстѧце|3
іже|3
оутѧже|3
бъіті|3
блаженоумоу|3
апостолоу|3
твоемоу|3
петроу|3
въ|3
інокості|3
подроугъ|3
въ|3
ісповѣді|3
оученікъ|3
въ|3
чьсті|3
намѣстьнікъ|3
въ|3
мѫченіі|3
наслѣдьнікъ|3
х҃мь|3
г҃мь|3
нашмь|3
по|3
въсѫдѣ|3
тѣлесе|3
свѧтаго|3
і|3
прѣдрагъіѧ|3
кръве|3
напльнені|3
вълітіѣ|3
просімъ|3
г҃і|3
б҃же|3
нашь|3
да|3
еже|3
мілостіваѣ|3
обѣцѣніѣ|3
носімъ|3
рѣснотівьнаѣ|3
іздрѣшеніѣ|3
обьмемъ|3
г҃мь|3
въ|3
тъзе|3
дьнь|3
феліцтъі|3
подазь|3
намъ|3
просімъ|3
тѧ|3
вьсемогъіі|3
б҃же|3
блаженъіѧ|3
раді|3
мѫченіцѧ|3
твоеѧ|3
феліцітъі|3
въкоупьнѫѭ|3
молітвѫ|3
і|3
тоѧзе|3
раді|3
зашчіті|3
нъі|3
г҃мь|3
ндъ|3
опл|3
на|3
слоужьбъі|3
людіі|3
твоіхъ|3
мілостіѭ|3
прізьрі|3
і|3
се|3
нъі|3
чьстьѭ|3
свѧтъіхъ|3
чьстімъ|3
сътворі|3
нъі|3
радостьнъі|3
въ|3
вѣчьнѣмь|3
жівотѣ|3
по|3
въсѫдѣ|3
съмѣрьно|3
тѧ|3
молімъ|3
вьсемогъі|3
б҃же|3
молітвамі|3
свѧтъіхъ|3
твоіхъ|3
і|3
тъі|3
самъ|3
бѫді|3
і|3
даръ|3
твоі|3
въселі|3
въ|3
нъі|3
і|3
врѣмѧ|3
наше|3
въ|3
правьдѫ|3
поставі|3
г҃мь|3
мьшѣ|3
на|3
вьсѧ|3
дьні|3
вьсего|3
лѣта|3
обідѫцѣ|3
бъ|3
іже|3
тварь|3
своѭ|3
вельмі|3
помілова|3
і|3
по|3
гнѣвѣ|3
своемь|3
ізволі|3
въплътіті|3
сѧ|3
съпасеніѣ|3
раді|3
чловѣчьска|3
і|3
въсхотѣвъ|3
намъ|3
оутврьді|3
срьдьцѣ|3
нашѣ|3
і|3
мілостіѭ|3
твоеѭ|3
просвѣті|3
нъі|3
г҃мь|3
надъ|3
оплатъмь|3
блізъ|3
насъ|3
бѫді|3
г҃і|3
просімъ|3
тѧ|3
і|3
молітвѫ|3
нашѫ|3
оуслъіші|3
да|3
оупъваніе|3
въньмемъ|3
дѣлъ|3
своіхъ|3
і|3
въ|3
любъвь|3
даръ|3
сь|3
тебѣ|3
пріносімъ|3
г҃мь|3
прѣфаціѣ|3
вѣчьнъі|3
б҃же|3
небесьскъіѧ|3
твоѧ|3
сілъі|3
просімъ|3
і|3
молімъ|3
да|3
съ|3
въішьнімі|3
твоімі|3
достоінъі|3
сътворіші|3
нъі|3
і|3
вѣчьнаѣ|3
твоѣ|3
іхъже|3
жѧдаемъ|3
подась|3
намъ|3
мілостівьно|3
х҃мь|3
г҃мь|3
нашімь|3
імь|3
по|3
въсѫдѣ|3
просімъ|3
тѧ|3
г҃і|3
дазь|3
намъ|3
да|3
свѧтъі|3
твоі|3
въсѫдъ|3
пріемлѭце|3
достоіні|3
бѫдемъ|3
очішченіѣ|3
твоего|3
і|3
вѣра|3
твоѣ|3
въ|3
насъ|3
да|3
въздрастетъ|3
г҃мь|3
