torot_word|deep_cleaned
въ|въ
тъж҇|тъж
дн҃ъ|дн҃ъ
съказаниѥ|съказаніе
и|і
страсть|страсть
и|і
похвала|похвала
ст҃ою|ст҃ою
мч҃никѹ|мч҃нікоу
бориса|боріса
и|і
глѣба|глѣба
г҃и|г҃і
блгc҇ви|блгсві
оч҃е|оч҃е
Родъ|родъ
правꙑихъ|правъііхъ
бл҃гословить|бл҃гословіть
сѧ|сѧ
рече|рече
про҇ркъ|проркъ
и|і
сѣмѧ|сѣмѧ
ихъ|іхъ
въ|въ
благословлении|благословленіі
бѹдеть|боудеть
сице|сіце
ѹбо|оубо
бꙑсть|бъість
малъмь|малъмь
преже|преже
сихъ|сіхъ
сѹщю|соущоу
самодрьжьцю|самодрьжьцоу
вьсеи|вьсеі
рѹсьскѣи|роусьскѣі
земли|землі
володимиру|володіміру
сн҃ѹ|сн҃оу
свѧтославлю|свѧтославлю
вънѹкѹ|въноукоу
же|же
игоревѹ|ігоревоу
иже|іже
и|і
ст҃ꙑимь|ст҃ъіімь
кр҃щениѥмь|кр҃щеніемь
вьсю|вьсю
просвѣти|просвѣті
сию|сію
землю|землю
рѹсьскѹ|роусьскоу
прочаѧ|прочаѧ
же|же
ѥго|его
добродѣтели|добродѣтелі
инде|інде
съкажемъ|съкажемъ
нынѣ|нъінѣ
же|же
нѣсть|нѣсть
времꙗ|времꙗ
а|а
о|о
сихъ|сіхъ
по|по
рѧду|рѧду
сице|сіце
ѥсть|есть
сь|сь
ѹбо|оубо
володимиръ|володіміръ
имѣꙗше|імѣꙗше
сн҃овъ|сн҃овъ
в҃ꙇ|в҃і
не|не
отъ|отъ
ѥдиноꙗ|едіноꙗ
женꙑ|женъі
нъ|нъ
отъ|отъ
раснъ|раснъ
матеръ|матеръ
ихъ|іхъ
въ|въ
нихъ|ніхъ
же|же
бѧше|бѧше
старѣи|старѣі
вышеславъ|въішеславъ
а|а
по|по
немь|немь
изѧславъ|ізѧславъ
г҃|г҃
ст҃опълкъ|ст҃опълкъ
иже|іже
и|і
ѹбииство|оубііство
се|се
зълоѥ|зълое
изъобрѣтъ|ізъобрѣтъ
сего|сего
мт҃и|мт҃і
преже|преже
бѣ|бѣ
чьрницею|чьрніцею
гръкꙑни|гръкъіні
сѹщи|соущі
и|і
поꙗлъ|поꙗлъ
ю|ю
бѣ|бѣ
ꙗропълкъ|ꙗропълкъ
братъ|братъ
володимирь|володімірь
и|і
ростригъ|рострігъ
ю|ю
красотꙑ|красотъі
дѣлꙗ|дѣлꙗ
лица|ліца
ѥꙗ|еꙗ
и|і
зача|зача
отъ|отъ
неꙗ|неꙗ
сего|сего
ст҃опълка|ст҃опълка
оканьнааго|оканьнааго
володимиръ|володіміръ
же|же
поганъи|поганъі
ѥще|еще
ѹбивъ|оубівъ
ꙗропълка|ꙗропълка
и|і
поꙗтъ|поꙗтъ
женѹ|женоу
ѥго|его
непраздьнѹ|непраздьноу
сѹщю|соущоу
отъ|отъ
неꙗ|неꙗ
же|же
роди|роді
сꙗ|сꙗ
сии|сіі
оканьнꙑи|оканьнъіі
ст҃опълкъ|ст҃опълкъ
и|і
бꙑсть|бъість
отъ|отъ
дъвою|дъвою
ц҃ю|ц҃ю
и|і
братѹ|братоу
сѹщю|соущоу
тѣмь|тѣмь
же|же
и|і
не|не
люблꙗаше|люблꙗаше
ѥго|его
володимиръ|володіміръ
акꙑ|акъі
не|не
отъ|отъ
себе|себе
ѥмѹ|емоу
сѹщю|соущоу
а|а
отъ|отъ
рогнѣди|рогнѣді
д҃|д҃
сн҃ꙑ|сн҃ъі
имѣꙗше|імѣꙗше
изꙗслава|ізꙗслава
и|і
мьстислава|мьстіслава
и|і
ꙗрослава|ꙗрослава
и|і
всеволода|всеволода
а|а
отъ|отъ
иноꙗ|іноꙗ
ст҃ослава|ст҃ослава
и|і
мьстислава|мьстіслава
а|а
отъ|отъ
българꙑнѣ|българъінѣ
бориса|боріса
и|і
глѣба|глѣба
и|і
посажа|посажа
всꙗ|всꙗ
по|по
роснамъ|роснамъ
землꙗмъ|землꙗмъ
въ|въ
кнꙗжении|кнꙗженіі
иже|іже
инъде|інъде
съкажемъ|съкажемъ
сихъ|сіхъ
же|же
съповѣмꙑ|съповѣмъі
ѹбо|оубо
о|о
нихъ|ніхъ
же|же
и|і
повѣсть|повѣсть
си|сі
ѥсть|есть
посади|посаді
убо|убо
сего|сего
оканьнааго|оканьнааго
Свꙗтопълка|свꙗтопълка
въ|въ
кнꙗжении|кнꙗженіі
Пиньскѣ|піньскѣ
а|а
Ꙗрослава|ꙗрослава
Новѣгородѣ|новѣгородѣ
а|а
Бориса|боріса
Ростовѣ|ростовѣ
а|а
Глѣба|глѣба
Муромѣ|муромѣ
нъ|нъ
се|се
остаану|остаану
много|много
глаголати|глаголаті
да|да
не|не
многописании|многопісаніі
въ|въ
забыть|забъіть
вълѣземъ|вълѣземъ
нъ|нъ
о|о
немьже|немьже
начахъ|начахъ
си|сі
съкажемъ|съкажемъ
убо|убо
сице|сіце
многомъ|многомъ
же|же
уже|уже
дн҃ьмъ|дн҃ьмъ
минѹвъшемъ|міноувъшемъ
и|і
ꙗко|ꙗко
съконьчаша|съконьчаша
сꙗ|сꙗ
дн҃иѥ|дн҃іе
володимирѹ|володіміроу
ѹже|оуже
минѹвъшемъ|міноувъшемъ
лѣтомъ|лѣтомъ
к҃|к҃
и҃|і҃
по|по
ст҃ѣмь|ст҃ѣмь
кр҃щении|кр҃щеніі
въпаде|въпаде
въ|въ
недѹгь|недоугь
крѣпъкъ|крѣпъкъ
въ|въ
то же|тоже
времꙗ|времꙗ
бꙗше|бꙗше
пришелъ|прішелъ
борисъ|борісъ
изд|ізд
ростова|ростова
печенегомъ|печенегомъ
же|же
о|о
онѹду|оноуду
пакы|пакъі
идущемъ|ідущемъ
ратию|ратію
на|на
рѹсь|роусь
въ|въ
велицѣ|веліцѣ
печали|печалі
бꙗаше|бꙗаше
володимиръ|володіміръ
зане|зане
не|не
можааше|можааше
изити|ізіті
противу|протіву
имъ|імъ
и|і
много|много
печалѧаше|печалѧаше
сꙗ|сꙗ
и|і
призъвавъ|прізъвавъ
бориса|боріса
ѥмуже|емуже
бѣ|бѣ
имꙗ|імꙗ
наречено|наречено
въ|въ
свѧтѣмь|свѧтѣмь
крьщении|крьщеніі
романъ|романъ
блаженааго|блаженааго
и|і
скоропослушьливааго|скоропослушьлівааго
предавъ|предавъ
воѣ|воѣ
мъногы|мъногъі
въ|въ
руцѣ|руцѣ
ѥго|его
посъла|посъла
и|і
противу|протіву
безбожьнымъ|безбожьнъімъ
печенѣгомъ|печенѣгомъ
онъ|онъ
же|же
съ|съ
радостию|радостію
въставъ|въставъ
иде|іде
рекъ|рекъ
Се|се
готовъ|готовъ
есмь|есмь
предъ|предъ
очима|очіма
твоима|твоіма
сътворити|сътворіті
елико|еліко
велить|веліть
волꙗ|волꙗ
сьрдьца|сьрдьца
твоѥго|твоего
О|о
таковыихъ|таковъііхъ
бо|бо
рече|рече
Притъчьникъ|прітъчьнікъ
Сынъ|съінъ
быхъ|бъіхъ
отьцю|отьцоу
послушьливъ|послушьлівъ
и|і
любиимъ|любіімъ
предъ|предъ
лицьмь|ліцьмь
матере|матере
своеꙗ|своеꙗ
Ошедъшю|ошедъшоу
же|же
ѥму|ему
и|і
не|не
обрѣтъшю|обрѣтъшоу
супостатъ|супостатъ
своихъ|своіхъ
възвративъшю|възвратівъшоу
сꙗ|сꙗ
въспꙗть|въспꙗть
ѥму|ему
и|і
се|се
приде|пріде
вѣстьникъ|вѣстьнікъ
къ|къ
нему|нему
повѣдаꙗ|повѣдаꙗ
ему|ему
отьчю|отьчоу
съмрьть|съмрьть
како|како
престави|преставі
сꙗ|сꙗ
отьць|отьць
его|его
Василии|васіліі
въ|въ
се|се
бо|бо
имꙗ|імꙗ
бꙗше|бꙗше
нареченъ|нареченъ
въ|въ
свѧтѣмь|свѧтѣмь
крьщении|крьщеніі
и|і
како|како
Свꙗтопълкъ|свꙗтопълкъ
потаи|потаі
сьмьрть|сьмьрть
отьца|отьца
своѥго|своего
и|і
ночь|ночь
проимавъ|проімавъ
помостъ|помостъ
на|на
Берестовѣмь|берестовѣмь
и|і
въ|въ
ковъръ|ковъръ
обьртѣвъше|обьртѣвъше
съвѣсивъше|съвѣсівъше
ужи|ужі
на|на
землю|землю
везъше|везъше
на|на
саньхъ|саньхъ
поставиша|поставіша
и|і
въ|въ
цьркви|цьркві
свꙗтыꙗ|свꙗтъіꙗ
Богородица|богородіца
и|і
ꙗко|ꙗко
услыша|услъіша
свꙗтыи|свꙗтъіі
Борисъ|борісъ
начатъ|начатъ
тѣлъмь|тѣлъмь
утьрпывати|утьрпъіваті
и|і
лице|ліце
его|его
вьсе|вьсе
сльзъ|сльзъ
испълни|іспълні
сꙗ|сꙗ
и|і
сльзами|сльзамі
разливаꙗ|разліваꙗ
сѧ|сѧ
и|і
не|не
могыи|могъіі
глаголати|глаголаті
въ|въ
сьрдьци|сьрдьці
си|сі
начать|начать
сицеваꙗ|сіцеваꙗ
вѣщати|вѣщаті
Увы|увъі
мнѣ|мнѣ
свѣте|свѣте
очию|очію
моѥю|моею
сиꙗниѥ|сіꙗніе
и|і
заре|заре
лица|ліца
моѥго|моего
бъздро|бъздро
уности|уності
моѥѣ|моеѣ
наказаниѥ|наказаніе
недоразумѣниꙗ|недоразумѣніꙗ
моѥго|моего
увы|увъі
мнѣ|мнѣ
отьче|отьче
и|і
