torot_word|deep_cleaned
С|с
Л|л
Ꙍ|о
В|в
О|о
С|с
Т҇|т
А|а
Г|г
Ꙍ|о
І|і
Ꙍ|о
(А|а
Н)|н
А|а
Ꙁ|з
Л|л
А|а
Т|т
Ꙍ|о
Ꙋ|оу
С|с
Т|т
А|а
Г|г
О|о
С|с
Т҇|т
Ыѫ̇|Ыѫ
великыѧ̇|велікъіѧ
мⷱ҇нцѧ|мчнцѧ
е̇катерини|екатеріні
г͠и|г҃і
бл͠гослови|бл҃гослові
ѡ̇ч͠е|оч҃е
Въ|въ
лѣто|лѣто
тридесетꙿноѥ̇|трідесетное
и̇|і
пѧто|пѧто
цр͠ъстоуѧ̇щоу|цр҃ъстоуѧщоу
невѣрꙿномоу|невѣрномоу
и̇|і
прѣстѫпꙿномоу|прѣстѫпномоу
макꙿсенꙿдию̇|максендію
тогаⷣ|тогад
сѣде|сѣде
цр͠ь|цр҃ь
макьсенꙿтие̇|макьсентіе
на|на
сѫдищи|сѫдіщі
вь|вь
градѣ|градѣ
а̇лекꙿсанꙿдрии̇|александріі
и̇|і
ꙁаповелѣ|заповелѣ
ꙗ̇ко|ꙗко
вꙿсѣкы|всѣкъі
да|да
сѧ|сѧ
поклонить|поклоніть
богомь|богомь
и̇|і
да|да
сѧ|сѧ
ѿпоустить|отпоустіть
напі̇савꙿше|напісавше
ѥ̇пистолиѫ̇|епістоліѫ
и̇мѫщи|імѫщі
причѫ̇|прічѫ
сице|сіце
цр͠ь|цр҃ь
макꙿсенꙿтиѥ̇|максентіе
въсеи̇|въсеі
вꙿселенѣи̇|вселенѣі
раⷣоуи̇|радоуі
сѧ|сѧ
вꙿсѣкь|всѣкь
члв͠къ|члв҃къ
да|да
прихꙩдить|пріходіть
въ|въ
градъ|градъ
а̇лекꙿсанꙿѫ̇|алексанѫ
да|да
пожреть|пожреть
бг͠омъ|бг҃омъ
кꙿто|кто
ли|лі
сѧ|сѧ
ѡ̇брѧщеть|обрѧщеть
непослоушаѫ̇|непослоушаѫ
цр͠ево|цр҃ево
повелѣниє̇|повелѣніе
мечемь|мечемь
и̇|і
ѡ̇гꙿнемь|огнемь
да|да
погибнеть|погібнеть
писаниꙗ̇|пісаніꙗ
же|же
ѿпоущена|отпоущена
бивъша|бівъша
придошѫ|прідошѫ
кь|кь
немоу|немоу
много|много
мꙿножьство|множьство
члв͠къ|члв҃къ
живѫщии̇хь|жівѫщііхь
въ|въ
мѣстѣ|мѣстѣ
томь|томь
ꙗ̇кⷪже|ꙗкоже
сѧ|сѧ
сьбра|сьбра
множьстꙿво|множьство
и̇|і
не|не
бѣ|бѣ
сьбіраѫ̇|сьбіраѫ
и̇хь|іхь
мѣсто|мѣсто
на|на
дроугыи̇|дроугъіі
же|же
дн͠ь|дн҃ь
сѣде|сѣде
цр͠ь|цр҃ь
макꙿсенꙿтиє̇|максентіе
на|на
прѣстолѣ|прѣстолѣ
повелѣ|повелѣ
слоугамь|слоугамь
свои̇мь|своімь
личити|лічіті
вьсѣкь|вьсѣкь
да|да
сьбираѥ̇ть|сьбіраеть
сѧ|сѧ
въ|въ
храмь|храмь
и̇дольскыи̇|ідольскъіі
ꙁаповєлѣ|заповелѣ
цр͠ь|цр҃ь
въсѣкомоу|въсѣкомоу
чл͠коу|чл҃коу
приносити|пріносіті
сь|сь
собоѫ̇|собоѫ
ю̇ньцѧ|юньцѧ
и̇|і
ѻ̇вцѧ|овцѧ
оу̇богимь|оубогімь
же|же
и̇|і
нищымь|ніщъімь
птицѧ|птіцѧ
и̇|і
голѫби|голѫбі
на|на
жрьтвѫ|жрьтвѫ
бг͠омь|бг҃омь
цр͠ь|цр҃ь
же|же
повелѣ|повелѣ
на|на
своѫ̇|своѫ
жрьтвѫ|жрьтвѫ
прівести|прівесті
ю̇ньцѧ|юньцѧ
.р͠.|р҃
и̇|і
.л͠.|л҃
въ|въ
и̇мѧ|імѧ
цр͠єво|цр҃ево
сиꙗ̇|сіꙗ
же|же
видѣвьше|відѣвьше
цр͠ьѥ̇|цр҃ье
и̇|і
кнѧꙁы|кнѧзъі
и̇гемонии̇|ігемоніі
ѥ̇парьсы|епарьсъі
и|і
трибоуны|трібоунъі
и̇|і
є̇лико|еліко
бѣшѫ|бѣшѫ
над|над
области|області
и̇хь|іхь
оу̇боꙃи|оубозі
и̇|і
нищы|ніщъі
ѻ̇вы|овъі
четвороногаꙗ̇|четвороногаꙗ
приведошѫ|пріведошѫ
ѡ̇вы|овъі
принесошѧ|прінесошѧ
пꙿтицѧ|птіцѧ
толꙿко|толко
множьства|множьства
ꙗ̇ко|ꙗко
немощии̇хь|немощііхь
побрати|побраті
ни|ні
весь|весь
градь|градь
ѿ|от
толика|толіка
