47,<wb>о
303 23 1293 675,<wb>пі|с|мене|хь
1849 85 95 19 218,<wb>чръ|но|рі|з|ца
780 982,<wb>хра|бъра
536,<wb>прѣжде
222,<wb>оубо
269 87 126,<wb>сло|вѣ|не
62,<wb>не
414 187,<wb>імѣ|хѫ
1275 252,<wb>кні|гъ
45 30,<wb>н|ѫ
1849 94 123,<wb>чръ|та|мі
39,<wb>і
306 1696,<wb>рѣ|замі
354 319 187,<wb>чь|тѣ|хѫ
39,<wb>і
480 94 216,<wb>га|та|ахѫ
67 212 60,<wb>по|га|ні
2021,<wb>сѫште
527 147 18 82,<wb>кръ|сті|в|ше
71,<wb>же
70,<wb>сѧ
607 14 384 123,<wb>рі|м|ска|мі
39,<wb>і
1611 229 344 123,<wb>гръ|чь|скъі|мі
303 23 206 139,<wb>пі|с|ме|нъі
45 30 470 216,<wb>н|ѫ|жда|ахѫ
70,<wb>сѧ
269 87 10 344,<wb>сло|вѣ|н|скъі
306 229,<wb>рѣ|чь
277 312,<wb>бе|зь
1864 117 11 60 17,<wb>оуст|ро|е|ні|а
45 30,<wb>н|ѫ
376,<wb>како
507 133,<wb>може|ть
70,<wb>сѧ
979 52,<wb>піса|ті
932,<wb>добрѣ
1611 229 344 123,<wb>гръ|чь|скъі|мі
303 23 206 139,<wb>пі|с|ме|нъі
443,<wb>бъ
518,<wb>ілі
920,<wb>жівотъ
518,<wb>ілі
760,<wb>зѣло
518,<wb>ілі
476 59 180,<wb>цр|ко|вь
518,<wb>ілі
567 17 200,<wb>ча|а|ніе
518,<wb>ілі
38 116 117 94,<wb>|ші|ро|та
518,<wb>ілі
78 188,<wb>ѣ|дь
518,<wb>ілі
641 270,<wb>ѫ|доу
518,<wb>ілі
1679 214,<wb>юно|сть
518,<wb>ілі
641 378 138,<wb>ѫ|зъі|къ
39,<wb>і
39 1027,<wb>і|наа
67 34 31 1027,<wb>по|д|б|наа
159 106,<wb>сі|мь
39,<wb>і
311,<wb>тако
165 434,<wb>бѣ|шѫ
1022,<wb>многа
1791,<wb>лѣта
1182 14,<wb>пото|м
71,<wb>же
345 59 182 287 446,<wb>чл|ко|лю|бе|цъ
443,<wb>бъ
251 117 30 16,<wb>ст|ро|ѫ|і
572,<wb>всѣ
39,<wb>і
62,<wb>не
405 597 30,<wb>оста|влѣ|ѫ
345 266,<wb>чл|ча
2009,<wb>рода
277 312,<wb>бе|зь
406 143,<wb>разоу|ма
45 30,<wb>н|ѫ
41 281,<wb>в|сѧ
150,<wb>къ
406 88,<wb>разоу|моу
90 63 275,<wb>прі|во|дѧ
39,<wb>і
637 199 690,<wb>сп|се|нію
1094 2010 180,<wb>помі|лова|вь
1441,<wb>родъ
345 229,<wb>чл|чь
341 66,<wb>пос|ла
2008,<wb>імь
251 58,<wb>ст|го
184 10 163 10 52 102,<wb>ко|н|ста|н|ті|на
1170 17,<wb>філософ|а
1105 143 58,<wb>наріцае|ма|го
72 16 95 66,<wb>к|і|рі|ла
1376,<wb>мѫжа
1000 34 102,<wb>праве|д|на
39,<wb>і
399 1542,<wb>істі|нна
39,<wb>і
261,<wb>сътворі
210,<wb>імъ
38 36,<wb>|л
303 23 206 102,<wb>пі|с|ме|на
39,<wb>і
464 106,<wb>ос|мь
47 103,<wb>о|ва
222,<wb>оубо
67,<wb>по
666 274,<wb>чі|ноу
1611 229 344 675,<wb>гръ|чь|скъі|хь
303 23 206 98,<wb>пі|с|ме|нъ
47 103,<wb>о|ва
71,<wb>же
67,<wb>по
269 87 10 492 16,<wb>сло|вѣ|н|стѣ|і
306 185,<wb>рѣ|чі
221,<wb>от
638 103 58,<wb>пръ|ва|го
71,<wb>же
68 1960,<wb>на|ченъ
67,<wb>по
1611 229 795,<wb>гръ|чь|скоу
609,<wb>оні
222,<wb>оубо
1712 20 17,<wb>ал|ф|а
77,<wb>а
75,<wb>съ
290,<wb>азъ
221,<wb>от
77 230,<wb>а|за
904 133,<wb>начѧ|ть
1581 11,<wb>обо|е
39,<wb>і
308,<wb>ѣкоже
609,<wb>оні
574 31 153 82,<wb>подо|б|ль|ше
70,<wb>сѧ
1109 180 344 106,<wb>жідо|вь|скъі|мь
303 23 1293 106,<wb>пі|с|мене|мь
261 434,<wb>сътворі|шѫ
311,<wb>тако
39,<wb>і
75,<wb>съ
1611 229 344 55,<wb>гръ|чь|скъі|мъ
1109 146,<wb>жідо|ве
112,<wb>бо
638 1356,<wb>пръ|вое
303 23 282,<wb>пі|с|мѧ
466 133,<wb>імѧ|ть
1463 20 25,<wb>але|ф|ь
295,<wb>еже
70,<wb>сѧ
40 839 1359,<wb>с|каза|еть
571 126 200,<wb>оучі|не|ніе
1144 158 30 91,<wb>съвръ|ша|ѫ|ште
56 63 89 88,<wb>въ|во|ді|моу
1907 324,<wb>дѣті|штоу
39,<wb>і
441 91,<wb>глѧ|ште
571,<wb>оучі
70,<wb>сѧ
295,<wb>еже
715,<wb>есть
1463 20 25,<wb>але|ф|ь
39,<wb>і
1611 215,<wb>гръ|ці
574 31 24 91,<wb>подо|б|ѧ|ште
70,<wb>сѧ
650,<wb>томоу
1712 20 17,<wb>ал|ф|а
306 434,<wb>рѣ|шѫ
39,<wb>і
40 764 197,<wb>с|подо|бі
70,<wb>сѧ
141 200,<wb>рече|ніе
40 839 60 17,<wb>с|каза|ні|а
1109 180 384,<wb>жідо|вь|ска
1611 229 795,<wb>гръ|чь|скоу
641 378 273,<wb>ѫ|зъі|коу
105,<wb>да
141 133,<wb>рече|ть
1907 324,<wb>дѣті|штоу
81,<wb>вь
286 17,<wb>оучені|а
707,<wb>мѣсто
39 166,<wb>і|шті
1712 20 17,<wb>ал|ф|а
112,<wb>бо
39 116,<wb>і|ші
70,<wb>сѧ
141 133,<wb>рече|ть
1611 229 838 106,<wb>гръ|чь|ско|мь
641 378 391,<wb>ѫ|зъі|комъ
330 14,<wb>тѣ|м
112,<wb>бо
67 34 31 24,<wb>по|д|б|ѧ
70,<wb>сѧ
862,<wb>стъіі
72 16 95 137,<wb>к|і|рі|лъ
1711,<wb>створі
638 1356,<wb>пръ|вое
303 23 282,<wb>пі|с|мѧ
695,<wb>азь
45 30,<wb>н|ѫ
99,<wb>ѣко
39,<wb>і
638 63 88,<wb>пръ|во|моу
1610,<wb>сѫштоу
303 23 206 60,<wb>пі|с|ме|ні
695,<wb>азь
39,<wb>і
221,<wb>от
422,<wb>ба
105 274,<wb>да|ноу
310 270,<wb>ро|доу
269 87 10 838 88,<wb>сло|вѣ|н|ско|моу
68,<wb>на
1150 147 11,<wb>отвръ|сті|е
1409,<wb>оустъ
56,<wb>въ
406 55,<wb>разоу|мъ
1408 166 14,<wb>оучѧ|шті|м
70,<wb>сѧ
710 13 103 55,<wb>боу|к|ва|мъ
367 1543,<wb>велі|комь
234 728 48 200 106,<wb>раз|дві|же|ніе|мь
1409,<wb>оустъ
1317 129 32,<wb>възгла|сі|т
70,<wb>сѧ
77,<wb>а
1254,<wb>она
303 23 206 102,<wb>пі|с|ме|на
998 55,<wb>мало|мъ
234 728 48 200 106,<wb>раз|дві|же|ніе|мь
1409,<wb>оустъ
1317 281 32,<wb>възгла|сѧ|т
70,<wb>сѧ
39,<wb>і
1031 30 32,<wb>ісповѣда|ѫ|т
70,<wb>сѧ
121,<wb>се
71,<wb>же
202 133,<wb>сѫ|ть
303 23 206 102,<wb>пі|с|ме|на
269 87 119 384 17,<wb>сло|вѣ|нь|ска|а
931,<wb>сіце
77,<wb>а
67 34 334 1359,<wb>по|д|ба|еть
979 52,<wb>піса|ті
39,<wb>і
1375,<wb>глаті
77,<wb>а
49,<wb>б
41,<wb>в
65,<wb>г
1818 16,<wb>дроузі|і
71,<wb>же
441 133,<wb>глѧ|ть
67,<wb>по
394,<wb>что
715,<wb>есть
38 36,<wb>|л
39,<wb>і
303 23 206 98,<wb>пі|с|ме|нъ
1711 137,<wb>створі|лъ
77,<wb>а
507 133,<wb>може|ть
70,<wb>сѧ
39,<wb>і
296 10 116 106,<wb>ме|н|ші|мь
485,<wb>того
979 52,<wb>піса|ті
308,<wb>ѣкоже
39,<wb>і
1611 215,<wb>гръ|ці
72,<wb>к
53,<wb>д
303 434 133,<wb>пі|шѫ|ть
39,<wb>і
62,<wb>не
140 275 133,<wb>вѣ|дѧ|ть
1390 259 106,<wb>колі|цѣ|мь
303 434 133,<wb>пі|шѫ|ть
1611 215,<wb>гръ|ці
715,<wb>есть
112,<wb>бо
222,<wb>оубо
72,<wb>к
53,<wb>д
303 23 206 98,<wb>пі|с|ме|нъ
45 30,<wb>н|ѫ
62,<wb>не
68 37 137 118 30 32,<wb>на|п|лъ|нѣ|ѫ|т
70,<wb>сѧ
330 123,<wb>тѣ|мі
1275 253,<wb>кні|гъі
45 30,<wb>н|ѫ
1906 74,<wb>пріложі|лі
419,<wb>сѫтъ
1526 810 23 139 675,<wb>дво|гла|с|нъі|хь
77 16,<wb>а|і
39,<wb>і
56,<wb>въ
666 23 1293 9,<wb>чі|с|мене|х
71,<wb>же
65,<wb>г
38 5,<wb>|s
50,<wb>е
39,<wb>і
1077,<wb>ѳ
612 32 465,<wb>десѧ|т|ное
39,<wb>і
1077,<wb>ѳ
75 32 465,<wb>съ|т|ное
39,<wb>і
75 1633 30 32,<wb>съ|біра|ѫ|т
70,<wb>сѧ
39 675,<wb>і|хь
38 36,<wb>|л
39,<wb>і
330 1042,<wb>тѣ|мже
67,<wb>по
650,<wb>томоу
67 34 31 85,<wb>по|д|б|но
39,<wb>і
56,<wb>въ
617 235,<wb>ть|жде
1789,<wb>образъ
1711,<wb>створі
862,<wb>стъіі
72 16 95 137,<wb>к|і|рі|лъ
38 36,<wb>|л
39,<wb>і
303 23 206 98,<wb>пі|с|ме|нъ
1818 16,<wb>дроузі|і
71,<wb>же
441 133,<wb>глѧ|ть
1316 88,<wb>чесо|моу
71,<wb>же
202 133,<wb>сѫ|ть
269 87 10 344,<wb>сло|вѣ|н|скъі
1275 253,<wb>кні|гъі
122,<wb>ні
485,<wb>того
112,<wb>бо
715,<wb>есть
443,<wb>бъ
1711 137,<wb>створі|лъ
122,<wb>ні
176,<wb>то
714 28 74,<wb>аг|г|лі
122,<wb>ні
202 133,<wb>сѫ|ть
1282,<wb>іжде
184 10 60,<wb>ко|н|ні
99,<wb>ѣко
1109 180 344,<wb>жідо|вь|скъі
39,<wb>і
607 14 344,<wb>рі|м|скъі
39,<wb>і
1394 10 344,<wb>елі|н|скъі
1282,<wb>іжде
221,<wb>от
184 102,<wb>ко|на
202 133,<wb>сѫ|ть
39,<wb>і
90 30 289,<wb>прі|ѫ|тъі
202 32,<wb>сѫ|т
49 55,<wb>б|мъ
77,<wb>а
1818 16,<wb>дроузі|і
51 375 133,<wb>м|нѧ|ть
99,<wb>ѣко
443,<wb>бъ
489,<wb>намъ
715,<wb>есть
1711 137,<wb>створі|лъ
303 23 206 102,<wb>пі|с|ме|на
39,<wb>і
62,<wb>не
140 275 32,<wb>вѣ|дѧ|т
70,<wb>сѧ
394,<wb>что
441 91,<wb>глѧ|ште
47 134 1280 276,<wb>о|ка|ан|ніі
39,<wb>і
99,<wb>ѣко
1188 123,<wb>трі|мі
641 378 148,<wb>ѫ|зъі|къі
715,<wb>есть
443,<wb>бъ
449 137,<wb>повелѣ|лъ
1275 212 55,<wb>кні|га|мъ
503,<wb>бъіті
308,<wb>ѣкоже
56,<wb>въ
1523 28 74,<wb>еу|г|лі
303 82 133,<wb>пі|ше|ть
39,<wb>і
165,<wb>бѣ
