3802,<wb>кьнігъі
310 34 793,<wb>ро|д|ства
5622 1389,<wb>іу|хва
732,<wb>сна
53 7369,<wb>д|два
732,<wb>сна
1310 1442,<wb>авраа|млѣ
3450,<wb>авраамъ
790,<wb>роді
5994 134,<wb>ісаа|ка
5994 569,<wb>ісаа|кь
71,<wb>же
790,<wb>роді
3234 103,<wb>іако|ва
3234 92,<wb>іако|въ
71,<wb>же
790,<wb>роді
6038,<wb>іюдѫ
39,<wb>і
4370,<wb>братіѭ
135,<wb>его
1667,<wb>іюда
71,<wb>же
790,<wb>роді
593 174 170,<wb>фа|ре|са
39,<wb>і
171 61,<wb>за|ра
84,<wb>отъ
373 143 339,<wb>та|ма|ръі
593 174 173,<wb>фа|ре|съ
71,<wb>же
790,<wb>роді
430 117 143,<wb>ес|ро|ма
430 117 106,<wb>ес|ро|мь
71,<wb>же
790,<wb>роді
77 61 17 143,<wb>а|ра|а|ма
77 61 17 55,<wb>а|ра|а|мъ
71,<wb>же
790,<wb>роді
475 102 86 103,<wb>амі|на|да|ва
475 102 86 92,<wb>амі|на|да|въ
71,<wb>же
790,<wb>роді
68 23 263 102,<wb>на|с|со|на
68 23 263 98,<wb>на|с|со|нъ
71,<wb>же
790,<wb>роді
301 153 7370,<wb>са|ль|мона
301 36 1921,<wb>са|л|монъ
71,<wb>же
790,<wb>роді
240 12 230,<wb>во|о|за
221,<wb>от
120 432 219,<wb>ра|ха|въі
240 12 312,<wb>во|о|зь
71,<wb>же
790,<wb>роді
1953 12 86,<wb>ові|о|да
84,<wb>отъ
310 289,<wb>ро|тъі
1953 12 113,<wb>ові|о|дъ
71,<wb>же
790,<wb>роді
1112 199 17,<wb>іе|се|а
1112 199 16,<wb>іе|се|і
71,<wb>же
790,<wb>роді
53 86,<wb>д|да
2470,<wb>црѣ
5706,<wb>ддъ
71,<wb>же
774,<wb>црь
790,<wb>роді
4816 102,<wb>соломо|на
221,<wb>от
73 606 471,<wb>оу|ріі|нъіѧ
3086 1921,<wb>соло|монъ
71,<wb>же
790,<wb>роді
310 63 17 143,<wb>ро|во|а|ма
310 63 17 55,<wb>ро|во|а|мъ
71,<wb>же
790,<wb>роді
1757 17 86,<wb>аві|а|да
1757 17 113,<wb>аві|а|дъ
71,<wb>же
790,<wb>роді
3091 170,<wb>ас|са
3091 349,<wb>ас|сь
71,<wb>же
790,<wb>роді
521 170 2347 94,<wb>іоа|са|фа|та
521 5418 542,<wb>іоа|саф|атъ
71,<wb>же
790,<wb>роді
521 61 143,<wb>іоа|ра|ма
521 61 106,<wb>іоа|ра|мь
71,<wb>же
790,<wb>роді
359 320 3,<wb>іо|зі|ѭ
359 320 33,<wb>іо|зі|ѣ
71,<wb>же
790,<wb>роді
521 94 143,<wb>іоа|та|ма
521 94 106,<wb>іоа|та|мь
71,<wb>же
790,<wb>роді
77 432 230,<wb>а|ха|за
77 432 312,<wb>а|ха|зь
71,<wb>же
790,<wb>роді
1112 1140 6722,<wb>іе|зе|кіѭ
1112 1140 7372,<wb>іе|зе|кіѣ
71,<wb>же
790,<wb>роді
1634 4978,<wb>мана|сіѭ
1634 1481,<wb>мана|сіі
71,<wb>же
790,<wb>роді
77 172 170,<wb>а|мо|са
77 172 349,<wb>а|мо|сь
71,<wb>же
790,<wb>роді
1009 3,<wb>іосі|ѭ
1009 17,<wb>іосі|а
71,<wb>же
790,<wb>роді
359 196 2149,<wb>іо|хо|ніѭ
39,<wb>і
4370,<wb>братіѭ
135,<wb>его
56,<wb>въ
7373 5995,<wb>прѣсе|леніі
152 8032 10 492 17 106,<wb>ва|віло|н|стѣ|а|мь
67,<wb>по
7373 5995,<wb>прѣсе|леніі
71,<wb>же
152 8032 5325,<wb>ва|віло|ньстѣ
359 196 297,<wb>іо|хо|ніѣ
790,<wb>роді
301 5147 104,<wb>са|латі|лѣ
301 5147 153,<wb>са|латі|ль
71,<wb>же
790,<wb>роді
2350 3537 146 104,<wb>зо|рова|ве|лѣ
2350 3537 146 153,<wb>зо|рова|ве|ль
71,<wb>же
790,<wb>роді
1757 42 86,<wb>аві|оу|да
1757 42 113,<wb>аві|оу|дъ
71,<wb>же
790,<wb>роді
1394 17 1423 143,<wb>елі|а|кі|ма
1394 17 1423 106,<wb>елі|а|кі|мь
71,<wb>же
790,<wb>роді
77 230 61,<wb>а|за|ра
77 230 125,<wb>а|за|рь
71,<wb>же
790,<wb>роді
301 151 134,<wb>са|до|ка
301 151 569,<wb>са|до|кь
71,<wb>же
790,<wb>роді
77 493 102,<wb>а|хі|на
77 493 98,<wb>а|хі|нъ
71,<wb>же
790,<wb>роді
1394 42 86,<wb>елі|оу|да
1394 42 113,<wb>елі|оу|дъ
71,<wb>же
790,<wb>роді
1394 11 921 61,<wb>елі|е|зо|ра
1394 11 921 101,<wb>елі|е|зо|ръ
71,<wb>же
790,<wb>роді
5044 94 102,<wb>мат|та|на
5044 94 98,<wb>мат|та|нъ
71,<wb>же
790,<wb>роді
3234 103,<wb>іако|ва
3234 92,<wb>іако|въ
71,<wb>же
790,<wb>роді
5635,<wb>іосіфа
1376,<wb>мѫжа
2621 102,<wb>маріі|на
168,<wb>із
2861 48,<wb>неѧ|же
790,<wb>роді
70,<wb>сѧ
331,<wb>ісъ
2770,<wb>наріцаемъі
930,<wb>хъ
704,<wb>вьсѣхъ
71,<wb>же
310 1759,<wb>ро|довъ
221,<wb>от
4676,<wb>авраама
156,<wb>до
53 86,<wb>д|да
310 1759,<wb>ро|довъ
300,<wb>гі
238,<wb>те
39,<wb>і
221,<wb>от
53 86,<wb>д|да
156,<wb>до
7373 2215,<wb>прѣсе|леніѣ
152 8032 10 1366,<wb>ва|віло|н|скааго
310 1759,<wb>ро|довъ
300,<wb>гі
238,<wb>те
39,<wb>і
221,<wb>от
7373 2215,<wb>прѣсе|леніѣ
152 8032 10 1366,<wb>ва|віло|н|скааго
156,<wb>до
1236,<wb>ха
310 1759,<wb>ро|довъ
300,<wb>гі
238,<wb>те
107 9 63,<wb>іс|х|во
71,<wb>же
310 34 372,<wb>ро|д|ство
931,<wb>сіце
798,<wb>бъіс
6159 118,<wb>обрѫче|нѣ
6838 116,<wb>бъівь|ші
2776,<wb>матері
135,<wb>его
2621,<wb>маріі
1072 2023,<wb>іосіф|ові
536,<wb>прѣжде
2238,<wb>даже
62,<wb>не
190 375 242,<wb>сь|нѧ|сте
70,<wb>сѧ
1128,<wb>обрѣте
70,<wb>сѧ
3456,<wb>імѫшті
56,<wb>въ
4188,<wb>чрѣвѣ
221,<wb>от
2042,<wb>дха
305,<wb>ста
107 9 63,<wb>іс|х|во
71,<wb>же
310 34 372,<wb>ро|д|ство
931,<wb>сіце
1072 25,<wb>іосіф|ь
71,<wb>же
1186,<wb>мѫжь
908,<wb>еѧ
5953,<wb>правьденъ
576,<wb>съі
39,<wb>і
62,<wb>не
919,<wb>хотѧ
1503 2298,<wb>облі|чіті
908,<wb>еѧ
2608,<wb>въсхотѣ
878,<wb>таі
4458,<wb>поустіті
483,<wb>ѭ
121,<wb>се
71,<wb>же
144,<wb>емоу
8033 153 358,<wb>оумъіш|ль|шоу
121,<wb>се
2370,<wb>англъ
2408,<wb>гнь
81,<wb>вь
3439,<wb>сьнѣ
1173,<wb>ѣві
70,<wb>сѧ
144,<wb>емоу
441,<wb>глѧ
1072 11,<wb>іосіф|е
3631,<wb>сне
53 4813,<wb>д|двъ
62,<wb>не
3505,<wb>оубоі
70,<wb>сѧ
1625,<wb>пріѧті
1881,<wb>женъі
1532,<wb>твоеѧ
7091,<wb>маріѧ
2021 11,<wb>сѫште|е
112,<wb>бо
81,<wb>вь
1079,<wb>неі
221,<wb>от
2042,<wb>дха
305,<wb>ста
161,<wb>естъ
790 32,<wb>роді|т
71,<wb>же
732,<wb>сна
39,<wb>і
5438,<wb>наречеші
466,<wb>імѧ
144,<wb>емоу
331,<wb>ісъ
157,<wb>тъ
112,<wb>бо
6815,<wb>спсетъ
844,<wb>люді
599,<wb>своѧ
377,<wb>оть
1772,<wb>грѣхъ
299,<wb>іхъ
121,<wb>се
71,<wb>же
429,<wb>вьсе
798,<wb>бъіс
105,<wb>да
2158 6855,<wb>събѫ|дет
70,<wb>сѧ
3075,<wb>реченое
84,<wb>отъ
480,<wb>га
2136 653,<wb>ісаі|ем
7628,<wb>прркмъ
8034,<wb>глштемъ
121,<wb>се
250 103,<wb>дѣ|ва
56,<wb>въ
4188,<wb>чрѣвѣ
2290,<wb>прііметъ
39,<wb>і
4838,<wb>родітъ
732,<wb>сна
39,<wb>і
2642 4675,<wb>наре|кѫтъ
466,<wb>імѧ
144,<wb>емоу
50 10 143 8035 153,<wb>е|н|ма|ноуі|ль
295,<wb>еже
161,<wb>естъ
190 839 1637,<wb>сь|каза|емо
190,<wb>сь
2512,<wb>намі
443,<wb>бъ
1343,<wb>въставъ
71,<wb>же
1072 25,<wb>іосіф|ь
84,<wb>отъ
190 102,<wb>сь|на
2579,<wb>сьтворі
308,<wb>ѣкоже
449,<wb>повелѣ
144,<wb>емоу
2370,<wb>англъ
39,<wb>і
1505,<wb>пріѧтъ
1433,<wb>женѫ
651,<wb>своѭ
39,<wb>і
62,<wb>не
535 177,<wb>зна|аше
908,<wb>еѧ
2419,<wb>дондеже
790,<wb>роді
423,<wb>снъ
424,<wb>своі
1950 1959,<wb>пръвѣ|нець
39,<wb>і
1220,<wb>нарече
466,<wb>імѧ
144,<wb>емоу
331,<wb>ісъ
39,<wb>і
2642 8,<wb>наре|ч
466,<wb>імѧ
144,<wb>емоу
331,<wb>ісъ
1073,<wb>ісоу
7069 358,<wb>рождь|шоу
70,<wb>сѧ
56,<wb>въ
6405 12 123,<wb>віѳле|о|мі
685 492 106,<wb>іюдеі|стѣ|мь
56,<wb>въ
752,<wb>дьні
6969,<wb>ірода
2470,<wb>црѣ
121,<wb>се
1651 2047,<wb>влъ|сві
84,<wb>отъ
3202 569,<wb>въсто|кь
955,<wb>прідѫ
56,<wb>въ
6429,<wb>іерлмъ
1440,<wb>глште
4118,<wb>кьде
161,<wb>естъ
2441 16,<wb>рожде|і
70,<wb>сѧ
774,<wb>црь
685 6848,<wb>іюдеі|скь
2219,<wb>відѣхомъ
112,<wb>бо
3054 175,<wb>звѣз|дѫ
135,<wb>его
68,<wb>на
81 217 259,<wb>вь|сто|цѣ
39,<wb>і
90 868,<wb>прі|домъ
2275 846,<wb>покло|нітъ
70,<wb>сѧ
144,<wb>емоу
990,<wb>слъішавъ
71,<wb>же
2352,<wb>іродъ
774,<wb>црь
190 282 54,<wb>сь|мѧ|те
70,<wb>сѧ
39,<wb>і
1285,<wb>весь
2480 3731,<wb>іер|слмъ
75,<wb>съ
528,<wb>німъ
39,<wb>і
3581 92,<wb>събьра|въ
618,<wb>вьсѧ
665 24,<wb>архіере|ѧ
39,<wb>і
3771 946,<wb>кьніжь|нікъі
1468 1185,<wb>людь|скъіѧ
2840,<wb>въпрашааше
225,<wb>ѧ
4118,<wb>кьде
930,<wb>хъ
7536,<wb>раждаетъ
70,<wb>сѧ
609,<wb>оні
71,<wb>же
510,<wb>рѣшѧ
144,<wb>емоу
56,<wb>въ
6405 12 123,<wb>віѳле|о|мі
685 2524,<wb>іюдеі|стѣі
311,<wb>тако
112,<wb>бо
2141,<wb>пісано
161,<wb>естъ
39,<wb>і
288,<wb>тъі
6405 11 206,<wb>віѳле|е|ме
4381,<wb>земле
411 1212,<wb>ію|дова
5866 55,<wb>нічі|мъ
71,<wb>же
296 119 116,<wb>ме|нь|ші
313,<wb>есі
81,<wb>вь
6021 134 76,<wb>влд|ка|хъ
411 1212 76,<wb>ію|дова|хъ
107,<wb>іс
614,<wb>тебе
112,<wb>бо
4884,<wb>ізідетъ
240 716,<wb>во|ждъ
227,<wb>іже
6258 2126,<wb>оупа|сетъ
844,<wb>люді
599,<wb>своѧ
6008,<wb>ілѣ
916,<wb>тогда
2352,<wb>іродъ
878,<wb>таі
5330 906,<wb>прізь|вавъ
1693 9 219,<wb>вль|х|въі
2866,<wb>іспъіта
221,<wb>от
562,<wb>ніхъ
783,<wb>врѣмѧ
78 2012 1915,<wb>ѣ|вль|шѧѧ
70,<wb>сѧ
5071,<wb>звѣздъі
39,<wb>і
3319 180,<wb>посьла|вь
225,<wb>ѧ
56,<wb>въ
6405 1321,<wb>віѳле|омъ
141,<wb>рече
1340 7353,<wb>ше|дьше
