12,о
1861 228 550,піс|мене|хь
5509 86 19 176,чръно|рі|з|ца
467 833,хра|бъра
444,прѣжде
181,оубо
4628 47,словѣ|не
47,не
312 159,імѣ|хѫ
971 196,кні|гъ
148,нѫ
1298 117 90,чръ|та|мі
16,і
77 1500,рѣ|замі
154 172 159,чь|тѣ|хѫ
16,і
153 3599,га|таахѫ
2727 44,пога|ні
1802,сѫште
1472 2263,кръсті|вше
42,же
58,сѧ
4871 5918,рім|скамі
16,і
1325 2624 90,гръ|чьскъі|мі
1861 138 109,піс|ме|нъі
148 3315,нѫ|ждаахѫ
58,сѧ
4628 3713,словѣ|нскъі
2726,рѣчь
157 199,бе|зь
6410 2543,оустрое|ніа
148,нѫ
281,како
3577,можеть
58,сѧ
4939,пісаті
803,добрѣ
1325 2624 90,гръ|чьскъі|мі
1861 138 109,піс|ме|нъі
190,бъ
364,ілі
789,жівотъ
364,ілі
647,зѣло
364,ілі
7505,црковь
364,ілі
4050 162,чаа|ніе
364,ілі
4874 117,шіро|та
364,ілі
4873,ѣдь
364,ілі
6842,ѫдоу
364,ілі
1499 170,юно|сть
364,ілі
2612 84,ѫзъі|къ
16,і
16 941,і|наа
7459 31 941,под|б|наа
3919,сімь
16,і
245,тако
104 356,бѣ|шѫ
891,многа
1597,лѣта
4437,потом
42,же
6841 155 157 367,члко|лю|бе|цъ
190,бъ
970 30 16,стро|ѫ|і
517,всѣ
16,і
47,не
2181 30,оставлѣ|ѫ
5543,члча
1528,рода
157 199,бе|зь
5299,разоума
148,нѫ
2187,всѧ
84,къ
300 78,разоу|моу
79 4042,прі|водѧ
16,і
2103 589,спсе|нію
4217 61,помілова|вь
839,родъ
2070,члчь
4216,посла
1046,імь
43 50,ст|го
1428 3572 48,кон|станті|на
4892,філософа
964 7083,наріцае|маго
1157 86 57,кі|рі|ла
1185,мѫжа
5994 48,правед|на
16,і
319 2024,істі|нна
16,і
213,сътворі
115,імъ
36,л
4077,пісмена
16,і
5182,осмь
1502,ова
181,оубо
52,по
3883,чіноу
1325 2624 550,гръ|чьскъі|хь
1861 2264,піс|менъ
1502,ова
42,же
52,по
4628 10 1967,словѣ|н|стѣі
4901,рѣчі
180,от
2787 50,пръва|го
42,же
5181,наченъ
52,по
6839 1299,гръчь|скоу
495,оні
181,оубо
1332 416,ал|фа
17,а
55,съ
232,азъ
180,от
17 108,а|за
775 129,начѧ|ть
7456,обое
16,і
243,ѣкоже
495,оні
1854 135 72,подоб|ль|ше
58,сѧ
3884 290 88,жідовь|скъі|мь
1861 228 88,піс|мене|мь
213 356,сътворі|шѫ
245,тако
16,і
55,съ
1325 2624 45,гръ|чьскъі|мъ
2317,жідове
67,бо
4264,пръвое
1861 143,піс|мѧ
386 129,імѧ|ть
1237 20 25,але|ф|ь
235,еже
58,сѧ
2786 1143,сказа|еть
380 5179,оучі|неніе
994 140 30 85,съвръ|ша|ѫ|ште
40 5871 78,въ|воді|моу
815 252,дѣті|штоу
16,і
351 85,глѧ|ште
380,оучі
58,сѧ
235,еже
594,есть
1237 20 25,але|ф|ь
16,і
1325 174,гръ|ці
1854 24 85,подоб|ѧ|ште
58,сѧ
547,томоу
1332 416,ал|фа
77 356,рѣ|шѫ
16,і
338 91 142,спо|до|бі
58,сѧ
121 162,рече|ніе
2786 2543,сказа|ніа
3884 384,жідовь|ска
6839 1299,гръчь|скоу
2612 191,ѫзъі|коу
56,да
121 129,рече|ть
815 252,дѣті|штоу
61,вь
226 17,оучені|а
593,мѣсто
3221,ішті
1332 416,ал|фа
67,бо
1052,іші
58,сѧ
121 129,рече|ть
6839 469 88,гръчь|ско|мь
2612 314,ѫзъі|комъ
4967,тѣм
67,бо
7459 1959,под|бѧ
58,сѧ
636,стъіі
1157 86 122,кі|рі|лъ
1469,створі
4264,пръвое
1861 143,піс|мѧ
583,азь
148,нѫ
87,ѣко
16,і
506 53 78,пръ|во|моу
1425,сѫштоу
1861 3511,піс|мені
583,азь
16,і
180,от
194,ба
56 211,да|ноу
2723,родоу
4628 10 469 78,словѣ|н|ско|моу
48,на
1003 116 11,отвръ|сті|е
1225,оустъ
40,въ
2218,разоумъ
1224 151 14,оучѧ|шті|м
58,сѧ
348 13 208,боу|к|вамъ
268 1279,велі|комь
175 6858 1888,раз|двіже|ніемь
1225,оустъ
1828 32,възгласі|т
58,сѧ
17,а
834,она
4077,пісмена
106 871,ма|ломъ
175 6858 1888,раз|двіже|ніемь
1225,оустъ
4405 58 32,възгла|сѧ|т
58,сѧ
16,і
900 30 32,ісповѣда|ѫ|т
58,сѧ
76,се
42,же
6361,сѫть
4077,пісмена
4795 3327,словѣнь|скаа
810,сіце
17,а
7459 194 1143,под|ба|еть
4939,пісаті
16,і
1184,глаті
17,а
31,б
18,в
28,г
1957,дроузіі
42,же
351 129,глѧ|ть
52,по
269,что
594,есть
36,л
16,і
1861 2264,піс|менъ
5090,створілъ
17,а
3577,можеть
58,сѧ
16,і
3229 7869,мен|шімь
403,того
4939,пісаті
243,ѣкоже
16,і
1325 174,гръ|ці
13,к
34,д
171 356 129,пі|шѫ|ть
16,і
47,не
60 220 129,вѣ|дѧ|ть
1170 5163,колі|цѣмь
171 356 129,пі|шѫ|ть
1325 174,гръ|ці
594,есть
67,бо
181,оубо
13,к
34,д
1861 2264,піс|менъ
148,нѫ
47,не
4066 97 30 32,наплъ|нѣ|ѫ|т
58,сѧ
4037,тѣмі
1893,кнігъі
148,нѫ
1703 62,пріложі|лі
332,сѫтъ
1174 113 2611 550,дво|гла|снъі|хь
5551,аі
16,і
40,въ
2191 228 9,чіс|мене|х
42,же
28,г
5,s
11,е
16,і
4,ѳ
425 32 374,десѧ|т|ное
16,і
4,ѳ
55 32 374,съ|т|ное
16,і
1858 30 32,събіра|ѫ|т
58,сѧ
2795,іхь
36,л
16,і
2610,тѣмже
52,по
547,томоу
