3494,кьнігъі
100 33 675,ро|д|ства
5156 429,іу|хва
559,сна
33 1948,д|два
559,сна
7899,авраамлѣ
3122,авраамъ
543,роді
5498 97,ісаа|ка
5498 260,ісаа|кь
41,же
543,роді
7821,іакова
7593,іаковъ
41,же
543,роді
5655,іюдѫ
15,і
4024,братіѭ
101,его
1477,іюда
41,же
543,роді
422 82 125,фа|ре|са
15,і
107 54,за|ра
74,отъ
116 105 239,та|ма|ръі
422 82 53,фа|ре|съ
41,же
543,роді
359 100 105,ес|ро|ма
359 100 88,ес|ро|мь
41,же
543,роді
16 54 16 105,а|ра|а|ма
16 54 16 44,а|ра|а|мъ
41,же
543,роді
392 47 4891,амі|на|дава
392 47 1271,амі|на|давъ
41,же
543,роді
47 22 178 47,на|с|со|на
47 22 4616,на|с|сонъ
41,же
543,роді
125 134 3772,са|ль|мона
125 35 1690,са|л|монъ
41,же
543,роді
52 11 107,во|о|за
179,от
54 297 138,ра|ха|въі
52 11 198,во|о|зь
41,же
543,роді
1022 11 55,ові|о|да
74,отъ
3569,ротъі
1022 7436,ові|одъ
41,же
543,роді
338 76 16,іе|се|а
338 805,іе|сеі
41,же
543,роді
33 55,д|да
2200,црѣ
5210,ддъ
41,же
679,црь
543,роді
2777 3772,соло|мона
179,от
37 794 387,оу|ріі|нъіѧ
2777 1690,соло|монъ
41,же
543,роді
100 52 16 105,ро|во|а|ма
100 52 16 44,ро|во|а|мъ
41,же
543,роді
1530 1241,аві|ада
1530 3245,аві|адъ
41,же
543,роді
16 22 125,а|с|са
16 22 131,а|с|сь
41,же
543,роді
521 125 422 116,іоа|са|фа|та
521 125 422 38,іоа|са|фа|тъ
41,же
543,роді
521 54 105,іоа|ра|ма
521 54 88,іоа|ра|мь
41,же
543,роді
284 233 2,іо|зі|ѭ
284 233 32,іо|зі|ѣ
41,же
543,роді
521 116 105,іоа|та|ма
521 116 88,іоа|та|мь
41,же
543,роді
16 297 107,а|ха|за
16 297 198,а|ха|зь
41,же
543,роді
338 199 6266,іе|зе|кіѭ
338 199 6391,іе|зе|кіѣ
41,же
543,роді
1450 1267,мана|сіѭ
1450 496,мана|сіі
41,же
543,роді
16 67 125,а|мо|са
16 67 131,а|мо|сь
41,же
543,роді
891 2,іосі|ѭ
891 16,іосі|а
41,же
543,роді
284 124 2163,іо|хо|ніѭ
15,і
4024,братіѭ
101,его
39,въ
108 5499 225,прѣ|селе|ніі
64 70 87 9 368 16 88,ва|ві|ло|н|стѣ|а|мь
51,по
108 5499 225,прѣ|селе|ніі
41,же
64 70 7437 368,ва|ві|лонь|стѣ
284 124 235,іо|хо|ніѣ
543,роді
125 3865 94,са|латі|лѣ
125 3865 134,са|латі|ль
41,же
543,роді
604 621 362,зо|рова|велѣ
604 621 1052,зо|рова|вель
41,же
543,роді
1530 1466,аві|оуда
1530 6211,аві|оудъ
41,же
543,роді
1188 16 12 201,елі|а|к|іма
1188 16 12 1071,елі|а|к|імь
41,же
543,роді
16 107 54,а|за|ра
16 107 110,а|за|рь
41,же
543,роді
125 90 97,са|до|ка
125 90 260,са|до|кь
41,же
543,роді
16 8 1442,а|х|іна
16 8 574,а|х|інъ
41,же
543,роді
1188 1466,елі|оуда
1188 6211,елі|оудъ
41,же
543,роді
1188 10 604 54,елі|е|зо|ра
1188 10 604 92,елі|е|зо|ръ
41,же
543,роді
4613 116 47,мат|та|на
4613 116 68,мат|та|нъ
41,же
543,роді
7821,іакова
7593,іаковъ
41,же
543,роді
5186,іосіфа
1178,мѫжа
585 1442,марі|іна
144,із
46 596,не|ѧже
543,роді
57,сѧ
257,ісъ
2499,наріцаемъі
62,хъ
590,вьсѣхъ
41,же
100 1709,ро|довъ
179,от
4259,авраама
90,до
33 55,д|да
100 1709,ро|довъ
222,гі
65,те
15,і
179,от
33 55,д|да
90,до
108 76 2144,прѣ|се|леніѣ
64 70 87 9 1335,ва|ві|ло|н|скааго
100 1709,ро|довъ
222,гі
65,те
15,і
179,от
108 76 2144,прѣ|се|леніѣ
64 70 87 9 1335,ва|ві|ло|н|скааго
90,до
297,ха
100 1709,ро|довъ
222,гі
65,те
99 8 52,іс|х|во
41,же
100 33 273,ро|д|ство
803,сіце
648,бъіс
7795,обрѫченѣ
5878 106,бъівь|ші
2506,матері
101,его
3079,маріі
1023 1022,іосіф|ові
442,прѣжде
2002,даже
46,не
131 276 194,сь|нѧ|сте
57,сѧ
919,обрѣте
57,сѧ
3532,імѫшті
39,въ
3805,чрѣвѣ
179,от
1814,дха
117,ста
99 8 52,іс|х|во
41,же
100 33 273,ро|д|ство
803,сіце
1023 24,іосіф|ь
41,же
1014,мѫжь
755,еѧ
4588,правьденъ
264,съі
15,і
46,не
703,хотѧ
1336 2169,облі|чіті
755,еѧ
2343,въсхотѣ
699,таі
3709,поустіті
2,ѭ
76,се
41,же
118,емоу
7438 134 283,оумъіш|ль|шоу
76,се
2117,англъ
2153,гнь
60,вь
3010,сьнѣ
1012,ѣві
57,сѧ
118,емоу
349,глѧ
1023 10,іосіф|е
3125,сне
7521,ддвъ
46,не
3139,оубоі
57,сѧ
1359,пріѧті
1624,женъі
1343,твоеѧ
5387,маріѧ
1796 10,сѫште|е
66,бо
60,вь
749,неі
179,от
1814,дха
117,ста
140,естъ
543 31,роді|т
41,же
559,сна
15,і
4989,наречеші
384,імѧ
118,емоу
257,ісъ
38,тъ
66,бо
5940,спсетъ
678,люді
503,своѧ
299,оть
1559,грѣхъ
123,іхъ
76,се
41,же
346,вьсе
648,бъіс
55,да
53 4057,съ|бѫдет
57,сѧ
2731,реченое
74,отъ
152,га
7927 13,ісаіе|м
7439,прркмъ
7440,глштемъ
76,се
91 64,дѣ|ва
39,въ
3805,чрѣвѣ
1978,прііметъ
15,і
4414,родітъ
559,сна
15,і
47 1832,на|рекѫтъ
384,імѧ
118,емоу
10 9 105 212 15 134,е|н|ма|ноу|і|ль
234,еже
140,естъ
131 766 1878,сь|каза|емо
131,сь
1360,намі
189,бъ
1159,въставъ
41,же
1023 24,іосіф|ь
74,отъ
7449,сьна
2780,сьтворі
242,ѣкоже
370,повелѣ
118,емоу
2117,англъ
15,і
1293,пріѧтъ
1168,женѫ
552,своѭ
15,і
46,не
321 148,зна|аше
755,еѧ
2148,дондеже
543,роді
323,снъ
371,своі
5517 3884,пръвѣ|нець
15,і
1270,нарече
384,імѧ
118,емоу
257,ісъ
15,і
47 82 7,на|ре|ч
384,імѧ
118,емоу
257,ісъ
929,ісоу
6812 283,рождь|шоу
57,сѧ
39,въ
5520 11 89,віѳле|о|мі
886 368 88,іюдеі|стѣ|мь
39,въ
417,дьні
7090,ірода
2200,црѣ
76,се
1125 1027,влъ|сві
74,отъ
2893 260,въсто|кь
819,прідѫ
39,въ
5909,іерлмъ
1239,глште
3734,кьде
140,естъ
2055 15,рожде|і
57,сѧ
679,црь
478 7383,іюде|іскь
1964,відѣхомъ
66,бо
2770 145,звѣз|дѫ
101,его
47,на
60 160 162,вь|сто|цѣ
15,і
78 403,прі|домъ
1451 38,поклоні|тъ
57,сѧ
118,емоу
786,слъішавъ
41,же
2088,іродъ
679,црь
131 1791,сь|мѧте
57,сѧ
15,і
1102,весь
2213 3438,іер|слмъ
53,съ
408,німъ
15,і
3323 39,събьра|въ
531,вьсѧ
562 23,архіере|ѧ
15,і
3448 895,кьніжь|нікъі
1301 1136,людь|скъіѧ
2599,въпрашааше
23,ѧ
3734,кьде
62,хъ
6932,раждаетъ
57,сѧ
491,оні
41,же
390,рѣшѧ
118,емоу
39,въ
5520 11 89,віѳле|о|мі
886 1952,іюдеі|стѣі
244,тако
66,бо
1946,пісано
140,естъ
15,і
183,тъі
5520 10 137,віѳле|е|ме
3229,земле
325 689,ію|дова
1743 114,ніч|імъ
41,же
2661 106,мень|ші
243,есі
60,вь
5527 97 62,влд|ка|хъ
325 689 62,ію|дова|хъ
99,іс
523,тебе
66,бо
4419,ізідетъ
52 597,во|ждъ
181,іже
8030 38,оупасе|тъ
678,люді
503,своѧ
5216,ілѣ
781,тогда
2088,іродъ
699,таі
7650,прізьвавъ
936 8 138,вль|х|въі
2973,іспъіта
179,от
400,ніхъ
664,врѣмѧ
32 936 1706,ѣ|вль|шѧѧ
57,сѧ
4745,звѣздъі
15,і
3013 60,посьла|вь
23,ѧ
39,въ
5520 1021,віѳле|омъ
120,рече
71 7488,ше|дьше
2973 340,іспъіта|іте
144 1035 69,із|вѣстъ|но
11,о
1641 58,отрочѧ|ті
15,і
246,егда
3128,обрѧштете
2004 65,вьзвѣсті|те
89,мі
55,да
15,і
583,азь
381,шедъ
1882 874,покло|нѭ
57,сѧ
118,емоу
491,оні
41,же
560 247,послоуша|въше
2200,црѣ
477,ідѫ
15,і
76,се
2770 55,звѣз|да
1096,ѭже
1051,відѣшѧ
47,на
60 160 162,вь|сто|цѣ
1429,ідѣаше
1617,прѣдь
853,німі
2863,доідеже
1574 2710,пріше|дші
117,ста
3310,връхоу
577,ідеже
103,бѣ
1641,отрочѧ
980,відѣвъше
41,же
2770 145,звѣз|дѫ
958 90 579,въздра|до|ваше
57,сѧ
2363,радостіѭ
2363,радостіѭ
6695,веліеѭ
644,зѣло
15,і
7279,въшедъше
39,въ
4200,храмінѫ
1051,відѣшѧ
1641,отрочѧ
53,съ
585 1918,марі|еѭ
6813 2,мтрі|ѭ
101,его
15,і
1166 71,падъ|ше
4418,поклонішѧ
57,сѧ
118,емоу
15,і
998 198 71,отвръ|зь|ше
3114,съкровішта
1400,своѣ
5085,прінѣсѧ
118,емоу
2735,даръі
2627,злато
15,і
