3563,кьнігъі
100 33 675,ро|д|ства
15 34 423,і|у|хва
560,сна
33 1931,д|два
560,сна
1131 1208,авраа|млѣ
3150,авраамъ
543,роді
296 16 97,іса|а|ка
296 16 260,іса|а|кь
41,же
543,роді
3128 64,іако|ва
3128 39,іако|въ
41,же
543,роді
326 146,ію|дѫ
15,і
4044,братіѭ
102,его
1463,іюда
41,же
543,роді
415 82 125,фа|ре|са
15,і
107 53,за|ра
74,отъ
116 105 239,та|ма|ръі
415 82 54,фа|ре|съ
41,же
543,роді
359 100 105,ес|ро|ма
359 100 87,ес|ро|мь
41,же
543,роді
16 53 16 105,а|ра|а|ма
16 53 16 44,а|ра|а|мъ
41,же
543,роді
392 47 4919,амі|на|дава
392 47 1269,амі|на|давъ
41,же
543,роді
47 22 178 47,на|с|со|на
47 22 4634,на|с|сонъ
41,же
543,роді
125 134 3802,са|ль|мона
125 35 1700,са|л|монъ
41,же
543,роді
52 11 107,во|о|за
179,от
53 298 138,ра|ха|въі
52 11 198,во|о|зь
41,же
543,роді
1024 11 55,ові|о|да
74,отъ
3462,ротъі
1024 11 95,ові|о|дъ
41,же
543,роді
336 75 16,іе|се|а
336 797,іе|сеі
41,же
543,роді
33 55,д|да
2221,црѣ
33 95,д|дъ
41,же
658,црь
543,роді
2795 3802,соло|мона
179,от
37 785 387,оу|ріі|нъіѧ
2795 1700,соло|монъ
41,же
543,роді
100 52 16 105,ро|во|а|ма
100 52 16 44,ро|во|а|мъ
41,же
543,роді
1542 1251,аві|ада
1542 3267,аві|адъ
41,же
543,роді
16 22 125,а|с|са
16 22 131,а|с|сь
41,же
543,роді
520 125 415 116,іоа|са|фа|та
520 125 415 38,іоа|са|фа|тъ
41,же
543,роді
520 53 105,іоа|ра|ма
520 53 87,іоа|ра|мь
41,же
543,роді
283 232 2,іо|зі|ѭ
283 232 32,іо|зі|ѣ
41,же
543,роді
520 116 105,іоа|та|ма
520 116 87,іоа|та|мь
41,же
543,роді
16 298 107,а|ха|за
16 298 198,а|ха|зь
41,же
543,роді
336 199 1155 2,іе|зе|кі|ѭ
336 199 1155 32,іе|зе|кі|ѣ
41,же
543,роді
1456 1275,мана|сіѭ
1456 495,мана|сіі
41,же
543,роді
16 67 125,а|мо|са
16 67 131,а|мо|сь
41,же
543,роді
893 2,іосі|ѭ
893 16,іосі|а
41,же
543,роді
283 124 2175,іо|хо|ніѭ
15,і
4044,братіѭ
102,его
39,въ
109 75 117 220,прѣ|се|ле|ніі
64 70 88 9 369 16 87,ва|ві|ло|н|стѣ|а|мь
51,по
109 75 117 220,прѣ|се|ле|ніі
41,же
64 70 88 104 369,ва|ві|ло|нь|стѣ
283 124 236,іо|хо|ніѣ
543,роді
125 3727 94,са|латі|лѣ
125 3727 134,са|латі|ль
41,же
543,роді
610 630 101 94,зо|рова|ве|лѣ
610 630 1049,зо|рова|вель
41,же
543,роді
1542 1473,аві|оуда
1542 37 95,аві|оу|дъ
41,же
543,роді
1173 16 12 202,елі|а|к|іма
1173 16 12 1045,елі|а|к|імь
41,же
543,роді
16 107 53,а|за|ра
16 107 110,а|за|рь
41,же
543,роді
125 90 97,са|до|ка
125 90 260,са|до|кь
41,же
543,роді
16 8 1449,а|х|іна
16 8 574,а|х|інъ
41,же
543,роді
1173 1473,елі|оуда
1173 37 95,елі|оу|дъ
41,же
543,роді
1173 10 610 53,елі|е|зо|ра
1173 10 610 92,елі|е|зо|ръ
41,же
543,роді
4632 116 47,мат|та|на
4632 116 68,мат|та|нъ
41,же
543,роді
3128 64,іако|ва
3128 39,іако|въ
41,же
543,роді
4960,іосіфа
1182,мѫжа
585 1449,марі|іна
144,із
46 600,не|ѧже
543,роді
57,сѧ
258,ісъ
2506,наріцаемъі
62,хъ
590,вьсѣхъ
41,же
100 1686,ро|довъ
179,от
4277,авраама
90,до
33 55,д|да
100 1686,ро|довъ
222,гі
65,те
15,і
179,от
33 55,д|да
90,до
109 75 2154,прѣ|се|леніѣ
64 70 88 9 1329,ва|ві|ло|н|скааго
100 1686,ро|довъ
222,гі
65,те
15,і
179,от
109 75 2154,прѣ|се|леніѣ
64 70 88 9 1329,ва|ві|ло|н|скааго
90,до
298,ха
100 1686,ро|довъ
222,гі
65,те
98 8 52,іс|х|во
41,же
100 33 272,ро|д|ство
807,сіце
649,бъіс
151 3652 96,об|рѫче|нѣ
113 60 106,бъі|вь|ші
2513,матері
102,его
2996,маріі
1025 1024,іосіф|ові
443,прѣжде
2009,даже
46,не
131 276 194,сь|нѧ|сте
57,сѧ
917,обрѣте
57,сѧ
3199,імѫшті
39,въ
3834,чрѣвѣ
179,от
1830,дха
118,ста
98 8 52,іс|х|во
41,же
100 33 272,ро|д|ство
807,сіце
1025 24,іосіф|ь
41,же
1019,мѫжь
758,еѧ
4599,правьденъ
264,съі
15,і
46,не
701,хотѧ
1320 2180,облі|чіті
758,еѧ
2371,въсхотѣ
695,таі
3734,поустіті
2,ѭ
75,се
41,же
119,емоу
1229 1 134 284,оумъі|ш|ль|шоу
