11,о
1861 227 549,піс|мене|хь
1299 69 85 18 175,чръ|но|рі|з|ца
467 834,хра|бъра
443,прѣжде
180,оубо
4628 46,словѣ|не
46,не
311 158,імѣ|хѫ
966 195,кні|гъ
147,нѫ
1299 116 89,чръ|та|мі
15,і
76 1498,рѣ|замі
153 171 158,чь|тѣ|хѫ
15,і
152 3580,га|таахѫ
2721 43,пога|ні
1790,сѫште
1466 2263,кръсті|вше
41,же
57,сѧ
4880 382 89,рім|ска|мі
15,і
1327 2621 89,гръ|чьскъі|мі
1861 137 108,піс|ме|нъі
147 3264,нѫ|ждаахѫ
57,сѧ
4628 3716,словѣ|нскъі
2689,рѣчь
156 198,бе|зь
2187 10 2528,оустро|е|ніа
147,нѫ
280,како
3579,можеть
57,сѧ
555 58,піса|ті
800,добрѣ
1327 2621 89,гръ|чьскъі|мі
1861 137 108,піс|ме|нъі
189,бъ
362,ілі
787,жівотъ
362,ілі
646,зѣло
362,ілі
393 2667,цр|ковь
362,ілі
4072 161,чаа|ніе
362,ілі
4901 116,шіро|та
362,ілі
4847,ѣдь
362,ілі
29 181,ѫ|доу
362,ілі
1497 169,юно|сть
362,ілі
2619 83,ѫзъі|къ
15,і
15 940,і|наа
51 33 30 940,по|д|б|наа
3920,сімь
15,і
244,тако
103 355,бѣ|шѫ
891,многа
1596,лѣта
4492,потом
41,же
269 50 154 156 366,чл|ко|лю|бе|цъ
189,бъ
967 29 15,стро|ѫ|і
516,всѣ
15,і
46,не
2169 29,оставлѣ|ѫ
269 185,чл|ча
1537,рода
156 198,бе|зь
299 105,разоу|ма
147,нѫ
2186,всѧ
83,къ
299 77,разоу|моу
78 3994,прі|водѧ
15,і
2110 588,спсе|нію
4196 60,помілова|вь
839,родъ
2068,члчь
4172,посла
1045,імь
42 49,ст|го
1429 3576 47,кон|станті|на
4895,філософа
962 105 49,наріцае|ма|го
1155 85 56,кі|рі|ла
1182,мѫжа
736 33 47,праве|д|на
15,і
318 2022,істі|нна
15,і
212,сътворі
114,імъ
35,л
4089,пісмена
15,і
1853 87,ос|мь
