page_no|page_text|gloss_thing
2a| Присꙑланиѥ антиоха чрьнориꙁ͗цѧ лаврꙑ ст҃ааго оц҃ѧ савꙑ• къ ѥвстаѳю игѹменѹ монастирѧ ат͗талины града анькурꙑ галатиискыꙗ Понеже наѱа ми честьнꙑи от҃че евьстаѳе мъногѫ скръбь прѣтрьпѣвати: мѣсто ѡтъ мѣста: и странѫ отъ странꙑ прѣходѧщи: боꙗꙁниѭ о͗дрьжѧщѧꙗ халдѣискꙑꙗ виꙗли: алчѫ же: и жаждѧ искѹсѫ приꙗти• не хлѣба ни водꙑ• нъ по реченѹмѹ слꙑшати слово•|
2b| г҃не ꙁане не мощи вамъ тѧжести кънижънꙑꙗ носити: ни же въ мѣстѣхъ въ нихъже приходите• обрѣтати ѹдобьнѣ въꙁискаѥмъихъ: повелѣлъ же ѥси моѥмѹ ѹмалениѭ въ кратъцѣ ѡтъ вьсѣхъ посълати ти бж҃ьствьнъихъ кънигъ: ветъхꙑихъ и новꙑихъ: ꙗко да ни тѧготѣ вамъ бꙑти ношениꙗ: ни пакꙑ беꙁъ остатъка|
2c| бꙑти чесого⸱ потѧꙁаѭщиихъ на польꙁѫ и сп҃сениѥ д҃ши: Послѹшавъ спѣшънѣ вашего повелѣниꙗ: абиѥ съставъ вьсѧ въꙁискаѥмꙑꙗ вами отъ с҃тꙑихъ кънигъ и на с҃псениѥ главꙑ: съвъкѹпленꙑ⸱ и раꙁлѫченꙑ отъ себе: ꙗко ни сънитиꙗ ни съмѣса пострадати чътѹщѫѹмѹ: сьꙗ посълахъ вашемѹ б҃олюбиѭ: ꙗже приѥмлѧ: б҃ѹ ѹбо подобьноѥ славословиѥ и благодариѥ въсъли:|
2d| съврьшаѭщѫѹмѹ силѹ своѭ въ немощи: насъ же приꙗтьнꙑми твоими молитвами въсплащаи: ꙗко да по б҃жиѭ ѹгодиѭ: прочеѥ лѣто живота нашего съконьчѧѥмъ⸱ аще ли чъто ꙗкоже недостижъно ѡбрѧщеши: то милованиѥ въꙁдаи: и грѹбости: и потъщаниѭ повелѣниꙗ: а понеже и се присъла драгꙑи оч҃е: ꙗко да напишемъ ти: ꙗже о с҃тꙑихъ о҃цихъ нашеꙗ лаврꙑ: аще истиньна сѹть:|
3a| ꙗже рѣсте слꙑшати отъ мъногъ: и добрѣ житии же и о ѹбьѥнъихъ: невѣрьна сѹща: и слѹха прѣходѧщѧ: нѹждъно непьщевахъ прѣжде въ малѣ ꙁнаменати вамъ ꙗже о нихъ: ти тако ѹчинити б҃жъствьнꙑихъ кънигъ главꙑ: И о добродѣтельнѣмъ же ихъ житиї: не настоꙗщааго ѥсть врѣмене: ни моѥго ꙗꙁꙑка съповѣдаати: се же тъчиѭ рекѹ: ꙗко по истинѣ чловѣци бѣша|
3b| б҃жии: аще подобаѥть члв҃кꙑ ꙗ ꙁъвати а не анг҃лꙑ: постомь же и беꙁмлъвьѥмь: и трѹдꙑ отъ ѹности ꙁа благочьстиѥ състарѣвъше сѧ: стари: с҃толѣпьни: сѣди власꙑ: и раꙁѹмомь: блаꙁи: съмѣрени: мѹдри: кротъци: цѣломѫдрьни: истин͗ни: непорочъни: правьдиви: богочъстиви: огрѣбаѭще сѧ отъ вьсеꙗ ꙁълꙑ вещи: бескѫдьни: вьсѣхъ благъ исплънени же б҃жиꙗ любъве: ови ихъ прѣшъдъше съто лѣтъ⸱|
3c| въ беꙁмлъвии живъше: ѡтъ н҃ тъ и ѯ҃ тъ лѣтъ: и не исходѧще отинѹдь иꙁ лаврꙑ: ови же ни въ цръкъвь иꙁлаꙁѧще: ни града же видѣвъше: отънелѣ ѹединѣша: дѣтельми вьсѣми ѹкрасовани: ꙁемьнии анг҃ли: и небесьниї чл҃вци: тѣмь и такѫ коньчинѹ опростиша: и почъсть побѣдꙑ приꙗша: нашъдъшемъ бо иꙁмаилитомъ: нашеи лаврѣ: прѣжде единоꙗ недѣлѧ прѣꙗтиꙗ ст҃ааго|
3d| града: и вьсѧ црькъвьнꙑꙗ свѧщенꙑꙗ съсѹдꙑ раꙁграбльшемъ: мъноꙁи оц҃и абиѥ отъбѣгоша• осташа же крѣпъции раби хв҃и въ лаврѣ: не хотѧще оставити мѣста: варвари же имавъше ꙗ: и по мъногꙑ дьни мѹчивъше: непьщѫѭще⸱ имѣниꙗ обрѣсти: ѹ нихъже ничъсоже вѣка сего не бѧаше: коньчънѣѥ мꙑсли своѥꙗ отъпадъше: неистовьни бꙑвъше вьсѧ на ѹдꙑ растесаша:|
4a| блажении же веселѹѭще сѧ свѣтьломь лицемь благодарьнѣ д҃ша своꙗ г҃ѹ отъдаша: ꙗко иꙁдавна желаниѥ имѫще раꙁдрѣшити сѧ и съ х҃мь бꙑти: поврьженомъ же тѣлесемъ ихъ на мъногꙑ дьни непогребеномъ⸱ приидохомъ мꙑ отъ аравиꙗ: и о҃ць же никомидъ ѹꙁьрѣвъ мильнаѩ та видѣниꙗ о҃ць: прѣнемогъ въ малѣ рещи вьꙁѧтъ бꙑсть мрьтвъ: модестъ же прѣподобьнꙑи пристѹпль|
4b| вьсѧ тѣлеса с҃тꙑихъ събьравъ омꙑ: мъного же приплакавъ и охапавъ ст҃ꙑꙗ и трьпѣливꙑꙗ ихъ мощи: положи въ ложихъ оч҃ихъ: сътворь же надъ ними обꙑчъноѥ правило: прирече имъ исаиино слово г҃лѫщеѥ: мѫжи правьдиви въꙁемлють сѧ: и никътоже не раꙁѹмѣѥть: отъ лицѧ неправьдꙑ вьꙁѧтъ сѧ правьдьникъ: бѫдеть въ мирѣ погребениѥ ѥго: и д҃ша|
