torot_word|pos|morph_tag|deep_cleaned|lemma|sentence_no|pres_before|pres_after|text_id|subtitle_id|autotagged|subtitle_short|book_no|chapter|verse|variant_no
Кънигъі|||кънігъі||5500000| | |10|1|1|MATT 1.1|1|1|1|1
рождьства|||рождьства||5500000|| |10|1|1|MATT 1.1|1|1|1|1
і҃схва|||ісхва||5500000|| · |10|1|1|MATT 1.1|1|1|1|1
с҃нѹ|||сноу||5500000|| |10|1|1|MATT 1.1|1|1|1|1
давъідова|||давъідова||5500000|| · |10|1|1|MATT 1.1|1|1|1|1
с҃нѹ|||сноу||5500000|| |10|1|1|MATT 1.1|1|1|1|1
аврамлѣ|||аврамлѣ||5500000|| ·|10|1|1|MATT 1.1|1|1|1|1
аврамъ|||аврамъ||5500001| | |10|1|1|MATT 1.2|1|1|2|1
роди|||роді||5500001|| |10|1|1|MATT 1.2|1|1|2|1
и҅сака|||ісака||5500001|| · |10|1|1|MATT 1.2|1|1|2|1
и҅сакъ|||ісакъ||5500001|| |10|1|1|MATT 1.2|1|1|2|1
же|||же||5500001|| |10|1|1|MATT 1.2|1|1|2|1
роди|||роді||5500001|| |10|1|1|MATT 1.2|1|1|2|1
и҅ꙗкова|||іѣкова||5500001|| · |10|1|1|MATT 1.2|1|1|2|1
и҅ꙗковъ|||іѣковъ||5500001|| |10|1|1|MATT 1.2|1|1|2|1
же|||же||5500001|| |10|1|1|MATT 1.2|1|1|2|1
роди|||роді||5500001|| |10|1|1|MATT 1.2|1|1|2|1
и҅юдѫ|||іюдѫ||5500001|| |10|1|1|MATT 1.2|1|1|2|1
и|||і||5500001||҅ |10|1|1|MATT 1.2|1|1|2|1
братиѭ|||братіѭ||5500001||҅ |10|1|1|MATT 1.2|1|1|2|1
е҅го|||его||5500001|| ·|10|1|1|MATT 1.2|1|1|2|1
и҅юда|||іюда||5500002| | |10|1|1|MATT 1.3|1|1|3|1
же|||же||5500002|| |10|1|1|MATT 1.3|1|1|3|1
