to|то
na|на
tę|тѧ
ostavi|остави
tu|тоу
darъ|даръ
tvojь|твои
perdъ|прѣдъ
olъtaŕemь|олътар҄емь
i|и
šьdъ|шьдъ
perђe|прѣжде
sъmiri|съмири
sę|сѧ
﻿sъ|﻿съ
bratromь|братромь
svojimь|своимь
i|и
tъgъda|тъгъда
prišьdъ|пришьдъ
prinesi|принеси
darъ|даръ
tvojь|твои
bǫdi|бѫди
uvěšћǞję|оувѣщаѩ
sę|сѧ
﻿sъ|﻿съ
sǫpьŕemь|сѫпьр҄емь
svojimь|своимь
skoro|скоро
dońьdeže|дон҄ьдеже
jesi|ѥси
na|на
pǫti|пѫти
﻿sъ|﻿съ
ńimь|н҄имь
da|да
ne|не
perdastъ|прѣдастъ
tebe|тебе
sǫdьji|сѫдии
i|и
sǫdьji|сѫдии
tę|тѧ
perdastъ|прѣдастъ
slugě|слоуѕѣ
i|и
vъ|въ
tьmьnikǫ|тьмьницѫ
vъvŕ̥žetъ|въврьжетъ
tę|тѧ
aminь|аминь
golgoĺǫ|глаголѭ
tebě|тебѣ
ne|не
jьzidetъ|изидетъ
otъtǫdě|отътѫдѣ
dońьdeže|дон҄ьдеже
vъzdasi|въздаси
poslědьńь|послѣдьн҄ь
kodrantъ|кодрантъ
slyšǞste|слъішасте
ako|ако
rečeno|речено
bystъ|бъістъ
drevĺьńemъjimъ|древл҄ьн҄иимъ
ne|не
perĺuby|прѣлюбъі
sъtvoriši|сътвориши
azъ|азъ
že|же
golgoĺǫ|глаголѭ
vamъ|вамъ
ako|ако
vьxakъ|вьсꙗкъ
jьže|иже
vъzьritъ|възьритъ
na|на
ženǫ|женѫ
﻿sъ|﻿съ
poxotьjǫ|похотиѭ
juže|юже
ĺuby|любъі
sъtvori|сътвори
﻿sъ|﻿съ
ńejǫ|н҄еѭ
vъ|въ
sŕ̥dьki|срьдьци
svojemь|своѥмь
aћe|аще
že|же
oko|око
tvoje|твоѥ
desnoje|десноѥ
sъblažńǞjetъ|съблажнꙗѥтъ
tę|тѧ
jьzьmi|изьми
je|ѥ
i|и
vŕ̥gi|врьѕи
otъ|отъ
tebe|тебе
uńe|оун҄е
bo|бо
ti|ти
jestъ|ѥстъ
da|да
pogybĺetъ|погъібл҄етъ
jedinъ|ѥдинъ
udъ|оудъ
tvojixъ|твоихъ
a|а
ne|не
vьxe|вьсе
tělo|тѣло
tvoje|твоѥ
vъvŕ̥ženo|въврьжено
bǫdetъ|бѫдетъ
vъ|въ
ǵejonǫ|ꙉеонѫ
i|и
aћe|аще
desna|десна
tvojǞ|твоꙗ
rǫka|рѫка
sъblažńǞjetъ|съблажнꙗѥтъ
tę|тѧ
usěki|оусѣци
jǫ|ѭ
i|и
vŕ̥gi|врьѕи
otъ|отъ
sebe|себе
uńe|оун҄е
bo|бо
ti|ти
jestъ|ѥстъ
da|да
pogybĺetъ|погъібл҄етъ
jedinъ|ѥдинъ
udъ|оудъ
tvojixъ|твоихъ
a|а
ne|не
vьxe|вьсе
tělo|тѣло
tvoje|твоѥ
jьdetъ|идетъ
vъ|въ
ǵejonǫ|ꙉеонѫ
rečeno|речено
že|же
bystъ|бъістъ
jьže|иже
aћe|аще
pustitъ|поуститъ
ženǫ|женѫ
svojǫ|своѭ
da|да
dastъ|дастъ
jejь|ѥи
kъńigy|кън҄игъі
orspustьnyję|распоустьнъіѩ
azъ|азъ
že|же
golgoĺǫ|глаголѭ
vamъ|вамъ
ako|ако
vьxakъ|вьсꙗкъ
pušћǞjęjь|поущаѩи
ženǫ|женѫ
svojǫ|своѭ
razvě|развѣ
slovese|словесе
ĺubodějьnajego|любодѣинаѥго
tvoritъ|творитъ
jǫ|ѭ
perĺuby|прѣлюбъі
dějǞti|дѣꙗти
i|и
jьže|иже
potьpěgǫ|потьпѣгѫ
pojemĺetъ|поѥмл҄етъ
perĺuby|прѣлюбъі
tvoritъ|творитъ
paky|пакъі
slyšǞste|слъішасте
ako|ако
rečeno|речено
bystъ|бъістъ
drevĺьńemъjimъ|древл҄ьн҄иимъ
ne|не
vъ|въ
lъžǫ|лъжѫ
klьneši|кльнеши
sę|сѧ
vъzdasi|въздаси
že|же
gospodi|господи
klętvy|клѧтвъі
tvoję|твоѩ
azъ|азъ
že|же
golgoĺǫ|глаголѭ
vamъ|вамъ
ne|не
klęti|клѧти
sę|сѧ
otъnǫdь|отънѫдь
ni|ни
nebomь|небомь
ako|ако
perstolъ|прѣстолъ
jestъ|ѥстъ
božьjь|божии
ni|ни
zemĺejǫ|земл҄еѭ
ako|ако
podъnožьje|подъножиѥ
jestъ|ѥстъ
nogama|ногама
jego|ѥго
ni|ни
ijerusalimomь|иѥроусалимомь
ako|ако
gordъ|градъ
jestъ|ѥстъ
velikajego|велицаѥго
kěsaŕǞ|цѣсарꙗ
ni|ни
golvojǫ|главоѭ
svojejǫ|своѥѭ
klьni|кльни
sę|сѧ
ako|ако
ne|не
možeši|можеши
volsa|власа
jedinogo|ѥдиного
běla|бѣла
li|ли
čŕ̥na|чрьна
sъtvoriti|сътворити
bǫdi|бѫди
že|же
slovo|слово
vaše|ваше
????|????
