form,lemma,id,lemma_id,sentence_id,pos,morphology
то,тъ,563938,58908,50664,Pd,-s---na--i
на,на,563939,58783,50664,R-,---------n
тѧ,тꙑ,563940,58769,50664,Pp,2s---qa--i
остави,оставити,563941,58950,50665,V-,2spma----i
тоу,тоу,563942,58946,50665,Df,---------n
даръ,даръ,563943,66841,50665,Nb,-s---ma--i
твои,твои,563944,58814,50665,Ps,2s---ma--i
прѣдъ,прѣдъ,563945,58985,50665,R-,---------n
олътаремъ,олътарь,563946,67031,50665,Nb,-s---mi--i
ꙇ,и,563948,58771,50665,C-,---------n
шедъ,ити,563949,58936,50665,V-,-supamn-si
прѣжде,прѣжде,563950,64254,50665,Df,---------n
съмири,съмирити,563951,67032,50665,V-,3spma----i
сѧ,себе,563952,58829,50665,Pk,3s---qa--i
съ,съ,563954,58764,50665,R-,---------n
братромъ,братръ,563955,59059,50665,Nb,-s---mi--i
своимъ,свои,563956,58780,50665,Pt,3s---oi--i
и,и,563958,58771,50665,C-,---------n
тогда,тъгда,563959,64413,50665,Df,---------n
пришедъ,прити,563960,58916,50665,V-,-supamn-si
принеси,принести,563961,60002,50665,V-,2spma----i
даръ,даръ,563962,66841,50665,Nb,-s---ma--i
твои,твои,563963,58814,50665,Ps,2s---ma--i
Бѫди,бꙑти,563965,58773,38377,V-,2spma----i
оувѣщаѩ,оувѣщати,563966,66224,38377,V-,-sppamn-si
сѧ,себе,563967,58829,38377,Pk,3s---qa--i
съ,съ,563968,58764,38377,R-,---------n
сѫпьремь,сѫпьрь,563969,66225,38377,Nb,-s---mi--i
своимь,свои,563970,58780,38377,Pt,3s---oi--i
скоро,скоро,563971,66226,38377,Df,-------p-i
доньдеже,доньде,563973,58782,38377,G-,---------n
еси,бꙑти,563974,58773,38377,V-,2spia----i
на,на,563975,58783,38377,R-,---------n
пѫти,пѫть,563976,58763,38377,Nb,-s---ml--i
съ,съ,563977,58764,38377,R-,---------n
нимь,и,563978,58765,38377,Pp,3s---mi--i
да,да,563980,58766,38377,G-,---------n
не,не,563981,58767,38377,Df,---------n
прѣдастъ,прѣдати,563982,58768,38377,V-,3spia----i
тебе,тꙑ,563983,58769,38377,Pp,2s---pg--i
сѫдии,сѫдии,563984,66222,38377,Nb,-s---md--i
ꙇ,и,563986,58771,38377,C-,---------n
сѫдии,сѫдии,563987,66222,38377,Nb,-s---mn--i
тѧ,тꙑ,563988,58769,38377,Pp,2s---pa--i
прѣдастъ,прѣдати,563989,58768,38377,V-,3spia----i
слоуѕѣ,слоуга,563990,58772,38377,Nb,-s---md--i
ꙇ,и,563992,58771,38377,C-,---------n
