TOROT form,Autoreconstructed LCS,Autonormalised OCS
то,to,то
на,na,на
тѧ,tę,тѧ
остави,ostavi,остави
тоу,tu,тоу
даръ,darъ,даръ
твои,tvojь,твои
прѣдъ,perdъ,прѣдъ
олътаремъ,olъtaŕemь,олътар҄емь
ꙇ,i,и
шедъ,šьdъ,шьдъ
прѣжде,perђe,прѣжде
съмири,sъmiri,съмири
сѧ,sę,сѧ
съ,﻿sъ,﻿съ
братромъ,bratromь,братромь
своимъ,svojimь,своимь
и,i,и
тогда,tъgъda,тъгъда
пришедъ,prišьdъ,пришьдъ
принеси,prinesi,принеси
даръ,darъ,даръ
твои,tvojь,твои
Бѫди,bǫdi,бѫди
оувѣщаѩ,uvěšћǞję,оувѣщаѩ
сѧ,sę,сѧ
съ,﻿sъ,﻿съ
сѫпьремь,sǫpьŕemь,сѫпьр҄емь
своимь,svojimь,своимь
скоро,skoro,скоро
доньдеже,dońьdeže,дон҄ьдеже
еси,jesi,ѥси
на,na,на
пѫти,pǫti,пѫти
съ,﻿sъ,﻿съ
нимь,ńimь,н҄имь
да,da,да
не,ne,не
прѣдастъ,perdastъ,прѣдастъ
тебе,tebe,тебе
сѫдии,sǫdьji,сѫдии
ꙇ,i,и
сѫдии,sǫdьji,сѫдии
тѧ,tę,тѧ
прѣдастъ,perdastъ,прѣдастъ
слоуѕѣ,slugě,слоуѕѣ
ꙇ,i,и
въ,vъ,въ
темьницѫ,tьmьnikǫ,тьмьницѫ
въвръжетъ,vъvŕ̥žetъ,въврьжетъ
тѧ,tę,тѧ
аминь,aminь,аминь
г҃лѭ,golgoĺǫ,глаголѭ
тебѣ,tebě,тебѣ
не,ne,не
изидеши,jьzidetъ,изидетъ
отъ тѫдѣ,otъtǫdě,отътѫдѣ
доньдеже,dońьdeže,дон҄ьдеже
въздаси,vъzdasi,въздаси
послѣдьнии,poslědьńь,послѣдьн҄ь
кодрантъ,kodrantъ,кодрантъ
Слꙑшасте,slyšǞste,слъішасте
ѣко,ako,ако
речено,rečeno,речено
бꙑⷭ҇,bystъ,бъістъ
древънимъ,drevĺьńemъjimъ,древл҄ьн҄иимъ
не,ne,не
прѣлюбꙑ,perĺuby,прѣлюбъі
сътвориши,sъtvoriši,сътвориши
азъ,azъ,азъ
же,že,же
г҃лѭ,golgoĺǫ,глаголѭ
вамъ,vamъ,вамъ
ѣко,ako,ако
вьсѣкъ,vьxakъ,вьсꙗкъ
