povědaaše|повѣдааше
že|же
svętъjь|свѧтъіи
božьjь|божии
|
i|и
|
i|и
jьni|ини
mъnogi|мъноѕи
otъ|отъ
bratrьję|братриѩ
o|о
ńixъže|н҄ихъже
xoћǫ|хощѫ
golgolati|глаголати
ako|ако
pavьlъ|павьлъ
někъto|нѣкъто
|
|
|
|
i|и
prostъ|простъ
žitьjemь|житиѥмь
﻿sъ|﻿съ
krasьnojǫ|красьноѭ
ženojǫ|женоѭ
|
sę|сѧ
zъlonorvьnojǫ|зълонравьноѭ
orzuma|разоума
jǞže|ꙗже
|
jego|ѥго
sъgrěšǞaše|съгрѣшааше
na|на
dĺ̥gě|дльѕѣ
vermeni|врѣмени
že|же
﻿sъ|﻿съ
sela|села
|
vъšьdъ|въшьдъ
vъ|въ
domъ|домъ
svojь|свои
obrěte|обрѣте
jǞ|ꙗ
zъlo|зъло
tvoręћǞ|творѧща
|
na|на
|
|
pavьla|павьла
i|и
viděvъ|видѣвъ
jǫ|ѭ
﻿sъ|﻿съ
|
jeję|ѥѩ
|
vъsmьjǞvъ|въсмиꙗвъ
sę|сѧ
vъzъpi|възъпи
kъ|къ
ńima|н҄има
golgoĺę|глаголѩ
dobrě|добрѣ
dobrě|добрѣ
tako|тако
mi|ми
jisusa|исоуса
nebergǫ|небрѣгѫ
o|о
tomь|томь
azъ|азъ
juže|юже
kъ|къ
tomu|томоу
ne|не
viђǫ|виждѫ
jeję|ѥѩ
jьdi|иди
jьměji|имѣи
jǫ|ѭ
i|и
děti|дѣти
jeję|ѥѩ
azъ|азъ
bo|бо
jьdǫ|идѫ
i|и
bǫdǫ|бѫдѫ
|
i|и
ni|ни
kъ|къ
komu|комоу
že|же
ničьsože|ничьсоже
rekъ|рекъ
jьde|иде
vъ|въ
pustyńǫ|поустъінѭ
kъ|къ
bolženujemu|блаженоуѥмоу
|
i|и
tĺ̥knǫ|тлькнѫ
vъ|въ
dvьri|двьри
i|и
jьsšьdъ|ишьдъ
že|же
svętъjь|свѧтъіи
|
vъprašǞ|въпраша
jь|и
čьto|чьто
xoћetъ|хощетъ
golgola|глагола
pavьlъ|павьлъ
|
xoћǫ|хощѫ
byti|бъіти
otъvěћǞ|отъвѣща
jemu|ѥмоу
|
šestь|шесть
desętъ|десѧтъ
lětъ|лѣтъ
sy|съі
i|и
starъ|старъ
juže|юже
sy|съі
sьde|сьде
|
ne|не
možeši|можеши
byti|бъіти
nъ|нъ
pače|паче
jьdi|иди
vъ|въ
vьsь|вьсь
i|и
dělaję|дѣлаѩ
živi|живи
|
boga|бога
ne|не
možeši|можеши
bo|бо
ty|тъі
|
skr̥bьjь|скръбии
|
otъvěћǞvъ|отъвѣщавъ
starьkь|старьць
reče|рече
ježe|ѥже
aћe|аще
mę|мѧ
naučiši|наоучиши
to|то
to|то
sъtvoŕǫ|сътворѭ
reče|рече
jemu|ѥмоу
|
rěxъ|рѣхъ
ti|ти
ako|ако
starъ|старъ
jesi|ѥси
i|и
ne|не
možeši|можеши
|
byti|бъіти
jьdi|иди
aћe|аще
xoћeši|хощеши
|
byti|бъіти
vъlězi|вълѣзи
vъ|въ
|
|
jьђeže|иждеже
vęћe|вѧще
bratrьję|братриѩ
jestъ|ѥстъ
jiže|иже
mogǫtъ|могѫтъ
tebě|тебѣ
i|и
bolěznьmъ|болѣзньмъ
tvojimъ|твоимъ
poslužiti|послоужити
