povědaaše,повѣдааше,Повѣдааше,,,
že,же,же,,,
svętъjь,свѧтъіи,ст҃ꙑи,,,
božьjь,божии,божии,,,
,,иераѯ,,,
i,и,и,,,
,,кронии,,,
i,и,и,,,
jьni,ини,ини,,,
mъnogi,мъноѕи,мнози,,,
otъ,отъ,отъ,,,
bratrьję,братриѩ,братиѧ,,,
o,о,о,,,
ńixъže,н҄ихъже,н҄ихъже,,,
xoћǫ,хощѫ,хъштѫ,,,
golgolati,глаголати,глаголати,,,
ako,ако,ꙗко,,,
pavьlъ,павьлъ,паулъ,,,
někъto,нѣкъто,нѣкꙿто,,,
,,пол҄ьскꙑи,,,
,,ратаи,,,
,,издрꙙдь,,,
,,безълобенъ,,,
i,и,и,,,
prostъ,простъ,простъ,,,
žitьjemь,житиѥмь,житиѥмъ,,,
﻿sъ,﻿съ,съ,,,
krasьnojǫ,красьноѭ,красьноѭ,,,
ženojǫ,женоѭ,женоѭ,,,
,,съпрꙙже,,,
sę,сѧ,сꙙ,,,
zъlonorvьnojǫ,зълонравьноѭ,зълонравънѫ,,,
orzuma,разоума,разоума,,,
jǞže,ꙗже,ꙗже,,,
,,отаи,,,
jego,ѥго,ѥго,,,
sъgrěšǞaše,съгрѣшааше,съгрѣшааше,,,
na,на,на,,,
dĺ̥gě,дльѕѣ,дльзѣ,,,
vermeni,врѣмени,врѣмени,,,
že,же,же,,,
﻿sъ,﻿съ,съ,,,
sela,села,села,,,
,,напрасно,,,
vъšьdъ,въшьдъ,въшедъ,,,
vъ,въ,въ,,,
domъ,домъ,домъ,,,
svojь,свои,свои,,,
obrěte,обрѣте,обрѣте,,,
jǞ,ꙗ,ꙗ,,,
zъlo,зъло,зъло,,,
tvoręћǞ,творѧща,творꙙшта,,,
,,промꙑслоу,,,
na,на,на,,,
,,пользьноѥ,,,
,,оуправьꙗѭштоу,,,
pavьla,павьла,паула,,,
i,и,и,,,
viděvъ,видѣвъ,видѣвъ,,,
jǫ,ѭ,ѭ,,,
﻿sъ,﻿съ,съ,,,
