кьнігъі|Nb-p---fn--i|Кьнігъі
родства|Nb-s---ng--i|р҃одства
іухва|A--s---ogpsi|и҃ѵ҃хва
сна|Nb-s---mg--i|с҃на
ддва|A--s---ogpsi|д҃два
сна|Nb-s---mg--i|с҃на
авраамлѣ|A--s---mgpsi|Авраа̄мл̄ѣ
авраамъ|Ne-s---mn--i|Авраа̄мъ
роді|V-3saia----i|роди
ісаака|Ne-s---mg--i|ӣсаа̄ка
ісаакь|A--s---mnpsi|Ӣсаа̄кь
же|Df---------n|же
роді|V-3saia----i|роді
іакова|Ne-s---mg--i|ӣа̄ко̄ва
іаковъ|Ne-s---mn--i|ӣа̄ковъ
же|Df---------n|же
роді|V-3saia----i|роді
іюдѫ|Ne-s---ma--i|Ӣю̄дѫ
і|C----------n|ӣ
братіѭ|Nb-s---fa--i|братіѭ̄
его|Pp3s---mg--i|е̄го
іюда|Ne-s---mn--i|И҅ю̄да
же|Df---------n|же
роді|V-3saia----i|роді
фареса|Nb-p---na--i|фареса
і|C----------n|ӣ
зара|Ne-s---mg--i|зара
отъ|R----------n|ѡ̄̄тъ
тамаръі|Nb-p---mi--i|тамаръи
фаресъ|V--supamn-si|фаресъ
же|Df---------n|же
роді|V-3saia----i|роді
есрома|Nb-s---mg--i|е̄ср̄ома
есромь|Nb-s---mi--i|е̄сромь
же|Df---------n|же
роді|V-3saia----i|роді
араама|Ne-s---mg--i|а̄раа̄ма
араамъ|Ne-s---mn--i|А̄раа̄мъ
же|Df---------n|же
роді|V-3saia----i|роді
амінадава|A--s---fnpsi|а̄мінадава
амінадавъ|V--supamn-si|а̄мінадавъ
же|Df---------n|же
роді|V-3saia----i|роді
нассона|Ne-s---mg--i|Насс̆она
нассонъ|Nb-s---ma--i|насс̆о̄нъ
же|Df---------n|же
роді|V-3saia----i|роді
сальмона|Ne-s---mg--i|сальмона
салмонъ|Ne-s---mn--i|Салм̄онъ
же|Df---------n|же
роді|V-3saia----i|роді
вооза|Nb-s---fn--i|Воо҅за
от|R----------n|от
рахавъі|Ne-s---fg--i|рахавъі
воозь|Nb-s---mn--i|Воо̄зь
же|Df---------n|же
роді|V-3saia----i|роді
овіода|Ne-s---mg--i|о҅віо̄да
отъ|R----------n|ѡ҅҅тъ
ротъі|Nb-p---ma--i|ротъі
овіодъ|Nb-p---mg--i|О̄вио҅̄дъ
же|Df---------n|же
роді|V-3saia----i|роді
іесеа|Ne-s---mg--i|ӣе̄сеа̄
іесеі|Ne-s---mn--i|Ӣе̄сеӣ
же|Df---------n|же
роді|V-3saia----i|роді
дда|Ne-s---mg--i|д҃да
црѣ|Nb-s---mg--i|ц҃рѣ
ддъ|Ne-s---mn--i|д҃дъ
же|Df---------n|же
црь|Nb-s---mn--i|ц҃рь
роді|V-3saia----i|роді
соломона|Ne-s---mg--i|соломона
от|R----------n|ѡт
оуріінъіѧ|A--s---fgpwi|ѹ̄ріӣнъіѩ̄
соломонъ|Ne-s---mn--i|Соломонъ
же|Df---------n|же
роді|V-3saia----i|роді
ровоама|Ne-s---mg--i|ровоа̄ма
ровоамъ|Ne-s---mn--i|Ровоа̄мъ
же|Df---------n|же
роді|V-3saia----i|роди
авіада|Ne-s---mg--i|а̄віа̄да
авіадъ|Ne-s---mn--i|А̄віа̄дъ
же|Df---------n|же
роді|V-3saia----i|роді
асса|Ne-s---mg--i|а̄сс̆а
ассь|Ne-s---mn--i|А̄сс̄̄ь
же|Df---------n|же
роді|V-3saia----i|роді
іоасафата|F----------n|ӣо̄а̄сафата
іоасафатъ|V-3spia----i|ӣо̄а̄сафатъ
же|Df---------n|же
роді|V-3saia----i|роді
іоарама|Ne-s---mg--i|ӣо̄а̄рама
іоарамь|Ne-s---mn--i|Ӣо̄а̄рамь
же|Df---------n|же
роді|V-3saia----i|роді
іозіѭ|Nb-s---fi--i|ӣо̄зіѭ̄
іозіѣ|Nb-s---ng--i|Ӣо̄зіѣ̄
же|Df---------n|же
роді|V-3saia----i|роді
іоатама|Nb-d---fd--i|ӣо̄а̄тама
іоатамь|Pd-s---mn--i|ӣо̄а̄тамь
же|Df---------n|же
роді|V-3saia----i|роді
ахаза|Nb-s---fn--i|а̄хаза
ахазь|V-2spma----i|А̄хазь
же|Df---------n|же
роді|V-3saia----i|роді
іезекіѭ|Nb-s---fa--i|ӣе̄зекіѭ̄
іезекіѣ|Ne-s---mn--i|ӣе̄зекіѣ̄
же|Df---------n|же
роді|V-3saia----i|роді
манасіѭ|Ne-s---ma--i|манасиѭ̄
манасіі|Ne-s---mn--i|манасіӣ
же|Df---------n|же
роді|V-3saia----i|роді
амоса|Nb-s---mg--i|а̄мо̄с̄а
амось|Ne-s---mn--i|А̄мось
же|Df---------n|же
роді|V-3saia----i|роді
іосіѭ|Nb-s---fa--i|ӣо̄сіѭ̄
іосіа|Ne-s---fn--i|Ӣо̄сіа̄
же|Df---------n|же
роді|V-3saia----i|роді
іохоніѭ|Ne-s---fa--i|ӣо̄хоніѭ̄
і|C----------n|и
братіѭ|Nb-s---fa--i|братиѭ̄
его|Pp3s---mg--i|е̄го
въ|R----------n|Въ
прѣселеніі|Nb-s---nl--i|прѣселеніӣ
вавілонстѣамь|A--s---mlpwi|вавілонстѣа̄мь
по|R----------n|По
прѣселеніі|Nb-s---nl--i|прѣселениӣ
же|Df---------n|же
вавілоньстѣ|A--s---mlpsi|вавілоньстѣ
іохоніѣ|Nb-p---nn--i|Ӣо̄хониѣ̄
роді|V-3saia----i|роди
салатілѣ|Nb-s---nl--i|салатилѣ
салатіль|V--sspamn-si|салатіль
же|Df---------n|же
роді|V-3saia----i|роді
зоровавелѣ|Ne-s---mg--i|зоров̄авелѣ
зоровавель|Ne-s---mn--i|Зоров̄авель
же|Df---------n|же
роді|V-3saia----i|роді
авіоуда|Ne-s---mn--i|А̄віѹ̄да
авіоудъ|Nb-s---ma--i|А̄віѹ̄дъ
же|Df---------n|же
роді|V-3saia----i|роді
еліакіма|Ne-s---mg--i|е̄лиа̄кіма
еліакімь|Ne-s---mn--i|е̄лиа̄кимь
же|Df---------n|же
роді|V-3saia----i|роді
азара|Ne-s---mg--i|А̄зара
азарь|Nb-p---mg--i|А̄зарь
же|Df---------n|же
роді|V-3saia----i|роді
садока|Nb-s---mg--i|садока
садокь|Nb-s---mn--i|садокь
же|Df---------n|же
роді|V-3saia----i|роді
ахіна|Ne-s---mg--i|а̄хі̄на
ахінъ|Ne-s---mn--i|а̄хінъ
же|Df---------n|же
роді|V-3saia----i|р҃оді
еліоуда|Ne-s---mn--i|е̄лиѹ̄да
еліоудъ|Nb-s---ma--i|е̄ліѹ̄дъ
же|Df---------n|же
роді|V-3saia----i|роді
еліезора|Ne-s---mg--i|е̄ліе̄зора
еліезоръ|Ne-s---mn--i|Е̄ліе̄зоръ
же|Df---------n|же
роді|V-3saia----i|роді
маттана|Ne-s---mg--i|мат҅т̄ана
маттанъ|Ne-s---mn--i|матт̄анъ
же|Df---------n|же
роді|V-3saia----i|роді
іакова|Ne-s---mg--i|ӣа̄кова
іаковъ|Ne-s---mn--i|ӣа̄ковъ
же|Df---------n|же
роді|V-3saia----i|роді
іосіфа|Ne-s---mg--i|ӣо̄сіфа
мѫжа|Nb-s---mg--i|мѫжа
марііна|A--s---ogpsi|мариӣна
із|R----------n|ӣз
неѧже|Pr-s---fg--i|неѩ̄же
роді|V-3saia----i|роді
сѧ|Pk3s---qa--i|сѧ
ісъ|Ne-s---mn--i|и҃̄съ
наріцаемъі|V--spppmn-wi|наріцае̄мъи
хъ|Ne-s---mn--i|х҃ъ
вьсѣхъ|Px-p---mg--i|Вьсѣхъ
же|Df---------n|же
родовъ|Nb-p---mg--i|родовъ
от|R----------n|ѡт
авраама|Ne-s---mg--i|а̄враа̄ма
до|R----------n|до
дда|Nb-s---mg--i|д҃да
родовъ|Nb-p---mg--i|Родовъ
гі|Nb-s---mv--i|г҃ꙇ҃
те|Pp2s---ma--i|те
і|C----------n|Ӣ
от|R----------n|ѡт
дда|Nb-s---mg--i|д҃да
до|R----------n|до
прѣселеніѣ|Nb-s---ng--i|прѣселениѣ̄
вавілонскааго|A--s---ngpwi|вавілонс҅каа̄го
родовъ|Nb-p---mg--i|Родовъ
гі|Nb-s---mv--i|г҃ꙇ҃
те|Pp2s---ma--i|те
і|C----------n|Ӣ
от|R----------n|ѡт
прѣселеніѣ|Nb-s---ng--i|прѣселениѣ̄
вавілонскааго|A--s---ngpwi|вавилон̄с̄каа̄го
до|R----------n|до
ха|Ne-s---mg--i|х҃а
родовъ|Nb-p---mg--i|Родовъ
гі|Nb-s---mv--i|г҃ꙇ҃
те|Df---------n|те
ісхво|A--s---nnpsi|И҃схво
же|Df---------n|же
родство|Nb-s---nn--i|р҃одство
сіце|Df---------n|сіце
бъіс|V-3saia----i|бъіс
обрѫченѣ|V--suppfd-si|о̄брѫченѣ
бъівьші|V--supafd-si|бъивьші
матері|Nb-s---fd--i|матері
его|Pp3s---mg--i|е̄го
маріі|Ne-s---fd--i|маріӣ
іосіфові|Ne-s---md--i|Ӣо̄сіфові
прѣжде|Df---------n|прѣжде
даже|G----------n|даже
не|Df---------n|не
сьнѧсте|V-2paia----i|сьнѧсте
сѧ|Pk3s---qa--i|сѧ
обрѣте|V-3saia----i|О̄брѣте
сѧ|Pk3s---qa--i|сѧ
імѫшті|V--sppafn-si|ӣмѫщі
въ|R----------n|въ
чрѣвѣ|Nb-s---nl--i|чрѣвѣ
от|R----------n|ѡт
дха|Nb-s---mg--i|д҃ха
ста|A--s---ogpsi|с҃та
ісхво|A--s---nnpsi|и҃҅схво
же|Df---------n|же
родство|Nb-s---nn--i|р҃одство
сіце|Df---------n|сице
іосіфь|Ne-s---mn--i|Ӣо̄сіфь
же|Df---------n|же
мѫжь|Nb-s---mn--i|мѫжь
еѧ|Pp3s---fg--i|е̄ѩ̄
правьденъ|A--s---mnpsi|правьденъ
съі|V--sppamn-si|съі
і|C----------n|ӣ
не|Df---------n|не
хотѧ|V--sppamn-si|хотѧ
облічіті|V---pna----i|о̄блічіті
еѧ|Pp3s---fg--i|е̄ѩ̄
въсхотѣ|V-3saia----i|Въсх̄отѣ
таі|Df---------n|таӣ
поустіті|V---pna----i|пѹстіті
ѭ|Pp3s---fa--i|ѭ
се|Pd-s---na--i|Се
же|Df---------n|же
емоу|Pp3s---md--i|е̄мѹ
оумъішльшоу|V--supamd-si|ѹ̄мъішльшѹ
се|I----------n|се
англъ|Nb-s---mn--i|а҃̄нꙉлъ
гнь|A--s---mnpsi|г҃нь
вь|R----------n|вь
сьнѣ|Nb-s---ml--i|сьнѣ
ѣві|V-3saia----i|ѣ̄ви
сѧ|Pk3s---qa--i|сѧ
емоу|Pp3s---md--i|е̄мѹ
глѧ|V--sppamn-si|г҃лѩ
іосіфе|Ne-s---mv--i|Ӣо̄сіфе
сне|Nb-s---mv--i|с҃не
ддвъ|A--s---mvpsi|д҃двъ
не|Df---------n|не
оубоі|V-2spma----i|ѹ̄боӣ
сѧ|Pk3s---qa--i|сѧ
пріѧті|V---pna----i|пріѩ̄ті
женъі|Nb-s---fg--i|женъі
твоеѧ|Ps2s---fg--i|твое̄ѩ̄
маріѧ|Ne-s---fg--i|м̄ар̄іѩ̄
сѫштее|V--sppana-wi|сѫштее̄
бо|Df---------n|бо
вь|R----------n|вь
неі|Pp3s---fl--i|неӣ
от|R----------n|Ѡт
дха|Nb-s---mg--i|д҃ха
ста|A--s---mgpsi|с҃та
естъ|V-3spia----i|е̄стъ
родіт|V-3spia----i|Родіт
же|Df---------n|же
сна|Nb-s---mg--i|с҃на
і|C----------n|Ӣ
наречеші|V-2spia----i|наречеші
імѧ|Nb-s---na--i|ӣмѧ
емоу|Pp3s---md--i|е̄мѹ
ісъ|Ne-s---mn--i|и҃̄съ
тъ|Pd-s---mn--i|тъ
бо|Df---------n|бо
спсетъ|V-3spia----i|с҃псетъ
люді|Nb-p---ma--i|люді
своѧ|Pt3p---ma--i|своѩ̄
оть|R----------n|о̄ть
грѣхъ|Nb-p---mg--i|грѣхъ
іхъ|Pp3p---mg--i|ӣхъ
се|Pd-s---nn--i|Се
же|Df---------n|же
вьсе|Px-s---nn--i|вьсе
бъіс|V-3saia----i|бъіс
да|G----------n|да
събѫдет|V-3sfia----i|събѫдет
сѧ|Pk3s---qa--i|сѧ
реченое|V--suppnn-wi|реченое̄
отъ|R----------n|о̄тъ
га|Nb-s---mg--i|г҃а
ісаіем|V--supamn-si|исаӣе̄м
прркмъ|Nb-p---md--i|п҃рркмъ
глштемъ|V--pppamd-si|г҃лщемъ
се|Pk3s---qa--i|Се
дѣва|Nb-s---fn--i|дѣва
въ|R----------n|въ
чрѣвѣ|Nb-s---nl--i|чрѣвѣ
прііметъ|V-3spia----i|приӣметъ
і|C----------n|ӣ
родітъ|V-3spia----i|родітъ
сна|Nb-s---mg--i|с҃на
і|C----------n|ӣ
нарекѫтъ|V-3ppia----i|нарекѫтъ
імѧ|Nb-s---na--i|ӣмѧ
емоу|Pp3s---md--i|е̄мѹ
енманоуіль|Ne-s---mn--i|е̄нм̄анѹӣль
еже|Pr-s---nn--i|Е̄же
естъ|V-3spia----i|е̄стъ
ськазаемо|V--spppnn-si|ськазае̄мо
сь|R----------n|сь
намі|Pp1p---pi--i|нами
бъ|Nb-s---mn--i|б҃ъ
въставъ|V--supamn-si|Въставъ
же|Df---------n|же
іосіфь|Ne-s---mn--i|ӣо̄сіфь
отъ|R----------n|о̄тъ
сьна|Nb-s---mg--i|сьна
сьтворі|V-3saia----i|сьтворі
ѣкоже|Dq---------n|ѣ̄коже
повелѣ|V-3saia----i|повелѣ
