кьнігъі,Nb,Кьнігъі
родства,Nb,р҃одства
іоухва,A-,и҃ѹ҃хва
сна,Nb,с҃на
ддва,A-,д҃два
сна,Nb,с҃на
авраамлѣ,A-,Авраа̄мл̄ѣ
авраамъ,Ne,Авраа̄мъ
роді,V-,роди
ісаака,Ne,ӣсаа̄ка
ісаакь,A-,Ӣсаа̄кь
же,Df,же
роді,V-,роді
іакова,Ne,ӣа̄ко̄ва
іаковъ,Ne,ӣа̄ковъ
же,Df,же
роді,V-,роді
іюдѫ,Ne,Ӣю̄дѫ
і,C-,ӣ
братіѭ,Nb,братіѭ̄
его,Pp,е̄го
іюда,Ne,῾Ию̄да
же,Df,же
роді,V-,роді
фареса,Nb,фареса
і,C-,ӣ
зара,Ne,ӡара
отъ,R-,ѡ̄̄тъ
тамаръі,Nb,тамаръи
фаресъ,V-,фаресъ
же,Df,же
роді,V-,роді
есрома,Nb,е̄ср̄ома
есромь,Nb,е̄сромь
же,Df,же
роді,V-,роді
араама,Ne,а̄раа̄ма
араамъ,Nb,А̄раа̄мъ
же,Df,же
роді,V-,роді
амінадава,A-,а̄мінадава
амінадавъ,V-,а̄мінадавъ
же,Df,же
роді,V-,роді
нассона,Ne,Насс̆она
нассонъ,Nb,насс̆о̄нъ
же,Df,же
роді,V-,роді
сальмона,Ne,сальмона
салмонъ,Ne,Салм̄онъ
же,Df,же
роді,V-,роді
вооза,Nb,Во᾽оӡа
от,R-,от҃
рахавъі,A-,рахавъі
воозь,Nb,Воо̄ӡь
же,Df,же
роді,V-,роді
овіода,Ne,᾽овіо̄да
отъ,R-,[᾽᾽ѡтъ
ротъі,Nb,ротъі]
овіодъ,Nb,О̄ви᾽о̄дъ
же,Df,же
роді,V-,роді
іесеа,Ne,ӣе̄сеа̄
іесеі,V-,Ӣе̄сеӣ
же,Df,же
роді,V-,роді
дда,Nb,д҃да
црѣ,Nb,ц҃рѣ
ддъ,Ne,д҃дъ
же,Df,же
црь,Nb,ц҃рь
роді,V-,роді
соломона,Ne,соломона
от,R-,ѡт҃
оуріінъіѧ,A-,о̄уріӣнъіѧ̄
соломонъ,Ne,Соломонъ
же,Df,же
роді,V-,роді
ровоама,Nb,ровоа̄ма
ровоамъ,Nb,Ровоа̄мъ
же,Df,же
роді,V-,роди
авіада,Ne,а̄віа̄да
авіадъ,Ne,А̄віа̄дъ
же,Df,же
роді,V-,роді
асса,Ne,а̄сс̆а
ассь,Nb,А̄сс̄̄ь
же,Df,же
роді,V-,роді
іоасафата,F-,ӣо̄а̄сафата
іоасафатъ,V-,ӣо̄а̄сафатъ
же,Df,же
роді,V-,роді
іоарама,Nb,ӣо̄а̄рама
іоарамь,Ne,Ӣо̄а̄рамь
же,Df,же
роді,V-,роді
іозіѭ,Nb,ӣо̄ӡіѭ̄
іозіѣ,Nb,Ӣо̄ӡіѣ̄
же,Df,же
роді,V-,роді
іоатама,Ma,ӣо̄а̄тама
іоатамь,Nb,ӣо̄а̄тамь
же,Df,же
роді,V-,роді
ахаза,Nb,а̄хаӡа
ахазь,V-,А̄хаӡь
же,Df,же
роді,V-,роді
іезекіѭ,Nb,ӣе̄ӡекіѭ̄
іезекіѣ,Ne,ӣе̄ӡекіѣ̄
же,Df,же
роді,V-,роді
манасіѭ,Ne,манасиѭ̄
манасіі,Ne,манасіӣ
же,Df,же
роді,V-,роді
амоса,Nb,а̄мо̄с̄а
амось,Nb,А̄мось
же,Df,же
роді,V-,роді
іосіѭ,Nb,ӣо̄сіѭ̄
іосіа,Ne,Ӣо̄сіа̄
же,Df,же
роді,V-,роді
іохоніѭ,Ne,ӣо̄хоніѭ̄
і,C-,и
братіѭ,Nb,братиѭ̄
его,Pp,е̄го
въ,R-,Въ
прѣселеніі,Nb,прѣселеніӣ
вавілонстѣамь,A-,вавілонстѣа̄мь
по,R-,По
прѣселеніі,Nb,прѣселениӣ
же,Df,же
вавілоньстѣ,A-,вавілоньстѣ
іохоніѣ,Nb,Ӣо̄хониѣ̄
роді,V-,роди
салатілѣ,Nb,салатилѣ
салатіль,V-,салатіль
же,Df,же
роді,V-,роді
зоровавелѣ,Ne,ӡоров̄авелѣ
зоровавель,Ne,Ӡоров̄авель
же,Df,же
роді,V-,роді
авіоуда,Ne,А̄віо̄уда
авіоудъ,Nb,А̄віо̄удъ
же,Df,же
роді,V-,роді
еліакіма,Nb,е̄лиа̄кіма
еліакімь,A-,е̄лиа̄кимь
же,Df,же
роді,V-,роді
азара,Ne,А̄ӡара
азарь,Nb,А̄ӡарь
же,Df,же
роді,V-,роді
садока,Nb,садока
садокь,Nb,садокь
же,Df,же
роді,V-,роді
ахіна,Nb,а̄хі̄на
ахінъ,A-,а̄хінъ
же,Df,же
роді,V-,р҃о҃ді
еліоуда,Ne,е̄лио̄уда
еліоудъ,Nb,е̄ліо̄удъ
же,Df,же
роді,V-,роді
еліезора,Ne,е̄ліе̄ӡора
еліезоръ,Ne,Е̄ліе̄ӡоръ
же,Df,же
роді,V-,роді
маттана,Ne,ма᾽тт̄ана
маттанъ,V-,матт̄анъ
же,Df,же
роді,V-,роді
іакова,Ne,ӣа̄кова
іаковъ,Ne,ӣа̄ковъ
же,Df,же
роді,V-,роді
іосіфа,Ne,ӣо̄сіфа
мѫжа,Nb,мѫжа
марііна,A-,мариӣна
із,R-,ӣӡ
неѧже,Pr,неѧ̄же
роді,V-,роді
сѧ,Pk,сѧ
ісъ,Ne,ӣс҃ъ
наріцаемъі,V-,наріцае̄мъи
хъ,Ne,х҃ъ
вьсѣхъ,Px,Вьсѣхъ
же,Df,же
родовъ,Nb,родовъ
от,R-,ѡт҃
авраама,Ne,а̄враа̄ма
до,R-,до
дда,Nb,д҃да
родовъ,Nb,Родовъ
гі,Nb,г҃і҃
те,Pp,те
і,C-,Ӣ
от,R-,ѡт҃
дда,Nb,д҃да
до,R-,до
прѣселеніѣ,Nb,прѣселениѣ̄
вавілонскааго,A-,вавілон᾽скаа̄го
родовъ,Nb,Родовъ
гі,Nb,г҃і҃
те,Pp,те
і,C-,Ӣ
от,R-,ѡт҃
прѣселеніѣ,Nb,прѣселениѣ̄
вавілонскааго,A-,вавилон̄с̄каа̄го
до,R-,до
ха,Ne,х҃а
родовъ,Nb,Родовъ
гі,Nb,г҃і҃
те,Pp,те
ісхво,A-,И҃схво
же,Df,же
родство,Nb,р҃одство
сіце,Df,сіце
бъіс,V-,бъіс҃
обрѫченѣ,V-,о̄брѫченѣ
бъівьші,V-,бъивьші
матері,Nb,матері
его,Pp,е̄го
маріі,Ne,маріӣ
іосіфові,Ne,Ӣо̄сіфові
прѣжде,Df,прѣжде
даже,G-,даже
не,Df,не
сьнѧсте,V-,сьнѧсте
сѧ,Pk,сѧ
обрѣте,V-,О̄брѣте
сѧ,Pk,сѧ
імѫшті,V-,ӣмѫщі
въ,R-,въ
чрѣвѣ,Nb,чрѣвѣ
от,R-,ѡт҃
дха,Nb,д҃ха
ста,V-,с҃та
іосіфь,Ne,Ӣо̄сіфь
же,Df,же
мѫжь,Nb,мѫжь
еѧ,Pp,е̄ѧ̄
правьденъ,A-,правьденъ
съі,V-,съі
і,C-,ӣ
не,Df,не
хотѧ,V-,хотѧ
облічіті,V-,о̄блічіті
еѧ,Pp,е̄ѧ̄
въсхотѣ,V-,Въсх̄отѣ
таі,Df,таӣ
поустіті,V-,поустіті
ѭ,Pp,᾽ѭ
се,Pd,Се
же,Df,же
емоу,Pp,е̄моу
оумъішльшоу,V-,о̄умъішльшоу
се,I-,се
англъ,Nb,а̄н҃ђлъ
гнь,A-,г҃нь
вь,R-,вь
сьнѣ,Nb,сьнѣ
ѣві,V-,ѣ̄ви
сѧ,Pk,сѧ
емоу,Pp,е̄моу
глѧ,V-,г҃лѧ
іосіфе,Ne,Ӣо̄сіфе
сне,Nb,с҃не
ддвъ,A-,д҃двъ
не,Df,не
оубоі,V-,о̄убоӣ
сѧ,Pk,сѧ
пріѧті,V-,пріѧ̄ті
женъі,Nb,женъі
твоеѧ,Ps,твое̄ѧ̄
маріѧ,Ne,м̄ар̄іѧ̄
сѫштее,V-,сѫштее̄
бо,Df,бо
вь,R-,вь
неі,Pp,неӣ
от,R-,Ѡт҃
дха,Nb,д҃ха
ста,V-,с҃та
естъ,V-,е̄стъ
родіт,V-,Родіт
же,Df,же
сна,Nb,с҃на
і,C-,Ӣ
наречеші,V-,наречеші
імѧ,Nb,ӣмѧ
емоу,Pp,е̄моу
ісъ,Ne,ӣс҃ъ
тъ,Pd,тъ
бо,Df,бо
спсетъ,V-,с҃псетъ
люді,Nb,люді
своѧ,Pt,своѧ̄
оть,R-,о̄ть
грѣхъ,Nb,грѣхъ
іхъ,Pp,ӣхъ
се,Pd,Се
же,Df,же
вьсе,Px,вьсе
бъіс,V-,бъіс҃
да,G-,да
събѫдет,V-,събѫдет
сѧ,Pk,сѧ
реченое,V-,реченое̄
отъ,R-,о̄тъ
га,Nb,г҃а
ісаіем,Nb,исаӣе̄м
прркмъ,Nb,п҃рркмъ
глштемъ,V-,г҃лщемъ
се,I-,Се
дѣва,Nb,дѣва
въ,R-,въ
чрѣвѣ,Nb,чрѣвѣ
прііметъ,V-,приӣметъ
і,C-,ӣ
родітъ,V-,родітъ
сна,Nb,с҃на
і,C-,ӣ
нарекѫтъ,V-,нарекѫтъ
імѧ,Nb,ӣмѧ
емоу,Pp,е̄моу
енманоуіль,Ne,е̄нм̄аноуӣль
еже,Pr,Е̄же
естъ,V-,е̄стъ
ськазаемо,V-,ськаӡае̄мо
сь,R-,сь
намі,Pp,нами
бъ,Nb,б҃ъ
въставъ,V-,Въставъ
же,Df,же
іосіфь,Ne,ӣо̄сіфь
отъ,R-,о̄тъ
сьна,Nb,сьна
сьтворі,V-,сьтворі
ѣкоже,Dq,ѣ̄коже
повелѣ,V-,повелѣ
емоу,Pp,е̄моу
англъ,Nb,а̄н҃ђлъ
і,C-,ӣ
пріѧтъ,V-,приѧ̄тъ
женѫ,Nb,женѫ
своѭ,Pt,сво҃ѭ̄
і,C-,ӣ
не,Df,не
знааше,V-,ӡнаа̄ше
еѧ,Pp,е̄ѧ̄
дондеже,G-,донд̄еже
роді,V-,роді
снъ,Nb,с҃нъ
своі,Pt,своӣ
пръвѣнець,Nb,пръвѣнець
і,C-,и
нарече,V-,нарече
імѧ,Nb,ӣмѧ
емоу,Pp,е̄моу
ісъ,Ne,ӣс҃ъ
ісоу,Ne,῾И҃соу
рождьшоу,V-,рождьшю
сѧ,Pk,сѧ
въ,R-,въ
віѳлеомі,Nb,віѳ᾽лео̄ми
іюдеістѣмь,A-,ӣю̄деистѣмь
въ,R-,Въ
дьні,Nb,дьні
ірода,Ne,ӣрода
црѣ,Nb,ц҃рѣ
се,Pd,Се
влъсві,Nb,влъсві
отъ,R-,о̄тъ
въстокь,Nb,въстокь
прідѫ,V-,Прідѫ
въ,R-,въ
іерлмъ,Ne,ӣе̄рл҃мъ
глште,V-,г҃лште
кьде,Du,Кьде
естъ,V-,е̄стъ
рождеі,V-,рождеӣ
сѧ,Pk,сѧ
црь,Nb,ц҃рь
іюдеіскь,A-,᾽ию̄деӣск᾽ь
відѣхомъ,V-,Видѣхомъ
бо,Df,бо
звѣздѫ,Nb,ѕ᾽вѣӡдѫ
его,Pp,е̄го
на,R-,на
вьстоцѣ,Nb,вьстоцѣ
і,C-,ӣ
прідомъ,V-,прідомъ
поклонітъ,V-,поклонітъ
сѧ,Pk,сѧ
емоу,Pp,е̄моу
слъішавъ,V-,Слъішавъ
же,Df,же
іродъ,Ne,ӣродъ
црь,Nb,ц҃рь
сьмѧте,V-,сьмѧте
сѧ,Pk,сѧ
і,C-,ӣ
весь,Px,весь
іерслмъ,Ne,ӣе̄р̄сл҃мъ
съ,R-,съ
німъ,Pp,німъ
і,C-,ӣ
събьравъ,V-,събьравъ
вьсѧ,Px,вьсѧ
архіереѧ,Nb,а̄рх̄ие̄ре̄ѧ̄
і,C-,ӣ
кьніжьнікъі,Nb,кьніжьникъі
людьскъіѧ,A-,людьскъіѧ̄
въпрашааше,V-,въпрашаа̄ше
ѧ,Pp,ѧ̄
кьде,Du,кьде
хъ,Ne,х҃ъ
раждаетъ,V-,раждае̄тъ
сѧ,Pk,сѧ
оні,Pd,о̄ни
же,Df,же
рѣшѧ,V-,рѣшѧ
емоу,Pp,е̄моу
въ,R-,въ
віѳлеомі,Nb,віѳлео̄ми
іюдеістѣі,A-,ӣю̄деӣстѣӣ
тако,Df,Тако
бо,Df,бо
пісано,V-,пісано
естъ,V-,е̄стъ
і,C-,ӣ
тъі,Pp,тъі
віѳлееме,V-,віѳлее̄ме
земле,Nb,ӡемл҃е
іюдова,A-,ӣю̄дова
нічімъ,V-,Нічімъ
же,Df,же
меньші,V-,меньші
есі,V-,е̄сі
вь,R-,вь
влдкахъ,Nb,в҃лдкахъ
іюдовахъ,V-,ӣю̄довахъ
іс,Ne,᾽ис
тебе,Pp,тебе
бо,Df,бо
ізідетъ,V-,ӣӡідетъ
вождъ,Nb,вождъ
іже,Pr,і̄же
оупасетъ,V-,о̄упасетъ
люді,Nb,люді
своѧ,Pt,своѧ̄
ілѣ,Ne,᾽҃илѣ
тогда,Df,Тогда
іродъ,Ne,ӣродъ
таі,Df,таӣ
прізьвавъ,V-,приӡьвавъ
вльхвъі,Nb,вльх̄въи
іспъіта,V-,ӣс᾽пъіта
от,R-,ѡт҃
ніхъ,Pp,ніхъ
врѣмѧ,Nb,врѣмѧ
ѣвльшѧѧ,A-,ѣ̄вльшѧѧ̄
сѧ,Pk,сѧ
звѣздъі,Nb,ѕв̄ѣӡдъі
і,C-,Ӣ
посьлавь,V-,посьлавь
ѧ,Pp,ѧ̄
въ,R-,въ
віѳлеомъ,Nb,віѳлео̄мъ
рече,V-,рече
шедьше,V-,шедьше
іспъітаіте,V-,ӣспъітаӣте
ізвѣстъно,A-,ӣӡвѣстъно
о,R-,о̄
отрочѧті,Nb,о̄трочѧті
і,C-,ӣ
егда,Dq,е̄гд̄а
обрѧштете,V-,о̄брѧштете
вьзвѣстіте,V-,вьӡвѣстите
мі,Pp,мі
да,G-,да
і,Df,ӣ
азь,Pp,а̄ӡь
шедъ,V-,шедъ
поклонѭ,V-,поклонѭ
сѧ,Pk,сѧ
емоу,Pp,е̄моу
оні,Pd,῾Они
же,Df,же
послоушавъше,V-,послоушавъше
