Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
с҃на|| 
д҃два|| · 
с҃на|| 
Авраа̄мл̄ѣ|| · 
Авраа̄мъ|| 
роди|| 
ӣсаа̄ка|| · 
Ӣсаа̄кь|| 
же|| 
роді|| 
ӣа̄ко̄ва|| · 
ӣа̄ковъ|| 
же|| 
роді|| 
Ӣю̄дѫ|| 
ӣ|| 
братіѭ̄|| 
е̄го|| · 
῾Ию̄да|| 
же|| 
роді|| 
фареса|| 
ӣ|| 
ӡара|| · 
ѡ̄̄тъ|| 
тамаръи|| · 
фаресъ|| 
же|| 
роді|| 
е̄ср̄ома|| · 
е̄сромь|| 
же|| 
роді|| 
а̄раа̄ма|| · 
А̄раа̄мъ|| 
же|| 
роді|| 
а̄мінадава|| · 
а̄мінадавъ|| 
же|| 
роді|| · 
Насс̆она|| · 
насс̆о̄нъ|| 
же|| 
роді|| 
сальмона|| · 
Салм̄онъ|| 
же|| 
роді|| 
Во᾽оӡа|| 
от҃|| 
рахавъі|| · 
Воо̄ӡь|| 
же|| 
роді|| 
᾽овіо̄да|| · 
[᾽᾽ѡтъ|| 
ротъі]|| · 
О̄ви᾽о̄дъ|| 
же|| 
роді|| · 
ӣе̄сеа̄|| · 
Ӣе̄сеӣ|| 
же|| 
роді|| 
д҃да|| 
ц҃рѣ|| · 
д҃дъ|| 
же|| 
ц҃рь|| 
роді|| 
соломона|| 
ѡт҃|| 
о̄уріӣнъіѧ̄|| · 
Соломонъ|| 
же|| 
роді|| · 
ровоа̄ма|| · 
Ровоа̄мъ|| 
же|| 
роди|| 
а̄віа̄да|| · 
А̄віа̄дъ|| 
же|| 
роді|| 
а̄сс̆а|| · 
А̄сс̄̄ь|| 
же|| 
роді|| 
ӣо̄а̄сафата|| · 
ӣо̄а̄сафатъ|| 
же|| 
роді|| 
ӣо̄а̄рама|| · 
Ӣо̄а̄рамь|| 
же|| 
роді|| 
ӣо̄ӡіѭ̄|| · 
Ӣо̄ӡіѣ̄|| 
же|| 
роді|| 
ӣо̄а̄тама|| · 
ӣо̄а̄тамь|| 
же|| 
роді|| 
а̄хаӡа|| · 
А̄хаӡь|| 
же|| 
роді|| 
ӣе̄ӡекіѭ̄|| · 
ӣе̄ӡекіѣ̄|| 
же|| 
роді|| 
манасиѭ̄|| · 
манасіӣ|| 
же|| 
роді|| 
а̄мо̄с̄а|| · 
А̄мось|| 
же|| 
роді|| 
ӣо̄сіѭ̄|| · 
Ӣо̄сіа̄|| 
же|| 
роді|| 
ӣо̄хоніѭ̄|| · 
и|| 
братиѭ̄|| 
е̄го|| · 
Въ|| 
прѣселеніӣ|| 
вавілонстѣа̄мь|| · 
По|| 
прѣселениӣ|| 
же|| 
вавілоньстѣ|| · 
Ӣо̄хониѣ̄|| 
роди|| 
салатилѣ|| · 
салатіль|| 
же|| 
роді|| 
ӡоров̄авелѣ|| · 
Ӡоров̄авель|| 
же|| 
роді|| · 
А̄віо̄уда|| · 
А̄віо̄удъ|| 
же|| 
роді|| 
е̄лиа̄кіма|| · 
е̄лиа̄кимь|| 
же|| 
роді|| 
А̄ӡара|| · 
А̄ӡарь|| 
же|| 
роді|| 
садока|| · 
садокь|| 
же|| 
роді|| 
а̄хі̄на|| · 
а̄хінъ|| 
же|| 
р҃о҃ді|| 
е̄лио̄уда|| · 
е̄ліо̄удъ|| 
же|| 
роді|| 
е̄ліе̄ӡора|| · 
Е̄ліе̄ӡоръ|| 
же|| 
роді|| 
ма᾽тт̄ана|| · 
матт̄анъ|| 
же|| 
роді|| · 
ӣа̄кова|| · 
ӣа̄ковъ|| 
же|| 
роді|| 
ӣо̄сіфа|| 
мѫжа|| 
мариӣна|| · 
ӣӡ|| 
неѧ̄же|| 
роді|| 
сѧ|| 
ӣс҃ъ|| · 
наріцае̄мъи|| 
х҃ъ|| · 
Вьсѣхъ|| 
же|| 
родовъ|| · 
ѡт҃|| 
а̄враа̄ма|| 
до|| 
д҃да|| · 
Родовъ|| 
г҃і҃|| 
те|| · 
Ӣ|| 
ѡт҃|| 
д҃да|| 
до|| 
прѣселениѣ̄|| 
вавілон᾽скаа̄го|| · 
Родовъ|| 
г҃і҃|| 
те|| · 
Ӣ|| 
ѡт҃|| 
прѣселениѣ̄|| 
вавилон̄с̄каа̄го|| 
до|| 
х҃а|| · 
Родовъ|| 
г҃і҃|| 
те|| · 
И҃схво|| 
же|| 
р҃одство|| 
сіце|| 
бъіс҃|| · 
о̄брѫченѣ|| 
бъивьші|| 
матері|| 
е̄го|| 
маріӣ|| · 
Ӣо̄сіфові|| · 
прѣжде|| 
даже|| 
не|| 
сьнѧсте|| 
сѧ|| · 
О̄брѣте|| 
сѧ|| 
ӣмѫщі|| 
въ|| 
чрѣвѣ|| 
ѡт҃|| 
д҃ха|| 
с҃та|| · 
Ӣо̄сіфь|| 
же|| 
мѫжь|| 
е̄ѧ̄|| · 
правьденъ|| 
съі|| 
ӣ|| 
не|| 
хотѧ|| 
о̄блічіті|| 
е̄ѧ̄|| · 
Въсх̄отѣ|| 
таӣ|| 
поустіті|| 
᾽ѭ|| · 
Се|| 
же|| 
е̄моу|| 
о̄умъішльшоу|| · 
се|| 
а̄н҃ђлъ|| 
г҃нь|| 
вь|| 
сьнѣ|| 
ѣ̄ви|| 
сѧ|| 
е̄моу|| 
г҃лѧ|| · 
Ӣо̄сіфе|| 
с҃не|| 
д҃двъ|| · 
не|| 
о̄убоӣ|| 
сѧ|| 
пріѧ̄ті|| 
женъі|| 
твое̄ѧ̄|| 
м̄ар̄іѧ̄|| · ·:· ·:· 
сѫштее̄|| 
бо|| 
вь|| 
неӣ|| · 
Ѡт҃|| 
д҃ха|| 
с҃та|| 
е̄стъ|| · 
Родіт|| 
же|| 
с҃на|| · 
Ӣ|| 
наречеші|| 
ӣмѧ|| 
е̄моу|| 
ӣс҃ъ|| · 
тъ|| 
бо|| 
с҃псетъ|| 
люді|| 
своѧ̄|| 
о̄ть|| 
грѣхъ|| 
ӣхъ|| · 
Се|| 
же|| 
вьсе|| 
бъіс҃|| · 
да|| 
събѫдет|| 
сѧ|| 
реченое̄|| 
о̄тъ|| 
г҃а|| ·· 
исаӣе̄м|| 
п҃рркмъ|| 
г҃лщемъ|| · 
Се|| 
дѣва|| 
въ|| 
чрѣвѣ|| 
приӣметъ|| · 
ӣ|| 
родітъ|| 
с҃на|| · 
ӣ|| 
нарекѫтъ|| 
ӣмѧ|| 
е̄моу|| 
е̄нм̄аноуӣль|| · 
Е̄же|| 
е̄стъ|| 
ськаӡае̄мо|| 
сь|| 
нами|| 
б҃ъ|| · 
Въставъ|| 
же|| 
ӣо̄сіфь|| 
о̄тъ|| 
сьна|| · 
сьтворі|| 
ѣ̄коже|| 
повелѣ|| 
е̄моу|| 
а̄н҃ђлъ|| · 
ӣ|| 
приѧ̄тъ|| 
женѫ|| 
сво҃ѭ̄|| · 
ӣ|| 
не|| 
ӡнаа̄ше|| 
е̄ѧ̄|| · 
донд̄еже|| 
роді|| 
с҃нъ|| 
своӣ|| 
пръвѣнець|| · 
и|| 
нарече|| 
ӣмѧ|| 
е̄моу|| 
ӣс҃ъ|| ·· ·· 
῾И҃соу|| 
рождьшю|| 
сѧ|| 
въ|| 
віѳ᾽лео̄ми|| 
ӣю̄деистѣмь|| · 
Въ|| 
дьні|| 
ӣрода|| 
ц҃рѣ|| · 
Се|| 
влъсві|| 
о̄тъ|| 
въстокь|| · 
Прідѫ|| 
въ|| 
ӣе̄рл҃мъ|| 
г҃лште|| · 
Кьде|| 
е̄стъ|| 
рождеӣ|| 
сѧ|| 
ц҃рь|| 
᾽ию̄деӣск᾽ь|| · 
Видѣхомъ|| 
бо|| 
ѕ᾽вѣӡдѫ|| 
е̄го|| 
на|| 
вьстоцѣ|| · 
ӣ|| 
прідомъ|| 
поклонітъ|| 
сѧ|| 
е̄моу|| · 
Слъішавъ|| 
же|| 
ӣродъ|| 
ц҃рь|| 
сьмѧте|| 
сѧ|| · 
ӣ|| 
весь|| 
ӣе̄р̄сл҃мъ|| 
съ|| 
німъ|| · 
ӣ|| 
събьравъ|| 
вьсѧ|| 
а̄рх̄ие̄ре̄ѧ̄|| 
ӣ|| 
кьніжьникъі|| 
людьскъіѧ̄|| · 
въпрашаа̄ше|| 
ѧ̄|| 
кьде|| 
х҃ъ|| 
раждае̄тъ|| 
сѧ|| · 
о̄ни|| 
же|| 
рѣшѧ|| 
е̄моу|| · 
въ|| 
віѳлео̄ми|| 
ӣю̄деӣстѣӣ|| · 
Тако|| 
бо|| 
пісано|| 
е̄стъ|| · 
ӣ|| 
тъі|| 
віѳлее̄ме|| 
ӡемл҃е|| 
ӣю̄дова|| · 
Нічімъ|| 
же|| 
меньші|| 
е̄сі|| 
вь|| 
в҃лдкахъ|| 
ӣю̄довахъ|| · 
᾽ис|| 
тебе|| 
бо|| 
ӣӡідетъ|| 
вождъ|| · 
і̄же|| 
о̄упасетъ|| 
люді|| 
своѧ̄|| 
᾽҃илѣ|| · 
Тогда|| 
ӣродъ|| 
таӣ|| 
приӡьвавъ|| 
вльх̄въи|| · 
ӣс᾽пъіта|| 
ѡт҃|| 
ніхъ|| · 
врѣмѧ|| 
ѣ̄вльшѧѧ̄|| 
сѧ|| 
ѕв̄ѣӡдъі|| · 
Ӣ|| 
посьлавь|| 
ѧ̄|| 
въ|| 
віѳлео̄мъ|| · 
рече|| · 
шедьше|| 
ӣспъітаӣте|| 
ӣӡвѣстъно|| 
о̄|| 
о̄трочѧті|| · 
ӣ|| 
е̄гд̄а|| 
о̄брѧштете|| · 
вьӡвѣстите|| 
мі|| · 
да|| 
ӣ|| 
а̄ӡь|| 
шедъ|| 
поклонѭ|| 
сѧ|| 
е̄моу|| · 
῾Они|| 
же|| 
послоушавъше|| 
ц҃рѣ|| 
ӣдѫ|| · 
Ӣ|| 
се|| 
ѕвѣӡда|| 
ѭ̄же|| 
відѣшѧ|| 
на|| 
вьстоцѣ|| · 
ӣдѣа̄ше|| 
прѣдь|| 
німі|| · 
доӣдеже|| 
прішедші|| 
ста|| 
връхоу|| · 
ӣдеже|| 
бѣ|| 
о̄трочѧ|| · 
Видѣвъше|| 
же|| 
ѕвѣӡдѫ|| · 
въӡд̄радоваше|| 
сѧ|| 
радостіѭ̆|| 
{радостіѭ̆}|| 
велі᾽еѭ̄|| 
ѕѣло|| · 
Ӣ|| 
въшедъше|| 
въ|| 
храмінѫ|| · 
[в]ӣдѣшѧ|| 
о̄тр̄очѧ|| 
съ|| 
маріе̄ѭ̆|| · 
м҃триѭ|| 
е̄го|| · 
ӣ|| 
падъше|| 
поклонішѧ|| 
сѧ|| 
е̄моу|| · 
ӣ|| 
о̄тв̄ръӡьше̄|| 
съ᾽кровіща|| 
своѣ̄|| · 
Прінѣсѧ|| 
᾽емоу|| 
даръи|| · 
ӡла҃то|| 
ӣ|| 
ливанъ|| 
ӣ|| 
ӡ᾽мѹрн̄ѫ|| · 
ӣ|| 
о̄тъвѣтъ|| 
пріе̄мъше|| 
въ|| 
сьнѣ|| · 
не|| 
въӡвратішѧ|| 
сѧ|| 
кь|| 
ӣродоу|| · 
Нъ|| 
᾽инѣмъ|| 
пѫтемъ|| · 
о̄̄ті̄д̄ѫ|| 
въ|| 
стр̄анѫ|| 
своѭ̄|| ·· ·· - 
῾Ошедъшемъ|| 
вл᾽ъхво̄мъ|| · 
Се|| 
а̄н҃ђлъ|| 
г҃нь|| 
ѣ̄ви|| 
сѧ|| 
въ|| 
сънѣ|| · 
ӣо̄сӣфоу|| 
г҃лѧ|| · 
въставъ|| 
поӣми|| 
о̄трочѧ|| 
ӣ|| 
м҃трь|| 
е̄го|| · 
Ӣ|| 
бѣжи|| 
въ|| 
е̄ђѹ̄пе̄тъ|| · 
Ӣ|| 
бѫди|| 
тоу|| 
доӣде̄же|| 
рекѫ|| 
ті|| · 
Хощетъ|| 
бо|| 
ӣродъ|| 
ӣск̄аті|| 
о̄трочѧте|| · 
да|| 
погоубітъ|| 
е̄|| · 
О̄нъ|| 
же|| 
въставъ|| 
поѧтъ|| 
о̄трочѧ|| 
и|| 
мт҃ръ|| 
е̄го|| 
нощиѭ̄|| · 
ӣ|| 
о̄тіде|| 
въ|| 
е̄ђѹпетъ|| · 
й|| 
бѣ|| 
тоу|| 
до|| 
оум̄р̄ъ̄тв̄иѣ̄|| 
ӣродова|| · 
Да|| 
събѫдетъ|| 
сѧ|| 
реченое̄|| 
от҃|| 
г҃а|| 
п҃рркмъ|| 
г҃лщемъ|| · 
Ѡт҃|| 
е̄ђѹпт̄а|| 
въӡъвахъ|| 
с҃нъ|| 
моӣ|| · 
Тогда|| 
᾽иродъ|| 
відѣвъ|| 
ѣ̄ко|| 
порѫганъ|| 
бъис҃|| 
о̄тъ|| 
влъ̄хвъ|| · 
Ӣӡби|| 
вс̄ѧ|| 
о̄трокъи|| 
сѫщѧѧ̄|| 
въ|| 
виѳле᾽ем̄и|| · 
ӣ|| 
въ|| 
в᾽сѣхъ|| 
прѣдѣлѣхъ|| 
᾽е̄᾽ѧ|| · 
ѡ̄̄тъ|| 
дво̄ю̄|| 
лѣтоу|| 
ӣ|| 
ниже|| · 
по|| 
лѣтоу|| 
е̄же|| 
ӣ̄спъита|| 
᾽отъ|| 
вл̄ъ̄хв̄ъ|| · 
Тог᾽да|| 
събъис҃|| 
сѧ|| 
реченое̄|| · 
ӣе̄ремие̄мь|| 
п҃рркмъ|| 
г҃лщемъ|| 
Глас҃|| 
въ|| 
рамѣ|| 
слъишанъ|| 
бъіс҃|| · 
Плачь|| 
ӣ|| 
ръидание̄|| 
ӣ|| 
въпль|| 
мн̄огь|| · 
Рахиль|| 
плачѫщи|| 
сѧ|| 
чѧдъ|| 
своӣхъ|| · 
ӣ|| 
не|| 
хотѣа̄ше̄|| 
о̄утѣшіті|| 
сѧ|| 
ѣ̄ко|| 
не|| 
сѫтъ|| · 
О̄умер᾽шоу|| 
же|| 
ӣродоу|| · 
се|| 
а̄н҃ђлъ|| 
г҃нъ|| 
въ|| 
сьнѣ|| 
᾽ѣви|| 
сѧ|| 
ӣосифоу|| 
въ|| 
е̄ђ̄ѹпт̄ѣ|| 
г҃лѧ|| · 
Въставъ|| 
поӣми|| 
о̄трочѧ|| 
ӣ|| 
м҃рь|| 
е̄го|| · 
ӣ̄|| 
ӣди|| 
въ|| 
ӡемл҃ѭ|| 
ӣӡ҃лвѫ|| · 
Ӣӡ᾽мрѣшѧ|| 
бо|| 
ӣскѫщиӣ|| 
д҃шѧ|| 
о̄̄трочѧте|| · 
о̄нъ|| 
же|| 
въставъ|| 
по᾽ѧтъ|| 
о̄трочѧ|| 
᾽ӣ|| 
м҃тръ|| 
᾽его|| · 
ӣ|| 
въниде|| 
въ|| 
ӡемл҃ѭ|| 
᾽҃иӡлевѫ|| · 
Слъишавъ|| 
же|| · 
Ѣ̄ко|| 
а̄᾽рхилаӣ|| 
ц҃рствоуе̄тъ|| 
въ|| 
ӣю̄деӣ|| · 
въ|| 
ӣрода|| 
мѣсто|| 
о̄ц҃а|| 
свое̄го|| · 
῾Оубо᾽ѣ|| 
сѧ|| 
тамо|| 
ӣті|| · 
Вѣсть|| 
же|| 
пріе̄мъ|| 
въ|| 
сънѣ|| 
о̄̄тіде|| 
въ|| 
странѫ|| 
галилеӣск̄ѫ|| · 
Ӣ|| 
прішедъ|| 
въсели|| 
сѧ|| 
въ|| 
градъ|| 
нарицае̄мъи|| 
наӡаретъ|| · 
Да|| 
събѫдетъ|| 
сѧ|| 
реченое̄|| 
п҃рркмъ|| · 
Ѣк̄о̄|| 
наӡареӣ|| 
наречетъ|| 
сѧ|| ·· · - 
приде|| 
ӣо̄анъ|| 
к҃рстль|| · 
проповѣдаѧ|| 
въ|| 
поустъини|| 
ӣе̄рд̄ан᾽стѣ̄ӣ|| · 
г҃лѧ|| · 
Покаӣте|| 
сѧ|| · 
пріближи|| 
бо|| 
сѧ|| 
ц҃рство|| 
н҃бесьное̄|| · 
сь|| 
бо|| 
е̄стъ|| 
реченъиӣ|| · 
ӣсаӣе̄мъ|| 
пррк҃мъ|| 
г҃лщемъ|| · 
Глас҃|| 
въпіѭ̄щаа̄го|| 
въ|| 
поустъини|| · 
о̄уготоваӣте|| 
пѫть|| 
г҃нь|| · 
правъи|| 
творите|| 
стьѕѧ|| 
е̄го|| · 
Сам̄ж҃̄е|| 
ӣо̄а̄нъ|| 
ӣмѣа̄ше|| 
риӡѫ|| 
своѭ̄|| · 
ѡт҃|| 
власъ|| 
вельбѫждъ|| · 
ӣ|| 
поѣсъ|| 
о̄ус᾽ниѣ̄нъ|| 
о̄|| 
чрѣслѣ̄хъ|| 
своӣхъ|| · 
ѣ̄дь|| 
же|| 
е̄го|| 
бѣ|| 
а̄кріді|| 
ӣ|| 
медъ|| 
ді̄в̄іӣ|| · 
Тогда|| 
ӣсхождаа̄ше|| 
кь|| 
немоу|| 
весь|| 
ӣе̄рл҃мъ|| · 
ӣ|| 
ӣю̄деӣ|| · 
ӣ|| 
всѣ̄|| 
стр̄ана|| 
ӣе̄рд̄анс᾽ка|| · 
ӣ|| 
к҃рщахѫ|| 
сѧ|| 
от҃|| 
него|| 
въ|| 
ӣе̄рда̄нъстѣӣ|| 
рѣцѣ|| · 
ӣсповѣдаѭ̄ще|| 
грѣхъі|| 
своѧ̄|| · 
Видѣвъ|| 
же|| 
мн̆огъи|| 
фарісеѧ̄|| 
ӣ|| 
садоуке᾽ѧ|| 
грѧдѫщѧ|| 
на|| 
к҃рщение̄|| 
е̄го|| · 
Рече|| 
ӣмъ|| · 
ӣщѧдиѣ̄|| 
ехидънова|| · 
кт̄о|| 
съкаӡа|| 
вамъ|| 
бѣжаті|| 
от҃|| 
грѧдѫщаа̄го|| 
гн̄ѣва|| · 
сътворите|| 
о̄убо|| 
плодъі|| 
достоӣнъи|| 
покаа̄ни᾽ю|| · 
ӣ|| 
не|| 
начинаӣте|| 
г҃лати|| 
въ|| 
се̄бѣ|| · 
О̄ц҃а|| 
ӣмамъ|| 
а̄враа̄ма|| · 
г҃лѭ|| 
бо|| 
вамъ|| · 
Ѣ̄ко̄|| 
можетъ|| 
б҃ъ|| · 
от҃|| 
кам̄ениѣ̄|| 
сего|| 
въӡдвигнѫті|| 
чѧда|| 
А̄враа̄моу|| · 
Ю̄же|| 
бо|| 
ӣ|| 
секъира|| 
при|| 
корени|| 
дрѣв҃а|| 
лежітъ|| · 
в᾽сѣко|| 
о̄убо|| 
дрѣво|| · 
е̄же|| 
не|| 
творітъ|| 
плода|| 
добра|| · 
П̀осѣкае̄мо|| 
бъивае̄тъ|| 
ӣ|| 
въ|| 
о̄гнъ|| 
въмѣтае̄мо|| · 
А̄ӡъ|| 
о̄убо|| 
к҃рщаѭ̄|| 
въи|| 
проповѣдаѧ̄|| 
покаа̄ние̄|| · 
Грѧ̄дъі|| 
же|| 
по|| 
мнѣ̄|| 
крѣплеӣ|| 
мене|| 
е̄стъ|| · 
е̄моуже|| 
нѣсмъ|| 
достоӣ|| 
сапогоу|| 
понести|| · 
тъ|| 
въі|| 
к҃рститъ|| 
д҃хмъ|| 
с҃тм|| ̄ 
Пріде|| 
᾽҃ис̄ъ|| 
от҃|| 
галілеѧ̄|| 
на|| 
ӣе̄рда̄нъ|| 
кръстіт|| 
сѧ|| 
от҃|| 
него|| · 
Ӣо̄а̄нъ|| 
же|| 
въӡбранѣа̄ше|| 
е̄моу|| 
г҃лѧ|| · 
А̄ӡъ|| 
трѣбоуѭ̄|| 
тоб҃ѭ̄|| 
к҃рститі|| 
сѧ|| · 
а̄|| 
тъи|| 
лі|| 
грѧ̄деши|| 
