Кьнігъі,Nb,10,кънигꙑ
р҃одства,Nb,0,
и҃ѹ҃хва,A-,0,
с҃на,Nb,341,сꙑнъ#1
д҃два,A-,0,
с҃на,Nb,341,сꙑнъ#1
Авраа̄мл̄ѣ,A-,1750,авраамль
Авраа̄мъ,Ne,963,авраамъ
роди,V-,1198,родити#1
ӣсаа̄ка,Ne,964,исаакъ
Ӣсаа̄кь,A-,1751,исааковъ
же,Df,20,же
роді,V-,1198,родити#1
ӣа̄ко̄ва,Ne,412,иꙗковъ
ӣа̄ковъ,Ne,412,иꙗковъ
же,Df,20,же
роді,V-,1198,родити#1
Ӣю̄дѫ,Ne,1113,июда
ӣ,C-,13,и
братіѭ̄,Nb,290,братриꙗ
е̄го,Pp,64,и
῾Ию̄да,Ne,1113,июда
же,Df,20,же
роді,V-,1198,родити#1
фареса,Nb,0,
ӣ,C-,13,и
ӡара,Ne,0,
ѡ̄̄тъ,R-,80,отъ
тамаръи,Nb,0,
фаресъ,V-,0,
же,Df,20,же
роді,V-,1198,родити#1
е̄ср̄ома,Nb,0,
е̄сромь,Nb,0,
же,Df,20,же
роді,V-,1198,родити#1
а̄раа̄ма,Ne,0,
А̄раа̄мъ,Nb,0,
же,Df,20,же
роді,V-,1198,родити#1
а̄мінадава,A-,2572,аминадавовъ
а̄мінадавъ,V-,0,
же,Df,20,же
роді,V-,1198,родити#1
Насс̆она,Ne,0,
насс̆о̄нъ,Nb,0,
же,Df,20,же
роді,V-,1198,родити#1
сальмона,Ne,4016,салъмана
Салм̄онъ,Ne,0,
же,Df,20,же
роді,V-,1198,родити#1
Во᾽оӡа,Nb,0,
от҃,R-,80,отъ
рахавъі,A-,0,
Воо̄ӡь,Nb,0,
же,Df,20,же
роді,V-,1198,родити#1
᾽овіо̄да,Ne,0,
[᾽᾽ѡтъ,R-,80,отъ
ротъі],Nb,0,
О̄ви᾽о̄дъ,Nb,0,
же,Df,20,же
роді,V-,1198,родити#1
ӣе̄сеа̄,Ne,0,
Ӣе̄сеӣ,V-,0,
же,Df,20,же
роді,V-,1198,родити#1
д҃да,Nb,0,
ц҃рѣ,Nb,275,цѣсарь
д҃дъ,Ne,1250,давꙑдъ
же,Df,20,же
ц҃рь,Nb,275,цѣсарь
роді,V-,1198,родити#1
соломона,Ne,836,соломонъ
ѡт҃,R-,80,отъ
о̄уріӣнъіѧ̄,A-,0,
