Кьнігъі|Nb|-p---fn--i|кьнігъі|10|кънигꙑ
р҃одства|Nb|-s---ng--i|родства|0|FIXME
и҃ѵ҃хва|A-|-s---ogpsi|іухва|1398|исоусовъ
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1
д҃два|A-|-s---ogpsi|ддва|0|FIXME
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1
Авраа̄мл̄ѣ|A-|-s---mgpsi|авраамлѣ|1750|авраамль
Авраа̄мъ|Ne|-s---mn--i|авраамъ|963|авраамъ
роди|V-|3saia----i|роді|1198|родити#1
ӣсаа̄ка|Ne|-s---mg--i|ісаака|964|исаакъ
Ӣсаа̄кь|A-|-s---mnpsi|ісаакь|1751|исааковъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣа̄ко̄ва|Ne|-s---mg--i|іакова|412|иꙗковъ
ӣа̄ковъ|Ne|-s---mn--i|іаковъ|412|иꙗковъ
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
Ӣю̄дѫ|Ne|-s---ma--i|іюдѫ|1113|июда
ӣ|C-|---------n|і|13|и
братіѭ̄|Nb|-s---fa--i|братіѭ|290|братриꙗ
е̄го|Pp|3s---mg--i|его|64|и
И҅ю̄да|Ne|-s---mn--i|іюда|1113|июда
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
фареса|Nb|-p---na--i|фареса|0|FIXME
ӣ|C-|---------n|і|13|и
зара|Ne|-s---mg--i|зара|0|FIXME
ѡ̄̄тъ|R-|---------n|отъ|80|отъ
тамаръи|Nb|-p---mi--i|тамаръі|0|FIXME
фаресъ|V-|-supamn-si|фаресъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
е̄ср̄ома|Nb|-s---mg--i|есрома|0|FIXME
е̄сромь|Nb|-s---mi--i|есромь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
а̄раа̄ма|Ne|-s---mg--i|араама|0|FIXME
А̄раа̄мъ|Ne|-s---mn--i|араамъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
а̄мінадава|A-|-s---fnpsi|амінадава|2572|аминадавовъ
а̄мінадавъ|V-|-supamn-si|амінадавъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
Насс̆она|Ne|-s---mg--i|нассона|0|FIXME
насс̆о̄нъ|Nb|-s---ma--i|нассонъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
сальмона|Ne|-s---mg--i|сальмона|2382|саломи
Салм̄онъ|Ne|-s---mn--i|салмонъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
Воо҅за|Nb|-s---fn--i|вооза|0|FIXME
от|R-|---------n|от|80|отъ
рахавъі|Ne|-s---fg--i|рахавъі|0|FIXME
Воо̄зь|Nb|-s---mn--i|воозь|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
о҅віо̄да|Ne|-s---mg--i|овіода|0|FIXME
ѡ҅҅тъ|R-|---------n|отъ|80|отъ
ротъі|Nb|-p---ma--i|ротъі|0|FIXME
О̄вио҅̄дъ|Nb|-p---mg--i|овіодъ|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
ӣе̄сеа̄|Ne|-s---mg--i|іесеа|0|FIXME
Ӣе̄сеӣ|Ne|-s---mn--i|іесеі|0|FIXME
же|Df|---------n|же|20|же
роді|V-|3saia----i|роді|1198|родити#1
д҃да|Ne|-s---mg--i|дда|0|FIXME
ц҃рѣ|Nb|-s---mg--i|црѣ|275|цѣсарь
д҃дъ|Ne|-s---mn--i|ддъ|1250|давꙑдъ
же|Df|---------n|же|20|же
ц҃рь|Nb|-s---mn--i|црь|275|цѣсарь
роді|V-|3saia----i|роді|1198|родити#1
соломона|Ne|-s---mg--i|соломона|836|соломонъ
ѡт|R-|---------n|от|80|отъ
