сапогоу,Nb,сапогоу
понесті,V-,понести
аште,G-,аште
лі,Df,ли
речетъ,V-,речетъ
зълъі,A-,зълъꙇ
рабъ,Nb,рабъ
тъ,Pd,тъ
въ,R-,въ
сръдьці,Nb,сръдьци
своемъ,Pt,своемъ
моудітъ,V-,моудитъ
моі,Ps,мои
гнъ,Nb,г҃нъ
пріті,V-,прити
і,C-,ꙇ
начьнетъ,V-,начьнетъ
клеврѣтъі,Nb,клеврѣтꙑ
своѧ,Pt,своѩ
ѣсті,V-,ѣсти
же,Df,же
і,C-,ꙇ
піті,V-,пити
съ,R-,съ
пьѣніцамі,Nb,пьѣницами
прідетъ,V-,придетъ
гь,Nb,г҃ь
раба,Nb,раба
того,Pd,того
въ,R-,въ
дьнь,Nb,дьнь
въ,R-,въ
ньже,Pr,н҄ьже
не,Df,не
чаетъ,V-,чаетъ
і,C-,ꙇ
въ,R-,въ
часъ,Nb,часъ
въ,R-,въ
ньже,Pr,н҄ьже
не,Df,не
вѣстъ,V-,вѣстъ
і,C-,ꙇ
протешетъ,V-,протешетъ
і,C-,ꙇ
полъма,Nb,полъма
і,C-,ꙇ
чѧсть,Nb,чѧсть
его,Pp,его
съ,R-,съ
упокрітъі,Nb,упокритꙑ
тъі,Pp,тꙑ
положітъ,V-,положитъ
благъі,A-,благꙑ
бо,Df,бо
чкъ,Nb,ч҃къ
отъ,R-,отъ
благааго,A-,благааго
съкровішта,Nb,съкровишта
сръдьца,Nb,сръдьца
своего,Pt,своего
ізносітъ,V-,ꙇзноситъ
благое,A-,благое
і,C-,ꙇ
зълъі,A-,зълꙑ
чкъ,Nb,ч҃къ
отъ,R-,отъ
зълааго,A-,зълааго
съкровішта,Nb,съкровишта
своего,Pt,своего
ізносітъ,V-,ꙇзноситъ
л,Ma,л
зълое,A-,зълое
і,C-,Ꙇ
обрѣте,V-,обрѣте
въ,R-,въ
цръкъве,Nb,цръкъве
продаѭштѧѧ,V-,продаѭштѧѩ
овьцѧ,Nb,овьцѧ
і,C-,ꙇ
волъі,Nb,волꙑ
і,C-,ꙇ
голѫбі,Nb,голѫби
і,C-,ꙇ
пѣнѧжьнікъі,Nb,пѣнѧжьникꙑ
сѣдѧштѧ,V-,сѣдѧштѧ
і,C-,ꙇ
сътворь,V-,сътворь
ѣко,G-,ѣко
бічь,Nb,бичь
отъ,R-,отъ
връвіі,Nb,връвиі
вьсѧ,Px,вьсѧ
ізгъна,V-,ꙇзгъна
і,C-,ꙇ
цръкъве,Nb,цръкъве
овьцѧ,Nb,овьцѧ
же,Df,же
і,C-,ꙇ
волъі,Nb,волꙑ
і,C-,ꙇ
тръжьнікомъ,Nb,тръжьникомъ
расъіпа,V-,расꙑпа
пѣнѧзѧ,Nb,пѣнѧзѧ
і,C-,ꙇ
дъскъі,Nb,дъскꙑ
опровръже,V-,опровръже
і,C-,ꙇ
продаѭштімъ,V-,продаѭштимъ
голѫбі,Nb,голѫби
рече,V-,рече
не,Df,не
творіте,V-,творите
домоу,Nb,домоу
оца,Nb,о҃ца
моего,Ps,моего
домоу,Nb,домоу
коупльнаего,A-,коупльнаего
помѣнѫшѧ,V-,Помѣнѫшѧ
же,Df,же
оученіці,Nb,оученици
его,Pp,его
ѣко,G-,ѣко
напсано,V-,напсано
естъ,V-,естъ
жалость,Nb,жалость
домоу,Nb,домоу
твоего,Ps,твоего
сънѣстъ,V-,сънѣстъ
мѧ,Pp,мѧ
отъвѣшташѧ,V-,ѡтъвѣшташѧ
же,Df,же
іюдеі,Nb,ꙇюдеі
і,C-,ꙇ
рѣшѧ,V-,рѣшѧ
емоу,Pp,емоу
кое,Pi,кое
ѣвлѣеші,V-,ѣвл҄ѣеши
ѣко,G-,ѣко
сі,Pd,си
творіші,V-,твориши
отъвѣшта,V-,Ѡтъвѣшта
іс,Ne,ꙇ҃с
і,C-,ꙇ
рече,V-,рече
імъ,Pp,ꙇмъ
разоріте,V-,разорите
цръковь,Nb,цръковь
сіѭ,Pd,сиѭ
і,C-,ꙇ
трьмі,Ma,трьми
дьнъі,Nb,дьнꙑ
вьздвігнѫ,V-,вьздвігнѫ
ѭ,Pp,ѭ
рѣшѧ,V-,рѣшѧ
же,Df,же
іюдѣі,Nb,ꙇюдѣи
четъірьмі,Ma,четꙑрьми
десѧтъі,Ma,десѧтꙑ
і,C-,ꙇ
шестіѭ,Ma,шестиѭ
лѣтъ,Nb,лѣтъ
съзъдана,V-,съзъдана
бъіс,V-,бꙑс
цркъі,Nb,ц҃ркꙑ
сі,Pd,си
і,C-,ꙇ
тъі,Pp,тꙑ
лі,Du,ли
трьмі,Ma,трьми
дьнъі,Nb,дьнꙑ
вьздвігнеші,V-,вьздвігнеши
ѭ,Pp,ѭ
онъ,Pd,онъ
же,Df,же
глааше,V-,г҃лааше
о,R-,о
цръкъві,Nb,цръкъви
тѣла,Nb,тѣла
своего,Pt,своего
егда,Dq,егда
оубо,Df,оубо
въста,V-,въста
отъ,R-,отъ
мрътвъіхъ,A-,мрътвꙑхъ
помѧнѫшѧ,V-,помѧнѫшѧ
оученіці,Nb,оученици
его,Pp,его
ѣкоже,Dq,ѣкоже
глааше,V-,г҃лааше
і,C-,ꙇ
вѣрѫ,Nb,вѣрѫ
ѧшѧ,V-,ѩшѧ
кънігамъ,Nb,кън҄игамъ
і,C-,ꙇ
