сапогоу,Nb,-s---md--i,,1128
понести,V-,--pna----i,,984
аште,G-,---------n,,248
ли,Df,---------n,,249
речетъ,V-,3spia----i,,106
зълъꙇ,A-,-s---mnpwi,,522
рабъ,Nb,-s---mn--i,,511
тъ,Pd,-s---mn--i,,105
въ,R-,---------n,,111
сръдьци,Nb,-s---nl--i,,446
своемъ,Pt,3s---ol--i,,217
моудитъ,V-,3spia----i,,0
мои,Ps,1s---mn--i,,447
г҃нъ,Nb,-s---mn--i,,1100
прити,V-,--pna----i,,221
ꙇ,C-,---------n,,13
начьнетъ,V-,3spia----i,,82
клеврѣтꙑ,Nb,-p---ma--i,,1579
своѩ,Pt,3p---pa--i,,217
ѣсти,V-,--pna----i,,818
же,Df,---------n,,20
ꙇ,C-,---------n,,13
пити,V-,--pna----i,,365
съ,R-,---------n,,92
пьѣницами,Nb,-p---mi--i,,0
придетъ,V-,3spia----i,,221
г҃ь,Nb,-s---mn--i,,342
раба,Nb,-s---mg--i,,2441
того,Pd,-s---og--i,,105
въ,R-,---------n,,111
дьнь,Nb,-s---ma--i,,523
въ,R-,---------n,,111
н҄ьже,Pr,-s---ma--i,,96
не,Df,---------n,,8
чаетъ,V-,3spia----i,,1183
ꙇ,C-,---------n,,13
въ,R-,---------n,,111
часъ,Nb,-s---ma--i,,422
въ,R-,---------n,,111
н҄ьже,Pr,-s---ma--i,,96
не,Df,---------n,,8
вѣстъ,V-,3spia----i,,138
ꙇ,C-,---------n,,13
протешетъ,V-,3spia----i,,1870
ꙇ,C-,3s---ma--i,,13
полъма,Nb,-d---mi--i,,986
ꙇ,C-,---------n,,13
чѧсть,Nb,-s---fa--i,,1871
его,Pp,3s---mg--i,,64
съ,R-,---------n,,92
упокритꙑ,Nb,-p---mi--i,,762
тꙑ,Pp,2s---mn--i,,304
положитъ,V-,3spia----i,,1262
благꙑ,A-,-s---mnpwi,,363
бо,Df,---------n,,94
ч҃къ,Nb,-s---mn--i,,211
отъ,R-,---------n,,80
благааго,A-,-s---ngpwi,,363
съкровишта,Nb,-s---ng--i,,797
сръдьца,Nb,-s---ng--i,,446
своего,Pt,3s---og--i,,217
ꙇзноситъ,V-,3spia----i,,1285
благое,A-,-s---napwi,,363
ꙇ,C-,---------n,,13
зълꙑ,A-,-s---mnpwi,,522
ч҃къ,Nb,-s---mn--i,,211
отъ,R-,---------n,,80
зълааго,A-,-s---ngpwi,,522
съкровишта,Nb,-s---ng--i,,797
своего,Pt,3s---ng--i,,217
ꙇзноситъ,V-,3spia----i,,1285
л,Ma,---------n,,74
зълое,A-,-s---napwi,,522
Ꙇ,C-,---------n,,13
обрѣте,V-,3saia----i,,225
въ,R-,---------n,,111
цръкъве,Nb,-s---fl--i,,38
продаѭштѧѩ,V-,-pppama-wi,,1374
овьцѧ,Nb,-p---fa--i,,1097
ꙇ,C-,---------n,,13
волꙑ,Nb,-p---ma--i,,2837
ꙇ,C-,---------n,,13
голѫби,Nb,-p---ma--i,,1142
ꙇ,C-,---------n,,13
пѣнѧжьникꙑ,Nb,-p---ma--i,,2959
сѣдѧштѧ,V-,-pppapa-si,,1041
ꙇ,C-,---------n,,13
сътворь,V-,-supamn-si,,73
ѣко,G-,---------n,,115
бичь,Nb,-s---ma--i,,3078
отъ,R-,---------n,,80
връвиі,Nb,-s---fg--i,,3079
вьсѧ,Px,-p---ma--i,,54
ꙇзгъна,V-,3saia----i,,315
ꙇ,C-,---------n,,13
цръкъве,Nb,-s---fg--i,,38
овьцѧ,Nb,-p---fa--i,,1097
же,Df,---------n,,20
ꙇ,C-,---------n,,13
волꙑ,Nb,-p---ma--i,,2837
ꙇ,C-,---------n,,13
тръжьникомъ,Nb,-p---md--i,,1677
расꙑпа,V-,3saia----i,,3080
пѣнѧзѧ,Nb,-p---ma--i,,1581
ꙇ,C-,---------n,,13
дъскꙑ,Nb,-p---fa--i,,171
опровръже,V-,3saia----i,,3081
ꙇ,C-,---------n,,13
продаѭштимъ,V-,-pppamd-wi,,1374
голѫби,Nb,-p---ma--i,,1142
рече,V-,3saia----i,,106
не,Df,---------n,,8
творите,V-,2ppma----i,,637
домоу,Nb,-s---mg--i,,374
о҃ца,Nb,-s---mg--i,,34
моего,Ps,1s---og--i,,447
домоу,Nb,-s---mg--i,,374
коупльнаего,A-,-s---ogpwi,,3082
Помѣнѫшѧ,V-,3paia----i,,1957
же,Df,---------n,,20
оученици,Nb,-p---mn--i,,359
его,Pp,3s---mg--i,,64
ѣко,G-,---------n,,115
напсано,V-,-suppnn-si,,172
естъ,V-,3spia----i,,18
жалость,Nb,-s---fn--i,,3083
домоу,Nb,-s---mg--i,,374
твоего,Ps,2s---og--i,,307
сънѣстъ,V-,3spia----i,,1252
мѧ,Pp,1s---qa--i,,440
ѡтъвѣшташѧ,V-,3paia----i,,271
же,Df,---------n,,20
