сапогоу,Nb,1128
понести,V-,984
аште,G-,248
ли,Df,249
речетъ,V-,106
зълъꙇ,A-,522
рабъ,Nb,511
тъ,Pd,105
въ,R-,111
сръдьци,Nb,446
своемъ,Pt,217
моудитъ,V-,0
мои,Ps,447
г҃нъ,Nb,1100
прити,V-,221
ꙇ,C-,13
начьнетъ,V-,82
клеврѣтꙑ,Nb,1579
своѩ,Pt,217
ѣсти,V-,818
же,Df,20
ꙇ,C-,13
пити,V-,365
съ,R-,92
пьѣницами,Nb,0
придетъ,V-,221
г҃ь,Nb,342
раба,Nb,2441
того,Pd,105
въ,R-,111
дьнь,Nb,523
въ,R-,111
н҄ьже,Pr,96
не,Df,8
чаетъ,V-,1183
ꙇ,C-,13
въ,R-,111
часъ,Nb,422
въ,R-,111
н҄ьже,Pr,96
не,Df,8
вѣстъ,V-,138
ꙇ,C-,13
протешетъ,V-,1870
ꙇ,C-,13
полъма,Nb,986
ꙇ,C-,13
чѧсть,Nb,1871
его,Pp,64
съ,R-,92
упокритꙑ,Nb,762
тꙑ,Pp,304
положитъ,V-,1262
благꙑ,A-,363
бо,Df,94
ч҃къ,Nb,211
отъ,R-,80
благааго,A-,363
съкровишта,Nb,797
сръдьца,Nb,446
своего,Pt,217
ꙇзноситъ,V-,1285
благое,A-,363
ꙇ,C-,13
зълꙑ,A-,522
ч҃къ,Nb,211
отъ,R-,80
зълааго,A-,522
съкровишта,Nb,797
своего,Pt,217
ꙇзноситъ,V-,1285
л,Ma,74
зълое,A-,522
Ꙇ,C-,13
обрѣте,V-,225
въ,R-,111
цръкъве,Nb,38
продаѭштѧѩ,V-,1374
овьцѧ,Nb,1097
ꙇ,C-,13
волꙑ,Nb,2837
ꙇ,C-,13
голѫби,Nb,1142
ꙇ,C-,13
пѣнѧжьникꙑ,Nb,2959
сѣдѧштѧ,V-,1041
ꙇ,C-,13
сътворь,V-,73
ѣко,G-,115
бичь,Nb,3078
отъ,R-,80
връвиі,Nb,3079
вьсѧ,Px,54
ꙇзгъна,V-,315
ꙇ,C-,13
цръкъве,Nb,38
овьцѧ,Nb,1097
же,Df,20
ꙇ,C-,13
волꙑ,Nb,2837
ꙇ,C-,13
тръжьникомъ,Nb,1677
расꙑпа,V-,3080
пѣнѧзѧ,Nb,1581
ꙇ,C-,13
дъскꙑ,Nb,171
опровръже,V-,3081
ꙇ,C-,13
продаѭштимъ,V-,1374
голѫби,Nb,1142
рече,V-,106
не,Df,8
творите,V-,637
домоу,Nb,374
о҃ца,Nb,34
моего,Ps,447
домоу,Nb,374
коупльнаего,A-,3082
Помѣнѫшѧ,V-,1957
же,Df,20
оученици,Nb,359
его,Pp,64
ѣко,G-,115
напсано,V-,172
естъ,V-,18
жалость,Nb,3083
домоу,Nb,374
твоего,Ps,307
сънѣстъ,V-,1252
мѧ,Pp,440
ѡтъвѣшташѧ,V-,271
же,Df,20
ꙇюдеі,Nb,2043
ꙇ,C-,13
рѣшѧ,V-,106
емоу,Pp,64
кое,Pi,267
ѣвл҄ѣеши,V-,396
ѣко,G-,115
си,Pd,47
твориши,V-,637
Ѡтъвѣшта,V-,271
ꙇ҃с,Ne,343
ꙇ,C-,13
рече,V-,106
ꙇмъ,Pp,64
разорите,V-,1444
цръковь,Nb,38
сиѭ,Pd,47
ꙇ,C-,13
трьми,Ma,145
дьнꙑ,Nb,523
вьздвігнѫ,V-,641
ѭ,Pp,64
рѣшѧ,V-,106
же,Df,20
ꙇюдѣи,Nb,2043
четꙑрьми,Ma,137
десѧтꙑ,Ma,1072
ꙇ,C-,13
шестиѭ,Ma,146
лѣтъ,Nb,50
съзъдана,V-,911
бꙑс,V-,18
ц҃ркꙑ,Nb,38
си,Pd,47
ꙇ,C-,13
тꙑ,Pp,304
ли,Du,752
трьми,Ma,145
