о,R-
пісменехь,Nb
чрънорізца,Nb
храбъра,Ne
прѣжде,Df
оубо,Df
словѣне,Nb
не,Df
імѣхѫ,V-
кнігъ,Nb
нѫ,C-
чрътамі,Nb
і,C-
рѣзамі,Nb
чьтѣхѫ,V-
і,C-
гатаахѫ,V-
погані,A-
сѫште,V-
кръстівше,V-
же,Df
сѧ,Pk
рімскамі,A-
і,C-
гръчьскъімі,A-
пісменъі,Nb
нѫждаахѫ,V-
сѧ,Pk
словѣнскъі,Df
рѣчь,Nb
безь,R-
оустроеніа,Nb
нѫ,C-
како,Du
можеть,V-
сѧ,Pk
пісаті,V-
добрѣ,Df
гръчьскъімі,A-
пісменъі,Nb
бъ,Nb
ілі,C-
жівотъ,Nb
ілі,C-
зѣло,Df
ілі,C-
црковь,Nb
ілі,C-
чааніе,Nb
ілі,C-
шірота,Nb
ілі,C-
ѣдь,Nb
ілі,C-
ѫдоу,Nb
ілі,C-
юность,Nb
ілі,C-
ѫзъікъ,Nb
і,C-
інаа,A-
подбнаа,A-
сімь,Pd
і,C-
тако,Df
бѣшѫ,V-
многа,A-
лѣта,Nb
потом,Df
же,Df
члколюбецъ,Nb
бъ,Nb
строѫі,V-
всѣ,Px
і,C-
не,Df
оставлѣѫ,V-
члча,A-
рода,Nb
безь,R-
разоума,Nb
нѫ,C-
всѧ,Px
къ,R-
разоумоу,Nb
пріводѧ,V-
і,C-
спсенію,Nb
поміловавь,V-
родъ,Nb
члчь,A-
посла,V-
імь,Pp
стго,A-
константіна,Ne
філософа,Nb
наріцаемаго,V-
кіріла,Ne
мѫжа,Nb
праведна,A-
і,C-
істінна,A-
і,C-
сътворі,V-
імъ,Pp
л,Ma
пісмена,Nb
і,C-
осмь,Ma
ова,Pd
оубо,Df
по,R-
чіноу,Nb
гръчьскъіхь,A-
пісменъ,Nb
ова,Pd
же,Df
по,R-
словѣнстѣі,A-
рѣчі,Nb
от,R-
пръваго,Mo
же,Df
наченъ,V-
по,R-
гръчьскоу,A-
оні,Pd
оубо,Df
алфа,Nb
а,C-
съ,Pd
азъ,Nb
от,R-
аза,Nb
начѧть,V-
обое,Ma
і,C-
ѣкоже,Dq
оні,Pd
подобльше,V-
сѧ,Pk
жідовьскъімь,A-
пісменемь,Nb
сътворішѫ,V-
тако,Df
і,Df
съ,R-
гръчьскъімъ,A-
жідове,Nb
бо,Df
пръвое,Mo
пісмѧ,Nb
імѧть,V-
алефь,F-
еже,Pr
сѧ,Pk
сказаеть,V-
оучіненіе,Nb
съвръшаѫште,V-
въводімоу,V-
дѣтіштоу,Nb
і,C-
глѧште,V-
оучі,V-
сѧ,Pk
еже,Pr
есть,V-
алефь,F-
і,C-
гръці,Nb
подобѧште,V-
сѧ,Pk
томоу,Pd
алфа,Nb
рѣшѫ,V-
і,C-
сподобі,V-
сѧ,Pk
реченіе,Nb
сказаніа,Nb
жідовьска,A-
гръчьскоу,A-
ѫзъікоу,Nb
да,C-
речеть,V-
дѣтіштоу,Nb
вь,R-
оученіа,Nb
мѣсто,Nb
ішті,V-
алфа,Nb
бо,Df
іші,V-
сѧ,Pk
речеть,V-
гръчьскомь,A-
ѫзъікомъ,Nb
тѣм,Pd
бо,Df
подбѧ,V-
сѧ,Pk
стъіі,A-
кірілъ,Ne
створі,V-
пръвое,Mo
пісмѧ,Nb
азь,Nb
нѫ,C-
ѣко,G-
і,C-
пръвомоу,Mo
сѫштоу,V-
пісмені,Nb
азь,Nb
і,C-
от,R-
ба,Nb
даноу,V-
родоу,Nb
словѣнскомоу,A-
на,R-
отвръстіе,Nb
оустъ,Nb
въ,R-
разоумъ,Nb
оучѧштім,V-
сѧ,Pk
боуквамъ,Nb
велікомь,A-
раздвіженіемь,Nb
оустъ,Nb
възгласіт,V-
сѧ,Pk
а,C-
она,Pd
пісмена,Nb
маломъ,A-
раздвіженіемь,Nb
оустъ,Nb
възгласѧт,V-
сѧ,Pk
і,C-
ісповѣдаѫт,V-
сѧ,Pk
се,Pd
же,Df
сѫть,V-
пісмена,Nb
словѣньскаа,A-
сіце,Df
а,Pp
подбаеть,V-
пісаті,V-
і,C-
глаті,V-
а,Nb
б,Nb
в,Nb
г,Nb
дроузіі,A-
же,Df
глѧть,V-
по,R-
что,Pi
есть,V-
л,Ma
і,Ma
пісменъ,Nb
створілъ,V-
а,C-
можеть,V-
сѧ,Pk
і,Df
меншімь,A-
того,Pd
пісаті,V-
ѣкоже,Dq
і,Df
гръці,Nb
к,Ma
д,Ma
пішѫть,V-
і,C-
не,Df
вѣдѧть,V-
коліцѣмь,Pi
пішѫть,V-
гръці,Nb
есть,V-
бо,Df
оубо,Df
к,Ma
д,Ma
пісменъ,Nb
нѫ,C-
не,Df
наплънѣѫт,V-
сѧ,Pk
тѣмі,Pd
кнігъі,Nb
нѫ,C-
пріложілі,V-
сѫтъ,V-
двогласнъіхь,A-
аі,Ma
і,C-
въ,R-
чісменех,Nb
же,Df
г,Ma
s,Ma
е,Ma
і,C-
ѳ,Ma
десѧтное,A-
і,C-
ѳ,Ma
сътное,A-
і,C-
събіраѫт,V-
сѧ,Pk
іхь,Pp
л,Ma
і,Ma
тѣмже,Df
по,R-
томоу,Pd
подбно,Df
і,C-
въ,R-
тьжде,Pd
образъ,Nb
створі,V-
стъіі,A-
кірілъ,Ne
л,Ma
і,Ma
пісменъ,Nb
дроузіі,A-
же,Df
глѧть,V-
чесомоу,Pi
же,Df
сѫть,V-
словѣнскъі,A-
кнігъі,Nb
ні,C-
того,Pd
бо,Df
есть,V-
бъ,Nb
створілъ,V-
ні,C-
то,Df
агглі,Nb
ні,C-
сѫть,V-
іжде,Pr
конні,A-
ѣко,Df
жідовьскъі,A-
і,C-
рімскъі,A-
і,C-
елінскъі,A-
іжде,Pr
от,R-
кона,Nb
сѫть,V-
і,C-
пріѫтъі,V-
сѫт,V-
бмъ,Nb
а,C-
дроузіі,A-
мнѧть,V-
ѣко,G-
бъ,Nb
намъ,Pp
есть,V-
створілъ,V-
пісмена,Nb
і,C-
не,Df
вѣдѧт,V-
сѧ,Pk
что,Pi
глѧште,V-
окаанніі,A-
і,C-
ѣко,G-
трімі,Ma
ѫзъікъі,Nb
есть,V-
бъ,Nb
повелѣлъ,V-
кнігамъ,Nb
бъіті,V-
ѣкоже,Dq
въ,R-
еуглі,Nb
пішеть,V-
і,C-
бѣ,V-
дъска,Nb
напісана,V-
жідовьскъі,Df
і,C-
рімскъі,Df
і,C-
елінскъі,Df
а,C-
словѣнскъі,Df
нѣс,V-
тоу,Df
тѣм,Pd
же,Df
нѣ,Df
сѫть,V-
словѣнскъіѫ,A-
кнігъі,Nb
от,R-
ба,Nb
къ,R-
тѣмь,Pd
что,Pi
глемь,V-
ілі,C-
что,Pi
рчемь,V-
къ,R-
тацѣмь,Pd
безоуміемь,Nb
обаче,Df
речемъ,V-
от,R-
стхь,A-
кнігъ,Nb
ѣкоже,Dq
наоучіхом,V-
сѧ,Pk
ѣко,G-
всѣ,Px
по,R-
