204018|ὑποδήματα|Nb|-p---na--i|307
204019|βαστάσαι|V-|--ana----i|308
204020|αὐτὸς|Pd|-s---mn--i|260
204021|ὑμᾶς|Pp|2p---pa--i|284
204022|βαπτίσει|V-|3sfia----i|274
204023|πνεύματι|Nb|-s---nd--i|83
204024|ἁγίῳ|A-|-s---ndp-i|84
204025|καὶ|C-|---------n|14
204026|πυρί|Nb|-s---nd--i|300
204027|οὗ|Pr|-s---mg--i|64
204028|πτύον|Nb|-s---nn--i|309
204029|ἐν|R-|---------n|80
204030|χειρὶ|Nb|-s---fd--i|310
204031|αὐτοῦ|Pp|3s---mg--i|16
204032|καὶ|C-|---------n|14
204033|διακαθαριεῖ|V-|3sfia----i|311
204034|ἅλωνα|Nb|-s---fa--i|312
204035|αὐτοῦ|Pp|3s---mg--i|16
204036|καὶ|C-|---------n|14
204037|συνάξει|V-|3sfia----i|148
204038|σῖτον|Nb|-s---ma--i|313
204039|εἰς|R-|---------n|138
204040|ἀποθήκην|Nb|-s---fa--i|314
204041|δὲ|Df|---------n|11
204042|ἄχυρον|Nb|-s---na--i|315
204043|κατακαύσει|V-|3sfia----i|316
204044|πυρὶ|Nb|-s---nd--i|300
204045|ἀσβέστῳ|A-|-s---ndp-i|317
204046|Τότε|Df|---------n|165
204047|παραγίνεται|V-|3spim----i|137
204048|Ἰησοῦς|Ne|-s---mn--i|3
204049|ἀπὸ|R-|---------n|69
204050|Γαλιλαίας|Ne|-s---fg--i|241
204051|ἐπὶ|R-|---------n|47
204052|Ἰορδάνην|Ne|-s---ma--i|273
204053|πρὸς|R-|---------n|197
204054|Ἰωάννην|Ne|-s---ma--i|247
204055|βαπτισθῆναι|V-|--anp----i|274
204057|ὑπ’|R-|---------n|115
204058|αὐτοῦ|Pp|3s---mg--i|16
204060|δὲ|Df|---------n|11
204061|διεκώλυεν|V-|3siia----i|318
204062|αὐτὸν|Pp|3s---ma--i|16
204063|λέγων|V-|-sppamn--i|65
204064|ἐγὼ|Pp|1s---mn--i|163
204065|ἔχω|V-|1spia----i|82
204066|ὑπὸ|R-|---------n|115
204067|σοῦ|Pp|2s---pg--i|103
