1,βίβλος,Nb
2,γένεσις,Nb
3,Ἰησοῦς,Ne
4,Χριστός,Ne
5,υἱός,Nb
6,Δαυίδ,Ne
7,Ἀβραάμ,Ne
8,γεννάω,V-
9,ὁ,S-
10,Ἰσαάκ,Ne
11,δέ,Df
12,Ἰακώβ,Ne
13,Ἰούδας,Ne
14,καί,C-
15,ἀδελφός,Nb
16,αὐτός,Pp
17,Φάρες,Ne
18,Ζάρα,Ne
19,ἐκ,R-
20,Θαμάρ,Ne
21,Ἑσρώμ,Ne
22,Ἀράμ,Ne
23,Ἀμιναδάβ,Ne
24,Ναασσών,Ne
25,Σαλμών,Ne
26,Βόες,Ne
27,Ῥαχάβ,Ne
28,Ἰωβήδ,Ne
29,Ῥούθ,Ne
30,Ἰεσσαί,Ne
31,βασιλεύς,Nb
32,Σολομών,Ne
33,Οὐρίας,Ne
34,Ῥοβοάμ,Ne
35,Ἀβιά,Ne
36,Ἀσάφ,Ne
37,Ἰωσαφάτ,Ne
38,Ἰωράμ,Ne
39,Ὀζίας,Ne
40,Ἰωαθάμ,Ne
41,Ἀχάζ,Ne
42,Ἑζεκίας,Ne
43,Μανασσῆς,Ne
44,Ἀμώς,Ne
45,Ἰωσίας,Ne
46,Ἰεχονίας,Ne
47,ἐπί,R-
48,μετοικεσία,Nb
49,Βαβυλών,Ne
50,μετά,R-
51,Σαλαθιήλ,Ne
52,Ζοροβαβέλ,Ne
53,Ἀβιούδ,Ne
54,Ἐλιακίμ,Ne
55,Ἀζώρ,Ne
56,Σαδώκ,Ne
57,Ἀχίμ,Ne
58,Ἐλιούδ,Ne
59,Ἐλεάζαρ,Ne
60,Ματθάν,Ne
61,Ἰωσήφ,Ne
62,ἀνήρ,Nb
63,Μαρία,Ne
64,ὅς,Pr
65,λέγω,V-
66,πᾶς,Px
67,οὖν,Df
68,γενεά,Nb
69,ἀπό,R-
70,ἕως,R-
71,δεκατέσσαρες,Ma
72,οὕτω(ς),Df
73,εἰμί#1,V-
74,μνηστεύω,V-
75,μήτηρ,Nb
76,πρίν,G-
77,ἤ,Df
78,συνέρχομαι,V-
79,εὑρίσκω,V-
80,ἐν,R-
81,γαστήρ,Nb
82,ἔχω,V-
83,πνεῦμα,Nb
84,ἅγιος,A-
85,δίκαιος,A-
86,μή,Df
87,ἐθέλω,V-
88,δειγματίζω,V-
89,βούλομαι,V-
90,λάθρᾳ,Df
91,ἀπολύω,V-
92,οὗτος,Pd
93,ἐνθυμέομαι,V-
94,ἰδοὺ,I-
95,ἄγγελος,Nb
96,κύριος,Nb
97,κατά,R-
98,ὄναρ,Nb
99,φαίνω,V-
100,φοβέω,V-
101,παραλαμβάνω,V-
102,γυνή,Nb
103,σύ,Pp
104,γάρ,Df
105,τίκτω,V-
106,καλέω,V-
107,ὄνομα,Nb
108,σῴζω,V-
109,λαός,Nb
110,ἁμαρτία,Nb
111,ὅλος,A-
112,γίγνομαι,V-
113,ἵνα,G-
114,πληρόω,V-
115,ὑπό,R-
116,διά,R-
117,προφήτης,Nb
118,παρθένος,Nb
119,Ἐμμανουήλ,Ne
120,μεθερμηνεύω,V-
121,ἡμεῖς,Pp
122,θεός,Nb
123,ἐγείρω,V-
124,ὕπνος,Nb
125,ποιέω,V-
126,ὡς,Dq
127,προστάσσω,V-
128,οὐ,Df
129,γιγνώσκω,V-
130,ἕως,G-
131,Βηθλέεμ,Ne
132,Ἰουδαία,Ne
133,ἡμέρα,Nb
134,Ἡρῴδης,Ne
135,μάγος,Nb
136,ἀνατολή,Nb
137,παραγίγνομαι,V-
138,εἰς,R-
139,Ἱεροσόλυμα,Ne
140,ποῦ,Du
141,Ἰουδαῖος,A-
142,ὁράω,V-
143,ἀστήρ,Nb
144,ἔρχομαι,V-
145,προσκυνέω,V-
146,ἀκούω,V-
147,ταράσσω,V-
148,συνάγω,V-
149,ἀρχιερεύς,Nb
150,γραμματεύς,Nb
151,πυνθάνομαι,V-
152,παρά,R-
153,ὁ,Pp
154,γράφω,V-
155,γῆ,Nb
