chu_word,torot_tokno,grc_word,grc_tokno
то,563938,,
на,563939,κατὰ,765699
тѧ,563940,σοῦ,765700
остави,563941,ἄφες,765701
тоу,563942,ἐκεῖ,765702
даръ,563943,δῶρόν,765704
твои,563944,σου,765705
прѣдъ,563945,ἔμπροσθεν,765706
олътаремъ,563946,θυσιαστηρίου,765708
ꙇ,563948,καὶ,765709
шедъ,563949,ὕπαγε,765710
прѣжде,563950,πρῶτον,765711
съмири,563951,διαλλάγηθι,765712
сѧ,563952,,
съ,563954,,
братромъ,563955,ἀδελφῷ,765714
своимъ,563956,σου,765715
и,563958,καὶ,765716
тогда,563959,τότε,765717
пришедъ,563960,ἐλθὼν,765718
принеси,563961,πρόσφερε,765719
даръ,563962,δῶρόν,765721
твои,563963,σου,765722
Бѫди,563965,ἴσθι,269029
оувѣщаѩ,563966,εὐνοῶν,269030
сѧ,563967,,
съ,563968,,
сѫпьремь,563969,ἀντιδίκῳ,269032
своимь,563970,σου,269033
скоро,563971,ταχὺ,269034
доньдеже,563973,ἕως,269035
еси,563974,εἶ,269037
на,563975,ἐν,269040
пѫти,563976,ὁδῷ,269042
съ,563977,μετ’,269038
нимь,563978,αὐτοῦ,269039
да,563980,μήποτέ,269044
не,563981,,
прѣдастъ,563982,παραδῷ,269046
тебе,563983,σε,269045
сѫдии,563984,κριτῇ,269050
ꙇ,563986,καὶ,269052
сѫдии,563987,κριτὴς,269054
тѧ,563988,,
прѣдастъ,563989,,
слоуѕѣ,563990,ὑπηρέτῃ,269056
ꙇ,563992,καὶ,269058
въ,563993,εἰς,269059
темьницѫ,563994,φυλακὴν,269060
въвръжетъ,563995,βληθήσῃ,269061
тѧ,563996,,
аминь,563998,ἀμὴν,269063
г҃лѭ,563999,λέγω,269064
тебѣ,564000,σοι,269065
не,817619,οὐ,269067
изидеши,817620,ἐξέλθῃς,269069
отъ тѫдѣ,817621,ἐκεῖθεν,269070
доньдеже,817622,ἕως,269071
въздаси,817623,ἀποδῷς,269073
послѣдьнии,817624,ἔσχατον,269075
кодрантъ,817625,κοδράντην,269076
Слꙑшасте,564011,Ἠκούσατε,269078
ѣко,564012,ὅτι,269079
речено,564013,ἐρρέθη,269080
бꙑⷭ҇,564014,,
древънимъ,564015,,
не,564017,οὐ,269082
прѣлюбꙑ,564018,μοιχεύσεις,269083
сътвориши,564019,μοιχεύσεις,269083
азъ,564021,ἐγὼ,269085
же,564022,δὲ,269086
г҃лѭ,564023,λέγω,269087
вамъ,564024,ὑμῖν,269088
ѣко,564026,ὅτι,269089
вьсѣкъ,564027,πᾶς,269090
иже,564028,,
вьзьритъ,564029,βλέπων,269092
на,564030,,
женѫ,564031,γυναῖκα,269093
съ,564032,πρὸς,269094
похотиѭ,564033,ἐπιθυμῆσαι,269096
юже,564035,ἤδη,269097
любꙑ,564036,ἐμοίχευσεν,269098
сътвори,564037,ἐμοίχευσεν,269098
съ,564038,,
неѭ,564039,αὐτὴν,269099
въ,564040,ἐν,269100
с҃рдци,564041,καρδίᾳ,269102
своемь,564042,αὐτοῦ,269103
аще,564044,εἰ,269105
же,564045,δὲ,269106
око,564046,ὀφθαλμός,269108
твое,564047,σου,269109
десное,564048,δεξιὸς,269111
съблажнаатъ,564049,σκανδαλίζει,269112
тѧ,564050,σε,269113
ꙇзьми,564052,ἔξελε,269115
е,564053,αὐτὸν,269116
и,564054,καὶ,269117
връзи,564055,βάλε,269118
отъ,564056,ἀπὸ,269119
тебе,564057,σοῦ,269120
оунѣе,564059,συμφέρει,269122
бо,564060,γάρ,269123
ти,564061,σοι,269124
естъ,564062,,
да,564063,ἵνα,269125
погꙑблетъ,564064,ἀπόληται,269126
единъ,564065,ἓν,269127
оудъ,564066,μελῶν,269129
твоихъ,564067,σου,269130
а,564069,καὶ,269131
не,564070,μὴ,269132
вьсе,564071,ὅλον,269133
тѣло,564072,σῶμά,269135
твое,564073,σου,269136
въвръжено,564074,βληθῇ,269137
бѫдетъ,564075,,
въ,564076,εἰς,269138
ꙉеонѫ,564077,γέενναν,269139
ꙇ,564079,καὶ,269141
аште,564080,εἰ,269142
десна,564081,δεξιά,269144
твоѣ,564082,σου,269145
рѫка,564083,χεὶρ,269146
съблажнаатъ,564084,σκανδαλίζει,269147
тѧ,564085,σε,269148
оусѣци,564086,ἔκκοψον,269150
ѭ,564087,αὐτὴν,269151
и,564089,καὶ,269152
връзи,564090,βάλε,269153
отъ,564091,ἀπὸ,269154
себе,564092,σοῦ,269155
оунѣе,564094,συμφέρει,269157
бо,564095,γάρ,269158
ти,564096,σοι,269159
естъ,564097,,
да,564098,ἵνα,269160
погꙑблетъ,564099,ἀπόληται,269161
единъ,564100,ἓν,269162
оудъ,564101,μελῶν,269164
твоихъ,564102,σου,269165
а,564104,καὶ,269166
не,564105,μὴ,269167
вьсе,564106,ὅλον,269168
тѣло,564107,σῶμά,269170
твое,564108,σου,269171
идетъ,564109,ἀπέλθῃ,269174
въ,564110,εἰς,269172
ꙉеонѫ,564111,γέενναν,269173
речено,564113,Ἐρρέθη,269176
же,564114,δέ,269177
бꙑстъ,564115,,
ꙇже,564117,ὃς,269179
аште,564118,ἂν,269180
поуститъ,564119,ἀπολύσῃ,269181
женѫ,564120,γυναῖκα,269183
своѭ,564121,αὐτοῦ,269184
да,564123,,
дастъ,564124,δότω,269186
еи,564125,αὐτῇ,269187
кънигꙑ,564126,ἀποστάσιον,269188
распоустънꙑѩ,564127,ἀποστάσιον,269188
азъ,564129,ἐγὼ,269190
же,564130,δὲ,269191
г҃лѭ,564131,λέγω,269192
вамъ,564132,ὑμῖν,269193
ѣко,564134,ὅτι,269194
вьсѣкъ,564135,πᾶς,269195
поуштаѩи,564136,ἀπολύων,269197
женѫ,564137,γυναῖκα,269199
своѭ,564138,αὐτοῦ,269200
развѣ,564139,παρεκτὸς,269201
словесе,564140,λόγου,269202
любодѣинааго,564141,πορνείας,269203
творитъ,564143,ποιεῖ,269204
ѭ,564144,αὐτὴν,269205
прѣлюбꙑ,564145,μοιχευθῆναι,269206
дѣати,564146,μοιχευθῆναι,269206
ꙇ,564148,καὶ,269208
иже,564149,ὃς,269209
подъпѣгѫ,564150,ἀπολελυμένην,269211
поемлетъ,564151,γαμήσῃ,269212
прѣлюбꙑ,564152,μοιχᾶται,269213
творитъ,564153,μοιχᾶται,269213
пакꙑ,564155,Πάλιν,269215
слꙑшасте,564156,ἠκούσατε,269216
ѣко,564158,ὅτι,269217
речено,564159,ἐρρέθη,269218
бꙑⷭ҇,564160,,
древьниимъ,564161,ἀρχαίοις,269220
не,564163,οὐκ,269222
въ,564164,,
лъжѫ,564165,,
клънеши,564166,ἐπιορκήσεις,269223
сѧ,564167,,
въздаси,564169,ἀποδώσεις,269225
же,564170,δὲ,269226
г҃ви,564171,κυρίῳ,269228
клѧтвꙑ,564172,ὅρκους,269230
твоѩ,564173,σου,269231
азъ,564175,ἐγὼ,269233
же,564176,δὲ,269234
г҃лѭ,564177,λέγω,269235
вамъ,564178,ὑμῖν,269236
не,564180,μὴ,269237
клѧти,564181,ὀμόσαι,269238
сѧ,564182,,
отънѫдъ,564183,ὅλως,269239
ни,564185,μήτε,269241
н҃бмь,564186,οὐρανῷ,269244
ѣко,564187,ὅτι,269246
прѣстолъ,564188,θρόνος,269247
естъ,564189,ἐστὶν,269248
б҃жии,564190,θεοῦ,269250
ни,564192,μήτε,269252
землеѭ҄,564193,γῇ,269255
ѣко,564195,ὅτι,269257
подъножие,564196,ὑποπόδιόν,269258
естъ,564197,ἐστιν,269259
ногама,564198,ποδῶν,269261
его,564199,αὐτοῦ,269262
ни,564201,μήτε,269264
и҃ерслмъмъ,564202,Ἱεροσόλυμα,269266
ѣко,564203,ὅτι,269268
гⷬ҇дъ,564204,πόλις,269269
естъ,564205,ἐστὶν,269270
великааго,564206,μεγάλου,269272
ц҃срѣ,564207,βασιλέως,269273
ни,564209,μήτε,269275
главоѭ,564210,κεφαλῇ,269278
своеѭ,564211,σου,269279
клъни,564212,ὀμόσῃς,269280
сѧ,564213,,
ѣко,564215,ὅτι,269282
не,564216,οὐ,269283
можеши,564217,δύνασαι,269284
власа,564218,τρίχα,269286
единого,564219,μίαν,269285
бѣла,564220,λευκὴν,269287
ли,564221,ἢ,269289
чръна,564222,μέλαιναν,269290
сътворити,564223,ποιῆσαι,269288
бѫди,564225,ἔστω,269292
же,564226,δὲ,269293
слово,564227,λόγος,269295
ваше,564228,ὑμῶν,269296
еи,564229,ναὶ,269297
ей,564230,ναί,269298
ꙇ҅,564232,δὲ,269304
ни,564233,οὒ,269300
ни,564234,οὔ,269301
лихое,564236,περισσὸν,269305
бо,564237,δὲ,269304
сеѭ,564238,τούτων,269306
отъ,564239,ἐκ,269307
неприѣзни,564240,πονηροῦ,269309
естъ,564241,ἐστιν,269310
Слꙑшасте,564243,Ἠκούσατε,269312
ѣко,564244,ὅτι,269313
речено,564245,ἐρρέθη,269314
бꙑⷭ҇,564246,,
око,564248,ὀφθαλμὸν,269316
за,564249,ἀντὶ,269317
око,564250,ὀφθαλμοῦ,269318
и,564251,καὶ,269319
зѫбъ,564252,ὀδόντα,269320
за,564253,ἀντὶ,269321
зѫбъ,564254,ὀδόντος,269322
азъ,564256,ἐγὼ,269324
же,564257,δὲ,269325
г҃лѭ,564258,λέγω,269326
вамъ,564259,ὑμῖν,269327
не,564261,μὴ,269328
противити,564262,ἀντιστῆναι,269329
сѧ,564263,,
зълоу,564264,πονηρῷ,269331
Нъ,564266,ἀλλ’,269333
аще,564267,,
кто,564268,ὅστις,269334
тѧ,564269,σε,269335
оударитъ,564270,ῥαπίζει,269336
въ,564271,εἰς,269337
деснѫѭ,564272,δεξιὰν,269339
ланитѫ,564273,σιαγόνα,269340
обрати,564275,στρέψον,269342
емоу,564276,αὐτῷ,269343
и,564277,καὶ,269344
дроугѫѭ҄,564278,ἄλλην,269346
ꙇ,564280,καὶ,269348
хотѧщоумоу,564281,θέλοντί,269350
сѫдъ,564282,κριθῆναι,269352
приѩти,564283,,
съ,564284,,
тобоѭ,564285,σοι,269351
и,564286,καὶ,269353
ризѫ,564287,χιτῶνά,269355
твоѭ,564288,σου,269356
възѧти,564289,λαβεῖν,269357
отъпоусти,564291,ἄφες,269359
емоу,564292,αὐτῷ,269360
и,564293,καὶ,269361
срачицѫ,564294,ἱμάτιον,269363
твоѭ,564295,,
и,564297,καὶ,269365
аще,564298,,
къто,564299,ὅστις,269366
поиметъ,564300,ἀγγαρεύσει,269368
тѧ,564301,σε,269367
по,564302,,
силѣ,564303,,
попьрище,564305,μίλιον,269369
едино,564306,ἕν,269370
ꙇди,564308,ὕπαγε,269372
съ,564309,μετ’,269373
нимь,564310,αὐτοῦ,269374
дьвѣ,564311,δύο,269375
Просѧштоумоу,564313,αἰτοῦντί,269378
оу,564314,,
тебе,564315,σε,269379
даи,564316,δός,269380
ꙇ,564318,καὶ,269382
хотѧштаго,564319,θέλοντα,269384
отъ,564320,ἀπὸ,269385
тебе,564321,σοῦ,269386
заѩти,564322,δανίσασθαι,269387
не,564323,μὴ,269388
отъврати,564324,ἀποστραφῇς,269389
слꙑшасте,564326,Ἠκούσατε,269391
ѣко,564327,ὅτι,269392
речено,564328,ἐρρέθη,269393
естъ,564329,,
възлюбиши,564331,ἀγαπήσεις,269395
искрьнѣго,564332,πλησίον,269397
своего,564333,σου,269398
ꙇ,564335,καὶ,269399
вьзненавидиши,564336,μισήσεις,269400
врага,564337,ἐχθρόν,269402
своего,564338,σου,269403
азъ,564340,ἐγὼ,269405
же,564341,δὲ,269406
г҃лѭ,564342,λέγω,269407
вамъ,564343,ὑμῖν,269408
любите,564345,ἀγαπᾶτε,269410
врагꙑ,564346,ἐχθροὺς,269412
вашѧ,564347,ὑμῶν,269413
б҃лагслвите,564349,,
клънѫштѧѩ,564350,,
вꙑ,564351,,
добро,564353,,
творите,564354,,
ненавидѧштиимъ,564355,,
васъ,564356,,
ꙇ,564357,καὶ,269414
молите,564358,προσεύχεσθε,269415
за,564359,ὑπὲρ,269416
творѧщѧѩ,564360,,
вамъ,564361,διωκόντων,269418
напасти,564362,,
и,564364,,
изгонѧщѧѩ,564365,διωκόντων,269418
вꙑ,564366,ὑμᾶς,269419
да,564368,ὅπως,269421
бѫдете,564369,γένησθε,269422
с҃нве,564370,υἱοὶ,269423
о҃тца,564371,πατρὸς,269425
вашего,564372,ὑμῶν,269426
иже,564373,,
естъ,564374,,
на,564375,ἐν,269428
н҃ебсхъ,564376,οὐρανοῖς,269429
ѣко,564378,ὅτι,269431
слъньце,564379,ἥλιον,269433
свое,564380,αὐτοῦ,269434
сьѣатъ,564381,ἀνατέλλει,269435
на,564382,ἐπὶ,269436
зълꙑ,564383,πονηροὺς,269437
и,564384,καὶ,269438
благꙑ,564385,ἀγαθοὺς,269439
ꙇ҅,564387,καὶ,269440
дъждитъ,564388,βρέχει,269441
на,564389,ἐπὶ,269442
праведънꙑ,564390,δικαίους,269443
и,564391,καὶ,269444
на,564392,,
неправедънꙑ,564393,ἀδίκους,269445
аще,564395,ἐὰν,269447
бо,564396,γὰρ,269448
любите,564397,ἀγαπήσητε,269449
любѧщѧѩ,564398,ἀγαπῶντας,269451
вꙑ,564399,ὑμᾶς,269452
кѫѭ҄,564401,τίνα,269454
мъздѫ,564402,μισθὸν,269455
имате,564403,ἔχετε,269456
не,564405,οὐχὶ,269458
и,564406,καὶ,269459
мꙑтаре,564407,τελῶναι,269461
ли,564408,,
тожде,564409,αὐτὸ,269463
творѧтъ,564410,ποιοῦσιν,269464
ꙇ,564412,καὶ,269466
аще,564413,ἐὰν,269467
цѣлоуете,564414,ἀσπάσησθε,269468
дроугꙑ,564415,ἀδελφοὺς,269470
вашѧ,564416,ὑμῶν,269471
токъмо,564418,μόνον,269472
что,564419,τί,269474
лихо,564420,περισσὸν,269475
творите,564421,ποιεῖτε,269476
не,564423,οὐχὶ,269478
и,564424,καὶ,269479
мꙑтаре,564425,ἐθνικοὶ,269481
ли,564426,οὐχὶ,269478
тако,564427,αὐτὸ,269483
творѧтъ,564428,ποιοῦσιν,269484
бѫдѣте,564430,ἔσεσθε,269486
оубо,564431,οὖν,269487
вꙑ,564432,ὑμεῖς,269488
съвръшени,564433,τέλειοι,269489
ѣко,564435,ὡς,269490
и,564436,,
отецъ,564437,πατὴρ,269492
вашъ,564438,ὑμῶν,269493
н҃бскꙑ,564439,οὐράνιος,269495
съвръшенъ,564440,τέλειός,269496
естъ,564441,ἐστιν,269497
Вьнемлѣте,564443,Προσέχετε,269499
милостꙑнѧ,564444,δικαιοσύνην,269502
вашеѩ,564445,ὑμῶν,269503
не,564446,μὴ,269504
творити,564447,ποιεῖν,269505
прѣдъ,564448,ἔμπροσθεν,269506
ч҃лвкꙑ,564449,ἀνθρώπων,269508
да,564450,πρὸς,269509
видими,564451,θεαθῆναι,269511
бѫдете,564452,,
ими,564453,αὐτοῖς,269512
аште,564455,εἰ,269514
ли,564456,εἰ,269514
же,564457,δὲ,269515
ни,564458,μήγε,269516
мъздꙑ,564459,μισθὸν,269518
не,564460,οὐκ,269519
имате,564461,ἔχετε,269520
отъ,564463,παρὰ,269521
о҃тца,564464,πατρὶ,269523
вашего,564465,ὑμῶν,269524
иже,564466,,
естъ,564467,,
на,564468,ἐν,269526
н҃бсхъ,564469,οὐρανοῖς,269527
егда,564471,ὅταν,269529
оубо,564472,οὖν,269530
твориши,564473,ποιῇς,269531
милостꙑнѭ҄,564474,ἐλεημοσύνην,269532
не,564476,μὴ,269534
въстрѫби,564477,σαλπίσῃς,269535
прѣдъ,564478,ἔμπροσθέν,269536
собоѭ҄,564479,σου,269537
ѣко,564481,ὥσπερ,269539
ѵпокрити,564482,ὑποκριταὶ,269541
творѧтъ,564483,ποιοῦσιν,269542
въ,564485,ἐν,269543
съньмиштихъ,564486,συναγωγαῖς,269545
и,564487,καὶ,269546
въ,564488,ἐν,269547
стъгнахъ,564489,ῥύμαις,269549
да,564491,ὅπως,269551
прославѧтъ,564492,δοξασθῶσιν,269552
сѧ,564493,,
отъ,564494,ὑπὸ,269553
ч҃лвкъ,564495,ἀνθρώπων,269555
аминь,564497,ἀμὴν,269557
г҃лѭ,564498,λέγω,269558
вамъ,564499,ὑμῖν,269559
вьсприимѫтъ,564501,ἀπέχουσιν,269561
мъздѫ,564502,μισθὸν,269563
своѭ҄,564503,αὐτῶν,269564
Тебѣ,564505,σοῦ,269566
же,564506,δὲ,269567
творѧщю,564507,ποιοῦντος,269568
милостꙑнѭ,564508,ἐλεημοσύνην,269569
да,564510,,
не,564511,μὴ,269570
чюетъ,564512,γνώτω,269571
шюица,564513,ἀριστερά,269573
твоѣ,564514,σου,269574
чьто,564516,τί,269575
творитъ,564517,ποιεῖ,269576
десꙿница,564518,δεξιά,269578
твоѣ,564519,σου,269579
да,564521,ὅπως,269581
бѫдетъ,564522,ᾖ,269585
милостꙑни,564523,ἐλεημοσύνη,269584
твоѣ,564524,σοῦ,269583
въ,564525,ἐν,269586
таинѣ,564526,κρυπτῷ,269588
и,564528,καὶ,269590
о҃тцъ,564529,πατήρ,269592
твои,564530,σου,269593
видѧи,564531,βλέπων,269595
въ,564532,ἐν,269596
таинѣ,564533,κρυπτῷ,269598
въздастъ,564534,ἀποδώσει,269599
тебѣ,564535,σοι,269600
авѣ,564536,,
ꙇ҅,564538,καὶ,758615
егда,564539,ὅταν,758616
молиши,564540,προσεύχησθε,758617
сѧ,564541,,
не,564542,οὐκ,758618
бѫди,564543,ἔσεσθε,758619
ѣко,564544,ὡς,758620
и,564545,,
лицемѣри,564546,ὑποκριταί,758622
ѣко,564548,ὅτι,758623
любѧтъ,564549,φιλοῦσιν,758624
на,564550,ἐν,758625
сонъмиштихъ,564551,συναγωγαῖς,758627
и,564552,καὶ,758628
въ,564553,ἐν,758629
стъгнахъ,564554,πλατειῶν,758633
и,564555,,
на,564556,,
распѫтихъ,564557,γωνίαις,758631
стоѩште,564558,ἑστῶτες,758634
молити,564559,προσεύχεσθαι,758635
сѧ,564560,,
да,564562,ὅπως,758636
ѣвѧтъ,564563,φανῶσιν,758637
сѧ,564564,,
чловѣкомъ,564565,ἀνθρώποις,758639
аминь,564567,ἀμὴν,269631
г҃лѭ,564568,λέγω,269632
вамъ,564569,ὑμῖν,269633
ѣко,564571,,
въсприемлѭтъ,564572,ἀπέχουσιν,269635
мъздѫ,564573,μισθὸν,269637
своѭ҄,564574,αὐτῶν,269638
тꙑ,564576,σὺ,269640
же,564577,δὲ,269641
егда,564578,ὅταν,269642
молиши,564579,προσεύχῃ,269643
сѧ,564580,,
въниди,564581,εἴσελθε,269645
въ,564582,εἰς,269646
клѣть,564583,ταμεῖόν,269648
твоѭ,564584,σου,269649
и,564585,καὶ,269650
затвори,564586,κλείσας,269651
двьри,564587,θύραν,269653
твоѩ,564588,σου,269654
помоли,564590,πρόσευξαι,269655
сѧ,564591,,
о҃тцоу,564592,πατρί,269657
твоемоу,564593,σου,269658
въ,564594,ἐν,269660
таинѣ,564595,κρυπτῷ,269662
ꙇ҅,564597,καὶ,269664
о҃тцъ,564598,πατήρ,269666
твои,564599,σου,269667
видѧи,564600,βλέπων,269669
въ,564601,ἐν,269670
таинѣ,564602,κρυπτῷ,269672
