chu_word,torot_tokno,grc_word,grc_tokno
Без,2346584,,
напьсаньѣ,2346585,,
Въскѫѭ,2346586,Ἵνα,3320082
шѩташѩ,2346587,ἐφρύαξαν,3320084
сѩ,2346588,,
езъіці,2346589,ἔθνη,3320085
Ї,2346590,καὶ,3320086
людье,2346591,λαοὶ,3320087
пооучішѩ,2346592,ἐμελέτησαν,3320088
сѩ,2346593,,
тъщет.нъімъ,2346594,κενά,3320089
ашѩ,2346595,παρέστησαν,3320090
цр҃і,2346596,βασιλεῖς,3320092
земьни,2346597,γῆς,3320094
собьрашѩ,2346598,συνήχθησαν,3320098
сѩ,2346599,,
вь,2346600,ἐπὶ,3320099
на,2346601,κατὰ,3320102
г҃ѣ,2346602,κυρίου,3320104
сна,2346603,,
х҃а,2346604,χριστοῦ,3320108
его,2346605,αὐτοῦ,3320109
Растръгнѣмъ,2346606,διαρρήξωμεν,3320111
ѫзъі,2346607,δεσμοὺς,3320113
іхъ,2346608,αὐτῶν,3320114
ї,2346609,καὶ,3320115
отъвръзѣмъ,2346610,ἀπορρίψωμεν,3320116
отъ,2346611,ἀφ᾽,3320117
насъ,2346612,ἡμῶν,3320118
иго,2346613,ζυγὸν,3320120
іхъ,2346614,αὐτῶν,3320121
Живъи,2346615,κατοικῶν,3320123
на,2346616,ἐν,3320124
бсехъ,2346617,οὐρανοῖς,3320125
посмѣетъ,2346618,ἐκγελάσεται,3320126
сѩ,2346619,,
емоу,2346620,αὐτούς,3320127
і,2346621,καὶ,3320128
г҃ъ,2346622,κύριος,3320130
порѫгаетъ,2346623,ἐκμυκτηριεῖ,3320131
сѩ,2346624,,
імъ,2346625,αὐτούς,3320132
Тъгда,2346626,τότε,3320133
възгл҃етъ,2346627,λαλήσει,3320134
къ,2346628,πρὸς,3320135
німъ,2346629,αὐτοὺς,3320136
гнѣвомъ,2346630,ὀργῇ,3320138
своімъ,2346631,αὐτοῦ,3320139
и,2346632,καὶ,3320140
ѣростьѭ,2346633,θυμῷ,3320143
своеѭ,2346634,αὐτοῦ,3320144
съмѩтетъ,2346635,ταράξει,3320145
ѩ,2346636,αὐτούς,3320146
Азъ,2346637,ἐγὼ,3320147
же,2346638,δὲ,3320148
поставленъ,2346639,κατεστάθην,3320149
есмъ,2346640,,
цр҃ъ,2346641,,
отъ,2346642,ὑπ᾽,3320150
него,2346643,αὐτοῦ,3320151
Надъ,2346644,ἐπὶ,3320152
сіономъ,2346645,Σειὼν,3320153
горѫѫ,2346646,ὄρος,3320154
ст҃ѫѭ,2346647,ἅγιον,3320156
его,2346648,αὐτοῦ,3320157
Възвѣщаѩ,2346649,διαγγέλλων,3320158
повелѣнье,2346650,πρόσταγμα,3320160
гн҃е,2346651,Κυρίου,3320161
Гъ҃,2346652,Κύριος,3320162
рече,2346653,εἶπεν,3320163
къ,2346654,πρὸς,3320164
мнѣ,2346655,μέ,3320165
сн҃ъ,2346656,Υἱός,3320166
моі,2346657,μου,3320167
есі,2346658,εἶ,3320168
тъі,2346659,σύ,3320169
азъ,2346660,ἐγὼ,3320170
днесъ,2346661,σήμερον,3320171
родіхъ,2346662,γεγέννηκά,3320172
тѩ,2346663,σε,3320173
Просі,2346664,αἴτησαι,3320174
оу,2346665,παρ᾽,3320175
мне,2346666,ἐμοῦ,3320176
и,2346667,καὶ,3320177
дамъ,2346668,δώσω,3320178
ті,2346669,σοι,3320179
ѩзъкъ,2346670,ἔθνη,3320180
достоѣнъе,2346671,κληρονομίαν,3320182
твое,2346672,σου,3320183
і,2346673,καὶ,3320184
одръжанье,2346674,κατάσχεσίν,3320186
твое,2346675,σου,3320187
конець,2346676,πέρατα,3320189
землѩ,2346677,γῆς,3320191
Оупасеші,2346678,ποιμανεῖς,3320192
ѩ,2346679,αὐτοὺς,3320193
