mysql> select tokens.id, token_alignment_id from tokens left join sentences on sentence_id = sentences.id left join source_divisions on source_division_id = source_divisions.id left join sources on source_id = sources.id where code = "psal-sin";
+---------+--------------------+
| id      | token_alignment_id |
+---------+--------------------+
| 2338769 |            3332069 |
| 2338770 |            3332071 |
| 2338771 |            3332072 |
| 2338772 |            3332073 |
| 2338773 |            3332074 |
| 2339097 |               NULL |
| 2339098 |               NULL |
| 2338774 |            3332076 |
| 2338775 |               NULL |
| 2339096 |               NULL |
| 2338776 |            3332077 |
| 2338777 |            3332079 |
| 2338778 |            3332081 |
| 2338779 |            3332082 |
| 2338780 |            3332083 |
| 2338781 |            3332084 |
| 2338782 |            3332085 |
| 2338783 |            3332087 |
| 2338784 |            3332088 |
| 2338785 |            3332089 |
| 2338786 |            3332091 |
| 2338787 |            3332092 |
| 2338788 |            3332093 |
| 2338789 |            3332094 |
| 2338790 |            3332097 |
| 2338791 |            3332098 |
| 2338792 |            3332099 |
| 2338793 |            3332100 |
| 2338794 |               NULL |
| 2338795 |            3332101 |
| 2338796 |            3332102 |
| 2338797 |            3332103 |
| 2338798 |            3332105 |
| 2338799 |            3332106 |
| 2338800 |            3332107 |
| 2339076 |               NULL |
| 2338801 |            3332108 |
| 2338802 |            3332109 |
| 2338803 |            3332110 |
| 2338804 |            3332111 |
| 2338805 |            3332112 |
| 2338806 |            3332113 |
| 2338807 |            3332114 |
| 2338808 |            3332115 |
| 2338809 |            3332116 |
| 2338810 |            3332117 |
| 2338811 |            3332119 |
| 2338812 |            3332120 |
| 2338813 |            3332121 |
| 2338814 |               NULL |
| 2338815 |            3332122 |
| 2338816 |            3332123 |
| 2338817 |            3332124 |
| 2338818 |            3332125 |
| 2338819 |            3332126 |
| 2338820 |            3332127 |
| 2338821 |            3332128 |
| 2338822 |            3332129 |
| 2338823 |            3299110 |
| 2338824 |            3299111 |
| 2338825 |            3299112 |
| 2338826 |            3299113 |
| 2338827 |            3299114 |
| 2338828 |            3299115 |
| 2338829 |            3299116 |
| 2338830 |            3299117 |
| 2338831 |            3299118 |
| 2338832 |            3299119 |
| 2338833 |            3332130 |
| 2338834 |            3332131 |
| 2338835 |            3332132 |
| 2338836 |            3332133 |
| 2338837 |            3332134 |
| 2338838 |            3332135 |
| 2338839 |            3332136 |
| 2338840 |            3332137 |
| 2338841 |            3332140 |
| 2338842 |            3332141 |
| 2338843 |            3332138 |
