сапогоу,3522342,ὑποδήματα,267919
понести,3522343,βαστάσαι,267920
тъ,3522344,αὐτὸς,267922
васъ,3522345,ὑμᾶς,267923
крьститъ,3522346,βαπτίσει,267924
дх҃омь,3522347,πνεύματι,267926
ст҃ъꙇмь,3522348,ἁγίῳ,267927
ꙇ,3522349,καὶ,267928
огн҄емь,3522350,πυρί,267929
Емоуже,3522351,οὗ,267931
лопата,3522352,πτύον,267933
въ,3522353,ἐν,267934
рѫкоу,3522354,χειρὶ,267936
его,3522355,αὐτοῦ,267937
ꙇ,3522357,καὶ,267939
потрѣбитъ,3522358,διακαθαριεῖ,267940
гоумъно,3522359,ἅλωνα,267942
свое,3522360,αὐτοῦ,267943
ꙇ,3522361,καὶ,267945
съберетъ,3522362,συνάξει,267946
пьшеницѫ,3522363,σῖτον,267948
въ,3522364,εἰς,267950
житьницѫ,3522365,ἀποθήκην,267952
а,3522366,δὲ,267955
плѣвꙑ,3522367,ἄχυρον,267956
съжежетъ,3522368,κατακαύσει,267957
огн҄емь,3522369,πυρὶ,267958
негасимъꙇмь,3522370,ἀσβέστῳ,267959
тогда,3522371,Τότε,267961
приде,3522372,παραγίνεται,267962
ис҃,3522373,Ἰησοῦς,267964
отъ,3522374,ἀπὸ,267965
галилеѩ,3522375,Γαλιλαίας,267967
на,3522376,ἐπὶ,267968
ꙇор'данъ,3522377,Ἰορδάνην,267970
къ,3522378,πρὸς,267971
ꙇоӑноу,3522379,Ἰωάννην,267973
крьстити,3522380,βαπτισθῆναι,267975
сѧ,3522381,,
отъ,3522382,ὑπ’,267976
н҄его,3522383,αὐτοῦ,267977
ꙇо̆анъ,3522384,,
же,3522385,δὲ,267980
възбран҄ѣше,3522386,διεκώλυεν,267981
емоу,3522387,αὐτὸν,267982
гл҃ѧ,3522388,λέγων,267983
азъ,3522389,ἐγὼ,267985
трѣбоуѭ,3522390,ἔχω,267987
отъ,3522391,ὑπὸ,267988
тебе,3522392,σοῦ,267989
крьстити,3522393,βαπτισθῆναι,267990
сѧ,3522394,,
а,3522395,καὶ,267992
тꙑ,3522396,σὺ,267993
л҃и҃,3522397,,
къ,3522398,πρός,267995
мнѣ,3522399,με,267996
грѧдеши,3522400,ἔρχῃ,267994
отъвѣштавъ,3522401,ἀποκριθεὶς,267998
же,3522402,δὲ,267999
ис҃,3522403,Ἰησοῦς,268001
рече,3522404,εἶπεν,268002
къ,3522405,πρὸς,268003
н҄емоу,3522406,αὐτόν,268004
остани,3522407,ἄφες,268006
нꙑн҄ѣ,3522408,ἄρτι,268007
тако,3522409,οὕτως,268009
бо,3522410,γὰρ,268010
