201942|ὑποδήματα|Nb|-p---na--i|307
201943|βαστάσαι|V-|--ana----i|308
201944|αὐτὸς|Pd|-s---mn--i|260
201945|ὑμᾶς|Pp|2p---pa--i|284
201946|βαπτίσει|V-|3sfia----i|274
201947|πνεύματι|Nb|-s---nd--i|83
201948|ἁγίῳ|A-|-s---ndp-i|84
201949|καὶ|C-|---------n|14
201950|πυρί|Nb|-s---nd--i|300
201951|οὗ|Pr|-s---mg--i|64
201952|πτύον|Nb|-s---nn--i|309
201953|ἐν|R-|---------n|80
201954|χειρὶ|Nb|-s---fd--i|310
201955|αὐτοῦ|Pp|3s---mg--i|16
201956|καὶ|C-|---------n|14
201957|διακαθαριεῖ|V-|3sfia----i|311
201958|ἅλωνα|Nb|-s---fa--i|312
201959|αὐτοῦ|Pp|3s---mg--i|16
201960|καὶ|C-|---------n|14
201961|συνάξει|V-|3sfia----i|148
201962|σῖτον|Nb|-s---ma--i|313
201963|εἰς|R-|---------n|138
201964|ἀποθήκην|Nb|-s---fa--i|314
201965|δὲ|Df|---------n|11
201966|ἄχυρον|Nb|-s---na--i|315
201967|κατακαύσει|V-|3sfia----i|316
201968|πυρὶ|Nb|-s---nd--i|300
201969|ἀσβέστῳ|A-|-s---ndp-i|317
201970|Τότε|Df|---------n|165
201971|παραγίνεται|V-|3spim----i|137
201972|Ἰησοῦς|Ne|-s---mn--i|3
201973|ἀπὸ|R-|---------n|69
201974|Γαλιλαίας|Ne|-s---fg--i|241
201975|ἐπὶ|R-|---------n|47
201976|Ἰορδάνην|Ne|-s---ma--i|273
201977|πρὸς|R-|---------n|197
201978|Ἰωάννην|Ne|-s---ma--i|247
201979|βαπτισθῆναι|V-|--anp----i|274
201981|ὑπ’|R-|---------n|115
201982|αὐτοῦ|Pp|3s---mg--i|16
201984|δὲ|Df|---------n|11
201985|διεκώλυεν|V-|3siia----i|318
201986|αὐτὸν|Pp|3s---ma--i|16
201987|λέγων|V-|-sppamn--i|65
201988|ἐγὼ|Pp|1s---mn--i|163
201989|ἔχω|V-|1spia----i|82
201990|ὑπὸ|R-|---------n|115
201991|σοῦ|Pp|2s---pg--i|103
201992|βαπτισθῆναι|V-|--anp----i|274
201994|καὶ|C-|---------n|14
201995|σὺ|Pp|2s---pn--i|103
201997|πρός|R-|---------n|197
201998|με|Pp|1s---ma--i|163
201999|ἔρχῃ|V-|2spim----i|144
202000|ἀποκριθεὶς|V-|-sappmn--i|320
202001|δὲ|Df|---------n|11
202002|Ἰησοῦς|Ne|-s---mn--i|3
202003|εἶπεν|V-|3saia----i|65
202004|πρὸς|R-|---------n|197
202005|αὐτόν|Pp|3s---ma--i|16
202006|ἄφες|V-|2sama----i|321
202007|ἄρτι|Df|---------n|322
202008|οὕτως|Df|---------n|72
202009|γὰρ|Df|---------n|104
202010|πρέπον|V-|-sppann--i|323
202011|ἡμῖν|Pp|1p---md--i|121
202012|ἐστὶν|V-|3spia----i|73
202013|πληρῶσαι|V-|--ana----i|114
202014|πᾶσαν|Px|-s---fa--i|66
202015|δικαιοσύνην|Nb|-s---fa--i|324
202016|τότε|Df|---------n|165
202017|ἀφίησιν|V-|3spia----i|321
202018|αὐτόν|Pp|3s---ma--i|16
202019|βαπτισθεὶς|V-|-sappmn--i|274
202021|Ἰησοῦς|Ne|-s---mn--i|3
202022|δὲ|Df|---------n|11
202023|ἀνέβη|V-|3saia----i|326
202024|ἀπὸ|R-|---------n|69
202025|ὕδατος|Nb|-s---ng--i|303
202026|καὶ|C-|---------n|14
202027|ἰδοὺ|I-|---------n|94
202028|ἀνεῴχθησαν|V-|3paip----i|188
202031|καὶ|C-|---------n|14
202032|εἶδεν|V-|3saia----i|142
202033|πνεῦμα|Nb|-s---na--i|83
202034|θεοῦ|Nb|-s---mg--i|122
202035|καταβαῖνον|V-|-sppana--i|327
202036|ὡσεὶ|Df|---------n|328
202037|περιστερὰν|Nb|-s---fa--i|329
202039|ἐρχόμενον|V-|-sppmna--i|144
202040|ἐπ’|R-|---------n|47
202041|αὐτόν|Pp|3s---ma--i|16
202042|καὶ|C-|---------n|14
202043|ἰδοὺ|I-|---------n|94
202044|φωνὴ|Nb|-s---fn--i|222
202045|ἐκ|R-|---------n|19
202046|οὐρανῶν|Nb|-p---mg--i|254
202047|λέγουσα|V-|-sppafn--i|65
202048|οὗτός|Pd|-s---mn--i|92
202049|ἐστιν|V-|3spia----i|73
202050|υἱός|Nb|-s---mn--i|5
202051|μου|Pp|1s---mg--i|163
202052|ἀγαπητός|A-|-s---mnp-i|330
202053|ἐν|R-|---------n|80
202054|ᾧ|Pr|-s---md--i|64
202056|εὐδόκησα|V-|1saia----i|331
202057|Τότε|Df|---------n|165
202058|Ἰησοῦς|Ne|-s---mn--i|3
202059|ἀνήχθη|V-|3saip----i|332
202061|πνεύματος|Nb|-s---ng--i|83
202062|εἰς|R-|---------n|138
202063|ἔρημον|Nb|-s---fa--i|333
202064|πειρασθῆναι|V-|--anp----i|334
202066|ὑπὸ|R-|---------n|115
202067|διαβόλου|Nb|-s---mg--i|335
202068|καὶ|C-|---------n|14
202069|νηστεύσας|V-|-sapamn--i|336
202071|ἡμέρας|Nb|-p---fa--i|133
202072|τεσσεράκοντα|Ma|---------n|337
