orv_lemma|chu_lemma|pos|lcs_lemma|conj_type
приити|приити|V-|prijьti|jьti
манастырь|манастꙑрь|Nb|manastyŕь|masc_jo
святопълкъ|свѧтоплъкъ|Ne|svętopl̥kъ|masc_o
игуменъ|игоуменъ|Nb|igumenъ|masc_o
прѣставити|прѣставити|V-|perstaviti|40
свѣтъ|свѣтъ|Nb|světъ|masc_o
пълкъ|плъкъ|Nb|pl̥kъ|masc_o
недѣля|недѣлꙗ|Nb|neděĺǢ|fem_ja
столъ|столъ|Nb|stolъ|masc_o
плакати|плакати|V-|plakati|52
митрополитъ|митрополитъ|Nb|mitropolitъ|masc_o
борисъ|борисъ|Ne|borisъ|masc_o
поганыи|поганъ|A-|poganъ|adj_hard
рать|рать|Nb|ratь|fem_i
ростиславъ|растиславъ|Ne|orstislavъ|masc_o
михаилъ|михаилъ|Ne|mixajilъ|masc_o
ти|ти|Df|ti|
о|о|I-|o|
гость|гость|Nb|gostь|masc_i
другыи|дроугъ|Mo|drugъ|adj_hard_ord
василии|василии|Ne|vasilijь|masc_jo
таче|таче|Df|tače|
божьствьныи|божьствьнъ|A-|božьstvьnъ|adj_hard
побѣгнути|побѣгнѫти|V-|poběgnǫti|21
пасти#1|пасти|V-|pasti|11
вънукъ|въноукъ|Nb|vъnukъ|masc_o
грьчьскыи|грьчьскъ|A-|grьčьskъ|adj_hard
търгъ|тръгъ|Nb|tr̥gъ|masc_u
съборъ|съборъ|Nb|sъborъ|masc_o
латиньскыи|латиньскъ|A-|latinьskъ|adj_hard
дияконъ|диꙗконъ|Nb|dijǢkonъ|masc_o
крѣпъко|крѣпъко|Df|krěpъko|
тьма|тьма|Nb|tьma|fem_a
нѣмьць|нѣмьць|Nb|němьkь|masc_o_PV3
словѣньскыи|словѣньскъ|A-|slověnьskъ|adj_hard
вѣче|вѣще|Nb|věће|nt_jo
ратьныи|ратьнъ|A-|ortьnъ|adj_hard
въздьржание|въздрьжаниѥ|Nb|vъzdŕ̥žǢnьje|nt_jo
прогънати|прогънати|V-|progъnati|51_abl
отьчина|отьчина|Nb|otьčina|fem_a
къняжение|кънѧжениѥ|Nb|kъnęženьje|nt_jo
отъходити|отъходити|V-|otъxoditi|40
вельможа|вельможа|Nb|velьmožǢ|fem_ja
крьстьныи|крьстьнъ|A-|krьstьnъ|adj_hard
прозъвати|прозъвати|V-|prozъvati|51_abl
бесчисльныи|бещисльнъ|A-|beščislьnъ|adj_hard
съступити|състѫпити|V-|sъstǫpiti|40
съгорѣти|съгорѣти|V-|sъgorěti|31
съборьныи|съборьнъ|A-|sъborьnъ|adj_hard
позъвати|позъвати|V-|pozъvati|51_abl
мольба|мольба|Nb|modlьba|fem_a
нужьныи|нѫждьнъ|A-|nǫђьnъ|adj_hard
манастырьскыи|манастꙑрьскъ|A-|manastyŕьskъ|adj_hard
ангельскыи|ангельскъ|A-|anǵelьskъ|adj_hard
къзнь|къзнь|Nb|kъznь|fem_i
данилъ|даниилъ|Ne|daniilъ|masc_o
цѣсарьскыи|цѣсарьскъ|A-|kěsaŕьskъ|adj_hard
мощьныи|мощьнъ|A-|moћьnъ|adj_hard
въскрьсение|въскрьсениѥ|Nb|vъskrьsenьje|nt_jo
жидовьскыи|жидовьскъ|A-|židovьskъ|adj_hard
градьскыи|градьскъ|A-|gordьskъ|adj_hard
прѣжьнии|прѣждьнь|A-|perђьńь|adj_soft
естьство|ѥстьство|Nb|jestьstvo|nt_o
прощение|прощениѥ|Nb|prošћenьje|nt_jo
съмыслъ|съмꙑслъ|Nb|sъmyslъ|masc_o
неизреченьныи|неиздреченьнъ|A-|nejьzrečenьnъ|adj_hard
иночьскыи|иночьскъ|A-|jьnočьskъ|adj_hard
остатъкъ|остатъкъ|Nb|ostatъkъ|masc_o
мълчание|мльчаниѥ|Nb|mĺ̥čǢnьje|nt_jo
угодьникъ|оугодьникъ|Nb|ugodьnikъ|masc_o
вечерьня|вечерьнꙗ|Nb|večerьńǢ|fem_ja
чьтение|чьтениѥ|Nb|čьtenьje|nt_jo
изволение|изволѥниѥ|Nb|jьzvoĺenьje|nt_jo
покорение|покорѥниѥ|Nb|pokoŕenьje|nt_jo
въспоминати|въспоминати|V-|vъspominati|54
мьчьтание|мьчьтаниѥ|Nb|mьčьtanьje|nt_jo
боярьскыи|болꙗрьскъ|A-|boĺǢrьskъ|adj_hard
достигнути|достигнѫти|V-|dostignǫti|21
нынѣшьнии|нꙑнѣшьнь|A-|nyněšьńь|adj_soft
съмысльныи|съмꙑсльнъ|A-|sъmyslьnъ|adj_hard
словесьныи|словесьнъ|A-|slovesьnъ|adj_hard
кръвавыи|кръвавъ|A-|krъvavъ|adj_hard
въкушати|въкоушати|V-|vъkušǢti|54
съдѣяти|съдѣꙗти|V-|sъdějǢti|53
прѣльсть|прѣльсть|Nb|perlьstь|fem_i
сьрдьчьныи|срьдьчьнъ|A-|sŕ̥dьčьnъ|adj_hard
благочьстие|благочьстиѥ|Nb|bolgočьstьje|nt_jo
орудие|орѫдиѥ|Nb|orǫdьje|nt_jo
дьрзновение|дрьзновениѥ|Nb|dŕ̥znovenьje|nt_jo
въспитати|въспитати|V-|vъspitati|54
разьно|разьно|Df|orzьnо|
крьстияньскыи|крьстиꙗньскъ|A-|krьstьjǢnьskъ|adj_hard
