chu_lemma|orv_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|bitflag
и||C-|16330|i||||||||0||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
и||Pp|9509|jь|||||||jь|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
бꙑти||V-|7116|byti|||||||byti|1||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
себе||Pk|6498|sę|||||||sę|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
въ||R-|5831|vъ||||||||0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
же||Df|4836|že||||||||0||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
не||Df|4439|ne||||||||0||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
на||R-|3135|na||||||||0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
отъ||R-|2830|otъ||||||||0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
азъ||Pp|2774|azъ|||||||azъ|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
глаголати||V-|2710|golgolati|||||||52|1||||||||0|chrabr|euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|507
рещи||V-|2561|reћi|rekti||||rьk|rek|11|1||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
иже||Pr|2534|jьže|||||||jьže|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
сь||Pd|2135|sь|||||||sь|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
вьсь||Px|2083|vьxь||vьxъ|vьśь||||vьxь|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
тꙑ||Pp|1932|ty|||||||ty|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
тъ||Pd|1796|tъ|||||||pron_hard|2||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
мои||Ps|1761|mojь|||||||pron_soft|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
свои||Pt|1732|svojь|||||||pron_soft|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
къ||R-|1717|kъ||||||||0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
ꙗко||G-|1695|ako||||||||0||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
твои||Ps|1665|tvojь|||||||pron_soft|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
богъ||Nb|1576|bogъ|||||||masc_o|2||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
бо||Df|1550|bo||||||||0||||||||0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
господь||Nb|1544|gospodь|||||||masc_i|2||||||||0||euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|510
и||Df|1416|i||||||||0||||||||0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
съ||R-|1394|sъ||||||||0|||||||1|0|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|511
вꙑ||Pp|1332|ty|||||||ty|2||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|505
о||R-|1243|o||||||||0|||||||1|0|chrabr||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|509
