chu_lemma|orv_lemma|pos|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched
о|о|R-|o||||||||0|||||||1|orv
писмѧ||Nb|pismę|||||||nt_N|2||||||||
чрьноризьць|чьрноризьць|Nb|čŕ̥norizьkь||čŕ̥norizьkъ|čŕ̥norizьcь||||masc_o_PV3|2||||||||orv
прѣжде|переже|Df|perђe|perdje|||||||0||||||||orv
оубо|убо|Df|ubo||||||||0||||||||orv
не|не|Df|ne||||||||0||||||||orv
имѣти|имѣти|V-|jьměti|||||||have|1||||||||orv
кънигꙑ|кънига|Nb|kъńiga|kъnjiga||||||fem_a|2|7||scriptures|||||orv
нъ|нъ|C-|nъ||||||||0||||||||orv
чрьта||Nb|čŕ̥ta|||||||fem_a|2||||||||
и|и|C-|i||||||||0||||||||orv
чисти|чисти|V-|čisti|||||čit|čьt|ьt|1||||||||orv
бꙑти|быти|V-|byti|||||||byti|1||||||||orv
крьстити|крьстити|V-|krьstiti|||||||40|1|12|||essja 13 p.76 says this was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist'). ||||orv
же|же|Df|že||||||||0||||||||orv
себе|себе|Pk|sę|||||||sę|2||||||||orv
римьскъ|римьскыи|A-|rimьskъ|||||||adj_hard|2|12||Roman/Latin|||||orv
рѣчь|рѣчь|Nb|rěčь|||||||fem_i|2||||||||orv
без|без|R-|bez|||||||voice_assim_prep|0|||||||1|orv
како|како|Du|kako||||||||0|||how (adv.)|||||orv
мощи|мочи|V-|moћi|mogti||||mog|mog|11|1||||||||orv
пьсати|пьсати|V-|pьsati|||||||52_abl|1||||||||orv
добрѣ|добрѣ|Df|dobrě||||||||0||||||||orv
богъ|богъ|Nb|bogъ|||||||masc_o|2||||||||orv
или|или|C-|ili||||||||0||||||||orv
животъ|животъ|Nb|životъ|||||||masc_o|2||||||||orv
ѕѣло|зѣло|Df|gělo|||ʒělo|||||0||||||||orv
црькꙑ|цьркы|Nb|kŕ̥ky|||cŕ̥ky||||fem_uu|2|12|||||From some kind of Gmc. language (if a type of Old High German, before the Second Sound Shift) *kirkô, *kirikô, from Gk. κυρικόν < κυριακόν (see the entry for церковь in Vasmer's dictionary)||orv
чаꙗниѥ||Nb|čǢjǢnьje|||||||nt_jo|2||||||||
ꙗдь|ядь|Nb|jǢdь|||||||fem_i|2|||food|||||orv
оудъ|удъ|Nb|udъ|||||||masc_u|2|||limb, body part|||||orv
юность|юность|Nb|junostь|||||||fem_i|2||||||||orv
ѩзꙑкъ|языкъ|Nb|językъ|||||||masc_o|2||||||||orv
подобьнъ|подобьныи|A-|podobьnъ|||||||adj_hard|2||||||||orv
съ|сь|Pd|sь|||||||sь|2||||||||orv
тако|тако|Df|tako||||||||0||||||||orv
мъногъ|мъногыи|A-|mъnogъ|||||||adj_hard|2|||great, large; many|This behaves mostly as an adjective but occasionally takes the pronominal endings; see Diels 1963 p.212||||orv
лѣто|лѣто|Nb|lěto|||||||nt_o|2||||||||orv
потомь|потомь|Df|potomь||||||||0||||||||orv
чловѣколюбьць|человѣколюбьць|Nb|čьlověkoĺubьkь|čьlověkoljubьkь|cьlověkoĺubьkъ|čьlověkoĺubьcь|čelověkoĺubьkь|||masc_o_PV3|2||||||||orv
вьсь|вьсь|Px|vьxь||vьxъ|vьśь||||vьxь|2||||||||orv
оставлꙗти|оставляти|V-|ostavĺǢti|ostavjǢti||||ostavĺǢ|ostavĺǢj|54|1||||||||orv
родъ|родъ|Nb|rodъ|||||||masc_o|2||||||||orv
разоумъ|разумъ|Nb|orzumъ|||||||masc_o|2||||||||orv
къ|къ|R-|kъ||||||||0|||||||1|orv
приводити|приводити|V-|privoditi|||||||40|1||||||||orv
съпасениѥ|съпасение|Nb|sъpasenьje|||||||nt_jo|2||||||||orv
помиловати|помиловати|V-|pomilovati|||||||61|1||||||||orv
посълати|посълати|V-|posъlati|||||||52|1||||||||orv
и|и|Pp|jь|||||||jь|2||||||||orv
свѧтъ|святыи|A-|svętъ|||||||adj_hard|2||||||||orv
нарицати|нарицати|V-|narikati|||naricati||||54|1||||||||orv
мѫжь|мужь|Nb|mǫžь|||||||masc_ju|2||||||||orv
правьдьнъ|правьдьныи|A-|pravьdьnъ|||||||adj_hard|2||||||||orv
истиньнъ|истиньныи|A-|jьstinьnъ|||||||adj_hard|2||||||||orv
сътворити|сътворити|V-|sъtvoriti|||||||40|1||||||||orv
осмь|осмь|Ma|osmь|||||||fem_i|2||||||||orv
овъ|овъ|Pd|ovъ|||||||pron_hard|2||||||||orv
по|по|R-|po||||||||0|||||||1|orv
чинъ|чинъ|Nb|činъ|||||||masc_o_u|2||||||||orv
отъ|отъ|R-|otъ||||||||0|||||||1|orv
пръвъ||Mo|pŕ̥vъ|||||||adj_hard_ord|2||||||||
начѧти|начати|V-|načęti|||||načę|načьn|12|1||||||||orv
онъ|онъ|Pd|onъ|||||||pron_hard|2||||||||orv
а|а|C-|a||||||||0||||||||orv
обои|обои|Ma|obojь|||||||pron_soft|2||||||||orv
ꙗкоже|ꙗкоже|Dq|akože||||||||0|||as, so, in the way that|||||orv
подобити|подобити|V-|podobiti|||||||40|1|||be similar to, be like (refl. +dat.)|||||orv
и|и|Df|i||||||||0||||||||orv
съ|съ|R-|sъ||||||||0|||||||1|orv
бо|бо|Df|bo||||||||0||||||||orv
иже|иже|Pr|jьže|||||||jьže|2||||||||orv
съказати||V-|sъkazati|||||||54|1||||||||
съврьшати|съвьршати|V-|sъvŕ̥šǢti|||||||54|1||||||||orv
въводити|въводити|V-|vъvoditi|||||||40|1||||||||orv
дѣтищь|дѣтищь|Nb|dětiščь|||||||masc_jo|2|||baby, infant|has this been back-formed from the nt-suffixed *dětiščě to a masc jo-stem?||||orv
глаголати|глаголати|V-|golgolati|||||||52|1||||||||orv
оучити|учити|V-|učiti|||||||40|1||||||||orv
тъ||Pd|tъ|||||||pron_hard|2||||||||
рещи|речи|V-|reћi|rekti||||rьk|rek|11|1||||||||orv
съподобити|съподобити|V-|sъpodobiti|||||||40|1||||||||orv
да|да|C-|da||||||||0||||||||orv
въ|въ|R-|vъ||||||||0|||||||1|orv
оучениѥ|учение|Nb|učenьje|||||||nt_jo|2||||||||orv
мѣсто|мѣсто|Nb|město|||||||nt_o|2||||||||orv
искати|искати|V-|jьskati|||||jьska|jьšč|iskati|1||||||||orv
ꙗко|ꙗко|G-|ako||||||||0||||||||orv
дати|дати|V-|dati|||||||dati|1||||||||orv
на|на|R-|na||||||||0|||||||1|orv
оуста||Nb|usto|||||||nt_o|2||||||||
боукꙑ|букы|Nb|buky|||||||fem_uu|2|1|||||Gmc. *bōku||orv
великъ|великыи|A-|velikъ|||||||adj_hard|2||||||||orv
възгласити|възгласити|V-|vъzgolsiti|||||||40|1||||||||orv
малъ|малыи|A-|malъ|||||||adj_hard|2||||||||orv
исповѣдати|исповѣдати|V-|jьspovědati|||||||54|1|||(+ DAT) profess/confess one's faith in, worship; (with ⱄⱔ) praise, give glory unto, glorify|||||orv
сице|сице|Df|sike||siko|sice|||||0|||like this/that, in this/that way, assim|||||orv
подобати|подобати|V-|podobati|||||podoba|podobaj|54|1||||||||orv
дроугъ|другыи|A-|drugъ|||||||adj_hard|2||||||||orv
чьто|чьто|Pi|čьto|||||||čьto|2||||||||orv
мьнии|мьнии|A-|mьńь|mьnjь||||||adj_soft_comp|2||||||||orv
четꙑрe|четыре|Ma|četyre||||čьtyre|||four|2||||In opposition to Derksen 2008 p.87 I am giving a doublet with čьt- to account for the cztery etc. of the WSl. forms||||orv
вѣдѣти|вѣдѣти|V-|věděti|||||||wote|1||||||||orv
коликъ||Pi|kolikъ|||||||pron_hard|2|||how much|||||
приложити|приложити|V-|priložiti|||||||40|1||||||||orv
триѥ||Ma|trь|||||||tri|2||||||||
шесть|шесть|Ma|šestь|||||||fem_i|2||||||||orv
девѧть|девять|Ma|devętь|||||||fem_i|2||||||||orv
