orv_lemma|chu_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|ch_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst|mstislav-col|nevsky-treaty|nov-list|nov-marg|nov-sin|novgorod-jaroslav|ostromir-col|paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|bitflag
за|за|R-|746|za||||||||0|||||||1|1|e_sl|afnik|avv|birchbark|bur-alph|const|domo||dux-grjaz|gol-gol|golitsyn|kiev-hyp|klem|kur|lav|luk-koloc_subtitle_added|mikh|mst||nevsky-treaty|nov-list||nov-sin|||paz|peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||riga-goth|rusprav|schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav|turch|usp-sbor|ust-vlad|varlaam|vest-kur|zadon|35183821455295
молитва|молитва|Nb|306|modlitva|||||||fem_a|2||||||||1|e_sl|afnik|avv|||const|domo||||||||lav||||mstislav-col||||nov-sin||||peter|||||||schism|sergrad||||stefan|suz-lav||usp-sbor||||zadon|19116935225395
святыи|свѧтъ|A-|1207|svętъ|||||||adj_hard|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo||dux-grjaz|||kiev-hyp|||lav|luk-koloc_subtitle_added||mst|mstislav-col|||nov-marg|nov-sin||ostromir-col||||pskov_subtitle_added|pvl-hyp||riga-goth|||sergrad|||spi|stefan|suz-lav||usp-sbor|ust-vlad|varlaam||zadon|25779881862335
отьць|отьць|Nb|688|otьkь||otьkъ|otьcь||||masc_o_PV3|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo||dux-grjaz|||kiev-hyp|||lav||||mstislav-col|nevsky-treaty||nov-marg|nov-sin|novgorod-jaroslav|ostromir-col||||pskov_subtitle_added||||rusprav|schism|sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad||||3811933824191
нашь|нашь|Ps|690|našь|||||||pron_soft|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz||||klem|kur|lav|luk-koloc_subtitle_added|||mstislav-col|nevsky-treaty|nov-list||nov-sin|novgorod-jaroslav|||peter|pskov-ivan|pskov_subtitle_added|pvl-hyp||||schism|sergrad||||stefan|suz-lav||usp-sbor|ust-vlad|||zadon|21316433246463
господь|господь|Nb|518|gospodь|||||||masc_i|2||||||||1|e_sl|afnik|avv||bur-alph|const|domo|drac|||||||lav|luk-koloc_subtitle_added|||mstislav-col||nov-list|nov-marg|nov-sin||ostromir-col||peter||pskov_subtitle_added|pvl-hyp|||rusprav||sergrad||||stefan|suz-lav||usp-sbor|ust-vlad|||zadon|21314223628411
исусъ|исоусъ|Ne|74|jisusъ|||||||masc_o_u|2||||||||1|e_sl|afnik|avv||bur-alph|const|domo||||||||lav|luk-koloc_subtitle_added|||||||||||||||||||sergrad||||stefan|||usp-sbor|||||1245540540475
христ(ос)ъ|христ(ос)ъ|Ne|185|xristosъ|||||||masc_o|2|2|||||Χριστὸς||1|ch_sl|afnik|avv||bur-alph|const|domo|||gol-gol|||||lav|luk-koloc_subtitle_added|||||||nov-sin|||paz|||||||||sergrad||||stefan|suz-lav||usp-sbor|||||1520437322043
сынъ|сꙑнъ#1|Nb|591|synъ|||||||masc_u|2||||||||1|e_sl|afnik|avv|birchbark|bur-alph|const|domo|drac|dux-grjaz|||kiev-hyp||kur|lav||mikh|mst|mstislav-col|nevsky-treaty|||nov-sin|||||||pvl-hyp|rig-smol1281|riga-goth|rusprav|schism|sergrad|shch||spi|stefan|suz-lav||usp-sbor|ust-vlad|varlaam||zadon|25803897681151
божии|божии|A-|458|božьjь|||||||adj_ij|2||||||||1|ch_sl|afnik|avv|birchbark|bur-alph|const|domo||dux-grjaz|gol-gol|||klem|kur|lav|luk-koloc_subtitle_added|mikh||mstislav-col|||nov-marg|nov-sin||ostromir-col||peter||pskov_subtitle_added|pvl-hyp|rig-smol1281|riga-goth||schism|sergrad|shch|smol-pol-lit|spi|stefan|suz-lav||usp-sbor|ust-vlad||||3846054279615
помиловати|помиловати|V-|59|pomilovati|||||||61|1||||||||1|e_sl|afnik|avv|||const|domo|||gol-gol|||klem||lav||||||||nov-sin||||||||||||sergrad||||stefan|suz-lav||usp-sbor||||zadon|19112606574899
