chu_lemma|orv_lemma|pos|lcs_lemma|conj_type
и|и|C-|i|
и|и|Pp|jь|jь
бꙑти|быти|V-|byti|byti
себе|себе|Pk|sę|sę
въ|въ|R-|vъ|
же|же|Df|že|
не|не|Df|ne|
на|на|R-|na|
отъ|отъ|R-|otъ|
азъ|азъ|Pp|azъ|azъ
глаголати|глаголати|V-|golgolati|52
рещи|речи|V-|reћi|11
иже|иже|Pr|jьže|jьže
сь|сь|Pd|sь|sь
вьсь|вьсь|Px|vьxь|vьxь
тꙑ|ты|Pp|ty|ty
мои|мои|Ps|mojь|pron_soft
свои|свои|Pt|svojь|pron_soft
къ|къ|R-|kъ|
ꙗко|яко|G-|ako|
твои|твои|Ps|tvojь|pron_soft
богъ|богъ|Nb|bogъ|masc_o
бо|бо|Df|bo|
господь|господь|Nb|gospodь|masc_i
и|и|Df|i|
съ|съ|R-|sъ|
вꙑ|ты|Pp|ty|ty
о|о|R-|o|
да|да|G-|da|
исоусъ|исусъ|Ne|jisusъ|masc_o_u
видѣти|видѣти|V-|viděti|viděti
нъ|нъ|C-|nъ|
прити|приити|V-|prijьti|jьti
по|по|R-|po|
сътворити|сътворити|V-|sъtvoriti|40
аще|аче|G-|aћe|
имѣти|имѣти|V-|jьměti|have
свѧтъ|святыи|A-|svętъ|adj_hard
мꙑ|азъ|Pp|azъ|azъ
онъ|онъ|Pd|onъ|pron_hard
ити|ити|V-|jьti|jьti
оубо|убо|Df|ubo|
мъногъ|мъногыи|A-|mъnogъ|adj_hard
чловѣкъ|человѣкъ|Nb|čьlověkъ|masc_o
дьнь|дьнь|Nb|dьnь|den
отьць|отьць|Nb|otьkь|masc_o_PV3
а|а|C-|a|
дати|дати|V-|dati|dati
чьто|чьто|Pi|čьto|čьto
ѥдинъ|одинъ|Ma|jedinъ|pron_hard
сꙑнъ#1|сынъ|Nb|synъ|masc_u
слово|слово|Nb|slovo|nt_S
ли|ли|Du|li|
творити|творити|V-|tvoriti|40
божии|божии|A-|božьjь|adj_ij
хотѣти|хотѣти|V-|xotěti|will
землꙗ|земля|Nb|zemĺǢ|fem_ja
ни|ни|C-|ni|
слꙑшати|слышати|V-|slyšǢti|31
нашь|нашь|Ps|našь|pron_soft
ѥгда|егда|Dq|jegъda|
отъвѣщати|отъвѣчати|V-|otъvěћǢti|54
оученикъ|ученикъ|Nb|učenikъ|masc_o
имѧ|имя|Nb|jьmę|nt_N
вѣдѣти|вѣдѣти|V-|věděti|wote
рѫка|рука|Nb|rǫka|fem_a
христ(ос)ъ|христ(ос)ъ|Ne|xristosъ|masc_o
мощи|мочи|V-|moћi|11
ради|ради|R-|radi|
ꙗко#2|яко|Df|ako|
цѣсарь|цѣсарь|Nb|kěsaŕь|masc_ar
вашь|вашь|Ps|vašь|pron_soft
се|се|I-|se|
градъ|городъ|Nb|gordъ|masc_o
доуша|душа|Nb|dušǢ|fem_ja
небо|небо|Nb|nebo|nt_S
ꙗко#1|яко|Df|ako|
тако|тако|Df|tako|
