id,lemma,pos,normalised,count,afnik,avv,birchbark,bur-alph,const,domo,drac,dux-grjaz,gol-gol,golitsyn,kiev-hyp,klem,kur,lav,luk-koloc_subtitle_added,mikh,mst,mstislav-col,nevsky-treaty,nov-list,nov-marg,nov-sin,novgorod-jaroslav,ostromir-col,paz,peter,pskov-ivan,pskov_subtitle_added,pvl-hyp,rig-smol1281,riga-goth,rusprav,schism,sergrad,shch,smol-pol-lit,spi,stefan,suz-lav,turch,usp-sbor,ust-vlad,varlaam,vest-kur,zadon,bitflag
1,за,R-,за,746,afnik,avv,birchbark,bur-alph,const,domo,,dux-grjaz,gol-gol,golitsyn,kiev-hyp,klem,kur,lav,luk-koloc_subtitle_added,mikh,mst,,nevsky-treaty,nov-list,,nov-sin,,,paz,peter,pskov-ivan,pskov_subtitle_added,pvl-hyp,,riga-goth,rusprav,schism,sergrad,shch,smol-pol-lit,spi,stefan,suz-lav,turch,usp-sbor,ust-vlad,varlaam,vest-kur,zadon,35183821455295
2,молитва,Nb,молітва,306,afnik,avv,,,const,domo,,,,,,,,lav,,,,mstislav-col,,,,nov-sin,,,,peter,,,,,,,schism,sergrad,,,,stefan,suz-lav,,usp-sbor,,,,zadon,19116935225395
3,святыи,A-,свꙗтьіі,1207,afnik,avv,birchbark,bur-alph,const,domo,,dux-grjaz,,,kiev-hyp,,,lav,luk-koloc_subtitle_added,,mst,mstislav-col,,,nov-marg,nov-sin,,ostromir-col,,,,pskov_subtitle_added,pvl-hyp,,riga-goth,,,sergrad,,,spi,stefan,suz-lav,,usp-sbor,ust-vlad,varlaam,,zadon,25779881862335
4,отьць,Nb,отьць,688,afnik,avv,birchbark,bur-alph,const,domo,,dux-grjaz,,,kiev-hyp,,,lav,,,,mstislav-col,nevsky-treaty,,nov-marg,nov-sin,novgorod-jaroslav,ostromir-col,,,,pskov_subtitle_added,,,,rusprav,schism,sergrad,shch,,spi,stefan,suz-lav,,usp-sbor,ust-vlad,,,,3811933824191
5,нашь,Ps,нашь,690,afnik,avv,birchbark,bur-alph,const,domo,drac,dux-grjaz,,,,klem,kur,lav,luk-koloc_subtitle_added,,,mstislav-col,nevsky-treaty,nov-list,,nov-sin,novgorod-jaroslav,,,peter,pskov-ivan,pskov_subtitle_added,pvl-hyp,,,,schism,sergrad,,,,stefan,suz-lav,,usp-sbor,ust-vlad,,,zadon,21316433246463
6,господь,Nb,господь,518,afnik,avv,,bur-alph,const,domo,drac,,,,,,,lav,luk-koloc_subtitle_added,,,mstislav-col,,nov-list,nov-marg,nov-sin,,ostromir-col,,peter,,pskov_subtitle_added,pvl-hyp,,,rusprav,,sergrad,,,,stefan,suz-lav,,usp-sbor,ust-vlad,,,zadon,21314223628411
7,исусъ,Ne,ісусъ,74,afnik,avv,,bur-alph,const,domo,,,,,,,,lav,luk-koloc_subtitle_added,,,,,,,,,,,,,,,,,,,sergrad,,,,stefan,,,usp-sbor,,,,,1245540540475
8,христ(ос)ъ,Ne,хрістосъ,185,afnik,avv,,bur-alph,const,domo,,,gol-gol,,,,,lav,luk-koloc_subtitle_added,,,,,,,nov-sin,,,paz,,,,,,,,,sergrad,,,,stefan,suz-lav,,usp-sbor,,,,,1520437322043
9,сынъ,Nb,сьінъ,591,afnik,avv,birchbark,bur-alph,const,domo,drac,dux-grjaz,,,kiev-hyp,,kur,lav,,mikh,mst,mstislav-col,nevsky-treaty,,,nov-sin,,,,,,,pvl-hyp,rig-smol1281,riga-goth,rusprav,schism,sergrad,shch,,spi,stefan,suz-lav,,usp-sbor,ust-vlad,varlaam,,zadon,25803897681151
