о,R-
писменехь,Nb
чръноризца,Nb
Xрабъра,Ne
Прѣжде,Df
ѹбѡ,Df
словѣне,Nb
не,Df
имѣхѫ,V-
книгъ,Nb
нѫ,C-
чрътами,Nb
и,C-
рѣзами,Nb
чьтѣхѫ,V-
и,C-
гатаахѫ,V-
погани,A-
сѫще,V-
кръстивше,V-
же,Df
сѧ,Pk
римꙿсками,A-
и,C-
гръчьскꙑми,A-
писменꙑ,Nb
нѫждаахѫ,V-
сѧ,Pk
словѣнꙿскꙑ,Df
рѣчь,Nb
безь,R-
ѹстроениа,Nb
нѫ,C-
како,Du
можеть,V-
сѧ,Pk
писати,V-
добрѣ,Df
гръчьскꙑми,A-
писменꙑ,Nb
б҃ъ,Nb
или,C-
живѡтъ,Nb
или,C-
ѕѣлѡ,Df
или,C-
цр҃ковь,Nb
или,C-
чаание,Nb
или,C-
ширѡта,Nb
или,C-
ꙗдь,Nb
или,C-
ѫдѹ,Nb
или,C-
юность,Nb
или,C-
ѫзꙑкъ,Nb
и,C-
инаа,A-
подбнаа,A-
симь,Pd
и,C-
тако,Df
бѣшѫ,V-
многа,A-
лѣта,Nb
потом,Df
же,Df
чл҃колюбецъ,Nb
б҃ъ,Nb
строѫи,V-
всѣ,Px
и,C-
не,Df
ѡставлѣѫ,V-
чл҃ча,A-
рода,Nb
безь,R-
разѹма,Nb
нѫ,C-
вꙿсѧ,Px
къ,R-
разѹмѹ,Nb
приводѧ,V-
и,C-
сп҃сению,Nb
помиловавь,V-
родъ,Nb
чл҃чь,A-
посла,V-
имь,Pp
ст҃го,A-
кѡнстантина,Ne
философа,Nb
нарицаемаго,V-
кирила,Ne
мѫжа,Nb
праведна,A-
и,C-
истинна,A-
и,C-
сътвори,V-
имъ,Pp
л҃,Ma
писмена,Nb
и,C-
осмь,Ma
ѡва,Pd
ꙋбѡ,Df
по,R-
чинѹ,Nb
гръчьскꙑхь,A-
писменъ,Nb
ѡва,Pd
же,Df
по,R-
словѣнстѣи,A-
рѣчи,Nb
ѿ,R-
пръваго,Mo
же,Df
наченъ,V-
по,R-
гръчьскѹ,A-
ѡни,Pd
ѹбо,Df
алфа,Nb
а,C-
съ,Pd
азъ,Nb
ѿ,R-
аза,Nb
начѧть,V-
ѡбое,Ma
и,C-
ꙗкоже,Dq
ѡни,Pd
подобльше,V-
сѧ,Pk
жидовьскꙑмь,A-
писменемь,Nb
сътворишѫ,V-
тако,Df
и,Df
съ,R-
гръчьскꙑмъ,A-
жидове,Nb
бѡ,Df
пръвое,Mo
писмѧ,Nb
имѧть,V-
алефь,F-
еже,Pr
сѧ,Pk
сказаеть,V-
ѹчинение,Nb
съвръшаѫще,V-
въводимѹ,V-
дѣтищѹ,Nb
и,C-
гл҃ѧще,V-
ꙋчи,V-
сѧ,Pk
еже,Pr
есть,V-
алефь,F-
и,C-
гръци,Nb
подобѧще,V-
сѧ,Pk
томѹ,Pd
алфа,Nb
рѣшѫ,V-
и,C-
сподоби,V-
сѧ,Pk
речение,Nb
сказаниа,Nb
жидовьска,A-
гръчьскꙋ,A-
ѫзꙑкѹ,Nb
да,C-
речеть,V-
дѣтищѹ,Nb
вь,R-
ѹчениа,Nb
мѣсто,Nb
ищи,V-
алфа,Nb
бо,Df
иши,V-
сѧ,Pk
речеть,V-
гръчьскомь,A-
ѫзꙑкомъ,Nb
тѣм,Pd
бо,Df
подбѧ,V-
сѧ,Pk
ст҃ꙑи,A-
кирилъ,Ne
створи,V-
пръвое,Mo
писмѧ,Nb
азь,Nb
нѫ,C-
ꙗко,G-
и,C-
пръвомѹ,Mo
сѫщѹ,V-
писмени,Nb
азь,Nb
и,C-
ѿ,R-
б҃а,Nb
данѹ,V-
родѹ,Nb
словѣнꙿскомѹ,A-
на,R-
ѿвръстие,Nb
ѹстъ,Nb
въ,R-
разѹмъ,Nb
ѹчѧщим,V-
сѧ,Pk
бꙋквамъ,Nb
великомь,A-
раздвижениемь,Nb
ѹстъ,Nb
възгласит,V-
сѧ,Pk
а,C-
ѡна,Pd
писмена,Nb
маломъ,A-
раздвижениемь,Nb
ѹстъ,Nb
възгласѧт,V-
сѧ,Pk
и,C-
исповѣдаѫт,V-
сѧ,Pk
се,Pd
же,Df
сѫть,V-
писмена,Nb
словѣньскаа,A-
сице,Df
а,Pp
подбаеть,V-
писати,V-
и,C-
гл҃ати,V-
а҃,Nb
б҃,Nb
в҃,Nb
г҃,Nb
дрѹѕии,A-
же,Df
гл҃ѧть,V-
по,R-
что,Pi
есть,V-
л҃,Ma
и,Ma
писменъ,Nb
створилъ,V-
а,C-
можеть,V-
сѧ,Pk
и,Df
менꙿшимь,A-
того,Pd
писати,V-
ꙗкоже,Dq
и,Df
гръци,Nb
к҃,Ma
д,Ma
пишѫть,V-
и,C-
не,Df
вѣдѧть,V-
колицѣмь,Pi
пишѫть,V-
гръци,Nb
есть,V-
бо,Df
ꙋбѡ,Df
к,Ma
д҃,Ma
писменъ,Nb
нѫ,C-
не,Df
наплънѣѫтꙿ,V-
сѧ,Pk
тѣми,Pd
книгꙑ,Nb
нѫ,C-
приложили,V-
сѫтъ,V-
двогласнꙑхь,A-
а҃і,Ma
и,C-
въ,R-
чисменех,Nb
же,Df
г҃,Ma
҃s,Ma
