сапогоу|сапогоу|201942|Codex Zographensis|Matthew 3
понести|понесті|201943|Codex Zographensis|Matthew 3
аште|аште|209819|Codex Zographensis|Matthew 24
ли|лі|209820|Codex Zographensis|Matthew 24
речетъ|речетъ|209821|Codex Zographensis|Matthew 24
зълъꙇ|зълъі|209822|Codex Zographensis|Matthew 24
рабъ|рабъ|209823|Codex Zographensis|Matthew 24
тъ|тъ|209824|Codex Zographensis|Matthew 24
въ|въ|209825|Codex Zographensis|Matthew 24
сръдьци|сръдьці|209826|Codex Zographensis|Matthew 24
своемъ|своемъ|209827|Codex Zographensis|Matthew 24
моудитъ|моудітъ|209828|Codex Zographensis|Matthew 24
мои|моі|209829|Codex Zographensis|Matthew 24
г҃нъ|гнъ|209830|Codex Zographensis|Matthew 24
прити|пріті|209831|Codex Zographensis|Matthew 24
ꙇ|і|209832|Codex Zographensis|Matthew 24
начьнетъ|начьнетъ|209833|Codex Zographensis|Matthew 24
клеврѣтꙑ|клеврѣтъі|209834|Codex Zographensis|Matthew 24
своѩ|своѧ|209835|Codex Zographensis|Matthew 24
ѣсти|ѣсті|209836|Codex Zographensis|Matthew 24
же|же|209837|Codex Zographensis|Matthew 24
ꙇ|і|209838|Codex Zographensis|Matthew 24
пити|піті|209839|Codex Zographensis|Matthew 24
съ|съ|209840|Codex Zographensis|Matthew 24
пьѣницами|пьѣніцамі|209841|Codex Zographensis|Matthew 24
придетъ|прідетъ|209842|Codex Zographensis|Matthew 24
г҃ь|гь|209843|Codex Zographensis|Matthew 24
раба|раба|209844|Codex Zographensis|Matthew 24
того|того|209845|Codex Zographensis|Matthew 24
въ|въ|209846|Codex Zographensis|Matthew 24
дьнь|дьнь|209847|Codex Zographensis|Matthew 24
въ|въ|209848|Codex Zographensis|Matthew 24
н҄ьже|ньже|209849|Codex Zographensis|Matthew 24
не|не|209850|Codex Zographensis|Matthew 24
чаетъ|чаетъ|209851|Codex Zographensis|Matthew 24
ꙇ|і|209852|Codex Zographensis|Matthew 24
въ|въ|209853|Codex Zographensis|Matthew 24
часъ|часъ|209854|Codex Zographensis|Matthew 24
въ|въ|209855|Codex Zographensis|Matthew 24
н҄ьже|ньже|209856|Codex Zographensis|Matthew 24
не|не|209857|Codex Zographensis|Matthew 24
вѣстъ|вѣстъ|209858|Codex Zographensis|Matthew 24
ꙇ|і|209859|Codex Zographensis|Matthew 24
протешетъ|протешетъ|209860|Codex Zographensis|Matthew 24
ꙇ|і|209861|Codex Zographensis|Matthew 24
полъма|полъма|209862|Codex Zographensis|Matthew 24
ꙇ|і|209863|Codex Zographensis|Matthew 24
