1,за,R-,за
2,молитва,Nb,молітва
3,святыи,A-,свѣтьіі
4,отьць,Nb,отьць
5,нашь,Ps,нашь
6,господь,Nb,господь
7,исусъ,Ne,ісусъ
8,христ(ос)ъ,Ne,хрістосъ
9,сынъ,Nb,сьінъ
10,божии,A-,божіі
11,помиловати,V-,поміловаті
12,азъ,Pp,азъ
13,рабъ,Nb,рабъ
14,свои,Pt,своі
15,грѣшьныи,A-,грѣшьньіі
16,афонасии,Ne,афонасіі
17,микитинъ,A-,мікітінъ
18,се,I-,се
19,написати,V-,напісаті
20,хожение,Nb,хоженіе
21,трие,Ma,тріе
22,море,Nb,море
23,пьрвыи,Mo,пьрвьіі
24,дербентьскыи,A-,дербентьскьіі
25,дория,Nb,доріѣ
26,хвалисьскыи,A-,хвалісьскьіі
27,въторыи,Mo,въторьіі
28,индѣискыи,A-,індѣіскьіі
29,гондустаньскыи,A-,гондустаньскьіі
30,третии,Mo,третіі
31,чьрныи,A-,чьрньіі
32,стемъбольскыи,A-,стемъбольскьіі
33,поити#1,V-,поіті#1
34,отъ,R-,отъ
35,съпасъ,Nb,съпасъ
36,златовьрхыи,A-,златовьрхьіі
37,съ,R-,съ
38,и,Pp,і
39,милость,Nb,мілость
40,великыи,A-,велікьіі
41,кънязь,Nb,кънѣзь
42,михаилъ,Ne,міхаілъ
43,борисовичь,Ne,борісовічь
44,и,C-,і
45,владыка,Nb,владьіка
46,генадии,Ne,генадіі
47,твѣрьскыи,A-,твѣрьскьіі
48,на,R-,на
49,низъ,Df,нізъ
50,вълга,Ne,вълга
51,приити,V-,прііті
52,въ,R-,въ
53,манастырь,Nb,манастьірь
54,къ,R-,къ
55,живоначальныи,A-,жівоначальньіі
56,троица,Nb,троіца
57,мученикъ,Nb,мученікъ
58,борисъ,Ne,борісъ
59,гълѣбъ,Ne,гълѣбъ
60,у,R-,у
61,игуменъ,Nb,ігуменъ
62,себе,Pk,себе
63,благословити,V-,благословіті
64,макарии,Ne,макаріі
65,братия,Nb,братіѣ
66,из,R-,із
67,колязинъ,Ne,колѣзінъ
68,углечь,Ne,углечь
69,кострома,Ne,кострома
70,александръ,Ne,александръ
71,иныи,Px,іньіі
72,грамота,Nb,грамота
73,отъпустити,V-,отъпустіті
74,вьсь,Px,вьсь
75,русь,Ne,русь
76,добровольно,Df,добровольно
77,плесо,Ne,плесо
78,новъгородъ,Ne,новъгородъ
79,нижьнии,A-,ніжьніі
80,кыселевъ,A-,кьіселевъ
81,намѣстьникъ,Nb,намѣстьнікъ
82,пошьлиньникъ,Nb,пошьліньнікъ
83,иванъ,Ne,іванъ
84,сараевъ,A-,сараевъ
85,пропустити,V-,пропустіті
86,а,C-,а
87,василии,Ne,васіліі
88,папинъ,Ne,папінъ
89,проѣхати,V-,проѣхаті
90,городъ,Nb,городъ
91,язъ,Pp,ѣзъ
92,жьдати,V-,жьдаті
93,дъва,Ma,дъва
94,недѣля,Nb,недѣлѣ
95,посълъ,Nb,посълъ
96,татарьскыи,A-,татарьскьіі
97,ширвашинъ,A-,шірвашінъ
98,асанъ,Ne,асанъ
99,бѣкъ,Nb,бѣкъ
100,ѣхати,V-,ѣхаті
101,кречатъ,Nb,кречатъ
102,девяносто,Ma,девѣносто
103,поѣхати,V-,поѣхаті
104,быти,V-,бьіті
105,казань,Ne,казань
106,орда,Nb,орда
107,усланъ,Ne,усланъ
108,сараи,Ne,сараі
109,берекезанъ,Ne,берекезанъ
110,въѣхати,V-,въѣхаті
111,бузанъ,Ne,бузанъ
112,рѣка,Nb,рѣка
113,ту,Df,ту
114,наѣхати,V-,наѣхаті
115,мы,Pp,мьі
116,татаринъ,Nb,татарінъ
117,поганыи,A-,поганьіі
118,съказати,V-,съказаті
119,лъживыи,A-,лъжівьіі
120,вѣсть,Nb,вѣсть
121,каисымъ,Ne,каісьімъ
122,султанъ,Nb,султанъ
123,стеречи,V-,стеречі
124,гость,Nb,гость
125,тысяча,Ma,тьісѣча
126,дати,V-,даті
127,по,Df,по
128,одьнорядъка,Nb,одьнорѣдъка
129,да,C-,да
130,по,R-,по
131,полотьно,Nb,полотьно
132,чьтобы,G-,чьтобьі
133,провести,V-,провесті
134,мимо,R-,мімо
135,астраханъ,Ne,астраханъ
136,онъ,Pd,онъ
137,възяти,V-,възѣті
138,цѣсарь,Nb,цѣсарь
139,судьно,Nb,судьно
140,покынути,V-,покьінуті
141,полѣзти,V-,полѣзті
142,посъловъ,A-,посъловъ
143,и,Df,і
144,товарищь,Nb,товарішть
145,мѣсяць,Nb,мѣсѣць
146,ночь,Nb,ночь
147,парусъ,Nb,парусъ
148,видѣти,V-,відѣті
149,кликати,V-,клікаті
150,качьма,F-,качьма
151,не,Df,не
152,бѣгати,V-,бѣгаті
153,посълати,V-,посълаті
154,грѣхъ,Nb,грѣхъ
155,постигнути,V-,постігнуті
156,бугунъ,Ne,бугунъ
157,застрѣлити,V-,застрѣліті
158,человѣкъ,Nb,человѣкъ
159,мьнии,A-,мьніі
160,стати,V-,статі
161,езъ,Nb,езъ
162,оныи,Pd,оньіі
163,часъ,Nb,часъ
164,тыи,Pd,тьіі
165,розграбити,V-,розграбіті
166,мои,Ps,моі
167,рухлядь,Nb,рухлѣдь
168,большии,A-,большіі
169,доити,V-,доіті
170,до,R-,до
171,ино,Df,іно
172,усть,Df,усть
173,мѣль,Nb,мѣль
174,тутъ,Df,тутъ
175,възадъ,Df,възадъ
176,тянути,V-,тѣнуті
177,четыре,Ma,четьіре
178,голова,Nb,голова
179,русьскыи,A-,русьскьіі
180,голыи,A-,гольіі
181,въвьрхъ,Df,въвьрхъ
182,дѣля,R-,дѣлѣ
183,дербенть,Ne,дербенть
184,судъ#2,Nb,судъ#2
185,одинъ,Ma,одінъ
186,тезикъ,Nb,тезікъ
187,русакъ,Nb,русакъ
188,десять,Ma,десѣть
189,другыи,Mo,другьіі
190,шесть,Ma,шесть
191,москъвичь,Nb,москъвічь
192,твѣричь,Nb,твѣрічь
193,въстати,V-,въстаті
194,фурстовина,Nb,фурстовіна
195,разбити,V-,разбіті
196,о,R-,о
197,берегъ,Nb,берегъ
198,каитакъ,Nb,каітакъ
199,людие,Nb,людіе
200,поимати,V-,поіматі
201,съдоровыи,A-,съдоровьіі
202,пограбити,V-,пограбіті
203,бити,V-,біті
204,чело,Nb,чело
205,чьто,Pr,чьто
206,печаловати,V-,печаловаті
207,подъ,R-,подъ
208,тархы,Ne,тархьі
209,ѣздити,V-,ѣздіті
210,гора,Nb,гора
211,булатъ,Ne,булатъ
212,скоро,Df,скоро
213,да#2,Df,да#2
214,ширванша,Ne,шірванша
215,чьто,G-,чьто
216,товаръ,Nb,товаръ
217,шуринъ,Nb,шурінъ
218,алиль,Ne,аліль
219,каитачьскыи,A-,каітачьскьіі
220,твои,Ps,твоі
221,ты,Pp,тьі
222,присълати,V-,прісълаті
223,събьрати,V-,събьраті
224,занеже,G-,занеже
225,имя,Nb,імѣ
226,чьто,Px,чьто
227,надобѣть,Df,надобѣть
228,братъ,Nb,братъ
229,стояти,V-,стоѣті
230,отъсълати,V-,отъсълаті
231,дербентъ,Ne,дербентъ
232,коитулъ,Nb,коітулъ
233,пожаловати,V-,пожаловаті
234,чьто,Pi,чьто
235,ничьто,Px,нічьто
236,ано,Df,ано
237,мъногыи,A-,мъногьіі
238,заплакати,V-,заплакаті
239,розити,V-,розіті
240,кыи,Px,кьіі
241,куды,Df,кудьі
242,къто,Pr,къто
243,тътъ,Pd,тътъ
244,дължьныи,A-,дължьньіі
245,куды,Dq,кудьі
246,око,Nb,око
247,понести,V-,понесті
248,остати,V-,остаті
249,шамахъ,Ne,шамахъ
250,роботати,V-,роботаті
251,бака,Ne,бака
252,язь,Pp,ѣзь
253,къдѣ,Dq,къдѣ
254,огнь,Nb,огнь
255,горѣти,V-,горѣті
256,неугасимыи,A-,неугасімьіі
257,чебокаръ,Ne,чебокаръ
258,жити,V-,жіті
259,сарѣ,Ne,сарѣ
260,маздраньскыи,A-,маздраньскьіі
261,земля,Nb,землѣ
262,отътуды,Df,отътудьі
263,амиля,Ne,амілѣ
264,димовантъ,Ne,дімовантъ
265,рѣи,Ne,рѣі
266,убити,V-,убіті
267,шаусень,Ne,шаусень
268,алеевъ,A-,алеевъ
269,дѣтя,Nb,дѣтѣ
270,вънуча,Nb,вънуча
271,махметевъ,A-,махметевъ
272,прокляти,V-,проклѣті
273,седмьдесятъ,Ma,седмьдесѣтъ
274,розвалити,V-,розваліті
275,кашань,Ne,кашань
276,наинъ,Ne,наінъ
277,ездѣя,Ne,ездѣѣ
278,сырчанъ,Ne,сьірчанъ
279,таромъ,Ne,таромъ
280,фуникъ,Nb,фунікъ
281,кърмити,V-,кърміті
282,животина,Nb,жівотіна
283,батманъ,Nb,батманъ
284,алтынъ,Nb,алтьінъ
285,ларъ,Ne,ларъ
286,бендерь,Ne,бендерь
287,пристанище,Nb,прістаніште
288,гурмызьскыи,A-,гурмьізьскьіі
289,парьсѣискыи,A-,парьсѣіскьіі
290,языкъ,Nb,ѣзьікъ
291,ити,V-,іті
292,гурмызъ,Ne,гурмьізъ
293,миля,Nb,мілѣ
294,островъ,Nb,островъ
295,ежедьнь,Df,ежедьнь
296,дъвашьды,Df,дъвашьдьі
297,дьнь,Nb,дьнь
298,единъ,Ma,едінъ
299,то,Df,то
300,пьсати,V-,пьсаті
301,варьныи,A-,варьньіі
302,сълньце,Nb,сълньце
303,съжещи,V-,съжешті
304,фоминъ,A-,фомінъ
305,тава,Nb,тава
306,конь,Nb,конь
307,мошкатъ,Ne,мошкатъ
308,дѣгъ,Ne,дѣгъ
309,кузратъ,Ne,кузратъ
310,канбатъ,Ne,канбатъ
311,родити,V-,родіті
312,красъка,Nb,красъка
313,лекъ,Nb,лекъ
314,чивиль,Ne,чівіль
315,семыи,Mo,семьіі
316,страна,Nb,страна
317,ходити,V-,ходіті
318,нагыи,A-,нагьіі
319,покрыти,V-,покрьіті
320,грудь,Nb,грудь
321,волосъ,Nb,волосъ
322,коса,Nb,коса
323,плести,V-,плесті
324,брюхатыи,A-,брюхатьіі
