id,lemma,pos,count
1,за,R-,746
2,молитва,Nb,306
3,святыи,A-,1207
4,отьць,Nb,688
5,нашь,Ps,690
6,господь,Nb,518
7,исусъ,Ne,74
8,христ(ос)ъ,Ne,185
9,сынъ,Nb,591
10,божии,A-,458
11,помиловати,V-,59
12,азъ,Pp,1717
13,рабъ,Nb,72
14,свои,Pt,2382
15,грѣшьныи,A-,66
16,афонасии,Ne,6
17,микитинъ,A-,1
18,се,I-,456
19,написати,V-,69
20,хожение,Nb,8
21,трие,Ma,355
22,море,Nb,143
23,пьрвыи,Mo,125
24,дербентьскыи,A-,1
25,дория,Nb,5
26,хвалисьскыи,A-,2
27,въторыи,Mo,35
28,индѣискыи,A-,34
29,гондустаньскыи,A-,6
30,третии,Mo,90
31,чьрныи,A-,37
32,стемъбольскыи,A-,2
33,поити#1,V-,502
34,отъ,R-,2255
35,съпасъ,Nb,55
36,златовьрхыи,A-,5
37,съ,R-,3070
38,и,Pp,6738
39,милость,Nb,133
40,великыи,A-,815
41,кънязь,Nb,1238
42,михаилъ,Ne,101
43,борисовичь,Ne,12
44,и,C-,19098
45,владыка,Nb,133
46,генадии,Ne,1
47,твѣрьскыи,A-,12
48,на,R-,4547
49,низъ,Df,4
50,вълга,Ne,38
51,приити,V-,963
52,въ,R-,7626
53,манастырь,Nb,259
54,къ,R-,2296
55,живоначальныи,A-,7
56,троица,Nb,64
57,мученикъ,Nb,52
58,борисъ,Ne,116
59,гълѣбъ,Ne,143
60,у,R-,1037
61,игуменъ,Nb,199
62,себе,Pk,5901
63,благословити,V-,86
64,макарии,Ne,1
65,братия,Nb,465
66,из,R-,727
67,колязинъ,Ne,1
68,углечь,Ne,2
69,кострома,Ne,4
70,александръ,Ne,31
71,иныи,Px,502
72,грамота,Nb,119
73,отъпустити,V-,70
74,вьсь,Px,2127
75,русь,Ne,208
76,добровольно,Df,5
77,плесо,Ne,1
78,новъгородъ,Ne,398
79,нижьнии,A-,15
80,кыселевъ,A-,1
81,намѣстьникъ,Nb,31
82,пошьлиньникъ,Nb,1
83,иванъ,Ne,95
84,сараевъ,A-,1
85,пропустити,V-,4
86,а,C-,4014
87,василии,Ne,86
88,папинъ,Ne,2
89,проѣхати,V-,3
90,городъ,Nb,368
91,язъ,Pp,55
92,жьдати,V-,24
93,дъва,Ma,408
94,недѣля,Nb,144
95,посълъ,Nb,62
96,татарьскыи,A-,18
97,ширвашинъ,A-,3
98,асанъ,Ne,7
99,бѣкъ,Nb,20
100,ѣхати,V-,91
101,кречатъ,Nb,5
102,девяносто,Ma,6
103,поѣхати,V-,85
104,быти,V-,5492
105,казань,Ne,2
106,орда,Nb,36
107,усланъ,Ne,1
108,сараи,Ne,2
109,берекезанъ,Ne,1
110,въѣхати,V-,9
111,бузанъ,Ne,2
112,рѣка,Nb,139
113,ту,Df,302
114,наѣхати,V-,7
115,мы,Pp,992
116,татаринъ,Nb,32
117,поганыи,A-,109
118,съказати,V-,169
119,лъживыи,A-,7
120,вѣсть,Nb,75
121,каисымъ,Ne,1
122,султанъ,Nb,17
123,стеречи,V-,7
124,гость,Nb,87
125,тысяча,Ma,82
126,дати,V-,497
127,по,Df,70
128,одьнорядъка,Nb,9
129,да,C-,591
130,по,R-,2011
131,полотьно,Nb,5
132,чьтобы,G-,78
133,провести,V-,3
134,мимо,R-,21
135,астраханъ,Ne,4
136,онъ,Pd,822
137,възяти,V-,490
138,цѣсарь,Nb,393
139,судьно,Nb,25
140,покынути,V-,16
141,полѣзти,V-,3
142,посъловъ,A-,1
143,и,Df,1537
144,товарищь,Nb,8
145,мѣсяць,Nb,383
146,ночь,Nb,82
147,парусъ,Nb,3
148,видѣти,V-,478
149,кликати,V-,16
150,качьма,F-,1
151,не,Df,3857
152,бѣгати,V-,16
153,посълати,V-,539
154,грѣхъ,Nb,197
155,постигнути,V-,20
156,бугунъ,Ne,1
157,застрѣлити,V-,3
158,человѣкъ,Nb,376
159,мьнии,A-,55
160,стати,V-,319
161,езъ,Nb,4
162,оныи,Pd,94
163,часъ,Nb,105
164,тыи,Pd,2296
165,розграбити,V-,9
166,мои,Ps,809
167,рухлядь,Nb,5
168,большии,A-,109
169,доити,V-,55
170,до,R-,518
171,ино,Df,215
172,усть,Df,8
173,мѣль,Nb,1
174,тутъ,Df,69
175,възадъ,Df,3
176,тянути,V-,3
177,четыре,Ma,188
178,голова,Nb,83
179,русьскыи,A-,306
180,голыи,A-,10
181,въвьрхъ,Df,4
182,дѣля,R-,53
183,дербенть,Ne,4
184,судъ#2,Nb,32
185,одинъ,Ma,117
186,тезикъ,Nb,1
187,русакъ,Nb,1
188,десять,Ma,143
189,другыи,Mo,87
190,шесть,Ma,144
191,москъвичь,Nb,3
192,твѣричь,Nb,2
193,въстати,V-,105
194,фурстовина,Nb,1
195,разбити,V-,12
196,о,R-,1070
197,берегъ,Nb,65
198,каитакъ,Nb,3
199,людие,Nb,626
200,поимати,V-,60
201,съдоровыи,A-,34
202,пограбити,V-,17
203,бити,V-,285
204,чело,Nb,42
205,чьто,Pr,160
206,печаловати,V-,19
207,подъ,R-,175
208,тархы,Ne,3
209,ѣздити,V-,36
210,гора,Nb,125
211,булатъ,Ne,2
212,скоро,Df,25
213,да#2,Df,325
214,ширванша,Ne,4
215,чьто,G-,154
216,товаръ,Nb,101
217,шуринъ,Nb,13
218,алиль,Ne,2
219,каитачьскыи,A-,1
220,твои,Ps,492
221,ты,Pp,1052
222,присълати,V-,123
223,събьрати,V-,98
224,занеже,G-,13
225,имя,Nb,251
226,чьто,Px,241
227,надобѣть,Df,8
228,братъ,Nb,533
229,стояти,V-,247
230,отъсълати,V-,7
231,дербентъ,Ne,2
232,коитулъ,Nb,2
233,пожаловати,V-,33
234,чьто,Pi,299
235,ничьто,Px,61
236,ано,Df,19
237,мъногыи,A-,751
238,заплакати,V-,7
239,розити,V-,7
240,кыи,Px,58
241,куды,Df,10
242,къто,Pr,97
243,тътъ,Pd,52
244,дължьныи,A-,24
245,куды,Dq,3
246,око,Nb,102
247,понести,V-,19
248,остати,V-,74
249,шамахъ,Ne,2
250,роботати,V-,1
251,бака,Ne,4
252,язь,Pp,1
253,къдѣ,Dq,92
254,огнь,Nb,86
255,горѣти,V-,16
256,неугасимыи,A-,1
257,чебокаръ,Ne,3
258,жити,V-,260
259,сарѣ,Ne,1
260,маздраньскыи,A-,2
261,земля,Nb,729
262,отътуды,Df,5
263,амиля,Ne,1
264,димовантъ,Ne,2
265,рѣи,Ne,2
266,убити,V-,221
267,шаусень,Ne,1
