се,1,Се,I-,---------n
азъ,2,азъ,Pp,1s---mn--i
мьстиславъ,3,мьстиславъ,Ne,-s---mn--i
володимирь,4,володимирь,A-,-s---mnpsi
сынъ,5,сн҃ъ,Nb,-s---mn--i
дьржати,6,дьржа,V-,-sppamn-si
русьскыи,7,рѹськѹ,A-,-s---fapsi
земля,8,землю,Nb,-s---fa--i
въ,9,въ,R-,---------n
свои,10,своѥ,Pt,3s---na--i
къняжение,11,кнѧжениѥ,Nb,-s---na--i
повелѣти,12,повелѣлъ,V-,-sspamn-si
быти,13,ѥсмь,V-,1spia----i
сынъ,5,сн҃у,Nb,-s---md--i
свои,10,своѥму,Pt,3s---md--i
вьсеволодъ,14,всеволодѹ,Ne,-s---md--i
отъдати,15,ѿдати,V-,--pna----i
буици,16,бѹицѣ,Ne,-p---fa--i
святыи,17,ст҃мѹ,A-,-s---mdpwi
георгии,18,геѡргиеви,Ne,-s---md--i
съ,19,съ,R-,---------n
дань,20,данию,Nb,-s---fi--i
и,21,и,C-,---------n
съ,19,съ,R-,---------n
вира,22,вирами,Nb,-p---fi--i
и,21,и,C-,---------n
съ,19,съ,R-,---------n
продажа,23,продажами,Nb,-p---fi--i
даже,24,даже,G-,---------n
которыи,25,которыи,Px,-s---mn--i
кънязь,26,кнѧзь,Nb,-s---mn--i
по,27,по,R-,---------n
мои,28,моѥмь,Ps,1s---nl--i
къняжение,11,кнѧжении,Nb,-s---nl--i
почати,29,почьнеть,V-,3spia----i
хотѣти,30,хотѣти,V-,--pna----i
отъяти,31,ѿꙗти,V-,--pna----i
у,32,ѹ,R-,---------n
святыи,17,ст҃го,A-,-s---mgpwi
георгии,18,геѡргиꙗ,Ne,-s---mg--i
а,33,а,C-,---------n
богъ,34,бъ,Nb,-s---mn--i
быти,13,бѹди,V-,3spma----i
за,35,за,R-,---------n
тыи,36,тѣмь,Pd,-s---mi--i
и,21,и,C-,---------n
святыи,17,ст҃аꙗ,A-,-s---fnpwi
богородица,37,бц҃а,Nb,-s---fn--i
и,21,и,C-,---------n
тыи,36,тъ,Pd,-s---mn--i
святыи,17,ст҃ыи,A-,-s---mnpwi
георгии,18,геѡргии,Ne,-s---mn--i
у,32,ѹ,R-,---------n
и,38,него,Pp,3s---mg--i
тыи,36,то,Pd,-s---na--i
отъимати,39,ѡтимаѥть,V-,3spia----i
и,21,и,C-,---------n
ты,40,ты,Pp,2s---mn--i
игуменъ,41,игѹмене,Nb,-s---mv--i
исаия,42,исаиѥ,Ne,-s---mv--i
и,21,и,C-,---------n
вы,43,вы,Pp,2p---mn--i
братия,44,братиѣ,Nb,-s---fv--i
донелѣже,45,донѥлѣже,G-,---------n
себе,46,сѧ,Pk,3s---qa--i
миръ,47,миръ,Nb,-s---mn--i
състояти,48,състоить,V-,3spia----i
молити,49,молите,V-,2ppma----i
богъ,34,б҃а,Nb,-s---mg--i
за,35,за,R-,---------n
азъ,2,мѧ,Pp,1s---ma--i
и,21,и,C-,---------n
за,35,за,R-,---------n
мои,28,моѣ,Ps,1p---ma--i
дѣтя,50,дѣти,Nb,-p---na--i
къто,51,кто,Px,-s---qn--i
себе,46,сѧ,Pk,3s---qa--i
изоостати,52,изоѡстанеть,V-,3spia----i
въ,9,въ,R-,---------n
манастырь,53,манастыри,Nb,-s---ml--i
то,54,то,Df,---------n
вы,43,вы,Pp,2p---mn--i
тыи,36,тѣмь,Pd,-s---ni--i
дължьныи,55,дължьни,A-,-p---mnpsi
быти,13,ѥсте,V-,2ppia----i
молити,49,молити,V-,--pna----i
за,35,за,R-,---------n
мы,56,ны,Pp,1p---ma--i
богъ,34,б҃а,Nb,-s---mg--i
и,21,и,C-,---------n
при,57,при,R-,---------n
животъ,58,животѣ,Nb,-s---ml--i
и,21,и,C-,---------n
въ,9,въ,R-,---------n
съмьрть,59,съмьрти,Nb,-s---fl--i
а,33,а,C-,---------n
язъ,60,ꙗзъ,Pp,1s---mn--i
дати,61,далъ,V-,-sspamn-si
рука,62,рѹкою,Nb,-s---fi--i
свои,10,своѥю,Pt,3s---fi--i
и,63,и,Df,---------n
осеньнии,64,осеньнѥѥ,A-,-s---napwi
полюдие,65,полюдиѥ,Nb,-s---na--i
даровьныи,66,даровьноѥ,A-,-s---napwi
полъ#1,67,полъ,Nb,-s---ma--i
третии,68,третиꙗ,Mo,-s---mg--i
десять,69,десѧте,Ma,-s---mg--i
гривьна,70,гривьнъ,Nb,-p---fg--i
святыи,17,ст҃мѹ,A-,-s---mdpwi
же,71,же,Df,---------n
георгии,18,геѡргиеви,Ne,-s---md--i
а,33,а,C-,---------n
се,1,се,I-,---------n
я,72,ꙗ,Pp,1s---mn--i
вьсеволодъ,14,всеволодъ,Ne,-s---mn--i
дати,61,далъ,V-,-sspamn-si
быти,13,ѥсмь,V-,1spia----i
блюдо,73,блюдо,Nb,-s---na--i
сьребрьныи,74,серебрьно,A-,-s---napsi
въ,9,въ,R-,---------n
тридесяте,75,л҃,Ma,---------n
гривьна,70,грв҃нъ,Nb,-p---fg--i
сьребро,76,серебра,Nb,-s---ng--i
святыи,17,ст҃мѹ,A-,-s---mdpwi
же,71,же,Df,---------n
георгии,18,геѡргиеви,Ne,-s---md--i
велѣти,77,велѣлъ,V-,-sspamn-si
быти,13,ѥсмь,V-,1spia----i
бити,78,бити,V-,--pna----i
въ,9,въ,R-,---------n
и,38,нѥ,Pp,3s---na--i
на,79,на,R-,---------n
обѣдъ,80,ѡбѣдѣ,Nb,-s---ml--i
коли,81,коли,Dq,---------n
игуменъ,41,игѹменъ,Nb,-s---mn--i
обѣдати,82,ѡбѣдаѥть,V-,3spia----i
даже,24,даже,G-,---------n
къто,51,кто,Px,-s---qn--i
запъртити,83,запъртить,V-,3spia----i
или,84,или,C-,---------n
тыи,36,тѹ,Pd,-s---fa--i
дань,20,дань,Nb,-s---fa--i
и,21,и,C-,---------n
сии,85,се,Pd,-s---na--i
блюдо,73,блюдо,Nb,-s---na--i
да#1,86,да,Df,---------n
судити,87,сѹдить,V-,3spia----i
и,38,ѥмѹ,Pp,3s---md--i
богъ,34,б҃ъ,Nb,-s---mn--i
въ,9,въ,R-,---------n
дьнь,88,дн҃ь,Nb,-s---ma--i
пришьствие,89,пришьствиꙗ,Nb,-s---ng--i
свои,10,своѥго,Pt,3s---ng--i
и,21,и,C-,---------n
тыи,36,тъ,Pd,-s---mn--i
святыи,17,ст҃ыи,A-,-s---mnpwi
георгии,18,геѡргии,Ne,-s---mn--i
