господь,1,Ги҃,Nb,-s---mv--i
богъ,2,б҃е,Nb,-s---mv--i
отьць,3,оц҃ь,Nb,-p---mg--i
нашь,4,нашихъ,Ps,1p---mg--i
авраамовъ,5,авраамовъ,A-,-s---mnpsi
исаковъ,6,исаковъ,A-,-s---mnpsi
ияковль,7,иꙗковль,A-,-s---mnpsi
и,8,и,C-,---------n
сѣмя,9,сѣмене,Nb,-s---ng--i
и,10,ихъ,Pp,3p---mg--i
правьдьныи,11,правьдьнааго,A-,-s---ngpwi
съподобити,12,съподобивыи,V-,-supamn-wi
азъ,13,мѧ,Pp,1s---ma--i
грѣшьныи,14,грѣшьнааго,A-,-s---mgpwi
рабъ,15,раба,Nb,-s---mg--i
свои,16,своѥго,Pt,3s---mg--i
алекса,17,алексоу,Ne,-s---ma--i
написати,18,написати,V-,--pna----i
сии,19,сиѥ,Pd,-s---na--i
евангелие,20,еуангелиѥ,Nb,-s---na--i
благовѣрьныи,21,бл҃говѣрьноуоумоу,A-,-s---mdpwi
и,8,и,C-,---------n
христолюбивыи,22,хрьстолюбивоѡмоу,A-,-s---mdpwi
и,8,и,C-,---------n
богъ,2,бг҃мь,Nb,-s---mi--i
чьстити,23,чьстимоомоу,V-,-spppmd-wi
кънязь,24,кнѧзю,Nb,-s---md--i
феодоръ,25,ѳеѡдороу,Ne,-s---md--i
а,26,а,C-,---------n
мирьскы,27,мирьскы,Df,---------n
мьстиславъ,28,мьстиславоу,Ne,-s---md--i
вънукъ,29,въноукоу,Nb,-s---md--i
быти,30,соущю,V-,-sppamd-si
вьсеволожь,31,вьсеволожю,A-,-s---mdpsi
а,26,а,C-,---------n
сынъ,32,сн҃оу,Nb,-s---md--i
володимирь,33,володимирю,A-,-s---mdpsi
кънязь,24,кнѧзю,Nb,-s---md--i
новъгородьскыи,34,новъгородьскоуомоу,A-,-s---mdpwi
иже,35,иже,Pr,-s---mn--i
съвьршити,36,съвьрши,V-,3saia----i
сии,19,сиѥ,Pd,-s---na--i
евангелие,20,еуагѥ,Nb,-s---na--i
на,37,на,R-,---------n
благословение,38,блсвниѥ,Nb,-s---na--i
прѣсвятыи,39,прѣс҃тѣи,A-,-s---fdpwi
чистыи,40,чс҃тѣи,A-,-s---fdpwi
владычица,41,влдчци,Nb,-s---fd--i
нашь,4,нашеи,Ps,1s---fd--i
богородица,42,бц҃и,Nb,-s---fd--i
даяти,43,даи,V-,3spma----i
же,44,же,Df,---------n
и,10,ѥму,Pp,3s---md--i
господь,1,г҃ь,Nb,-s---mn--i
богъ,2,б҃ъ,Nb,-s---mn--i
милость,45,млость,Nb,-s---fa--i
свои,16,свою,Pt,3s---fa--i
и,8,и,C-,---------n
наслѣдие,46,наслѣдиѥ,Nb,-s---na--i
цѣсарьство,47,цсрства,Nb,-s---ng--i
небесьныи,48,нб҃сьнааго,A-,-s---ngpwi
и,8,и,C-,---------n
дълголѣтьныи,49,дълголѣтно,A-,-s---napsi
къняжение,50,кнѧжениѥ,Nb,-s---na--i
и,51,и,Df,---------n
съ,52,съ,R-,---------n
вьсь,53,всѣми,Px,-p---mi--i
свои,16,своими,Pt,3p---mi--i
аминъ,54,аминь,I-,---------n
вы,55,Вы,Pp,2p---mn--i
же,44,же,Df,---------n
братия,56,братѥ,Nb,-s---fv--i
почитати,57,почитающе,V-,-pppamn-si
въ,58,въ,R-,---------n
сии,19,сиѥ,Pd,-s---na--i
евангелие,20,еуагѥ,Nb,-s---na--i
аще,59,аще,G-,---------n
къдѣ,60,кде,Df,---------n
кривыи,61,криво,A-,-s---napsi
налѣзти,62,налѣзете,V-,2ppia----i
то,63,то,Df,---------n
исправити,64,исправивъше,V-,-pupamn-si
чисти,65,чьтѣте,V-,2ppma----i
же,44,же,Df,---------n
а,26,а,C-,---------n
не,66,не,Df,---------n
кляти,67,кльнѣте,V-,2ppma----i
азъ,13,азъ,Pp,1s---mn--i
бо,68,бо,Df,---------n
грѣшьныи,14,грѣшьныи,A-,-s---mnpwi
рабъ,15,рабъ,Nb,-s---mn--i
алекса,17,алекса,Ne,-s---mn--i
написати,18,написахъ,V-,1saia----i
сии,19,сиѥ,Pd,-s---na--i
евангелие,20,еуагѥ,Nb,-s---na--i
сынъ,32,сн҃ъ,Nb,-s---mn--i
лазоревъ,69,лазоревъ,A-,-s---mnpsi
прозвитеръ,70,прозвутера,Nb,-s---mg--i
отьць,3,ѡчи,Nb,-s---mv--i
съпасти#1,71,сп҃си,V-,2spma----i
кънязь,24,кнѧ҃зѧ,Nb,-s---mg--i
нашь,4,нашего,Ps,1s---mg--i
феодоръ,25,ѳеѡдора,Ne,-s---mg--i
мъногыи,72,мъногы,A-,-p---nipsi
лѣто,73,лѣт,Nb,-p---ni--i
а,26,а,C-,---------n
мирьскы,27,мирьскы,Df,---------n
мьстиславъ,28,мьстислава,Ne,-s---mg--i
жадѣнъ,74,жадѣнъ,Ne,-s---mn--i
пьсати,75,пьсалъ,V-,-sspamn-si
азъ,13,Азъ,Pp,1s---mn--i
рабъ,15,рабъ,Nb,-s---mn--i
божии,76,бж҃ии,A-,-s---mnpti
недостоиныи,77,недостоиныи,A-,-s---mnpwi
худыи,78,хоудыи,A-,-s---mnpwi
грѣшьныи,14,грѣшьныи,A-,-s---mnpwi
съписати,79,съпьсахъ,V-,1saia----i
память,80,памѧти,Nb,-s---fg--i
дѣля,81,дѣлѧ,R-,---------n
цѣсарь,82,цр҃ѫ,Nb,-s---md--i
нашь,4,нашемоу,Ps,1s---md--i
и,8,и,C-,---------n
людие,83,лѫдемъ,Nb,-p---md--i
о,84,о,R-,---------n
съконьчание,85,съконьчаньи,Nb,-s---nl--i
евангелие,20,еуаг,Nb,-s---ng--i
иже,35,ѥже,Pr,-s---na--i
быти,30,бѧшеть,V-,3siia----i
казати,86,казалъ,V-,-sspamn-si
мьстиславъ,28,мьстиславъ,Ne,-s---mn--i
кънязь,24,кънѧзь,Nb,-s---mn--i
худыи,78,хоудомоу,A-,-s---mdpwi
наславъ,87,наславоу,Ne,-s---md--i
