1,се,I-
2,азъ,Pp
3,мьстиславъ,Ne
4,володимирь,A-
5,сынъ,Nb
6,дьржати,V-
7,русьскыи,A-
8,земля,Nb
9,въ,R-
10,свои,Pt
11,къняжение,Nb
12,повелѣти,V-
13,быти,V-
14,вьсеволодъ,Ne
15,отъдати,V-
16,буици,Ne
17,святыи,A-
18,георгии,Ne
19,съ,R-
20,дань,Nb
21,и,C-
22,вира,Nb
23,продажа,Nb
24,даже,G-
25,которыи,Px
26,кънязь,Nb
27,по,R-
28,мои,Ps
29,почати,V-
30,хотѣти,V-
31,отъяти,V-
32,у,R-
33,а,C-
34,богъ,Nb
35,за,R-
36,тыи,Pd
37,богородица,Nb
38,и,Pp
39,отъимати,V-
40,ты,Pp
41,игуменъ,Nb
42,исаия,Ne
43,вы,Pp
44,братия,Nb
45,донелѣже,G-
46,себе,Pk
47,миръ,Nb
48,състояти,V-
49,молити,V-
50,дѣтя,Nb
51,къто,Px
52,изоостати,V-
53,манастырь,Nb
54,то,Df
55,дължьныи,A-
56,мы,Pp
57,при,R-
58,животъ,Nb
59,съмьрть,Nb
60,язъ,Pp
61,дати,V-
62,рука,Nb
63,и,Df
64,осеньнии,A-
65,полюдие,Nb
66,даровьныи,A-
67,полъ#1,Nb
68,третии,Mo
69,десять,Ma
70,гривьна,Nb
71,же,Df
72,я,Pp
73,блюдо,Nb
74,сьребрьныи,A-
75,тридесяте,Ma
76,сьребро,Nb
77,велѣти,V-
78,бити,V-
79,на,R-
80,обѣдъ,Nb
81,коли,Dq
82,обѣдати,V-
83,запъртити,V-
84,или,C-
85,сии,Pd
86,да#1,Df
87,судити,V-
88,дьнь,Nb
89,пришьствие,Nb
90,господь,Nb
91,отьць,Nb
92,нашь,Ps
93,авраамовъ,A-
94,исаковъ,A-
95,ияковль,A-
96,сѣмя,Nb
97,правьдьныи,A-
98,съподобити,V-
99,грѣшьныи,A-
100,рабъ,Nb
101,алекса,Ne
102,написати,V-
103,евангелие,Nb
104,благовѣрьныи,A-
105,христолюбивыи,A-
106,чьстити,V-
107,феодоръ,Ne
108,мирьскы,Df
109,вънукъ,Nb
110,вьсеволожь,A-
111,новъгородьскыи,A-
112,иже,Pr
113,съвьршити,V-
114,благословение,Nb
115,прѣсвятыи,A-
116,чистыи,A-
117,владычица,Nb
118,даяти,V-
119,милость,Nb
120,наслѣдие,Nb
121,цѣсарьство,Nb
122,небесьныи,A-
123,дълголѣтьныи,A-
124,вьсь,Px
125,аминъ,I-
126,почитати,V-
127,аще,G-
128,къдѣ,Df
129,кривыи,A-
130,налѣзти,V-
131,исправити,V-
132,чисти,V-
