слава,1,Слава,Nb,-s---fn--i
ты,2,тебѣ,Pp,2s---md--i
господь,3,г҃и,Nb,-s---mv--i
цѣсарь,4,цр҃ю,Nb,-s---mv--i
небесьныи,5,нб҃сьныи,A-,-s---mnpwi
яко,6,ꙗко,G-,---------n
съподобити,7,съподоби,V-,2saia----i
азъ,8,мѧ,Pp,1s---ma--i
написати,9,написати,V-,--pna----i
евангелие,10,Еуглие,Nb,-s---na--i
сии,11,се,Pd,-s---na--i
почати,12,почахъ,V-,1saia----i
же,13,же,Df,---------n
и,14,е,Pp,3s---na--i
пьсати,15,писати,V-,--pna----i
въ,16,въ,R-,---------n
лѣто,17,лѣт,Nb,-s---na--i
шесть тысячь,18,҂ѕ҃,Ma,---------n
пятьсътъ,19,ф҃,Ma,---------n
шестьдесятъ,20,ѯ҃,Ma,---------n
четыре,21,д,Ma,---------n
а,22,А,C-,---------n
оконьчати,23,оконьчахъ,V-,1saia----i
и,14,е,Pp,3s---na--i
въ,16,въ,R-,---------n
лѣто,17,лѣт,Nb,-s---na--i
пятьсътъ,19,ф҃,Ma,---------n
шестьдесятъ,20,ѯ҃,Ma,---------n
пять,24,е,Ma,---------n
написати,9,Написахъ,V-,1saia----i
же,13,же,Df,---------n
евангелие,10,еуглие,Nb,-s---na--i
сии,11,се,Pd,-s---na--i
рабъ,25,рабоу,Nb,-s---md--i
божии,26,бж҃ию,A-,-s---mdpsi
нарещи,27,нареченоу,V-,-suppmd-si
быти,28,сѫщоу,V-,-sppamd-si
въ,16,въ,R-,---------n
крьщение,29,кр҃щении,Nb,-s---nl--i
иосифъ,30,иосифъ,Ne,-s---mn--i
а,22,а,C-,---------n
мирьскы,31,мирьскы,Df,---------n
остромиръ,32,остромиръ,Ne,-s---mn--i
близокъ,33,близокоу,Nb,-s---md--i
быти,28,сѫщоу,V-,-sppamd-si
изъяславъ,34,изѧславоу,Ne,-s---md--i
кънязь,35,кънѧзоу,Nb,-s---md--i
изъяславъ,34,изѧславоу,Ne,-s---md--i
же,13,же,Df,---------n
кънязь,35,кънѧзоу,Nb,-s---md--i
тъгда,36,тогда,Df,---------n
прѣдьржати,37,прѣдрьжѧщоу,V-,-sppamd-si
оба,38,обѣ,Ma,-d---fa--i
власть,39,власти,Nb,-d---fa--i
и,40,и,C-,---------n
отьць,41,оц҃а,Nb,-s---mg--i
свои,42,своего,Pt,3s---mg--i
ярославъ,43,ꙗрослава,Ne,-s---mg--i
и,40,и,C-,---------n
братъ,44,брата,Nb,-s---mg--i
свои,42,своего,Pt,3s---mg--i
володимиръ,45,володимира,Ne,-s---mg--i
самъ,46,самъ,Pd,-s---mn--i
же,13,же,Df,---------n
изъяславъ,34,изѧславъ,Ne,-s---mn--i
кънязь,35,кънѧзь,Nb,-s---mn--i
правити,47,правлꙗаше,V-,3siia----i
столъ,48,столъ,Nb,-s---ma--i
отьць,41,о҃ца,Nb,-s---mg--i
свои,42,своего,Pt,3s---mg--i
ярославъ,43,ꙗрослава,Ne,-s---mg--i
кыевъ,49,кыевѣ,Ne,-s---ml--i
а,22,А,C-,---------n
братъ,44,брата,Nb,-s---mg--i
свои,42,своего,Pt,3s---mg--i
столъ,48,столъ,Nb,-s---ma--i
поручити,50,порѫчи,V-,3saia----i
правити,47,правити,V-,--pna----i
близокъ,33,близокоу,Nb,-s---md--i
свои,42,своему,Pt,3s---md--i
остромиръ,32,остромироу,Ne,-s---md--i
новъгородъ,51,новѣгородѣ,Ne,-s---ml--i
мъногыи,52,Мънога,A-,-p---napsi
же,13,же,Df,---------n
лѣто,17,лѣт,Nb,-p---na--i
даровати,53,дароуи,V-,3spma----i
богъ,54,б҃ъ,Nb,-s---mn--i
сътяжати,55,сътѧжавъшоумоу,V-,-supamd-wi
евангелие,10,Еуглие,Nb,-s---na--i
сии,11,се,Pd,-s---na--i
на,56,на,R-,---------n
утѣшение,57,оутѣшение,Nb,-s---na--i
мъногыи,52,мъногамъ,A-,-p---fdpsi
